😀	osinekile, ubuso obusinekile
😯	mangele, thuliswa, ubuso, ubuso obuthulisiwe, ukwethuka
😲	ngokugcwele, ubuso, ubuso obuthukile, ukumangala, ukwethuka
😳	ubuso, ubuso obumuncu, ukumunca, ukwethuka
🥺	begging, mercy, pleading face, puppy eyes
😦	bipha, ubuso, ubuso obubiphile obuvule umlomo, umlomo, vula
😧	ubuso, ubuso obuxakekile, ukuxakela
😨	ubuso, ubuso obesabayo, ukwesaba, ukwethuka
😰	shehsa, ubuso, ubuso obuvule umlomo nomjuluko obandayo, ukubanda, umjuluko, umlomo, vula
😥	dumala, khululekile, ubuso, ubuso obudumele kodwa obukhululekile
😢	dangala, ubuso, ubuso obukhalayo, ukukhala, unyembezi
😭	dangala, khala, khala kakhulu, ubuso, unyembezi
😱	ubuso, ubuso obumemeza ngokwesaba, ukumemeza, ukwesaba, ukwethuka
😖	ubuso, ubuso obunokudideka, ukudideka
😣	bipha, ubuso, ubuso obubi
😞	ubuso, ubuso obuphosekile, ukuphoxeka
😓	banda, ubuso, ubuso obunomjuluko obandayo, umjuluko
😩	ubuso, ubuso obuyethile, ukukhathala
😫	kathele, ubuso, ubuso obukhathele
🥱	khathele, thukuthezi, ubuso obuzamulayo, zamula
😤	ubuso, ubuso obuphuma intuthu ekhaleni, ukunqoba, ukuwina
😡	casuka, dinwa, nyipha, ubuso, ubuso obunyiphayo
😠	casuka, dinwa, ubuso, ubuso obudiniwe
🤬	ubuso obunamasimbuli emlonyeni, ukuthuka
😈	insumansumane, izimpondo, moyizela, ubuso, ubuso obumoyizelayo obunezimpondo
👿	idimoni, imp, insumansumane, ubuso, usathane
💀	ugebhezi, ukufa
☠️	amathambo aphambene, ugebhezi namathambo
💩	amakaka, idende, indle
🤡	ubuso, umhlekisi
👹	isilwane, ogre
👺	goblin, inunu
👻	insumansumane, isilwane, isipoki
👽️	alien, insumansumane, isilwane
👾	isilwane esingaziwa, islwane, okungasikho okwasemhlabeni
🤖	irobhothi, isilwane, ubuso, ubuso berobhothi
😺	ikati, ikati elimoyizela sakuhlina, moyizela, ubuso, ubuso bekati obumoyizelayo obuvule umlomo, umlomo, vula
😸	amehlo, ikati, moyizela, sineka, ubuso, ubuso bekati obusinekile namehlo ajabulile
😹	ikati, intokozo, ubuso, ubuso bekati obunezinyembezi zenjabulo, unyembezi
😻	amehlo, ikati, inhliziyo, moyizela, ubuso, ubuso bekati obumoyizelayo obunamehlo enhliziyo, uthando
😼	ikati, moyizela, qaphela, ubuso, ubuso bekati obumoyizela ngokungagcwele
😽	amehlo, ikati, qabula, ubuso, ubuso bekati obuqabulayo obuvale amehlo
🙀	ikati, mangele, oh, ubuso, ubuso bekati obumangele
😿	dangala, ikati, ubuso, ubuso bekati elikhalayo, ukukhala, unyembezi
😾	dangala, ikati, ubuso, ubuso bekati obudangele
🙈	bona, inkawu, nqaba, okungavumelekile, ububi, ubuso, ungakuboni okubi
🙉	inkawu, izwa, nqaba, okungavumelekile, ububi, ubuso, ukungezwa okubi
🙊	inkawu, khuluma, nqaba, okungavumelekile, ububi, ubuso, ukungakhulumi okubi
💋	izindebe, ukuqabula, uphawu lokuqabula
💌	incwadi, incwadi yothando, inhliziyo, uthando
💘	inhliziyo, inhliziyo enomcibisholo, umcibisholo
💝	inhliziyo, inhliziyo eneribhini, iribhini, uthando
💖	inhliziyo, inhliziyo ekhazimulayo, intokozo, ukukhazimula
💗	inhliziyo, inhliziyo ekhulayo, intokozo, ukukhula, ukwethuka, uvalo
💓	inhliziyo, inhliziyo egxumagxumayo, ukugxumagxuma, ukushaya kwenhliziyo
💞	inhliziyo, izinhliziyo ezizungezayo, ukuzungeza
💕	inhiziyo, izinhliziyo ezimbili, uthando
💟	inhliziyo, ukuhlobisa inhliziyo
❣️	inhliziyo, isibabazi, isibabazi senhliziyo edangele, uphawu
💔	aphukile, inhliziyo, inhliziyo eyaphukile, ukwaphuka
❤️	inhliiziyo, inhliziyo ebomvu
🧡	inhliziyo ewolintshi, wolintshi
💛	inhliziyo, inhliziyo eqanda, qanda
💚	inhliziyo, inhliziyo eluhlaza satshani, luhlaza satshani
💙	inhliziyo, inhliziyo eluhlaza sasibhakabhaka, luhlaza sasibhakabhaka
💜	inhliziyo, inhliziyo ensomi, nsomi
🤎	inhliziyo, inhliziyo ensundu, insundu
🖤	inhliziyo, inhliziyo embi, khohlakele, mnyama, ubuthakathi
🤍	inhliziyo, inhliziyo emhlophe, mhlophe
💯	100, amaphuzu ayikhulu, ikhulu, okugcwele, umphumela
💢	ukucasuka, ukudinwa, uphawu lokudinwa
💥	gquzu, opopayi, ukushayisana
💫	inkanyezi, inzululwane, opopayi
💦	amaqabazi omjuluko, opopayi, ukujuluka
💨	opopayi, ukugijima, ukushesha
🕳️	imbobo
💣️	ibhomu, opopayi
💬	ibhaluni, ibhaluni lenikulumo, inkulumo, opopayi
👁‍🗨	ibhaluni lenkulumo, ihlo, ihlo eliyibhaluni lenkulumo, ufakazi
🗨️	ibhaluni lenkulumo lakwesokunxele, inkulumo
🗯️	ibhaluni, ibhaluni lenkulumo lakwesokudla lolaka, ukucasuka, ulaka
💭	ibhaluni, ibhaluni lokucabanga, opopayi, umcabango
💤	ulele, zzz
👋	isandla, ukuphakamisa isandla, umzimba
👋🏻	isandla, uhlobo-1-2, ukuphakamisa isandla, ukuphakamisa isandla: uhlobo-1-2, umzimba
👋🏼	isandla, uhlobo-3, ukuphakamisa isandla, ukuphakamisa isandla: uhlobo-3, umzimba
👋🏽	isandla, uhlobo-4, ukuphakamisa isandla, ukuphakamisa isandla: uhlobo-4, umzimba
👋🏾	isandla, uhlobo-5, ukuphakamisa isandla, ukuphakamisa isandla: uhlobo-5, umzimba
👋🏿	isandla, uhlobo-6, ukuphakamisa isandla, ukuphakamisa isandla: uhlobo-6, umzimba
🤚	ingemuva lesandla, siphakamisiwe, thula
🤚🏻	ingemuva lesandla, siphakamisiwe, thula, thula: uhlobo-1-2, uhlobo-1-2
🤚🏼	ingemuva lesandla, siphakamisiwe, thula, thula: uhlobo-3, uhlobo-3
🤚🏽	ingemuva lesandla, siphakamisiwe, thula, thula: uhlobo-4, uhlobo-4
🤚🏾	ingemuva lesandla, siphakamisiwe, thula, thula: uhlobo-5, uhlobo-5
🤚🏿	ingemuva lesandla, siphakamisiwe, thula, thula: uhlobo-6, uhlobo-6
🖐️	esivuliwe, isandla, isandla esiphakanyisiwe esivuliwe, umunwe, umzimba
🖐🏻	esivuliwe, isandla, isandla esiphakanyisiwe esivuliwe, isandla esiphakanyisiwe esivuliwe: uhlobo-1-2, uhlobo-1-2, umunwe, umzimba
🖐🏼	esivuliwe, isandla, isandla esiphakanyisiwe esivuliwe, isandla esiphakanyisiwe esivuliwe: uhlobo-3, uhlobo-3, umunwe, umzimba
🖐🏽	esivuliwe, isandla, isandla esiphakanyisiwe esivuliwe, isandla esiphakanyisiwe esivuliwe: uhlobo-4, uhlobo-4, umunwe, umzimba
🖐🏾	esivuliwe, isandla, isandla esiphakanyisiwe esivuliwe, isandla esiphakanyisiwe esivuliwe: uhlobo-5, uhlobo-5, umunwe, umzimba
🖐🏿	esivuliwe, isandla, isandla esiphakanyisiwe esivuliwe, isandla esiphakanyisiwe esivuliwe: uhlobo-6, uhlobo-6, umunwe, umzimba
✋	isandla, isandla esiphanyisiwe, umzimba
✋🏻	isandla, isandla esiphanyisiwe, isandla esiphanyisiwe: uhlobo-1-2, uhlobo-1-2, umzimba
✋🏼	isandla, isandla esiphanyisiwe, isandla esiphanyisiwe: uhlobo-3, uhlobo-3, umzimba
✋🏽	isandla, isandla esiphanyisiwe, isandla esiphanyisiwe: uhlobo-4, uhlobo-4, umzimba
✋🏾	isandla, isandla esiphanyisiwe, isandla esiphanyisiwe: uhlobo-5, uhlobo-5, umzimba
✋🏿	isandla, isandla esiphanyisiwe, isandla esiphanyisiwe: uhlobo-6, uhlobo-6, umzimba
🖖	i-vulcan salute, isandla, umunwe, umzimba, vulcan
🖖🏻	i-vulcan salute, i-vulcan salute: uhlobo-1-2, isandla, uhlobo-1-2, umunwe, umzimba, vulcan
🖖🏼	i-vulcan salute, i-vulcan salute: uhlobo-3, isandla, uhlobo-3, umunwe, umzimba, vulcan
🖖🏽	i-vulcan salute, i-vulcan salute: uhlobo-4, isandla, uhlobo-4, umunwe, umzimba, vulcan
🖖🏾	i-vulcan salute, i-vulcan salute: uhlobo-5, isandla, uhlobo-5, umunwe, umzimba, vulcan
🖖🏿	i-vulcan salute, i-vulcan salute: uhlobo-6, isandla, uhlobo-6, umunwe, umzimba, vulcan
👌	isandla, isandla sokuthi kulungile, kulungile, umzimba
👌🏻	isandla, isandla sokuthi kulungile, isandla sokuthi kulungile: uhlobo-1-2, kulungile, uhlobo-1-2, umzimba
👌🏼	isandla, isandla sokuthi kulungile, isandla sokuthi kulungile: uhlobo-3, kulungile, uhlobo-3, umzimba
👌🏽	isandla, isandla sokuthi kulungile, isandla sokuthi kulungile: uhlobo-4, kulungile, uhlobo-4, umzimba
👌🏾	isandla, isandla sokuthi kulungile, isandla sokuthi kulungile: uhlobo-5, kulungile, uhlobo-5, umzimba
👌🏿	isandla, isandla sokuthi kulungile, isandla sokuthi kulungile: uhlobo-6, kulungile, uhlobo-6, umzimba
🤏	inani elincane, isandla esincinzayo
🤏🏻	inani elincane, isandla esincinzayo, isandla esincinzayo: uhlobo-1-2, uhlobo-1-2
🤏🏼	inani elincane, isandla esincinzayo, isandla esincinzayo: uhlobo-3, uhlobo-3
🤏🏽	inani elincane, isandla esincinzayo, isandla esincinzayo: uhlobo-4, uhlobo-4
🤏🏾	inani elincane, isandla esincinzayo, isandla esincinzayo: uhlobo-5, uhlobo-5
🤏🏿	inani elincane, isandla esincinzayo, isandla esincinzayo: uhlobo-6, uhlobo-6
✌️	isandla, isandla sokunqoba, ukunqoba, umzimba
✌🏻	isandla, isandla sokunqoba, isandla sokunqoba: uhlobo-1-2, uhlobo-1-2, ukunqoba, umzimba
✌🏼	isandla, isandla sokunqoba, isandla sokunqoba: uhlobo-3, uhlobo-3, ukunqoba, umzimba
✌🏽	isandla, isandla sokunqoba, isandla sokunqoba: uhlobo-4, uhlobo-4, ukunqoba, umzimba
✌🏾	isandla, isandla sokunqoba, isandla sokunqoba: uhlobo-5, uhlobo-5, ukunqoba, umzimba
✌🏿	isandla, isandla sokunqoba, isandla sokunqoba: uhlobo-6, uhlobo-6, ukunqoba, umzimba
🤞	bhanqa, iminwe ebhanqiwe, inhlanhla, isandla, umunwe
🤞🏻	bhanqa, iminwe ebhanqiwe, iminwe ebhanqiwe: uhlobo-1-2, inhlanhla, isandla, uhlobo-1-2, umunwe
🤞🏼	bhanqa, iminwe ebhanqiwe, iminwe ebhanqiwe: uhlobo-3, inhlanhla, isandla, uhlobo-3, umunwe
🤞🏽	bhanqa, iminwe ebhanqiwe, iminwe ebhanqiwe: uhlobo-4, inhlanhla, isandla, uhlobo-4, umunwe
🤞🏾	bhanqa, iminwe ebhanqiwe, iminwe ebhanqiwe: uhlobo-5, inhlanhla, isandla, uhlobo-5, umunwe
🤞🏿	bhanqa, iminwe ebhanqiwe, iminwe ebhanqiwe: uhlobo-6, inhlanhla, isandla, uhlobo-6, umunwe
🤟	ILY, isandla, ukukhombisa uthando
🤟🏻	ILY, isandla, uhlobo-1-2, ukukhombisa uthando, ukukhombisa uthando: uhlobo-1-2
🤟🏼	ILY, isandla, uhlobo-3, ukukhombisa uthando, ukukhombisa uthando: uhlobo-3
🤟🏽	ILY, isandla, uhlobo-4, ukukhombisa uthando, ukukhombisa uthando: uhlobo-4
🤟🏾	ILY, isandla, uhlobo-5, ukukhombisa uthando, ukukhombisa uthando: uhlobo-5
🤟🏿	ILY, isandla, uhlobo-6, ukukhombisa uthando, ukukhombisa uthando: uhlobo-6
🤘	isandla, izimpondo, umunwe, umzimba, uphawu lwezimpondo
🤘🏻	isandla, izimpondo, uhlobo-1-2, umunwe, umzimba, uphawu lwezimpondo, uphawu lwezimpondo: uhlobo-1-2
🤘🏼	isandla, izimpondo, uhlobo-3, umunwe, umzimba, uphawu lwezimpondo, uphawu lwezimpondo: uhlobo-3
🤘🏽	isandla, izimpondo, uhlobo-4, umunwe, umzimba, uphawu lwezimpondo, uphawu lwezimpondo: uhlobo-4
🤘🏾	isandla, izimpondo, uhlobo-5, umunwe, umzimba, uphawu lwezimpondo, uphawu lwezimpondo: uhlobo-5
🤘🏿	isandla, izimpondo, uhlobo-6, umunwe, umzimba, uphawu lwezimpondo, uphawu lwezimpondo: uhlobo-6
🤙	fona, isandla, ngifonele
🤙🏻	fona, isandla, ngifonele, ngifonele: uhlobo-1-2, uhlobo-1-2
🤙🏼	fona, isandla, ngifonele, ngifonele: uhlobo-3, uhlobo-3
🤙🏽	fona, isandla, ngifonele, ngifonele: uhlobo-4, uhlobo-4
🤙🏾	fona, isandla, ngifonele, ngifonele: uhlobo-5, uhlobo-5
🤙🏿	fona, isandla, ngifonele, ngifonele: uhlobo-6, uhlobo-6
👈️	isandla, ukukhomba, ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba, umunwe, umunwe wokukhomba, umzimba
👈🏻	isandla, uhlobo-1-2, ukukhomba, ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba, ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-1-2, umunwe, umunwe wokukhomba, umzimba
👈🏼	isandla, uhlobo-3, ukukhomba, ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba, ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-3, umunwe, umunwe wokukhomba, umzimba
👈🏽	isandla, uhlobo-4, ukukhomba, ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba, ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-4, umunwe, umunwe wokukhomba, umzimba
👈🏾	isandla, uhlobo-5, ukukhomba, ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba, ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-5, umunwe, umunwe wokukhomba, umzimba
👈🏿	isandla, uhlobo-6, ukukhomba, ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba, ukukhomba ngengemuva lesandla sokunxele ngomunwe wokukhomba: uhlobo-6, umunwe, umunwe wokukhomba, umzimba
👉️	isandla, ukukhomba, ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba, umunwe, umunwe wokukhomba, umzimba
👉🏻	isandla, uhlobo-1-2, ukukhomba, ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba, ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-1-2, umunwe, umunwe wokukhomba, umzimba
👉🏼	isandla, uhlobo-3, ukukhomba, ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba, ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-3, umunwe, umunwe wokukhomba, umzimba
👉🏽	isandla, uhlobo-4, ukukhomba, ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba, ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-4, umunwe, umunwe wokukhomba, umzimba
👉🏾	isandla, uhlobo-5, ukukhomba, ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba, ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-5, umunwe, umunwe wokukhomba, umzimba
👉🏿	isandla, uhlobo-6, ukukhomba, ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba, ukukhomba ngengemuva lesandla sokudla ngomunwe wokukhomba: uhlobo-6, umunwe, umunwe wokukhomba, umzimba
👆️	isandla, phezulu, ukukhomba, ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba, umunwe, umunwe wokukhomba, umzimba
👆🏻	isandla, phezulu, uhlobo-1-2, ukukhomba, ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba, ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-1-2, umunwe, umunwe wokukhomba, umzimba
👆🏼	isandla, phezulu, uhlobo-3, ukukhomba, ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba, ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-3, umunwe, umunwe wokukhomba, umzimba
👆🏽	isandla, phezulu, uhlobo-4, ukukhomba, ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba, ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-4, umunwe, umunwe wokukhomba, umzimba
👆🏾	isandla, phezulu, uhlobo-5, ukukhomba, ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba, ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-5, umunwe, umunwe wokukhomba, umzimba
👆🏿	isandla, phezulu, uhlobo-6, ukukhomba, ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba, ukukhomba phezulu ngengemuva lesandla ngomunwe wokukhomba: uhlobo-6, umunwe, umunwe wokukhomba, umzimba
🖕	isandla, umunwe, umunwe omaphakathi, umzimba
🖕🏻	isandla, uhlobo-1-2, umunwe, umunwe omaphakathi, umunwe omaphakathi: uhlobo-1-2, umzimba
🖕🏼	isandla, uhlobo-3, umunwe, umunwe omaphakathi, umunwe omaphakathi: uhlobo-3, umzimba
🖕🏽	isandla, uhlobo-4, umunwe, umunwe omaphakathi, umunwe omaphakathi: uhlobo-4, umzimba
🖕🏾	isandla, uhlobo-5, umunwe, umunwe omaphakathi, umunwe omaphakathi: uhlobo-5, umzimba
🖕🏿	isandla, uhlobo-6, umunwe, umunwe omaphakathi, umunwe omaphakathi: uhlobo-6, umzimba
👇️	isandla, phansi, ukukhomba, ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba, umunwe, umunwe wokukhomba, umzimba
👇🏻	isandla, phansi, uhlobo-1-2, ukukhomba, ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba, ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-1-2, umunwe, umunwe wokukhomba, umzimba
👇🏼	isandla, phansi, uhlobo-3, ukukhomba, ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba, ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-3, umunwe, umunwe wokukhomba, umzimba
👇🏽	isandla, phansi, uhlobo-4, ukukhomba, ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba, ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-4, umunwe, umunwe wokukhomba, umzimba
👇🏾	isandla, phansi, uhlobo-5, ukukhomba, ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba, ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-5, umunwe, umunwe wokukhomba, umzimba
👇🏿	isandla, phansi, uhlobo-6, ukukhomba, ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba, ukukhomba phansi ngengemuva lesandla ngomunwe wokukhomba: uhlobo-6, umunwe, umunwe wokukhomba, umzimba
☝️	isandla, ukukhomba, umunwe, umunwe wokukhomba, umunwe wokukhomba okhombe phezulu, umzimba
☝🏻	isandla, uhlobo-1-2, ukukhomba, umunwe, umunwe wokukhomba, umunwe wokukhomba okhombe phezulu, umunwe wokukhomba okhombe phezulu: uhlobo-1-2, umzimba
☝🏼	isandla, uhlobo-3, ukukhomba, umunwe, umunwe wokukhomba, umunwe wokukhomba okhombe phezulu, umunwe wokukhomba okhombe phezulu: uhlobo-3, umzimba
☝🏽	isandla, uhlobo-4, ukukhomba, umunwe, umunwe wokukhomba, umunwe wokukhomba okhombe phezulu, umunwe wokukhomba okhombe phezulu: uhlobo-4, umzimba
☝🏾	isandla, uhlobo-5, ukukhomba, umunwe, umunwe wokukhomba, umunwe wokukhomba okhombe phezulu, umunwe wokukhomba okhombe phezulu: uhlobo-5, umzimba
☝🏿	isandla, uhlobo-6, ukukhomba, umunwe, umunwe wokukhomba, umunwe wokukhomba okhombe phezulu, umunwe wokukhomba okhombe phezulu: uhlobo-6, umzimba
👍️	+1, isandla, isithupha, phezulu, ukumisa isithupha
👍🏻	+1, isandla, isithupha, phezulu, uhlobo-1-2, ukumisa isithupha, ukumisa isithupha: uhlobo-1-2
👍🏼	+1, isandla, isithupha, phezulu, uhlobo-3, ukumisa isithupha, ukumisa isithupha: uhlobo-3
👍🏽	+1, isandla, isithupha, phezulu, uhlobo-4, ukumisa isithupha, ukumisa isithupha: uhlobo-4
👍🏾	+1, isandla, isithupha, phezulu, uhlobo-5, ukumisa isithupha, ukumisa isithupha: uhlobo-5
👍🏿	+1, isandla, isithupha, phezulu, uhlobo-6, ukumisa isithupha, ukumisa isithupha: uhlobo-6
👎️	-1, isandla, isithupha, phansi, ukubhekisa phansi isithupha, umzimba
👎🏻	-1, isandla, isithupha, phansi, uhlobo-1-2, ukubhekisa phansi isithupha, ukubhekisa phansi isithupha: uhlobo-1-2, umzimba
👎🏼	-1, isandla, isithupha, phansi, uhlobo-3, ukubhekisa phansi isithupha, ukubhekisa phansi isithupha: uhlobo-3, umzimba
👎🏽	-1, isandla, isithupha, phansi, uhlobo-4, ukubhekisa phansi isithupha, ukubhekisa phansi isithupha: uhlobo-4, umzimba
👎🏾	-1, isandla, isithupha, phansi, uhlobo-5, ukubhekisa phansi isithupha, ukubhekisa phansi isithupha: uhlobo-5, umzimba
👎🏿	-1, isandla, isithupha, phansi, uhlobo-6, ukubhekisa phansi isithupha, ukubhekisa phansi isithupha: uhlobo-6, umzimba
✊	iqupha, iqupha elimisiwe, isandla, ukufumbatha isibhakela, umzimba
✊🏻	iqupha, iqupha elimisiwe, iqupha elimisiwe: uhlobo-1-2, isandla, uhlobo-1-2, ukufumbatha isibhakela, umzimba
✊🏼	iqupha, iqupha elimisiwe, iqupha elimisiwe: uhlobo-3, isandla, uhlobo-3, ukufumbatha isibhakela, umzimba
✊🏽	iqupha, iqupha elimisiwe, iqupha elimisiwe: uhlobo-4, isandla, uhlobo-4, ukufumbatha isibhakela, umzimba
✊🏾	iqupha, iqupha elimisiwe, iqupha elimisiwe: uhlobo-5, isandla, uhlobo-5, ukufumbatha isibhakela, umzimba
✊🏿	iqupha, iqupha elimisiwe, iqupha elimisiwe: uhlobo-6, isandla, uhlobo-6, ukufumbatha isibhakela, umzimba
👊	iqupha, iqupha elizayo, isandla, ukufumbatha isibhakela, umzimba
👊🏻	iqupha, iqupha elizayo, iqupha elizayo: uhlobo-1-2, isandla, uhlobo-1-2, ukufumbatha isibhakela, umzimba
👊🏼	iqupha, iqupha elizayo, iqupha elizayo: uhlobo-3, isandla, uhlobo-3, ukufumbatha isibhakela, umzimba
👊🏽	iqupha, iqupha elizayo, iqupha elizayo: uhlobo-4, isandla, uhlobo-4, ukufumbatha isibhakela, umzimba
👊🏾	iqupha, iqupha elizayo, iqupha elizayo: uhlobo-5, isandla, uhlobo-5, ukufumbatha isibhakela, umzimba
