😀	fytyrë, fytyrë e zgërdheshur, zgërdheshje, zgërdhihem
😡	e inatosur, e kuqe, e zemëruar, fytyrë, fytyrë me buzë të varura
😠	e inatosur, e zemëruar, fytyrë, fytyrë e zemëruar
🤬	fytyrë me simbole në gojë, mallkim, sharje
😈	brirë, buzëqeshje, fantazi, fytyrë, fytyrë e qeshur me brirë
👿	demon, djall, dreq, fantazi, fytyrë
💀	fytyrë, kafkë, përbindësh, përrallë, vdekje
☠️	fytyrë, kafkë, kafkë me kocka të kryqëzuara, kocka të kryqëzuara, përbindësh
💩	fytyrë, kakë, mut, vizatim komik
🤡	fytyrë, fytyrë gaztori, gaztor
👹	fantazi, fytyrë, krijesë, ogër, përbindësh, përrallë
👺	fantazi, goblin, krijesë, përbindësh
👻	fantazi, fantazmë, fytyrë, krijesë, përbindësh
👽️	UFO, alien, fantazi, hapësirë, jashtëtokësor
👾	fantazi, fantazmë, fytyrë, krijesë, përbindësh, përbindësh alien
🤖	fytyrë, fytyrë roboti, përbindësh, robot
😺	buzëqesh, fytyrë maceje e qeshur me gojën e hapur, gojë, mace
😸	fytyrë maceje e ngërdheshur me sy të qeshur, fytyrë maceje me sy të qeshur
😹	fytyrë, fytyrë maceje me lot gëzimi, gëzim, lot, mace
😻	fytyrë maceje e qeshur me sy në formë zemre, fytyrë maceje me sy në formë zemre
😼	buzëqeshje, e sforcuar, fytyrë maceje me buzëqeshje të sforcuar, ironik, mace
😽	fytyrë, fytyrë maceje që puth me sy të mbyllur, mace, puthje, sy
🙀	e habitur, e rraskapitur, fytyrë maceje e rraskapitur, mace
😿	e mërzitur, fytyrë maceje që qan, lot, mace, qaj
😾	fytyrë, fytyrë maceje me buzë të varura, mace, me buzë të varura
🙈	fytyrë, majmun, mos shiko gjëra të këqija, ndalohet, të këqija
🙉	fytyrë, majmun, mos dëgjo fjalët e këqija, mos dëgjo gjërat e këqija, ndalohet, të këqija
🙊	fytyrë, majmun, mos fol gjëra të këqija, ndalohet, të këqija
💋	buzë, puthje, romancë, shenja e puthjes
💌	dashuri, letër, letër dashurie, romancë, zemër
💘	eros, romancë, shigjetë, zemër, zemër me shigjetë
💝	e dashur, fjongo, i dashur, zemër, zemër me fjongo
💖	i emocionuar, shkëlqej, zemër, zemër që shkëlqen
💗	i emocionuar, puls, që rritet, zemër, zemër që rritet
💓	pulsim, rrahje, rrahje zemre, zemër, zemër që rreh
💞	që rrotullohen, rrotulluese, zemra që rrotullohen, zemër
💕	dashuri, dy zemra, zemër
💟	dekorim me zemër, zemër
❣️	pikësim, pikëçuditje, shenjë, zbukurim i trashë me pikëçuditje me zemër, zemër
💔	e thyer, i thyer, thyej, zemër, zemër e thyer
❤️	zemër, zemër e kuqe
🧡	portokalli, zemër ngjyrë portokalli
💛	e verdhë, zemër, zemër e verdhë
💚	jeshile, zemër, zemër jeshile
💙	blu, zemër, zemër blu
💜	e purpurt, vjollcë, zemër, zemër ngjyrë vjollcë
🤎	ngjyrë kafe, zemër, zemër në ngjyrë kafe
🖤	e zezë, i keq, ligësi, zemër, zemër e zezë
🤍	e bardhë, zemër, zemër e bardhë
💯	100, njëqind, njëqind pikë, plot, rezultat
💢	i inatosur, i zemëruar, simboli i zemërimit, vizatim komik
💥	bum, përplasje, vizatim komik
💫	i trullosur, vizatim komik, yll
💦	djersë, pika djerse, spërkatje, vizatim komik
💨	i vrullshëm, vizatim komik, vrapim
🕳️	vrimë
💣️	bombë, vizatim komik
💬	balonë, dialog, flluskë, flluskë e të folurit, vizatim komik
👁‍🗨	dëshmitar, flluskë e të folurit, sy, sy në flluskën e të folurit
🗨️	dialog, flluskë e të folurit majtas, të folurit
🗯️	balonë, flluskë, flluskë zemërimi djathtas, i inatosur, i zemëruar
💭	balonë, flluskë, flluskë mendimi, mendim, vizatim komik
💤	fle, gjumë, vizatim komik, zzz
👋	dorë, dorë që tundet, që tundet, trup, tund
👋🏻	dorë, dorë që tundet, dorë që tundet: nuancë lëkure e çelët, nuancë lëkure e çelët, që tundet, trup, tund
👋🏼	dorë, dorë që tundet, dorë që tundet: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, që tundet, trup, tund
👋🏽	dorë, dorë që tundet, dorë që tundet: nuancë lëkure zeshkane, nuancë lëkure zeshkane, që tundet, trup, tund
👋🏾	dorë, dorë që tundet, dorë që tundet: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, që tundet, trup, tund
👋🏿	dorë, dorë që tundet, dorë që tundet: nuancë lëkure e errët, nuancë lëkure e errët, që tundet, trup, tund
🤚	dorë e ngritur nga ana e kurrizit, i ngritur, kurriz dore
🤚🏻	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure e çelët, i ngritur, kurriz dore, nuancë lëkure e çelët
🤚🏼	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure gjysmë e çelët, i ngritur, kurriz dore, nuancë lëkure gjysmë e çelët
🤚🏽	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure zeshkane, i ngritur, kurriz dore, nuancë lëkure zeshkane
🤚🏾	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure gjysmë e errët, i ngritur, kurriz dore, nuancë lëkure gjysmë e errët
🤚🏿	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure e errët, i ngritur, kurriz dore, nuancë lëkure e errët
🖐️	dorë, dorë e ngritur me gishtat të hapur, e hapur, trup
🖐🏻	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure e çelët, e hapur, nuancë lëkure e çelët, trup
🖐🏼	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure gjysmë e çelët, e hapur, nuancë lëkure gjysmë e çelët, trup
🖐🏽	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure zeshkane, e hapur, nuancë lëkure zeshkane, trup
🖐🏾	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure gjysmë e errët, e hapur, nuancë lëkure gjysmë e errët, trup
🖐🏿	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure e errët, e hapur, nuancë lëkure e errët, trup
✋	dorë, dorë e ngritur, trup
✋🏻	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure e çelët, nuancë lëkure e çelët, trup
✋🏼	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, trup
✋🏽	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure zeshkane, nuancë lëkure zeshkane, trup
✋🏾	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, trup
✋🏿	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure e errët, nuancë lëkure e errët, trup
🖖	dorë, përshëndetja e vulkanit, spock, vulkan
🖖🏻	dorë, nuancë lëkure e çelët, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure e çelët, spock, vulkan
🖖🏼	dorë, nuancë lëkure gjysmë e çelët, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure gjysmë e çelët, spock, vulkan
🖖🏽	dorë, nuancë lëkure zeshkane, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure zeshkane, spock, vulkan
🖖🏾	dorë, nuancë lëkure gjysmë e errët, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure gjysmë e errët, spock, vulkan
🖖🏿	dorë, nuancë lëkure e errët, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure e errët, spock, vulkan
👌	dorë, në rregull, ok, trup, «ok» me dorë
👌🏻	dorë, nuancë lëkure e çelët, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure e çelët
👌🏼	dorë, nuancë lëkure gjysmë e çelët, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure gjysmë e çelët
👌🏽	dorë, nuancë lëkure zeshkane, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure zeshkane
👌🏾	dorë, nuancë lëkure gjysmë e errët, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure gjysmë e errët
👌🏿	dorë, nuancë lëkure e errët, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure e errët
🤏	dorështrënguar, kurnac, sasi e vogël
🤏🏻	dorështrënguar, dorështrënguar: nuancë lëkure e çelët, kurnac, nuancë lëkure e çelët, sasi e vogël
🤏🏼	dorështrënguar, dorështrënguar: nuancë lëkure gjysmë e çelët, kurnac, nuancë lëkure gjysmë e çelët, sasi e vogël
🤏🏽	dorështrënguar, dorështrënguar: nuancë lëkure zeshkane, kurnac, nuancë lëkure zeshkane, sasi e vogël
🤏🏾	dorështrënguar, dorështrënguar: nuancë lëkure gjysmë e errët, kurnac, nuancë lëkure gjysmë e errët, sasi e vogël
🤏🏿	dorështrënguar, dorështrënguar: nuancë lëkure e errët, kurnac, nuancë lëkure e errët, sasi e vogël
✌️	dora e fitores, dorë, fitore, trup, v
✌🏻	dora e fitores, dora e fitores: nuancë lëkure e çelët, dorë, fitore, nuancë lëkure e çelët, trup, v
✌🏼	dora e fitores, dora e fitores: nuancë lëkure gjysmë e çelët, dorë, fitore, nuancë lëkure gjysmë e çelët, trup, v
✌🏽	dora e fitores, dora e fitores: nuancë lëkure zeshkane, dorë, fitore, nuancë lëkure zeshkane, trup, v
✌🏾	dora e fitores, dora e fitores: nuancë lëkure gjysmë e errët, dorë, fitore, nuancë lëkure gjysmë e errët, trup, v
✌🏿	dora e fitores, dora e fitores: nuancë lëkure e errët, dorë, fitore, nuancë lëkure e errët, trup, v
🤞	dorë, fat, gisht, gishta të kryqëzuar, kryqëzim
🤞🏻	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure e çelët, kryqëzim, nuancë lëkure e çelët
🤞🏼	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure gjysmë e çelët, kryqëzim, nuancë lëkure gjysmë e çelët
🤞🏽	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure zeshkane, kryqëzim, nuancë lëkure zeshkane
🤞🏾	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure gjysmë e errët, kryqëzim, nuancë lëkure gjysmë e errët
🤞🏿	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure e errët, kryqëzim, nuancë lëkure e errët
🤟	"Të dua", dorë, gjesti "të dua"
🤟🏻	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure e çelët, nuancë lëkure e çelët
🤟🏼	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
🤟🏽	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure zeshkane, nuancë lëkure zeshkane
🤟🏾	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
🤟🏿	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure e errët, nuancë lëkure e errët
🤘	dorë, gisht, rok, shenja e brirëve
🤘🏻	dorë, gisht, nuancë lëkure e çelët, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure e çelët
🤘🏼	dorë, gisht, nuancë lëkure gjysmë e çelët, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure gjysmë e çelët
🤘🏽	dorë, gisht, nuancë lëkure zeshkane, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure zeshkane
🤘🏾	dorë, gisht, nuancë lëkure gjysmë e errët, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure gjysmë e errët
🤘🏿	dorë, gisht, nuancë lëkure e errët, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure e errët
🤙	dorë, dorë me shenjën “më telefono”, telefono
🤙🏻	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure e çelët, nuancë lëkure e çelët, telefono
🤙🏼	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, telefono
🤙🏽	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure zeshkane, nuancë lëkure zeshkane, telefono
🤙🏾	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, telefono
🤙🏿	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure e errët, nuancë lëkure e errët, telefono
👈️	dorë, gisht, gishti tregues që tregon majtas, kurrizi i dorës
👈🏻	dorë, gisht, gishti tregues që tregon majtas, gishti tregues që tregon majtas: nuancë lëkure e çelët, kurrizi i dorës, nuancë lëkure e çelët
👈🏼	dorë, gisht, gishti tregues që tregon majtas, gishti tregues që tregon majtas: nuancë lëkure gjysmë e çelët, kurrizi i dorës, nuancë lëkure gjysmë e çelët
👈🏽	dorë, gisht, gishti tregues që tregon majtas, gishti tregues që tregon majtas: nuancë lëkure zeshkane, kurrizi i dorës, nuancë lëkure zeshkane
👈🏾	dorë, gisht, gishti tregues që tregon majtas, gishti tregues që tregon majtas: nuancë lëkure gjysmë e errët, kurrizi i dorës, nuancë lëkure gjysmë e errët
👈🏿	dorë, gisht, gishti tregues që tregon majtas, gishti tregues që tregon majtas: nuancë lëkure e errët, kurrizi i dorës, nuancë lëkure e errët
👉️	dorë, gisht, gisht tregues i drejtuar djathtas, kurrizi i dorës
👉🏻	dorë, gisht, gisht tregues i drejtuar djathtas, gisht tregues i drejtuar djathtas: nuancë lëkure e çelët, kurrizi i dorës, nuancë lëkure e çelët
👉🏼	dorë, gisht, gisht tregues i drejtuar djathtas, gisht tregues i drejtuar djathtas: nuancë lëkure gjysmë e çelët, kurrizi i dorës, nuancë lëkure gjysmë e çelët
👉🏽	dorë, gisht, gisht tregues i drejtuar djathtas, gisht tregues i drejtuar djathtas: nuancë lëkure zeshkane, kurrizi i dorës, nuancë lëkure zeshkane
👉🏾	dorë, gisht, gisht tregues i drejtuar djathtas, gisht tregues i drejtuar djathtas: nuancë lëkure gjysmë e errët, kurrizi i dorës, nuancë lëkure gjysmë e errët
👉🏿	dorë, gisht, gisht tregues i drejtuar djathtas, gisht tregues i drejtuar djathtas: nuancë lëkure e errët, kurrizi i dorës, nuancë lëkure e errët
👆️	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lartë, tregoj
👆🏻	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure e çelët, gisht tregues i drejtuar lartë, nuancë lëkure e çelët, tregoj
👆🏼	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure gjysmë e çelët, gisht tregues i drejtuar lartë, nuancë lëkure gjysmë e çelët, tregoj
👆🏽	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure zeshkane, gisht tregues i drejtuar lartë, nuancë lëkure zeshkane, tregoj
👆🏾	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure gjysmë e errët, gisht tregues i drejtuar lartë, nuancë lëkure gjysmë e errët, tregoj
👆🏿	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure e errët, gisht tregues i drejtuar lartë, nuancë lëkure e errët, tregoj
🖕	dorë, gisht, gishti i mesit, trup
🖕🏻	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure e çelët, nuancë lëkure e çelët, trup
🖕🏼	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, trup
🖕🏽	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure zeshkane, nuancë lëkure zeshkane, trup
🖕🏾	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, trup
🖕🏿	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure e errët, nuancë lëkure e errët, trup
👇️	dorë, gisht, gisht tregues i drejtuar poshtë, tregoj
👇🏻	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure e çelët, nuancë lëkure e çelët, tregoj
👇🏼	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, tregoj
👇🏽	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure zeshkane, nuancë lëkure zeshkane, tregoj
👇🏾	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, tregoj
👇🏿	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure e errët, nuancë lëkure e errët, tregoj
☝️	dorë, gisht, gisht tregues që tregon lart, tregues
☝🏻	dorë, gisht, gisht tregues që tregon lart, gisht tregues që tregon lart: nuancë lëkure e çelët, nuancë lëkure e çelët, tregues
☝🏼	dorë, gisht, gisht tregues që tregon lart, gisht tregues që tregon lart: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, tregues
☝🏽	dorë, gisht, gisht tregues që tregon lart, gisht tregues që tregon lart: nuancë lëkure zeshkane, nuancë lëkure zeshkane, tregues
☝🏾	dorë, gisht, gisht tregues që tregon lart, gisht tregues që tregon lart: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, tregues
☝🏿	dorë, gisht, gisht tregues që tregon lart, gisht tregues që tregon lart: nuancë lëkure e errët, nuancë lëkure e errët, tregues
👍️	+1, dorë, gisht i madh, gishti i madh lart
👍🏻	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure e çelët, nuancë lëkure e çelët
👍🏼	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
👍🏽	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure zeshkane, nuancë lëkure zeshkane
👍🏾	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
👍🏿	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure e errët, nuancë lëkure e errët
👎️	-1, dorë, gisht i madh, gishti i madh poshtë, poshtë
👎🏻	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure e çelët, nuancë lëkure e çelët, poshtë
👎🏼	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, poshtë
👎🏽	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure zeshkane, nuancë lëkure zeshkane, poshtë
👎🏾	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, poshtë
👎🏿	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure e errët, nuancë lëkure e errët, poshtë
✊	dorë, grusht, grusht i ngritur, grushtoj, i mbledhur
✊🏻	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure e çelët, grushtoj, i mbledhur, nuancë lëkure e çelët
✊🏼	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure gjysmë e çelët, grushtoj, i mbledhur, nuancë lëkure gjysmë e çelët
✊🏽	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure zeshkane, grushtoj, i mbledhur, nuancë lëkure zeshkane
✊🏾	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure gjysmë e errët, grushtoj, i mbledhur, nuancë lëkure gjysmë e errët
✊🏿	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure e errët, grushtoj, i mbledhur, nuancë lëkure e errët
👊	dorë, grusht, grusht që vjen, grushtoj, i mbledhur
👊🏻	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure e çelët, grushtoj, i mbledhur, nuancë lëkure e çelët
👊🏼	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure gjysmë e çelët, grushtoj, i mbledhur, nuancë lëkure gjysmë e çelët
👊🏽	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure zeshkane, grushtoj, i mbledhur, nuancë lëkure zeshkane
👊🏾	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure gjysmë e errët, grushtoj, i mbledhur, nuancë lëkure gjysmë e errët
👊🏿	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure e errët, grushtoj, i mbledhur, nuancë lëkure e errët
🤛	grusht, grusht i majtë në anën e përparme, i majtë
