😀	gülmək, gülən üz, üz
😕	çaşqın, çaşqın üz, üz
😟	narahat, narahat üz, üz
🙁	bir az qaşqabaqlı üz, qaşqabaqlı, üz
☹️	qaşqabaqlı, qaşqabaqlı üz, üz
😮	açıq, ağzı açıq üz, ağız, simpatiya, üz
😯	heyrətlənmiş, heyrətlənmiş üz, susmuş, təəccüblənmiş, üz
😲	tamamilə, təəccüblənmiş, təəccüblənmiş üz, üz, şoka düşmüş
😳	karıxmış, qızarmış, qızarmış üz, üz
🥺	mərhəmət, nəm gözlər, yalvaran üz, yalvarış
😦	açıq, ağzı açıq qaşqabaqlı üz, ağız, qaşqabaqlı, üz
😧	kədərli, kədərli üz, üz
😨	qorxmuş üz, qorxu, qorxulu, ürkmüş, üz
😰	açıq, ağzı açıq və soyuq tər olan üz, ağız, mavi, soyuq
😥	hmm, məyus lakin rahat üz, qəmli, yüngülləşmiş, üz
😢	ağlamaq, ağlayan üz, göz yaşı, qəmli, üz
😭	ağlamaq, bərkdən ağlayan üz, göz yaşı, hönkürtü, qəmli, üz
😱	qorxu, qorxudan çığıran üz, qorxulu, çeynəmək, çığırmaq, ürkmüş, üz
😖	utanan, utanan üz, üz
😣	inadkar, inadkar üz, üz
😞	məyus, məyus üz, üz
😓	soyuq, soyuq tərli üz, tər, üz
😩	usanmış, yorulmuş üz, üz, əzgin
😫	yorğun, yorğun üz, üz
🥱	bezmiş, yorğun, əsnəyən, əsnəyən üz
😤	burnundan tüstü çıxan üz, qalib, zəfər, üz
😡	acıq etmək, acıqlı, acıqlı üz, hirsli, qırmızı, qəzəb, üz
😠	acıqlı, hirsli, hirsli üz, üz
🤬	ağızda simvolları olan üz, söymək
😈	buynuz, buynuzlu gülən üz, fantastika, nağıl, təbəssüm, üz
👿	fantastika, iblis, nağıl, üz, şeytan
💀	kəllə, monstr, nağıl, ölüm, üz
☠️	kəllə, kəllə və sümüklər, monstr, təhlükə işarəsi, ölüm, üz
💩	kakaşka, komik, monstr, peyin, pox, üz
🤡	kloun, kloun üzü, üz
👹	div, fantastika, monstr, məxluq, nağıl, yapon, üz
👺	fantastika, monstr, məxluq, nağıl, qoblin, yapon, üz
👻	fantastika, monstr, məxluq, nağıl, ruh, üz
👽️	fantastika, kosmos, monstr, yadplanetli
👾	fantastika, kosmos, monstr, yadplanetli, yadplanetli monstr
🤖	monstr, robot, robot üz, üz
😺	açıq, ağzı açıq gülən pişik üzü, ağız, pişik, təbəssüm, üz
😸	dişini ağartmaq, göz, gözləri gülən dişini ağardan pişik üzü, pişik, təbəssüm, üz
😹	göz yaşı, pişik, sevinc, sevinc göz yaşları olan pişik üzü, üz
😻	göz, pişik, sevgi, təbəssüm, ürək, ürək formalı gözləri olan gülən pişik üzü, üz
😼	kinayəli, pişik, təbəssüm, üz, əyri, əyri-əyri gülən pişik üzü
😽	bağlı gözlərlə öpən pişik üzü, göz, pişik, öpüş, üz
🙀	oh, pişik, təəccüblənmiş, təəccüblənmiş pişik üzü, üz, əzgin
😿	ağlamaq, ağlayan pişik üzü, göz yaşı, pişik, qəmli, üz
😾	acıq etmək, acıqlı pişik üzü, pişik, üz
🙈	baxmaq, jest, meymun, pisliyi görümürəm, qadağa
🙉	eşitmək, jest, meymun, pisliyi eşitmirəm, qadağa
🙊	danışmaq, jest, meymun, pis danışmıram, qadağa
💋	dodaq, işarə, romantika, öpüş, öpüş işarəsi, ürək
💌	məktub, poçt, romantika, sevgi, sevgi məktubu, ürək
💘	amur, ox, oxlu ürək, romantika, ürək
💝	lent, lentli ürək, valentin, ürək
💖	həyəcanlı, qığılcım, qığılcımlı ürək, ürək
💗	böyümək, böyüyıb ürək, həyəcanlı, nervous, ürək, ürək döyüntüsü
💓	döyünmək, döyünən ürək, ürək, ürək döyüntüsü
💞	fırlanan, fırlanan ürəklr, ürək
💕	iki ürək, sevgi, ürək
💟	ürək, ürək bəzəyi
❣️	durğu işarəsi, işarə, nida, ürək, ürək nida işarəsi ornamenti
💔	sındırmaq, sındırılmış, sınmış ürək, ürək
❤️	qırmızı ürək, ürək
🧡	narıncı, narıncı ürək
💛	sarı, sarı ürək, ürək
💚	yaşıl, yaşıl ürək, ürək
💙	mavi, mavi ürək, ürək
💜	bənövşəyi, bənövşəyi ürək, ürək
🤎	qəhvəyi, qəhvəyi ürək, ürək
🖤	pis, qara, qara-ürək adam, xislət, ürək
🤍	ağ, ağ ürək, ürək
💯	100, 100 xal, hundqırmızı, tam, xal
💢	acıqlı, hirsli, komik, qəzəb simvolu
💥	bum, komik, toqquşma
💫	başgicəllənməsi, komik, ulduz
💦	komik, sıçramaq, tər, tər damcıları
💨	komik, qaçış, sürətli hərəkət, tez getmək
🕳️	deşik
💣️	bomba, komik
💬	dialoq, komik, köpük, nitq, nitq şarı, şar
👁‍🗨	göz, nitq qabarcığı, tanıq işarəsi, şahid
🗨️	boş nitq şarı, dialoq, nitq
🗯️	acıqlı, hirsli, köpük, sağ qəzəb şarı, şar
💭	düşüncə, düşüncə şarı, komik, köpük, şar
💤	komik, yatmaq, zzz
👋	orqan, yelləmə, yelləmək, əl, əl sallayan əllər
👋🏻	açıq dəri tonu, orqan, yelləmə, yelləmək, əl, əl sallayan əllər, əl sallayan əllər: açıq dəri tonu
👋🏼	orqan, orta-açıq dəri tonu, yelləmə, yelləmək, əl, əl sallayan əllər, əl sallayan əllər: orta-açıq dəri tonu
👋🏽	orqan, orta dəri tonu, yelləmə, yelləmək, əl, əl sallayan əllər, əl sallayan əllər: orta dəri tonu
👋🏾	orqan, orta-tünd dəri tonu, yelləmə, yelləmək, əl, əl sallayan əllər, əl sallayan əllər: orta-tünd dəri tonu
👋🏿	orqan, tünd dəri tonu, yelləmə, yelləmək, əl, əl sallayan əllər, əl sallayan əllər: tünd dəri tonu
🤚	arxa, qaldırmaq, yuxarı, yuxarı qalxan əl arxası, əl
🤚🏻	arxa, açıq dəri tonu, qaldırmaq, yuxarı, yuxarı qalxan əl arxası, yuxarı qalxan əl arxası: açıq dəri tonu, əl
🤚🏼	arxa, orta-açıq dəri tonu, qaldırmaq, yuxarı, yuxarı qalxan əl arxası, yuxarı qalxan əl arxası: orta-açıq dəri tonu, əl
🤚🏽	arxa, orta dəri tonu, qaldırmaq, yuxarı, yuxarı qalxan əl arxası, yuxarı qalxan əl arxası: orta dəri tonu, əl
🤚🏾	arxa, orta-tünd dəri tonu, qaldırmaq, yuxarı, yuxarı qalxan əl arxası, yuxarı qalxan əl arxası: orta-tünd dəri tonu, əl
🤚🏿	arxa, qaldırmaq, tünd dəri tonu, yuxarı, yuxarı qalxan əl arxası, yuxarı qalxan əl arxası: tünd dəri tonu, əl
🖐️	aralı, barmaq, barmaqları aralı şəkildə qaldırılmış əl, orqan, əl
🖐🏻	aralı, açıq dəri tonu, barmaq, barmaqları aralı şəkildə qaldırılmış əl, barmaqları aralı şəkildə qaldırılmış əl: açıq dəri tonu, orqan, əl
🖐🏼	aralı, barmaq, barmaqları aralı şəkildə qaldırılmış əl, barmaqları aralı şəkildə qaldırılmış əl: orta-açıq dəri tonu, orqan, orta-açıq dəri tonu, əl
🖐🏽	aralı, barmaq, barmaqları aralı şəkildə qaldırılmış əl, barmaqları aralı şəkildə qaldırılmış əl: orta dəri tonu, orqan, orta dəri tonu, əl
🖐🏾	aralı, barmaq, barmaqları aralı şəkildə qaldırılmış əl, barmaqları aralı şəkildə qaldırılmış əl: orta-tünd dəri tonu, orqan, orta-tünd dəri tonu, əl
🖐🏿	aralı, barmaq, barmaqları aralı şəkildə qaldırılmış əl, barmaqları aralı şəkildə qaldırılmış əl: tünd dəri tonu, orqan, tünd dəri tonu, əl
✋	orqan, qaldırımış əl, əl
✋🏻	açıq dəri tonu, orqan, qaldırımış əl, qaldırımış əl: açıq dəri tonu, əl
✋🏼	orqan, orta-açıq dəri tonu, qaldırımış əl, qaldırımış əl: orta-açıq dəri tonu, əl
✋🏽	orqan, orta dəri tonu, qaldırımış əl, qaldırımış əl: orta dəri tonu, əl
✋🏾	orqan, orta-tünd dəri tonu, qaldırımış əl, qaldırımış əl: orta-tünd dəri tonu, əl
✋🏿	orqan, qaldırımış əl, qaldırımış əl: tünd dəri tonu, tünd dəri tonu, əl
🖖	barmaq, orqan, spok, vulkan, vulkan salamı, əl
🖖🏻	açıq dəri tonu, barmaq, orqan, spok, vulkan, vulkan salamı, vulkan salamı: açıq dəri tonu, əl
🖖🏼	barmaq, orqan, orta-açıq dəri tonu, spok, vulkan, vulkan salamı, vulkan salamı: orta-açıq dəri tonu, əl
🖖🏽	barmaq, orqan, orta dəri tonu, spok, vulkan, vulkan salamı, vulkan salamı: orta dəri tonu, əl
🖖🏾	barmaq, orqan, orta-tünd dəri tonu, spok, vulkan, vulkan salamı, vulkan salamı: orta-tünd dəri tonu, əl
🖖🏿	barmaq, orqan, spok, tünd dəri tonu, vulkan, vulkan salamı, vulkan salamı: tünd dəri tonu, əl
👌	ok, ok işarəsi, orqan, əl
👌🏻	açıq dəri tonu, ok, ok işarəsi, ok işarəsi: açıq dəri tonu, orqan, əl
👌🏼	ok, ok işarəsi, ok işarəsi: orta-açıq dəri tonu, orqan, orta-açıq dəri tonu, əl
👌🏽	ok, ok işarəsi, ok işarəsi: orta dəri tonu, orqan, orta dəri tonu, əl
👌🏾	ok, ok işarəsi, ok işarəsi: orta-tünd dəri tonu, orqan, orta-tünd dəri tonu, əl
👌🏿	ok, ok işarəsi, ok işarəsi: tünd dəri tonu, orqan, tünd dəri tonu, əl
🤏	kiçik say, sıxan əl
🤏🏻	açıq dəri tonu, kiçik say, sıxan əl, sıxan əl: açıq dəri tonu
🤏🏼	kiçik say, orta-açıq dəri tonu, sıxan əl, sıxan əl: orta-açıq dəri tonu
🤏🏽	kiçik say, orta dəri tonu, sıxan əl, sıxan əl: orta dəri tonu
🤏🏾	kiçik say, orta-tünd dəri tonu, sıxan əl, sıxan əl: orta-tünd dəri tonu
🤏🏿	kiçik say, sıxan əl, sıxan əl: tünd dəri tonu, tünd dəri tonu
✌️	orqan, qələbə, qələbə işarəsi, v, əl
✌🏻	açıq dəri tonu, orqan, qələbə, qələbə işarəsi, qələbə işarəsi: açıq dəri tonu, v, əl
✌🏼	orqan, orta-açıq dəri tonu, qələbə, qələbə işarəsi, qələbə işarəsi: orta-açıq dəri tonu, v, əl
✌🏽	orqan, orta dəri tonu, qələbə, qələbə işarəsi, qələbə işarəsi: orta dəri tonu, v, əl
✌🏾	orqan, orta-tünd dəri tonu, qələbə, qələbə işarəsi, qələbə işarəsi: orta-tünd dəri tonu, v, əl
✌🏿	orqan, qələbə, qələbə işarəsi, qələbə işarəsi: tünd dəri tonu, tünd dəri tonu, v, əl
🤞	inam, ümid, ümid edirəm
🤞🏻	açıq dəri tonu, inam, ümid, ümid edirəm, ümid edirəm: açıq dəri tonu
🤞🏼	inam, orta-açıq dəri tonu, ümid, ümid edirəm, ümid edirəm: orta-açıq dəri tonu
🤞🏽	inam, orta dəri tonu, ümid, ümid edirəm, ümid edirəm: orta dəri tonu
🤞🏾	inam, orta-tünd dəri tonu, ümid, ümid edirəm, ümid edirəm: orta-tünd dəri tonu
🤞🏿	inam, tünd dəri tonu, ümid, ümid edirəm, ümid edirəm: tünd dəri tonu
🤟	sevgi jesti, sevgi əli
🤟🏻	açıq dəri tonu, sevgi jesti, sevgi jesti: açıq dəri tonu, sevgi əli
🤟🏼	orta-açıq dəri tonu, sevgi jesti, sevgi jesti: orta-açıq dəri tonu, sevgi əli
🤟🏽	orta dəri tonu, sevgi jesti, sevgi jesti: orta dəri tonu, sevgi əli
🤟🏾	orta-tünd dəri tonu, sevgi jesti, sevgi jesti: orta-tünd dəri tonu, sevgi əli
🤟🏿	sevgi jesti, sevgi jesti: tünd dəri tonu, sevgi əli, tünd dəri tonu
🤘	barmaq, buynuz işarəsi, buynuzlar, orqan, əl, əla
🤘🏻	açıq dəri tonu, barmaq, buynuz işarəsi, buynuz işarəsi: açıq dəri tonu, buynuzlar, orqan, əl, əla
🤘🏼	barmaq, buynuz işarəsi, buynuz işarəsi: orta-açıq dəri tonu, buynuzlar, orqan, orta-açıq dəri tonu, əl, əla
🤘🏽	barmaq, buynuz işarəsi, buynuz işarəsi: orta dəri tonu, buynuzlar, orqan, orta dəri tonu, əl, əla
🤘🏾	barmaq, buynuz işarəsi, buynuz işarəsi: orta-tünd dəri tonu, buynuzlar, orqan, orta-tünd dəri tonu, əl, əla
🤘🏿	barmaq, buynuz işarəsi, buynuz işarəsi: tünd dəri tonu, buynuzlar, orqan, tünd dəri tonu, əl, əla
🤙	mənə zəng et, telefon, yığmaq, zəng, əlaqə
🤙🏻	açıq dəri tonu, mənə zəng et, mənə zəng et: açıq dəri tonu, telefon, yığmaq, zəng, əlaqə
🤙🏼	mənə zəng et, mənə zəng et: orta-açıq dəri tonu, orta-açıq dəri tonu, telefon, yığmaq, zəng, əlaqə
🤙🏽	mənə zəng et, mənə zəng et: orta dəri tonu, orta dəri tonu, telefon, yığmaq, zəng, əlaqə
🤙🏾	mənə zəng et, mənə zəng et: orta-tünd dəri tonu, orta-tünd dəri tonu, telefon, yığmaq, zəng, əlaqə
🤙🏿	mənə zəng et, mənə zəng et: tünd dəri tonu, telefon, tünd dəri tonu, yığmaq, zəng, əlaqə
👈️	barmaq, göstərmək, işarə, sol əl, solu göstərən sol əlin işarə barmağı, əl
👈🏻	açıq dəri tonu, barmaq, göstərmək, işarə, sol əl, solu göstərən sol əlin işarə barmağı, solu göstərən sol əlin işarə barmağı: açıq dəri tonu, əl
👈🏼	barmaq, göstərmək, işarə, orta-açıq dəri tonu, sol əl, solu göstərən sol əlin işarə barmağı, solu göstərən sol əlin işarə barmağı: orta-açıq dəri tonu, əl
👈🏽	barmaq, göstərmək, işarə, orta dəri tonu, sol əl, solu göstərən sol əlin işarə barmağı, solu göstərən sol əlin işarə barmağı: orta dəri tonu, əl
👈🏾	barmaq, göstərmək, işarə, orta-tünd dəri tonu, sol əl, solu göstərən sol əlin işarə barmağı, solu göstərən sol əlin işarə barmağı: orta-tünd dəri tonu, əl
👈🏿	barmaq, göstərmək, işarə, sol əl, solu göstərən sol əlin işarə barmağı, solu göstərən sol əlin işarə barmağı: tünd dəri tonu, tünd dəri tonu, əl
👉️	barmaq, göstərmək, işarə, sağı göstərən sol əlin işarə barmağı, sol əl, əl
👉🏻	açıq dəri tonu, barmaq, göstərmək, işarə, sağı göstərən sol əlin işarə barmağı, sağı göstərən sol əlin işarə barmağı: açıq dəri tonu, sol əl, əl
👉🏼	barmaq, göstərmək, işarə, orta-açıq dəri tonu, sağı göstərən sol əlin işarə barmağı, sağı göstərən sol əlin işarə barmağı: orta-açıq dəri tonu, sol əl, əl
👉🏽	barmaq, göstərmək, işarə, orta dəri tonu, sağı göstərən sol əlin işarə barmağı, sağı göstərən sol əlin işarə barmağı: orta dəri tonu, sol əl, əl
👉🏾	barmaq, göstərmək, işarə, orta-tünd dəri tonu, sağı göstərən sol əlin işarə barmağı, sağı göstərən sol əlin işarə barmağı: orta-tünd dəri tonu, sol əl, əl
👉🏿	barmaq, göstərmək, işarə, sağı göstərən sol əlin işarə barmağı, sağı göstərən sol əlin işarə barmağı: tünd dəri tonu, sol əl, tünd dəri tonu, əl
👆️	barmaq, göstərmək, işarə, sol əl, yuxarı, yuxarını göstərən sol əlin işarə barmağı, əl
👆🏻	açıq dəri tonu, barmaq, göstərmək, işarə, sol əl, yuxarı, yuxarını göstərən sol əlin işarə barmağı, yuxarını göstərən sol əlin işarə barmağı: açıq dəri tonu, əl
👆🏼	barmaq, göstərmək, işarə, orta-açıq dəri tonu, sol əl, yuxarı, yuxarını göstərən sol əlin işarə barmağı, yuxarını göstərən sol əlin işarə barmağı: orta-açıq dəri tonu, əl
👆🏽	barmaq, göstərmək, işarə, orta dəri tonu, sol əl, yuxarı, yuxarını göstərən sol əlin işarə barmağı, yuxarını göstərən sol əlin işarə barmağı: orta dəri tonu, əl
👆🏾	barmaq, göstərmək, işarə, orta-tünd dəri tonu, sol əl, yuxarı, yuxarını göstərən sol əlin işarə barmağı, yuxarını göstərən sol əlin işarə barmağı: orta-tünd dəri tonu, əl
👆🏿	barmaq, göstərmək, işarə, sol əl, tünd dəri tonu, yuxarı, yuxarını göstərən sol əlin işarə barmağı, yuxarını göstərən sol əlin işarə barmağı: tünd dəri tonu, əl
🖕	barmaq, orta barmaq, əl
🖕🏻	açıq dəri tonu, barmaq, orta barmaq, orta barmaq: açıq dəri tonu, əl
🖕🏼	barmaq, orta barmaq, orta barmaq: orta-açıq dəri tonu, orta-açıq dəri tonu, əl
🖕🏽	barmaq, orta barmaq, orta barmaq: orta dəri tonu, orta dəri tonu, əl
🖕🏾	barmaq, orta barmaq, orta barmaq: orta-tünd dəri tonu, orta-tünd dəri tonu, əl
🖕🏿	barmaq, orta barmaq, orta barmaq: tünd dəri tonu, tünd dəri tonu, əl
👇️	aşağı, aşağını göstərən sol əlin işarə barmağı, barmaq, göstərmək, işarə, sol əl, əl
👇🏻	açıq dəri tonu, aşağı, aşağını göstərən sol əlin işarə barmağı, aşağını göstərən sol əlin işarə barmağı: açıq dəri tonu, barmaq, göstərmək, işarə, sol əl, əl
👇🏼	aşağı, aşağını göstərən sol əlin işarə barmağı, aşağını göstərən sol əlin işarə barmağı: orta-açıq dəri tonu, barmaq, göstərmək, işarə, orta-açıq dəri tonu, sol əl, əl
👇🏽	aşağı, aşağını göstərən sol əlin işarə barmağı, aşağını göstərən sol əlin işarə barmağı: orta dəri tonu, barmaq, göstərmək, işarə, orta dəri tonu, sol əl, əl
👇🏾	aşağı, aşağını göstərən sol əlin işarə barmağı, aşağını göstərən sol əlin işarə barmağı: orta-tünd dəri tonu, barmaq, göstərmək, işarə, orta-tünd dəri tonu, sol əl, əl
👇🏿	aşağı, aşağını göstərən sol əlin işarə barmağı, aşağını göstərən sol əlin işarə barmağı: tünd dəri tonu, barmaq, göstərmək, işarə, sol əl, tünd dəri tonu, əl
☝️	barmaq, göstərmək, işarə, işarə barmağı, yuxarı, əl
☝🏻	açıq dəri tonu, barmaq, göstərmək, işarə, işarə barmağı, işarə barmağı: açıq dəri tonu, yuxarı, əl
☝🏼	barmaq, göstərmək, işarə, işarə barmağı, işarə barmağı: orta-açıq dəri tonu, orta-açıq dəri tonu, yuxarı, əl
☝🏽	barmaq, göstərmək, işarə, işarə barmağı, işarə barmağı: orta dəri tonu, orta dəri tonu, yuxarı, əl
☝🏾	barmaq, göstərmək, işarə, işarə barmağı, işarə barmağı: orta-tünd dəri tonu, orta-tünd dəri tonu, yuxarı, əl
☝🏿	barmaq, göstərmək, işarə, işarə barmağı, işarə barmağı: tünd dəri tonu, tünd dəri tonu, yuxarı, əl
👍️	baş barmaq, baş barmaq yuxarı, orqan, yuxarı, əl
👍🏻	açıq dəri tonu, baş barmaq, baş barmaq yuxarı, baş barmaq yuxarı: açıq dəri tonu, orqan, yuxarı, əl
👍🏼	baş barmaq, baş barmaq yuxarı, baş barmaq yuxarı: orta-açıq dəri tonu, orqan, orta-açıq dəri tonu, yuxarı, əl
👍🏽	baş barmaq, baş barmaq yuxarı, baş barmaq yuxarı: orta dəri tonu, orqan, orta dəri tonu, yuxarı, əl
👍🏾	baş barmaq, baş barmaq yuxarı, baş barmaq yuxarı: orta-tünd dəri tonu, orqan, orta-tünd dəri tonu, yuxarı, əl
👍🏿	baş barmaq, baş barmaq yuxarı, baş barmaq yuxarı: tünd dəri tonu, orqan, tünd dəri tonu, yuxarı, əl
👎️	-1, aşağı, baş barmaq, baş barmaq aşağı, orqan, əl
👎🏻	-1, açıq dəri tonu, aşağı, baş barmaq, baş barmaq aşağı, baş barmaq aşağı: açıq dəri tonu, orqan, əl
👎🏼	-1, aşağı, baş barmaq, baş barmaq aşağı, baş barmaq aşağı: orta-açıq dəri tonu, orqan, orta-açıq dəri tonu, əl
👎🏽	-1, aşağı, baş barmaq, baş barmaq aşağı, baş barmaq aşağı: orta dəri tonu, orqan, orta dəri tonu, əl
👎🏾	-1, aşağı, baş barmaq, baş barmaq aşağı, baş barmaq aşağı: orta-tünd dəri tonu, orqan, orta-tünd dəri tonu, əl
👎🏿	-1, aşağı, baş barmaq, baş barmaq aşağı, baş barmaq aşağı: tünd dəri tonu, orqan, tünd dəri tonu, əl
✊	orqan, qaldırılmış yumruq, sıxılmış, yumruq, yumruqlamaq, əl
✊🏻	açıq dəri tonu, orqan, qaldırılmış yumruq, qaldırılmış yumruq: açıq dəri tonu, sıxılmış, yumruq, yumruqlamaq, əl
✊🏼	orqan, orta-açıq dəri tonu, qaldırılmış yumruq, qaldırılmış yumruq: orta-açıq dəri tonu, sıxılmış, yumruq, yumruqlamaq, əl
✊🏽	orqan, orta dəri tonu, qaldırılmış yumruq, qaldırılmış yumruq: orta dəri tonu, sıxılmış, yumruq, yumruqlamaq, əl
✊🏾	orqan, orta-tünd dəri tonu, qaldırılmış yumruq, qaldırılmış yumruq: orta-tünd dəri tonu, sıxılmış, yumruq, yumruqlamaq, əl
✊🏿	orqan, qaldırılmış yumruq, qaldırılmış yumruq: tünd dəri tonu, sıxılmış, tünd dəri tonu, yumruq, yumruqlamaq, əl
👊	orqan, sıxılmış, yaxınlaşan yumruq, yumruq, yumruqlamaq, əl
👊🏻	açıq dəri tonu, orqan, sıxılmış, yaxınlaşan yumruq, yaxınlaşan yumruq: açıq dəri tonu, yumruq, yumruqlamaq, əl
👊🏼	orqan, orta-açıq dəri tonu, sıxılmış, yaxınlaşan yumruq, yaxınlaşan yumruq: orta-açıq dəri tonu, yumruq, yumruqlamaq, əl
👊🏽	orqan, orta dəri tonu, sıxılmış, yaxınlaşan yumruq, yaxınlaşan yumruq: orta dəri tonu, yumruq, yumruqlamaq, əl
👊🏾	orqan, orta-tünd dəri tonu, sıxılmış, yaxınlaşan yumruq, yaxınlaşan yumruq: orta-tünd dəri tonu, yumruq, yumruqlamaq, əl
👊🏿	orqan, sıxılmış, tünd dəri tonu, yaxınlaşan yumruq, yaxınlaşan yumruq: tünd dəri tonu, yumruq, yumruqlamaq, əl
🤛	sol, sola yönələn yumruq, yumruq, zərbə
🤛🏻	açıq dəri tonu, sol, sola yönələn yumruq, sola yönələn yumruq: açıq dəri tonu, yumruq, zərbə
🤛🏼	orta-açıq dəri tonu, sol, sola yönələn yumruq, sola yönələn yumruq: orta-açıq dəri tonu, yumruq, zərbə
🤛🏽	orta dəri tonu, sol, sola yönələn yumruq, sola yönələn yumruq: orta dəri tonu, yumruq, zərbə
🤛🏾	orta-tünd dəri tonu, sol, sola yönələn yumruq, sola yönələn yumruq: orta-tünd dəri tonu, yumruq, zərbə
🤛🏿	sol, sola yönələn yumruq, sola yönələn yumruq: tünd dəri tonu, tünd dəri tonu, yumruq, zərbə
🤜	sağ, sağa yönələn yumruq, yumruq, zərbə
🤜🏻	açıq dəri tonu, sağ, sağa yönələn yumruq, sağa yönələn yumruq: açıq dəri tonu, yumruq, zərbə
🤜🏼	orta-açıq dəri tonu, sağ, sağa yönələn yumruq, sağa yönələn yumruq: orta-açıq dəri tonu, yumruq, zərbə
🤜🏽	orta dəri tonu, sağ, sağa yönələn yumruq, sağa yönələn yumruq: orta dəri tonu, yumruq, zərbə
🤜🏾	orta-tünd dəri tonu, sağ, sağa yönələn yumruq, sağa yönələn yumruq: orta-tünd dəri tonu, yumruq, zərbə
🤜🏿	sağ, sağa yönələn yumruq, sağa yönələn yumruq: tünd dəri tonu, tünd dəri tonu, yumruq, zərbə
👏	orqan, əl, əl çalan əllər, əl çalmaq
👏🏻	açıq dəri tonu, orqan, əl, əl çalan əllər, əl çalan əllər: açıq dəri tonu, əl çalmaq
👏🏼	orqan, orta-açıq dəri tonu, əl, əl çalan əllər, əl çalan əllər: orta-açıq dəri tonu, əl çalmaq
👏🏽	orqan, orta dəri tonu, əl, əl çalan əllər, əl çalan əllər: orta dəri tonu, əl çalmaq
