😀	инээсэн царай, инээх, царай
😷	зүүсэн, маск, маск зүүсэн царай, царай
🤒	халуунтай, халуунтай байгаа царай, царай
🤕	зүүсэн, толгой, толгойндоо шархны боолт зүүсэн царай, царай, шархны боолт
🤢	дурамжхан, дурамжхан царай, царай
🤮	бөөлжих, бөөлжсөн царай, өвчтэй
🤧	найтаах, найтаах царай, царай
🥵	наранд цохиулсан, улайсан царай, халуун, халуунтай, халууцсан царай
🥶	даарсан, даарсан царай, унжсан мөс, хүйтэн, хөлдсөн, хөхөрсөн царай
🥴	толгой эргэсэн царай, толгой эргэх, том жижиг нүд, халамцуу, хордоогүй, хэл яриа ороолдсон
😵	толгой нь эргэсэн, толгой нь эргэсэн царай, царай
🤯	толгой дэлбэрэх, цочирдсон
🤠	ковбой, ковбой малгайтай царай, малгай, охин, царай
🥳	баяр тэмдэглэх, малгай, үдэшлэг, үдэшлэг дээр баярлаж буй царай, үлээх
😎	зүүх, инээмсэглэх, нарны шил, нарны шил зүүж инээмсэглэсэн царай, царай
🤓	ухаантай, ухаантай царай, царай
🧐	бүгчим, нэг нүдний нүдний шил зүүсэн царай
😕	царай, эргэлзсэн, эргэлзсэн царай
😟	санаа зовсон, санаа зовсон царай, царай
🙁	бага зэрэг, бага зэрэг барайсан царай, барайсан, царай
☹️	баргар, баргар царай, царай
😮	царай, цочирдох, цочирдсон царай
😯	гайхширсан, гайхширсан царай, царай
😲	мэл гайхсан, мэл гайхсан царай, царай
😳	ичсэн, ичсэн царай, царай, ягаарсан
🥺	гуйх, ямар нэг юм хүсч буй царай, өршөөх, өрөвдөлтэй нүд
😦	гайхсан, гайхсан дурамжхан царай, дурамжхан, царай
😧	царай, шаналсан, шаналсан царай
😨	айсан, айсан царай, царай
😰	амаа ангайж, хүйтэн хөлс чахарсан царай, амаа ангайх, хүйтэн, хөлс чахрах, царай
😥	тайвширсан, урам хугарсан, урам хугарсан ч тайвширсан царай, царай
😢	уйлж байгаа, уйлж байгаа царай, царай
😭	уйлaх, царай, цурхиран уйлж байгаа царай, цурхирах
😱	айгаад орилж байгаа царай, айх, орилох, царай
😖	будилсан, будилсан царай, царай
😣	царай, цөхрөлтгүй, цөхрөлтгүй царай
😞	урам хугарсан, урам хугарсан царай, царай
😓	хүйтэн, хүйтэн хөлс даасан царай, хөлс даах, царай
😩	залхсан, залхсан царай, царай
😫	царай, ядарсан, ядарсан царай
🥱	уйдсан, эвшээж буй царай, эвшээх, ядарсан
😤	их, их уурласан царай, уурласан, царай
😡	маш их уурласан царай, улайсан, уурласан, царай
😠	ууртай, ууртай царай, уцаартай, царай
🤬	тэмдэгтүүд амандаа зуусан царай, хөлөрч байна
😈	хорноор инээж байгаа царай, хорноор инээх, царай
👿	ууртай, царай, чөтгөр
💀	аймшиг, гавал, үхэл
☠️	аюул, гавал, гавлын яс, яс, үхэл
💩	баас, овоолсон, овоолсон баас
🤡	алиалагч, алиалагчийн царай, царай
👹	аварга, аварга махчин, махчин
👺	мангас, онгод, төсөөлөл, шүтээн, шүтээн, онгод, япон
👻	аймшиг, сүнс, үхэл
👽️	амьтан, дам яриа, сансар, төсөөлөл, харь гариг, харь гаригийн амьтан, үлгэр домог
👾	дам яриа, мангас, сансар, төсөөлөл, харь гариг, харь гаригийн мангас, үлгэр
🤖	робот, робот царай, царай
😺	ам, амаа ангайгаад инээж байгаа, амаа ангайгаад инээж байгаа муур, ангайх, инээсэн, муур, царай
😸	инээх, муур, нүд, нүдээрээ инээж байгаа муур, нүдээрээ инээж байгаа ︱царай
😹	баярлах, муур, нулимс, нулимсаа гартал инээж байгаа муур, царай
😻	дурлал, зүрх, зүрхэн нүдтэй инээж байгаа муур, инээх, муур, нүд, царай
😼	жоготой, жоготой инээмсэглэж байгаа муур, инээх, муур, царай, ёжтой
😽	муур, нүд, нүдээ аниад үнсэж байгаа муур, царай, үнсэх
🙀	гайхшралд орох, гайхшралд орсон муур, муур
😿	гунигтай, муур, нулимс, уйлах, уйлж байгаа муур
😾	муур, урвагар, урвагар царайлсан муур, царайлах
🙈	дарах, дохио зангаа, итгэл үнэмшил, муу, муу үйлийг харахгүй, нуугдах, нүд, сармагчин, харахгүй, үйл
🙉	дарах, итгэл үнэмшил, муу, муу үйлийг сонсохгүй, сармагчин, сонсохгүй, чих, үйл
🙊	ам, дарах, итгэл үнэмшил, муу, муу үйлийг хэлэхгүй, сармагчин, хэлэхгүй, үйл
💋	уруул, хайр дурлал, ягаан, үнсэлтийн мөр, үнсэх
💌	дугтуй, захиа, хайр, хайрын захиа
💘	зүрх, сум, сумаар харвасан зүрх, харвах
💝	баантаг, баантагтай зүрх, зүрх
💖	гялалзаж байгаа зүрх, гялалзах, дурлал, зүрх
💗	зүрх, зүрхний цохилт, нэмэгдэж байгаа зүрх, нэмэгдэх, сандрал
💓	зүрх, зүрхний цохилт, цохилж буй зүрх, цохилох, ягаан
💞	зүрх, эргэлдэж буй зүрх, эргэлдэх
💕	зүрх, хайр дурлал, хоёр, хоёр зүрх
💟	зүрх, зүрхэн чимэглэл, чимэглэл
❣️	анхааруулга, зүрх, зүрхэн хэлбэртэй анхааруулгын тэмдэг, тэмдэг, хэлбэр
💔	зүрх, шархалсан зүрх, шархлах
❤️	зүрх, улаан, улаан зүрх, хайр
🧡	улбар шар, улбар шар зүрх
💛	зүрх, шар, шар зүрх
💚	зүрх, ногоон, ногоон зүрх
💙	зүрх, цэнхэр, цэнхэр зүрх
💜	зүрх, нил ягаан, нил ягаан зүрх
🤎	зүрх, хүрэн, хүрэн зүрх
🖤	зүрх, хар, хар зүрх
🤍	зүрх, цагаан, цагаан зүрх
💯	дээд, зуу, зуун оноо, оноо
💢	дүрслэл, уурлаж байгаа дүрслэл, уурлах
💥	зурагт ном, мөргөлдөөн, тэсрэлт
💫	од, төөрөгдүүлсэн, төөрөгдүүлэх
💦	дусал, хөлс, хөлсний дусал
💨	гүйж байгаа, эрч хүч, эрч хүчтэй
🕳️	нүх
💣️	бөмбөг, тэсрэх, тэсрэх бөмбөг
💬	төсөөлөл, шаар, яриа, ярианы хэсэг
👁‍🗨	гэрч, нүд, ярианы хөөс, ярианы хөөсөн доторх нүд
🗨️	зүүн, зүүн талын ярианы хэсэг, тал, хэсэг, яриа
🗯️	баруун, баруун талын ууртай ярианы хэсэг, бөмбөлөг, уурны хөөс, ууртай, уцаартай, хөөс
💭	бодож байгаа бөмбөлөг, бодох, бөмбөлөг
💤	төсөөлөл, унтаж байгаа, унтах
👋	алга, гар, мэндчилж байгаа гар, мэндчлэх, хуруу
👋🏻	алга, гар, мэндчилж байгаа гар, мэндчилж байгаа гар: цайвар, мэндчлэх, хуруу, цайвар
👋🏼	алга, бага зэргийн цайвар, гар, мэндчилж байгаа гар, мэндчилж байгаа гар: бага зэргийн цайвар, мэндчлэх, хуруу
👋🏽	алга, гар, дунд зэргийн, мэндчилж байгаа гар, мэндчилж байгаа гар: дунд зэргийн, мэндчлэх, хуруу
👋🏾	алга, бордуу, гар, мэндчилж байгаа гар, мэндчилж байгаа гар: бордуу, мэндчлэх, хуруу
👋🏿	алга, бор, гар, мэндчилж байгаа гар, мэндчилж байгаа гар: бор, мэндчлэх, хуруу
🤚	ар, гарын, өргөсөн, өргөсөн гарын ар
🤚🏻	ар, гарын, цайвар, өргөсөн, өргөсөн гарын ар: цайвар
🤚🏼	ар, бага зэргийн цайвар, гарын, өргөсөн, өргөсөн гарын ар: бага зэргийн цайвар
🤚🏽	ар, гарын, дунд зэргийн, өргөсөн, өргөсөн гарын ар: дунд зэргийн
🤚🏾	ар, бордуу, гарын, өргөсөн, өргөсөн гарын ар: бордуу
🤚🏿	ар, бор, гарын, өргөсөн, өргөсөн гарын ар: бор
🖐️	гар, салгах, хуруу, хуруунуудаа салгасан гар, хуруунуудаа салгасан гарын алга
🖐🏻	гар, салгах, хуруу, хуруунуудаа салгасан гар, хуруунуудаа салгасан гарын алга, хуруунуудаа салгасан гарын алга: цайвар, цайвар
🖐🏼	бага зэргийн цайвар, гар, салгах, хуруу, хуруунуудаа салгасан гар, хуруунуудаа салгасан гарын алга, хуруунуудаа салгасан гарын алга: бага зэргийн цайвар
🖐🏽	гар, дунд зэргийн, салгах, хуруу, хуруунуудаа салгасан гар, хуруунуудаа салгасан гарын алга, хуруунуудаа салгасан гарын алга: дунд зэргийн
🖐🏾	бордуу, гар, салгах, хуруу, хуруунуудаа салгасан гар, хуруунуудаа салгасан гарын алга, хуруунуудаа салгасан гарын алга: бордуу
🖐🏿	бор, гар, салгах, хуруу, хуруунуудаа салгасан гар, хуруунуудаа салгасан гарын алга, хуруунуудаа салгасан гарын алга: бор
✋	гар, өргөсөн гар, өргөх
✋🏻	гар, цайвар, өргөсөн гар, өргөсөн гар: цайвар, өргөх
✋🏼	бага зэргийн цайвар, гар, өргөсөн гар, өргөсөн гар: бага зэргийн цайвар, өргөх
✋🏽	гар, дунд зэргийн, өргөсөн гар, өргөсөн гар: дунд зэргийн, өргөх
✋🏾	бордуу, гар, өргөсөн гар, өргөсөн гар: бордуу, өргөх
✋🏿	бор, гар, өргөсөн гар, өргөсөн гар: бор, өргөх
🖖	вулкан, вулкан мэндчилгээ, гар, дохио зангаа, мэндчилгээ
🖖🏻	вулкан, вулкан мэндчилгээ: цайвар, гар, дохио зангаа, мэндчилгээ, цайвар
🖖🏼	бага зэргийн цайвар, вулкан, вулкан мэндчилгээ: бага зэргийн цайвар, гар, дохио зангаа, мэндчилгээ
🖖🏽	вулкан, вулкан мэндчилгээ: дунд зэргийн, гар, дохио зангаа, дунд зэргийн, мэндчилгээ
🖖🏾	бордуу, вулкан, вулкан мэндчилгээ: бордуу, гар, дохио зангаа, мэндчилгээ
🖖🏿	бор, вулкан, вулкан мэндчилгээ: бор, гар, дохио зангаа, мэндчилгээ
👌	гар, дохио зангаа, ок
👌🏻	гар, дохио зангаа, ок, ок: цайвар, цайвар
👌🏼	бага зэргийн цайвар, гар, дохио зангаа, ок, ок: бага зэргийн цайвар
👌🏽	гар, дохио зангаа, дунд зэргийн, ок, ок: дунд зэргийн
👌🏾	бордуу, гар, дохио зангаа, ок, ок: бордуу
👌🏿	бор, гар, дохио зангаа, ок, ок: бор
🤏	бага зэрэг, чимхэж буй гар
🤏🏻	бага зэрэг, цайвар, чимхэж буй гар, чимхэж буй гар: цайвар
🤏🏼	бага зэргийн цайвар, бага зэрэг, чимхэж буй гар, чимхэж буй гар: бага зэргийн цайвар
🤏🏽	бага зэрэг, дунд зэргийн, чимхэж буй гар, чимхэж буй гар: дунд зэргийн
🤏🏾	бага зэрэг, бордуу, чимхэж буй гар, чимхэж буй гар: бордуу
🤏🏿	бага зэрэг, бор, чимхэж буй гар, чимхэж буй гар: бор
✌️	v, амжилт, амжилт хүссэн гар, гар
✌🏻	v, амжилт, амжилт хүссэн гар, амжилт хүссэн гар: цайвар, гар, цайвар
✌🏼	v, амжилт, амжилт хүссэн гар, амжилт хүссэн гар: бага зэргийн цайвар, бага зэргийн цайвар, гар
✌🏽	v, амжилт, амжилт хүссэн гар, амжилт хүссэн гар: дунд зэргийн, гар, дунд зэргийн
✌🏾	v, амжилт, амжилт хүссэн гар, амжилт хүссэн гар: бордуу, бордуу, гар
✌🏿	v, амжилт, амжилт хүссэн гар, амжилт хүссэн гар: бор, бор, гар
🤞	солбисон, солбисон хуруу, хуруу
🤞🏻	солбисон, солбисон хуруу: цайвар, хуруу, цайвар
🤞🏼	бага зэргийн цайвар, солбисон, солбисон хуруу: бага зэргийн цайвар, хуруу
🤞🏽	дунд зэргийн, солбисон, солбисон хуруу: дунд зэргийн, хуруу
🤞🏾	бордуу, солбисон, солбисон хуруу: бордуу, хуруу
🤞🏿	бор, солбисон, солбисон хуруу: бор, хуруу
🤟	БЧХ, гар, хайртай гэсэн дохир
🤟🏻	БЧХ, гар, хайртай гэсэн дохир, хайртай гэсэн дохир: цайвар, цайвар
🤟🏼	БЧХ, бага зэргийн цайвар, гар, хайртай гэсэн дохир, хайртай гэсэн дохир: бага зэргийн цайвар
🤟🏽	БЧХ, гар, дунд зэргийн, хайртай гэсэн дохир, хайртай гэсэн дохир: дунд зэргийн
🤟🏾	БЧХ, бордуу, гар, хайртай гэсэн дохир, хайртай гэсэн дохир: бордуу
🤟🏿	БЧХ, бор, гар, хайртай гэсэн дохир, хайртай гэсэн дохир: бор
🤘	гар, рок, хуруу, эвэр, эвэрний тэмдэг
🤘🏻	гар, рок, хуруу, цайвар, эвэр, эвэрний тэмдэг, эвэрний тэмдэг: цайвар
🤘🏼	бага зэргийн цайвар, гар, рок, хуруу, эвэр, эвэрний тэмдэг, эвэрний тэмдэг: бага зэргийн цайвар
🤘🏽	гар, дунд зэргийн, рок, хуруу, эвэр, эвэрний тэмдэг, эвэрний тэмдэг: дунд зэргийн
🤘🏾	бордуу, гар, рок, хуруу, эвэр, эвэрний тэмдэг, эвэрний тэмдэг: бордуу
🤘🏿	бор, гар, рок, хуруу, эвэр, эвэрний тэмдэг, эвэрний тэмдэг: бор
🤙	дохио, залгаарай, залгаарай дохио
🤙🏻	дохио, залгаарай, залгаарай дохио: цайвар, цайвар
🤙🏼	бага зэргийн цайвар, дохио, залгаарай, залгаарай дохио: бага зэргийн цайвар
🤙🏽	дохио, дунд зэргийн, залгаарай, залгаарай дохио: дунд зэргийн
🤙🏾	бордуу, дохио, залгаарай, залгаарай дохио: бордуу
🤙🏿	бор, дохио, залгаарай, залгаарай дохио: бор
👈️	гар, гарын ар тал, долоовор хуруугаараа зүүн тийш зааж буй гар, зүүн зүг зааж байгаа, хуруу
👈🏻	гар, гарын ар тал, долоовор хуруугаараа зүүн тийш зааж буй гар, зүүн зүг зааж байгаа, зүүн зүг зааж байгаа: цайвар, хуруу, цайвар
👈🏼	бага зэргийн цайвар, гар, гарын ар тал, долоовор хуруугаараа зүүн тийш зааж буй гар, зүүн зүг зааж байгаа, зүүн зүг зааж байгаа: бага зэргийн цайвар, хуруу
👈🏽	гар, гарын ар тал, долоовор хуруугаараа зүүн тийш зааж буй гар, дунд зэргийн, зүүн зүг зааж байгаа, зүүн зүг зааж байгаа: дунд зэргийн, хуруу
👈🏾	бордуу, гар, гарын ар тал, долоовор хуруугаараа зүүн тийш зааж буй гар, зүүн зүг зааж байгаа, зүүн зүг зааж байгаа: бордуу, хуруу
👈🏿	бор, гар, гарын ар тал, долоовор хуруугаараа зүүн тийш зааж буй гар, зүүн зүг зааж байгаа, зүүн зүг зааж байгаа: бор, хуруу
👉️	баруун зүг зааж байгаа, баруун тийш зааж буй долоовор хуруу, гар, гарын ар тал, хуруу
👉🏻	баруун зүг зааж байгаа, баруун зүг зааж байгаа: цайвар, баруун тийш зааж буй долоовор хуруу, гар, гарын ар тал, хуруу, цайвар
👉🏼	бага зэргийн цайвар, баруун зүг зааж байгаа, баруун зүг зааж байгаа: бага зэргийн цайвар, баруун тийш зааж буй долоовор хуруу, гар, гарын ар тал, хуруу
👉🏽	баруун зүг зааж байгаа, баруун зүг зааж байгаа: дунд зэргийн, баруун тийш зааж буй долоовор хуруу, гар, гарын ар тал, дунд зэргийн, хуруу
👉🏾	баруун зүг зааж байгаа, баруун зүг зааж байгаа: бордуу, баруун тийш зааж буй долоовор хуруу, бордуу, гар, гарын ар тал, хуруу
👉🏿	баруун зүг зааж байгаа, баруун зүг зааж байгаа: бор, баруун тийш зааж буй долоовор хуруу, бор, гар, гарын ар тал, хуруу
👆️	гар, гарын ар тал, дээшээ зааж буй алганы ар тал, дээшээ зааж буй долоовор хуруу, хуруу
👆🏻	гар, гарын ар тал, дээшээ зааж буй алганы ар тал, дээшээ зааж буй алганы ар тал: цайвар, дээшээ зааж буй долоовор хуруу, хуруу, цайвар
👆🏼	бага зэргийн цайвар, гар, гарын ар тал, дээшээ зааж буй алганы ар тал, дээшээ зааж буй алганы ар тал: бага зэргийн цайвар, дээшээ зааж буй долоовор хуруу, хуруу
👆🏽	гар, гарын ар тал, дунд зэргийн, дээшээ зааж буй алганы ар тал, дээшээ зааж буй алганы ар тал: дунд зэргийн, дээшээ зааж буй долоовор хуруу, хуруу
👆🏾	бордуу, гар, гарын ар тал, дээшээ зааж буй алганы ар тал, дээшээ зааж буй алганы ар тал: бордуу, дээшээ зааж буй долоовор хуруу, хуруу
👆🏿	бор, гар, гарын ар тал, дээшээ зааж буй алганы ар тал, дээшээ зааж буй алганы ар тал: бор, дээшээ зааж буй долоовор хуруу, хуруу
🖕	алга, гар, дунд, дунд хуруу, хуруу
🖕🏻	алга, гар, дунд, дунд хуруу: цайвар, хуруу, цайвар
🖕🏼	алга, бага зэргийн цайвар, гар, дунд, дунд хуруу: бага зэргийн цайвар, хуруу
🖕🏽	алга, гар, дунд, дунд зэргийн, дунд хуруу: дунд зэргийн, хуруу
🖕🏾	алга, бордуу, гар, дунд, дунд хуруу: бордуу, хуруу
🖕🏿	алга, бор, гар, дунд, дунд хуруу: бор, хуруу
👇️	гар, гарын ар тал, доошоо, доошоо зааж буй алганы ард тал, доошоо зааж буй долоовор хуруу, хуруу
👇🏻	гар, гарын ар тал, доошоо, доошоо зааж буй алганы ард тал, доошоо зааж буй алганы ард тал: цайвар, доошоо зааж буй долоовор хуруу, хуруу, цайвар
👇🏼	бага зэргийн цайвар, гар, гарын ар тал, доошоо, доошоо зааж буй алганы ард тал, доошоо зааж буй алганы ард тал: бага зэргийн цайвар, доошоо зааж буй долоовор хуруу, хуруу
👇🏽	гар, гарын ар тал, доошоо, доошоо зааж буй алганы ард тал, доошоо зааж буй алганы ард тал: дунд зэргийн, доошоо зааж буй долоовор хуруу, дунд зэргийн, хуруу
👇🏾	бордуу, гар, гарын ар тал, доошоо, доошоо зааж буй алганы ард тал, доошоо зааж буй алганы ард тал: бордуу, доошоо зааж буй долоовор хуруу, хуруу
👇🏿	бор, гар, гарын ар тал, доошоо, доошоо зааж буй алганы ард тал, доошоо зааж буй алганы ард тал: бор, доошоо зааж буй долоовор хуруу, хуруу
☝️	гар, дээшээ, дээшээг зааж байгаа, заах, хуруу
☝🏻	гар, дээшээ, дээшээг зааж байгаа, дээшээг зааж байгаа: цайвар, заах, хуруу, цайвар
☝🏼	бага зэргийн цайвар, гар, дээшээ, дээшээг зааж байгаа, дээшээг зааж байгаа: бага зэргийн цайвар, заах, хуруу
☝🏽	гар, дунд зэргийн, дээшээ, дээшээг зааж байгаа, дээшээг зааж байгаа: дунд зэргийн, заах, хуруу
☝🏾	бордуу, гар, дээшээ, дээшээг зааж байгаа, дээшээг зааж байгаа: бордуу, заах, хуруу
☝🏿	бор, гар, дээшээ, дээшээг зааж байгаа, дээшээг зааж байгаа: бор, заах, хуруу
👍️	амжилттай, гар, сайн, таалагдсан, хуруу
👍🏻	амжилттай, гар, сайн, сайн: цайвар, таалагдсан, хуруу, цайвар
👍🏼	амжилттай, бага зэргийн цайвар, гар, сайн, сайн: бага зэргийн цайвар, таалагдсан, хуруу
👍🏽	амжилттай, гар, дунд зэргийн, сайн, сайн: дунд зэргийн, таалагдсан, хуруу
👍🏾	амжилттай, бордуу, гар, сайн, сайн: бордуу, таалагдсан, хуруу
👍🏿	амжилттай, бор, гар, сайн, сайн: бор, таалагдсан, хуруу
👎️	амжилтгүй, гар, муу, таалагдаагүй, хуруу
👎🏻	амжилтгүй, гар, муу, муу: цайвар, таалагдаагүй, хуруу, цайвар
👎🏼	амжилтгүй, бага зэргийн цайвар, гар, муу, муу: бага зэргийн цайвар, таалагдаагүй, хуруу
👎🏽	амжилтгүй, гар, дунд зэргийн, муу, муу: дунд зэргийн, таалагдаагүй, хуруу
👎🏾	амжилтгүй, бордуу, гар, муу, муу: бордуу, таалагдаагүй, хуруу
👎🏿	амжилтгүй, бор, гар, муу, муу: бор, таалагдаагүй, хуруу
✊	гар, зангидах, зангидсан гар
✊🏻	гар, зангидах, зангидсан гар, зангидсан гар: цайвар, цайвар
✊🏼	бага зэргийн цайвар, гар, зангидах, зангидсан гар, зангидсан гар: бага зэргийн цайвар
✊🏽	гар, дунд зэргийн, зангидах, зангидсан гар, зангидсан гар: дунд зэргийн
✊🏾	бордуу, гар, зангидах, зангидсан гар, зангидсан гар: бордуу
✊🏿	бор, гар, зангидах, зангидсан гар, зангидсан гар: бор
👊	гар, мэндчилгээ, цохилт
👊🏻	гар, мэндчилгээ, цайвар, цохилт, цохилт: цайвар
👊🏼	бага зэргийн цайвар, гар, мэндчилгээ, цохилт, цохилт: бага зэргийн цайвар
👊🏽	гар, дунд зэргийн, мэндчилгээ, цохилт, цохилт: дунд зэргийн
👊🏾	бордуу, гар, мэндчилгээ, цохилт, цохилт: бордуу
👊🏿	бор, гар, мэндчилгээ, цохилт, цохилт: бор
🤛	гар, зангидсан, зүүн, зүүн харсан зангидсан гар, харсан
🤛🏻	гар, зангидсан, зүүн, зүүн харсан зангидсан гар: цайвар, харсан, цайвар
🤛🏼	бага зэргийн цайвар, гар, зангидсан, зүүн, зүүн харсан зангидсан гар: бага зэргийн цайвар, харсан
🤛🏽	гар, дунд зэргийн, зангидсан, зүүн, зүүн харсан зангидсан гар: дунд зэргийн, харсан
🤛🏾	бордуу, гар, зангидсан, зүүн, зүүн харсан зангидсан гар: бордуу, харсан
🤛🏿	бор, гар, зангидсан, зүүн, зүүн харсан зангидсан гар: бор, харсан
🤜	баруун, баруун харсан зангидсан гар, гар, зангидсан, харсан
🤜🏻	баруун, баруун харсан зангидсан гар: цайвар, гар, зангидсан, харсан, цайвар
🤜🏼	бага зэргийн цайвар, баруун, баруун харсан зангидсан гар: бага зэргийн цайвар, гар, зангидсан, харсан
🤜🏽	баруун, баруун харсан зангидсан гар: дунд зэргийн, гар, дунд зэргийн, зангидсан, харсан
🤜🏾	баруун, баруун харсан зангидсан гар: бордуу, бордуу, гар, зангидсан, харсан
🤜🏿	баруун, баруун харсан зангидсан гар: бор, бор, гар, зангидсан, харсан
👏	алга, алга таших, гар, таших, хуруу
👏🏻	алга, алга таших: цайвар, гар, таших, хуруу, цайвар
👏🏼	алга, алга таших: бага зэргийн цайвар, бага зэргийн цайвар, гар, таших, хуруу
👏🏽	алга, алга таших: дунд зэргийн, гар, дунд зэргийн, таших, хуруу
👏🏾	алга, алга таших: бордуу, бордуу, гар, таших, хуруу
👏🏿	алга, алга таших: бор, бор, гар, таших, хуруу
🙌	гар, гараа өргөж байгаа хүн, хоёр гар, хүн, өргөх
🙌🏻	гар, гараа өргөж байгаа хүн, гараа өргөж байгаа хүн: цайвар, хоёр гар, хүн, цайвар, өргөх
🙌🏼	бага зэргийн цайвар, гар, гараа өргөж байгаа хүн, гараа өргөж байгаа хүн: бага зэргийн цайвар, хоёр гар, хүн, өргөх
🙌🏽	гар, гараа өргөж байгаа хүн, гараа өргөж байгаа хүн: дунд зэргийн, дунд зэргийн, хоёр гар, хүн, өргөх
🙌🏾	бордуу, гар, гараа өргөж байгаа хүн, гараа өргөж байгаа хүн: бордуу, хоёр гар, хүн, өргөх
🙌🏿	бор, гар, гараа өргөж байгаа хүн, гараа өргөж байгаа хүн: бор, хоёр гар, хүн, өргөх
👐	алга, гар, дэлгэсэн алга, дэлгээтэй, нээлттэй
👐🏻	алга, гар, дэлгэсэн алга, дэлгэсэн алга: цайвар, дэлгээтэй, нээлттэй, цайвар
👐🏼	алга, бага зэргийн цайвар, гар, дэлгэсэн алга, дэлгэсэн алга: бага зэргийн цайвар, дэлгээтэй, нээлттэй
👐🏽	алга, гар, дунд зэргийн, дэлгэсэн алга, дэлгэсэн алга: дунд зэргийн, дэлгээтэй, нээлттэй
👐🏾	алга, бордуу, гар, дэлгэсэн алга, дэлгэсэн алга: бордуу, дэлгээтэй, нээлттэй
👐🏿	алга, бор, гар, дэлгэсэн алга, дэлгэсэн алга: бор, дэлгээтэй, нээлттэй
🤲	алгаа хавсрах, мөргөлч
🤲🏻	алгаа хавсрах, алгаа хавсрах: цайвар, мөргөлч, цайвар
🤲🏼	алгаа хавсрах, алгаа хавсрах: бага зэргийн цайвар, бага зэргийн цайвар, мөргөлч
🤲🏽	алгаа хавсрах, алгаа хавсрах: дунд зэргийн, дунд зэргийн, мөргөлч
🤲🏾	алгаа хавсрах, алгаа хавсрах: бордуу, бордуу, мөргөлч
🤲🏿	алгаа хавсрах, алгаа хавсрах: бор, бор, мөргөлч
🤝	барилт, гар, гар барилт
🙏	алга, гар, хавсарсан гарын алга, хавсрах
🙏🏻	алга, гар, хавсарсан гарын алга, хавсарсан гарын алга: цайвар, хавсрах, цайвар
🙏🏼	алга, бага зэргийн цайвар, гар, хавсарсан гарын алга, хавсарсан гарын алга: бага зэргийн цайвар, хавсрах
