😀	guyu, rai, rai ngguyu
💆🏼	kulit putih langsep, pijet, rai, salon, wong dipijeti, wong dipijeti: kulit putih langsep
💆🏽	kulit kuning, pijet, rai, salon, wong dipijeti, wong dipijeti: kulit kuning
💆🏾	kulit sawo mateng, pijet, rai, salon, wong dipijeti, wong dipijeti: kulit sawo mateng
💆🏿	kulit ireng, pijet, rai, salon, wong dipijeti, wong dipijeti: kulit ireng
💆‍♂	lanang, pijet, rai, wong lanang dipijeti
💆🏻‍♂	kulit putih, lanang, pijet, rai, wong lanang dipijeti, wong lanang dipijeti: kulit putih
💆🏼‍♂	kulit putih langsep, lanang, pijet, rai, wong lanang dipijeti, wong lanang dipijeti: kulit putih langsep
💆🏽‍♂	kulit kuning, lanang, pijet, rai, wong lanang dipijeti, wong lanang dipijeti: kulit kuning
💆🏾‍♂	kulit sawo mateng, lanang, pijet, rai, wong lanang dipijeti, wong lanang dipijeti: kulit sawo mateng
💆🏿‍♂	kulit ireng, lanang, pijet, rai, wong lanang dipijeti, wong lanang dipijeti: kulit ireng
💆‍♀	pijet, rai, wadon, wong wadon dipijeti
💆🏻‍♀	kulit putih, pijet, rai, wadon, wong wadon dipijeti, wong wadon dipijeti: kulit putih
💆🏼‍♀	kulit putih langsep, pijet, rai, wadon, wong wadon dipijeti, wong wadon dipijeti: kulit putih langsep
💆🏽‍♀	kulit kuning, pijet, rai, wadon, wong wadon dipijeti, wong wadon dipijeti: kulit kuning
💆🏾‍♀	kulit sawo mateng, pijet, rai, wadon, wong wadon dipijeti, wong wadon dipijeti: kulit sawo mateng
💆🏿‍♀	kulit ireng, pijet, rai, wadon, wong wadon dipijeti, wong wadon dipijeti: kulit ireng
💇	kecantikan, salon, tukang cukur, wong lagi dikethok rambute
💇🏻	kecantikan, kulit putih, salon, tukang cukur, wong lagi dikethok rambute, wong lagi dikethok rambute: kulit putih
💇🏼	kecantikan, kulit putih langsep, salon, tukang cukur, wong lagi dikethok rambute, wong lagi dikethok rambute: kulit putih langsep
💇🏽	kecantikan, kulit kuning, salon, tukang cukur, wong lagi dikethok rambute, wong lagi dikethok rambute: kulit kuning
💇🏾	kecantikan, kulit sawo mateng, salon, tukang cukur, wong lagi dikethok rambute, wong lagi dikethok rambute: kulit sawo mateng
💇🏿	kecantikan, kulit ireng, salon, tukang cukur, wong lagi dikethok rambute, wong lagi dikethok rambute: kulit ireng
💇‍♂	cukur rambut, lanang, wong lanang lagi dikethok rambute
💇🏻‍♂	cukur rambut, kulit putih, lanang, wong lanang lagi dikethok rambute, wong lanang lagi dikethok rambute: kulit putih
💇🏼‍♂	cukur rambut, kulit putih langsep, lanang, wong lanang lagi dikethok rambute, wong lanang lagi dikethok rambute: kulit putih langsep
💇🏽‍♂	cukur rambut, kulit kuning, lanang, wong lanang lagi dikethok rambute, wong lanang lagi dikethok rambute: kulit kuning
💇🏾‍♂	cukur rambut, kulit sawo mateng, lanang, wong lanang lagi dikethok rambute, wong lanang lagi dikethok rambute: kulit sawo mateng
💇🏿‍♂	cukur rambut, kulit ireng, lanang, wong lanang lagi dikethok rambute, wong lanang lagi dikethok rambute: kulit ireng
💇‍♀	kethok rambut, wong wadon, wong wadon lagi dikethok rambute
💇🏻‍♀	kethok rambut, kulit putih, wong wadon, wong wadon lagi dikethok rambute, wong wadon lagi dikethok rambute: kulit putih
💇🏼‍♀	kethok rambut, kulit putih langsep, wong wadon, wong wadon lagi dikethok rambute, wong wadon lagi dikethok rambute: kulit putih langsep
💇🏽‍♀	kethok rambut, kulit kuning, wong wadon, wong wadon lagi dikethok rambute, wong wadon lagi dikethok rambute: kulit kuning
💇🏾‍♀	kethok rambut, kulit sawo mateng, wong wadon, wong wadon lagi dikethok rambute, wong wadon lagi dikethok rambute: kulit sawo mateng
💇🏿‍♀	kethok rambut, kulit ireng, wong wadon, wong wadon lagi dikethok rambute, wong wadon lagi dikethok rambute: kulit ireng
🚶	mlaku-mlaku, wong mlaku
🚶🏻	kulit putih, mlaku-mlaku, wong mlaku, wong mlaku: kulit putih
🚶🏼	kulit putih langsep, mlaku-mlaku, wong mlaku, wong mlaku: kulit putih langsep
🚶🏽	kulit kuning, mlaku-mlaku, wong mlaku, wong mlaku: kulit kuning
🚶🏾	kulit sawo mateng, mlaku-mlaku, wong mlaku, wong mlaku: kulit sawo mateng
🚶🏿	kulit ireng, mlaku-mlaku, wong mlaku, wong mlaku: kulit ireng
🚶‍♂	lanang, mlaku-mlaku, wong lanang mlaku, wong mlaku
🚶🏻‍♂	kulit putih, lanang, mlaku-mlaku, wong lanang mlaku, wong lanang mlaku: kulit putih, wong mlaku
🚶🏼‍♂	kulit putih langsep, lanang, mlaku-mlaku, wong lanang mlaku, wong lanang mlaku: kulit putih langsep, wong mlaku
🚶🏽‍♂	kulit kuning, lanang, mlaku-mlaku, wong lanang mlaku, wong lanang mlaku: kulit kuning, wong mlaku
🚶🏾‍♂	kulit sawo mateng, lanang, mlaku-mlaku, wong lanang mlaku, wong lanang mlaku: kulit sawo mateng, wong mlaku
🚶🏿‍♂	kulit ireng, lanang, mlaku-mlaku, wong lanang mlaku, wong lanang mlaku: kulit ireng, wong mlaku
🚶‍♀	mlaku-mlaku, wadon, wong mlaku, wong wadon mlaku
🚶🏻‍♀	kulit putih, mlaku-mlaku, wadon, wong mlaku, wong wadon mlaku, wong wadon mlaku: kulit putih
🚶🏼‍♀	kulit putih langsep, mlaku-mlaku, wadon, wong mlaku, wong wadon mlaku, wong wadon mlaku: kulit putih langsep
🚶🏽‍♀	kulit kuning, mlaku-mlaku, wadon, wong mlaku, wong wadon mlaku, wong wadon mlaku: kulit kuning
🚶🏾‍♀	kulit sawo mateng, mlaku-mlaku, wadon, wong mlaku, wong wadon mlaku, wong wadon mlaku: kulit sawo mateng
🚶🏿‍♀	kulit ireng, mlaku-mlaku, wadon, wong mlaku, wong wadon mlaku, wong wadon mlaku: kulit ireng
🧍	adeg, ngadeg, wong ngadeg
🧍🏻	adeg, kulit putih, ngadeg, wong ngadeg, wong ngadeg: kulit putih
🧍🏼	adeg, kulit putih langsep, ngadeg, wong ngadeg, wong ngadeg: kulit putih langsep
🧍🏽	adeg, kulit kuning, ngadeg, wong ngadeg, wong ngadeg: kulit kuning
🧍🏾	adeg, kulit sawo mateng, ngadeg, wong ngadeg, wong ngadeg: kulit sawo mateng
🧍🏿	adeg, kulit ireng, ngadeg, wong ngadeg, wong ngadeg: kulit ireng
🧍‍♂	lanang, ngadeg, wong lanang ngadeg
🧍🏻‍♂	kulit putih, lanang, ngadeg, wong lanang ngadeg, wong lanang ngadeg: kulit putih
🧍🏼‍♂	kulit putih langsep, lanang, ngadeg, wong lanang ngadeg, wong lanang ngadeg: kulit putih langsep
🧍🏽‍♂	kulit kuning, lanang, ngadeg, wong lanang ngadeg, wong lanang ngadeg: kulit kuning
🧍🏾‍♂	kulit sawo mateng, lanang, ngadeg, wong lanang ngadeg, wong lanang ngadeg: kulit sawo mateng
🧍🏿‍♂	kulit ireng, lanang, ngadeg, wong lanang ngadeg, wong lanang ngadeg: kulit ireng
🧍‍♀	ngadeg, wadon, wong wadon ngadeg
🧍🏻‍♀	kulit putih, ngadeg, wadon, wong wadon ngadeg, wong wadon ngadeg: kulit putih
🧍🏼‍♀	kulit putih langsep, ngadeg, wadon, wong wadon ngadeg, wong wadon ngadeg: kulit putih langsep
🧍🏽‍♀	kulit kuning, ngadeg, wadon, wong wadon ngadeg, wong wadon ngadeg: kulit kuning
🧍🏾‍♀	kulit sawo mateng, ngadeg, wadon, wong wadon ngadeg, wong wadon ngadeg: kulit sawo mateng
🧍🏿‍♀	kulit ireng, ngadeg, wadon, wong wadon ngadeg, wong wadon ngadeg: kulit ireng
🧎	timpuh, wong timpuh
🧎🏻	kulit putih, timpuh, wong timpuh, wong timpuh: kulit putih
🧎🏼	kulit putih langsep, timpuh, wong timpuh, wong timpuh: kulit putih langsep
🧎🏽	kulit kuning, timpuh, wong timpuh, wong timpuh: kulit kuning
🧎🏾	kulit sawo mateng, timpuh, wong timpuh, wong timpuh: kulit sawo mateng
🧎🏿	kulit ireng, timpuh, wong timpuh, wong timpuh: kulit ireng
🧎‍♂	lanang, timpuh, wong lanang timpuh
🧎🏻‍♂	kulit putih, lanang, timpuh, wong lanang timpuh, wong lanang timpuh: kulit putih
🧎🏼‍♂	kulit putih langsep, lanang, timpuh, wong lanang timpuh, wong lanang timpuh: kulit putih langsep
🧎🏽‍♂	kulit kuning, lanang, timpuh, wong lanang timpuh, wong lanang timpuh: kulit kuning
🧎🏾‍♂	kulit sawo mateng, lanang, timpuh, wong lanang timpuh, wong lanang timpuh: kulit sawo mateng
🧎🏿‍♂	kulit ireng, lanang, timpuh, wong lanang timpuh, wong lanang timpuh: kulit ireng
🧎‍♀	timpuh, wadon, wong wadon timpuh
🧎🏻‍♀	kulit putih, timpuh, wadon, wong wadon timpuh, wong wadon timpuh: kulit putih
🧎🏼‍♀	kulit putih langsep, timpuh, wadon, wong wadon timpuh, wong wadon timpuh: kulit putih langsep
🧎🏽‍♀	kulit kuning, timpuh, wadon, wong wadon timpuh, wong wadon timpuh: kulit kuning
🧎🏾‍♀	kulit sawo mateng, timpuh, wadon, wong wadon timpuh, wong wadon timpuh: kulit sawo mateng
🧎🏿‍♀	kulit ireng, timpuh, wadon, wong wadon timpuh, wong wadon timpuh: kulit ireng
👨‍🦯	kalancaran, lanang, wong lanang nyekeli teken, wuta
👨🏻‍🦯	kalancaran, kulit putih, lanang, wong lanang nyekeli teken, wong lanang nyekeli teken: kulit putih, wuta
👨🏼‍🦯	kalancaran, kulit putih langsep, lanang, wong lanang nyekeli teken, wong lanang nyekeli teken: kulit putih langsep, wuta
👨🏽‍🦯	kalancaran, kulit kuning, lanang, wong lanang nyekeli teken, wong lanang nyekeli teken: kulit kuning, wuta
👨🏾‍🦯	kalancaran, kulit sawo mateng, lanang, wong lanang nyekeli teken, wong lanang nyekeli teken: kulit sawo mateng, wuta
👨🏿‍🦯	kalancaran, kulit ireng, lanang, wong lanang nyekeli teken, wong lanang nyekeli teken: kulit ireng, wuta
👩‍🦯	kalancaran, wadon, wong wadon nyekeli teken, wuta
👩🏻‍🦯	kalancaran, kulit putih, wadon, wong wadon nyekeli teken, wong wadon nyekeli teken: kulit putih, wuta
👩🏼‍🦯	kalancaran, kulit putih langsep, wadon, wong wadon nyekeli teken, wong wadon nyekeli teken: kulit putih langsep, wuta
👩🏽‍🦯	kalancaran, kulit kuning, wadon, wong wadon nyekeli teken, wong wadon nyekeli teken: kulit kuning, wuta
👩🏾‍🦯	kalancaran, kulit sawo mateng, wadon, wong wadon nyekeli teken, wong wadon nyekeli teken: kulit sawo mateng, wuta
👩🏿‍🦯	kalancaran, kulit ireng, wadon, wong wadon nyekeli teken, wong wadon nyekeli teken: kulit ireng, wuta
👨‍🦼	kalancaran, kursi rodha, lanang, wong lanang numpak kursi rodha mesin
👨🏻‍🦼	kalancaran, kulit putih, kursi rodha, lanang, wong lanang numpak kursi rodha mesin, wong lanang numpak kursi rodha mesin: kulit putih
👨🏼‍🦼	kalancaran, kulit putih langsep, kursi rodha, lanang, wong lanang numpak kursi rodha mesin, wong lanang numpak kursi rodha mesin: kulit putih langsep
👨🏽‍🦼	kalancaran, kulit kuning, kursi rodha, lanang, wong lanang numpak kursi rodha mesin, wong lanang numpak kursi rodha mesin: kulit kuning
👨🏾‍🦼	kalancaran, kulit sawo mateng, kursi rodha, lanang, wong lanang numpak kursi rodha mesin, wong lanang numpak kursi rodha mesin: kulit sawo mateng
👨🏿‍🦼	kalancaran, kulit ireng, kursi rodha, lanang, wong lanang numpak kursi rodha mesin, wong lanang numpak kursi rodha mesin: kulit ireng
👩‍🦼	kalancaran, kursi rodha, wadon, wong wadon numpak kursi rodha mesin
👩🏻‍🦼	kalancaran, kulit putih, kursi rodha, wadon, wong wadon numpak kursi rodha mesin, wong wadon numpak kursi rodha mesin: kulit putih
👩🏼‍🦼	kalancaran, kulit putih langsep, kursi rodha, wadon, wong wadon numpak kursi rodha mesin, wong wadon numpak kursi rodha mesin: kulit putih langsep
👩🏽‍🦼	kalancaran, kulit kuning, kursi rodha, wadon, wong wadon numpak kursi rodha mesin, wong wadon numpak kursi rodha mesin: kulit kuning
👩🏾‍🦼	kalancaran, kulit sawo mateng, kursi rodha, wadon, wong wadon numpak kursi rodha mesin, wong wadon numpak kursi rodha mesin: kulit sawo mateng
👩🏿‍🦼	kalancaran, kulit ireng, kursi rodha, wadon, wong wadon numpak kursi rodha mesin, wong wadon numpak kursi rodha mesin: kulit ireng
👨‍🦽	kalancaran, kursi rodha, lanang, wong lanang numpak kursi rodha manual
👨🏻‍🦽	kalancaran, kulit putih, kursi rodha, lanang, wong lanang numpak kursi rodha manual, wong lanang numpak kursi rodha manual: kulit putih
👨🏼‍🦽	kalancaran, kulit putih langsep, kursi rodha, lanang, wong lanang numpak kursi rodha manual, wong lanang numpak kursi rodha manual: kulit putih langsep
👨🏽‍🦽	kalancaran, kulit kuning, kursi rodha, lanang, wong lanang numpak kursi rodha manual, wong lanang numpak kursi rodha manual: kulit kuning
👨🏾‍🦽	kalancaran, kulit sawo mateng, kursi rodha, lanang, wong lanang numpak kursi rodha manual, wong lanang numpak kursi rodha manual: kulit sawo mateng
👨🏿‍🦽	kalancaran, kulit ireng, kursi rodha, lanang, wong lanang numpak kursi rodha manual, wong lanang numpak kursi rodha manual: kulit ireng
👩‍🦽	kalancaran, kursi rodha, wadon, wong wadon numpak kursi rodha manual
👩🏻‍🦽	kalancaran, kulit putih, kursi rodha, wadon, wong wadon numpak kursi rodha manual, wong wadon numpak kursi rodha manual: kulit putih
👩🏼‍🦽	kalancaran, kulit putih langsep, kursi rodha, wadon, wong wadon numpak kursi rodha manual, wong wadon numpak kursi rodha manual: kulit putih langsep
👩🏽‍🦽	kalancaran, kulit kuning, kursi rodha, wadon, wong wadon numpak kursi rodha manual, wong wadon numpak kursi rodha manual: kulit kuning
👩🏾‍🦽	kalancaran, kulit sawo mateng, kursi rodha, wadon, wong wadon numpak kursi rodha manual, wong wadon numpak kursi rodha manual: kulit sawo mateng
👩🏿‍🦽	kalancaran, kulit ireng, kursi rodha, wadon, wong wadon numpak kursi rodha manual, wong wadon numpak kursi rodha manual: kulit ireng
🏃	maraton, mlayu, wong mlayu
🏃🏻	kulit putih, maraton, mlayu, wong mlayu, wong mlayu: kulit putih
🏃🏼	kulit putih langsep, maraton, mlayu, wong mlayu, wong mlayu: kulit putih langsep
🏃🏽	kulit kuning, maraton, mlayu, wong mlayu, wong mlayu: kulit kuning
🏃🏾	kulit sawo mateng, maraton, mlayu, wong mlayu, wong mlayu: kulit sawo mateng
🏃🏿	kulit ireng, maraton, mlayu, wong mlayu, wong mlayu: kulit ireng
🏃‍♂	balapan, lanang, maraton, mlayu, wong lanang mlayu
🏃🏻‍♂	balapan, kulit putih, lanang, maraton, mlayu, wong lanang mlayu, wong lanang mlayu: kulit putih
🏃🏼‍♂	balapan, kulit putih langsep, lanang, maraton, mlayu, wong lanang mlayu, wong lanang mlayu: kulit putih langsep
🏃🏽‍♂	balapan, kulit kuning, lanang, maraton, mlayu, wong lanang mlayu, wong lanang mlayu: kulit kuning
🏃🏾‍♂	balapan, kulit sawo mateng, lanang, maraton, mlayu, wong lanang mlayu, wong lanang mlayu: kulit sawo mateng
🏃🏿‍♂	balapan, kulit ireng, lanang, maraton, mlayu, wong lanang mlayu, wong lanang mlayu: kulit ireng
🏃‍♀	balapan, maraton, mlayu, wadon, wong wadon mlayu
🏃🏻‍♀	balapan, kulit putih, maraton, mlayu, wadon, wong wadon mlayu, wong wadon mlayu: kulit putih
🏃🏼‍♀	balapan, kulit putih langsep, maraton, mlayu, wadon, wong wadon mlayu, wong wadon mlayu: kulit putih langsep
🏃🏽‍♀	balapan, kulit kuning, maraton, mlayu, wadon, wong wadon mlayu, wong wadon mlayu: kulit kuning
🏃🏾‍♀	balapan, kulit sawo mateng, maraton, mlayu, wadon, wong wadon mlayu, wong wadon mlayu: kulit sawo mateng
🏃🏿‍♀	balapan, kulit ireng, maraton, mlayu, wadon, wong wadon mlayu, wong wadon mlayu: kulit ireng
💃	njoget, wadon, wong wadon njoget
💃🏻	kulit putih, njoget, wadon, wong wadon njoget, wong wadon njoget: kulit putih
💃🏼	kulit putih langsep, njoget, wadon, wong wadon njoget, wong wadon njoget: kulit putih langsep
💃🏽	kulit kuning, njoget, wadon, wong wadon njoget, wong wadon njoget: kulit kuning
💃🏾	kulit sawo mateng, njoget, wadon, wong wadon njoget, wong wadon njoget: kulit sawo mateng
💃🏿	kulit ireng, njoget, wadon, wong wadon njoget, wong wadon njoget: kulit ireng
🕺	lanang, njoget, wong lanang njoget
🕺🏻	kulit putih, lanang, njoget, wong lanang njoget, wong lanang njoget: kulit putih
🕺🏼	kulit putih langsep, lanang, njoget, wong lanang njoget, wong lanang njoget: kulit putih langsep
🕺🏽	kulit kuning, lanang, njoget, wong lanang njoget, wong lanang njoget: kulit kuning
🕺🏾	kulit sawo mateng, lanang, njoget, wong lanang njoget, wong lanang njoget: kulit sawo mateng
🕺🏿	kulit ireng, lanang, njoget, wong lanang njoget, wong lanang njoget: kulit ireng
🕴️	bisnis, jas, lanang, wong lanang jas-jasan ora napak
🕴🏻	bisnis, jas, kulit putih, lanang, wong lanang jas-jasan ora napak, wong lanang jas-jasan ora napak: kulit putih
🕴🏼	bisnis, jas, kulit putih langsep, lanang, wong lanang jas-jasan ora napak, wong lanang jas-jasan ora napak: kulit putih langsep
🕴🏽	bisnis, jas, kulit kuning, lanang, wong lanang jas-jasan ora napak, wong lanang jas-jasan ora napak: kulit kuning
🕴🏾	bisnis, jas, kulit sawo mateng, lanang, wong lanang jas-jasan ora napak, wong lanang jas-jasan ora napak: kulit sawo mateng
🕴🏿	bisnis, jas, kulit ireng, lanang, wong lanang jas-jasan ora napak, wong lanang jas-jasan ora napak: kulit ireng
👯	kuping terwelu, penari, pista, wong nganggo kuping terwelu
👯‍♂	kuping terwelu, lanang, penari, pista, wong lanang nganggo kuping terwelu
👯‍♀	kuping terwelu, penari, pista, wadon, wong wadon nganggo kuping terwelu
🧖	kamar uwab, sauna, wong ing kamar kebak sumub
🧖🏻	kamar uwab, kulit putih, sauna, wong ing kamar kebak sumub, wong ing kamar kebak sumub: kulit putih
🧖🏼	kamar uwab, kulit putih langsep, sauna, wong ing kamar kebak sumub, wong ing kamar kebak sumub: kulit putih langsep
🧖🏽	kamar uwab, kulit kuning, sauna, wong ing kamar kebak sumub, wong ing kamar kebak sumub: kulit kuning
🧖🏾	kamar uwab, kulit sawo mateng, sauna, wong ing kamar kebak sumub, wong ing kamar kebak sumub: kulit sawo mateng
🧖🏿	kamar uwab, kulit ireng, sauna, wong ing kamar kebak sumub, wong ing kamar kebak sumub: kulit ireng
🧖‍♂	kamar uwab, sauna, wong lanang ing kamar kebak sumub
🧖🏻‍♂	kamar uwab, kulit putih, sauna, wong lanang ing kamar kebak sumub, wong lanang ing kamar kebak sumub: kulit putih
🧖🏼‍♂	kamar uwab, kulit putih langsep, sauna, wong lanang ing kamar kebak sumub, wong lanang ing kamar kebak sumub: kulit putih langsep
🧖🏽‍♂	kamar uwab, kulit kuning, sauna, wong lanang ing kamar kebak sumub, wong lanang ing kamar kebak sumub: kulit kuning
🧖🏾‍♂	kamar uwab, kulit sawo mateng, sauna, wong lanang ing kamar kebak sumub, wong lanang ing kamar kebak sumub: kulit sawo mateng
🧖🏿‍♂	kamar uwab, kulit ireng, sauna, wong lanang ing kamar kebak sumub, wong lanang ing kamar kebak sumub: kulit ireng
🧖‍♀	kamar uwab, sauna, wong wadon ing kamar kebak sumub
🧖🏻‍♀	kamar uwab, kulit putih, sauna, wong wadon ing kamar kebak sumub, wong wadon ing kamar kebak sumub: kulit putih
🧖🏼‍♀	kamar uwab, kulit putih langsep, sauna, wong wadon ing kamar kebak sumub, wong wadon ing kamar kebak sumub: kulit putih langsep
🧖🏽‍♀	kamar uwab, kulit kuning, sauna, wong wadon ing kamar kebak sumub, wong wadon ing kamar kebak sumub: kulit kuning
🧖🏾‍♀	kamar uwab, kulit sawo mateng, sauna, wong wadon ing kamar kebak sumub, wong wadon ing kamar kebak sumub: kulit sawo mateng
🧖🏿‍♀	kamar uwab, kulit ireng, sauna, wong wadon ing kamar kebak sumub, wong wadon ing kamar kebak sumub: kulit ireng
🧗	pamanjad, wong manjad
🧗🏻	kulit putih, pamanjad, wong manjad, wong manjad: kulit putih
🧗🏼	kulit putih langsep, pamanjad, wong manjad, wong manjad: kulit putih langsep
🧗🏽	kulit kuning, pamanjad, wong manjad, wong manjad: kulit kuning
🧗🏾	kulit sawo mateng, pamanjad, wong manjad, wong manjad: kulit sawo mateng
🧗🏿	kulit ireng, pamanjad, wong manjad, wong manjad: kulit ireng
🧗‍♂	pamanjad, wong lanang manjad
🧗🏻‍♂	kulit putih, pamanjad, wong lanang manjad, wong lanang manjad: kulit putih
🧗🏼‍♂	kulit putih langsep, pamanjad, wong lanang manjad, wong lanang manjad: kulit putih langsep
🧗🏽‍♂	kulit kuning, pamanjad, wong lanang manjad, wong lanang manjad: kulit kuning
🧗🏾‍♂	kulit sawo mateng, pamanjad, wong lanang manjad, wong lanang manjad: kulit sawo mateng
🧗🏿‍♂	kulit ireng, pamanjad, wong lanang manjad, wong lanang manjad: kulit ireng
🧗‍♀	pamanjad, wong wadon manjad
🧗🏻‍♀	kulit putih, pamanjad, wong wadon manjad, wong wadon manjad: kulit putih
🧗🏼‍♀	kulit putih langsep, pamanjad, wong wadon manjad, wong wadon manjad: kulit putih langsep
🧗🏽‍♀	kulit kuning, pamanjad, wong wadon manjad, wong wadon manjad: kulit kuning
🧗🏾‍♀	kulit sawo mateng, pamanjad, wong wadon manjad, wong wadon manjad: kulit sawo mateng
🧗🏿‍♀	kulit ireng, pamanjad, wong wadon manjad, wong wadon manjad: kulit ireng
🤺	anggar, atlit anggar, pedhang, wong main anggar
🏇	balapan, balapan jaran, jaran, jaran balap, joki
🏇🏻	balapan, balapan jaran: kulit putih, jaran, jaran balap, joki, kulit putih
🏇🏼	balapan, balapan jaran: kulit putih langsep, jaran, jaran balap, joki, kulit putih langsep
🏇🏽	balapan, balapan jaran: kulit kuning, jaran, jaran balap, joki, kulit kuning
🏇🏾	balapan, balapan jaran: kulit sawo mateng, jaran, jaran balap, joki, kulit sawo mateng
🏇🏿	balapan, balapan jaran: kulit ireng, jaran, jaran balap, joki, kulit ireng
⛷️	pemain ski, salju, ski
🏂️	papan slancar salju, pemain slancar salju, salju, ski
🏂🏻	kulit putih, papan slancar salju, pemain slancar salju, pemain slancar salju: kulit putih, salju, ski
🏂🏼	kulit putih langsep, papan slancar salju, pemain slancar salju, pemain slancar salju: kulit putih langsep, salju, ski
🏂🏽	kulit kuning, papan slancar salju, pemain slancar salju, pemain slancar salju: kulit kuning, salju, ski
🏂🏾	kulit sawo mateng, papan slancar salju, pemain slancar salju, pemain slancar salju: kulit sawo mateng, salju, ski
🏂🏿	kulit ireng, papan slancar salju, pemain slancar salju, pemain slancar salju: kulit ireng, salju, ski
🏌️	bal, golf, wong main golf
🏌🏻	bal, golf, kulit putih, wong main golf, wong main golf: kulit putih
🏌🏼	bal, golf, kulit putih langsep, wong main golf, wong main golf: kulit putih langsep
🏌🏽	bal, golf, kulit kuning, wong main golf, wong main golf: kulit kuning
🏌🏾	bal, golf, kulit sawo mateng, wong main golf, wong main golf: kulit sawo mateng
🏌🏿	bal, golf, kulit ireng, wong main golf, wong main golf: kulit ireng
🏌‍♂	golf, lanang, wong lanang main golf
🏌🏻‍♂	golf, kulit putih, lanang, wong lanang main golf, wong lanang main golf: kulit putih
🏌🏼‍♂	golf, kulit putih langsep, lanang, wong lanang main golf, wong lanang main golf: kulit putih langsep
🏌🏽‍♂	golf, kulit kuning, lanang, wong lanang main golf, wong lanang main golf: kulit kuning
🏌🏾‍♂	golf, kulit sawo mateng, lanang, wong lanang main golf, wong lanang main golf: kulit sawo mateng
🏌🏿‍♂	golf, kulit ireng, lanang, wong lanang main golf, wong lanang main golf: kulit ireng
🏌‍♀	golf, wadon, wong wadon main golf
🏌🏻‍♀	golf, kulit putih, wadon, wong wadon main golf, wong wadon main golf: kulit putih
🏌🏼‍♀	golf, kulit putih langsep, wadon, wong wadon main golf, wong wadon main golf: kulit putih langsep
🏌🏽‍♀	golf, kulit kuning, wadon, wong wadon main golf, wong wadon main golf: kulit kuning
🏌🏾‍♀	golf, kulit sawo mateng, wadon, wong wadon main golf, wong wadon main golf: kulit sawo mateng
🏌🏿‍♀	golf, kulit ireng, wadon, wong wadon main golf, wong wadon main golf: kulit ireng
🏄️	slancar, wong slancar
🏄🏻	kulit putih, slancar, wong slancar, wong slancar: kulit putih
🏄🏼	kulit putih langsep, slancar, wong slancar, wong slancar: kulit putih langsep
🏄🏽	kulit kuning, slancar, wong slancar, wong slancar: kulit kuning
🏄🏾	kulit sawo mateng, slancar, wong slancar, wong slancar: kulit sawo mateng
🏄🏿	kulit ireng, slancar, wong slancar, wong slancar: kulit ireng
🏄‍♂	lanang, slancar, wong lanang slancar
🏄🏻‍♂	kulit putih, lanang, slancar, wong lanang slancar, wong lanang slancar: kulit putih
🏄🏼‍♂	kulit putih langsep, lanang, slancar, wong lanang slancar, wong lanang slancar: kulit putih langsep
🏄🏽‍♂	kulit kuning, lanang, slancar, wong lanang slancar, wong lanang slancar: kulit kuning
🏄🏾‍♂	kulit sawo mateng, lanang, slancar, wong lanang slancar, wong lanang slancar: kulit sawo mateng
🏄🏿‍♂	kulit ireng, lanang, slancar, wong lanang slancar, wong lanang slancar: kulit ireng
🏄‍♀	slancar, wadon, wong wadon slancar
🏄🏻‍♀	kulit putih, slancar, wadon, wong wadon slancar, wong wadon slancar: kulit putih
🏄🏼‍♀	kulit putih langsep, slancar, wadon, wong wadon slancar, wong wadon slancar: kulit putih langsep
🏄🏽‍♀	kulit kuning, slancar, wadon, wong wadon slancar, wong wadon slancar: kulit kuning
🏄🏾‍♀	kulit sawo mateng, slancar, wadon, wong wadon slancar, wong wadon slancar: kulit sawo mateng
🏄🏿‍♀	kulit ireng, slancar, wadon, wong wadon slancar, wong wadon slancar: kulit ireng
🚣	prau, prau dhayung, wong ndhayung
🚣🏻	kulit putih, prau, prau dhayung, wong ndhayung, wong ndhayung: kulit putih
🚣🏼	kulit putih langsep, prau, prau dhayung, wong ndhayung, wong ndhayung: kulit putih langsep
🚣🏽	kulit kuning, prau, prau dhayung, wong ndhayung, wong ndhayung: kulit kuning
🚣🏾	kulit sawo mateng, prau, prau dhayung, wong ndhayung, wong ndhayung: kulit sawo mateng
🚣🏿	kulit ireng, prau, prau dhayung, wong ndhayung, wong ndhayung: kulit ireng
🚣‍♂	lanang, prau, prau dhayung, wong lanang ndhayung
🚣🏻‍♂	kulit putih, lanang, prau, prau dhayung, wong lanang ndhayung, wong lanang ndhayung: kulit putih
🚣🏼‍♂	kulit putih langsep, lanang, prau, prau dhayung, wong lanang ndhayung, wong lanang ndhayung: kulit putih langsep
🚣🏽‍♂	kulit kuning, lanang, prau, prau dhayung, wong lanang ndhayung, wong lanang ndhayung: kulit kuning
🚣🏾‍♂	kulit sawo mateng, lanang, prau, prau dhayung, wong lanang ndhayung, wong lanang ndhayung: kulit sawo mateng
🚣🏿‍♂	kulit ireng, lanang, prau, prau dhayung, wong lanang ndhayung, wong lanang ndhayung: kulit ireng
🚣‍♀	prau, prau dhayung, wadon, wong wadon ndhayung
🚣🏻‍♀	kulit putih, prau, prau dhayung, wadon, wong wadon ndhayung, wong wadon ndhayung: kulit putih
🚣🏼‍♀	kulit putih langsep, prau, prau dhayung, wadon, wong wadon ndhayung, wong wadon ndhayung: kulit putih langsep
