😀	dareenka wajiga, gariir, wajiga
☠️	dhimasho, iskutallabta, laf madaxa, laf madaxa iyo iskutallabta, shayddaan, waji
💩	dhabcaan, raso saxaro ah, riix, saxaro, shayddaan, waji
🤡	shactiro, waji, waji qosol leh
👹	dad cun, khayaali, noole, shayddaan, sheeko been, waji
👺	khayaali, noole, noole foolxun, shayddaan, sheeko been, waji
👻	khayaali, noole, reer-aakhiraad, shayddaan, sheeko been, waji
👽️	dahsoon, ka baxsan, khayaali, noole, shisheeye, waji
👾	dahsoon, ka baxsan, noole, shayddaan, shayddaan shisheeye ah, shisheeye, waji
🤖	mashiin, shaddaan, waji
😺	af, bisad, bisad ba’an, dhoolo cadeyn, fur, gariir, waji
😸	bisad, bisad gariireyso indha dhoolo cadeyneysa, dhoolo cadeyn, gariir, il, waji
😹	bisad, bisad illin faraxded leh, face, farxad, jeexid
😻	bisad, bisad dhoolo cadeyneysa qalbi leh, dhoolo cadeyn, il, jaceyl, wadno, waji
😼	bisad, bisad kaftan dhoolo cadeyn leh, dhoolo cadeyn, kaftan, kajan, waji
😽	bisad, bisad shuminayso, il, shumis, waji
🙀	baqdin, bisad, bisad baqdin leh, la yaab, waji
😿	bisad, bisad ooyneeysa, ilin, murugo, oohin, waji
😾	bisad, bisad xanaaqsan, waji, xanaaqsan
🙈	aan arkeyn daanyeer xun, aan-arkeyn-daanyeer xun, aragti, daanyeer, la mamnucay, waji, xumaan
🙉	aan-maqaleyn-daanyeer xun, aan-maqleynin-daanyeer xun, la mamnuucay, maqal, waji, xumaan
🙊	aan la hadleynin daanyeer xun, aan-la-hadleynin daanyeer xun, daanyeer, hadal, la mamnuucay, waji, xumaan
💋	bishimo, calaamadda dhunkashada, dhunkasho
💌	boosto, jaceyl, wadno, warqad, warqad jaceyl
💘	calaamad qof qaawan, fallaar, wadno leh fallaar
💝	maalinta Valentine, wadno lagu xiray maro, wadno mara lagu xiray, xabo
💖	dhalaal, farxad, wadno dhalaalaayo
💗	farxad, garaaca wadnaha, kobcis, naxsan, wadno kobcayo, wadno kubcayo
💓	garaacis, jahwareer, wadno garaac, wadno garaacaayo
💞	wadno warwareegaayo, wareeg
💕	jaceyl, laba wadno, labo wadno
💟	qurxinta wadnaha, wadno
❣️	amkaag, astaameyn, calaamad, calaamad ujeedka wadnaha, claamad ujeedka wadnaha
💔	jabay, jabis, wadno jaban
❤️	wadno, wadno cas
🧡	oranji, wadno oranji ah
💛	jaalle, wadno jaalle ah
💚	cagaar, wadno cagaaran
💙	buluug, wadno buluug ah
💜	buluug-guduud, wadno midab buluug-guuud ah, wadno midab-buluug-guddud ah
🤎	bunni, wadne, wadne bunni ah
🖤	madoow, wadno madoow, xumaan, xun
🤍	cad, wadne, wadne cad (cabsi og)
💯	boqol, boqol dhibco, boqol dhico, buuxo, dhibcaha
💢	calaadda xanaaqa, calaamadda xanaaqa, majaajileeye, xanaaq
💥	calaamadda qaraxa, isku dhac, isku dhicis, majaajilleeye
💫	majaajileeye, wareer, xiddig
💦	dhibco dhidid, dhibco dhidid ah, dhidid, majaajileeye, sayrin
💨	majaajileeye, ordaayo, tagaayo, tagid
🕳️	god
💣️	bam, majaajileeye
💬	balluun, balluun hadal, hadal, majaajileeye, wada hadal, xumbo
👁‍🗨	il, il xumbo hadal ku leh, marqaati, xumbo hadal
🗨️	wada hadal, xumbo hadal bidix
🗯️	baaluun, waali, xanaaq, xanaaqa xumbo midig, xumbo
💭	baalluunta fakarka, baaxumbo, fakarka, lbaaluun, majaajileeye
💤	hurdo, majaajileeye, zzz calaamadda hurdada, zzz- calaamadda hurdada
👋	gacan, gacan haadin, haadi, haadinayaa
👋🏻	gacan, gacan haadin, gacan haadin: jidh fudud, haadi, haadinayaa, jidh fudud
👋🏼	gacan, gacan haadin, gacan haadin: jidh fudud oo dhexe, haadi, haadinayaa, jidh fudud oo dhexe
👋🏽	gacan, gacan haadin, gacan haadin: jidh nooc dhexe, haadi, haadinayaa, jidh nooc dhexe
👋🏾	gacan, gacan haadin, gacan haadin: jidh nooc madaw oo dhexe, haadi, haadinayaa, jidh nooc madaw oo dhexe
👋🏿	gacan, gacan haadin, gacan haadin: jidh madaw, haadi, haadinayaa, jidh madaw
🤚	gacanta gadaal, kor u qaaday gacanta gadaal, kor u qaadid
🤚🏻	gacanta gadaal, jidh fudud, kor u qaaday gacanta gadaal, kor u qaaday gacanta gadaal: jidh fudud, kor u qaadid
🤚🏼	gacanta gadaal, jidh fudud oo dhexe, kor u qaaday gacanta gadaal, kor u qaaday gacanta gadaal: jidh fudud oo dhexe, kor u qaadid
🤚🏽	gacanta gadaal, jidh nooc dhexe, kor u qaaday gacanta gadaal, kor u qaaday gacanta gadaal: jidh nooc dhexe, kor u qaadid
🤚🏾	gacanta gadaal, jidh nooc madaw oo dhexe, kor u qaaday gacanta gadaal, kor u qaaday gacanta gadaal: jidh nooc madaw oo dhexe, kor u qaadid
🤚🏿	gacanta gadaal, jidh madaw, kor u qaaday gacanta gadaal, kor u qaaday gacanta gadaal: jidh madaw, kor u qaadid
🖐️	far, gacan, gacan iyo faraha ayaa lagu fidiyay
🖐🏻	far, gacan, gacan iyo faraha ayaa lagu fidiyay, gacan iyo faraha ayaa lagu fidiyay: jidh fudud, jidh fudud
🖐🏼	far, gacan, gacan iyo faraha ayaa lagu fidiyay, gacan iyo faraha ayaa lagu fidiyay: jidh fudud oo dhexe, jidh fudud oo dhexe
🖐🏽	far, gacan, gacan iyo faraha ayaa lagu fidiyay, gacan iyo faraha ayaa lagu fidiyay: jidh nooc dhexe, jidh nooc dhexe
🖐🏾	far, gacan, gacan iyo faraha ayaa lagu fidiyay, gacan iyo faraha ayaa lagu fidiyay: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe
🖐🏿	far, gacan, gacan iyo faraha ayaa lagu fidiyay, gacan iyo faraha ayaa lagu fidiyay: jidh madaw, jidh madaw
✋	gacan, gacan kor loo qaaday, gacan kor loo qaday
✋🏻	gacan, gacan kor loo qaaday, gacan kor loo qaday, gacan kor loo qaday: jidh fudud, jidh fudud
✋🏼	gacan, gacan kor loo qaaday, gacan kor loo qaday, gacan kor loo qaday: jidh fudud oo dhexe, jidh fudud oo dhexe
✋🏽	gacan, gacan kor loo qaaday, gacan kor loo qaday, gacan kor loo qaday: jidh nooc dhexe, jidh nooc dhexe
✋🏾	gacan, gacan kor loo qaaday, gacan kor loo qaday, gacan kor loo qaday: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe
✋🏿	gacan, gacan kor loo qaaday, gacan kor loo qaday, gacan kor loo qaday: jidh madaw, jidh madaw
🖖	fara salaan, gacan, isku-dhaf, salaan sharaf, sharaf
🖖🏻	fara salaan, gacan, isku-dhaf, jidh fudud, salaan sharaf, salaan sharaf: jidh fudud, sharaf
🖖🏼	fara salaan, gacan, isku-dhaf, jidh fudud oo dhexe, salaan sharaf, salaan sharaf: jidh fudud oo dhexe, sharaf
🖖🏽	fara salaan, gacan, isku-dhaf, jidh nooc dhexe, salaan sharaf, salaan sharaf: jidh nooc dhexe, sharaf
🖖🏾	fara salaan, gacan, isku-dhaf, jidh nooc madaw oo dhexe, salaan sharaf, salaan sharaf: jidh nooc madaw oo dhexe, sharaf
🖖🏿	fara salaan, gacan, isku-dhaf, jidh madaw, salaan sharaf, salaan sharaf: jidh madaw, sharaf
👌	gacan, gacanta saxda ah, sax
👌🏻	gacan, gacanta saxda ah, gacanta saxda ah: jidh fudud, jidh fudud, sax
👌🏼	gacan, gacanta saxda ah, gacanta saxda ah: jidh fudud oo dhexe, jidh fudud oo dhexe, sax
👌🏽	gacan, gacanta saxda ah, gacanta saxda ah: jidh nooc dhexe, jidh nooc dhexe, sax
👌🏾	gacan, gacanta saxda ah, gacanta saxda ah: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, sax
👌🏿	gacan, gacanta saxda ah, gacanta saxda ah: jidh madaw, jidh madaw, sax
🤏	qaddar yar, qanjaruufo
🤏🏻	jidh fudud, qaddar yar, qanjaruufo, qanjaruufo: jidh fudud
🤏🏼	jidh fudud oo dhexe, qaddar yar, qanjaruufo, qanjaruufo: jidh fudud oo dhexe
🤏🏽	jidh nooc dhexe, qaddar yar, qanjaruufo, qanjaruufo: jidh nooc dhexe
🤏🏾	jidh nooc madaw oo dhexe, qaddar yar, qanjaruufo, qanjaruufo: jidh nooc madaw oo dhexe
🤏🏿	jidh madaw, qaddar yar, qanjaruufo, qanjaruufo: jidh madaw
✌️	gacanta, gacanta guusha, guusha, v
✌🏻	gacanta, gacanta guusha: jidh fudud, guusha, jidh fudud, v
✌🏼	gacanta, gacanta guusha: jidh fudud oo dhexe, guusha, jidh fudud oo dhexe, v
✌🏽	gacanta, gacanta guusha: jidh nooc dhexe, guusha, jidh nooc dhexe, v
✌🏾	gacanta, gacanta guusha: jidh nooc madaw oo dhexe, guusha, jidh nooc madaw oo dhexe, v
✌🏿	gacanta, gacanta guusha: jidh madaw, guusha, jidh madaw, v
🤞	Alla bari, Alla baryid, far, faraha gudban, faraha gudban; Alla bari, gacan, iskutallaab, nasiib
🤞🏻	Alla bari, Alla baryid, far, faraha gudban, faraha gudban; Alla bari: jidh fudud, gacan, iskutallaab, jidh fudud, nasiib
🤞🏼	Alla bari, Alla baryid, far, faraha gudban, faraha gudban; Alla bari: jidh fudud oo dhexe, gacan, iskutallaab, jidh fudud oo dhexe, nasiib
🤞🏽	Alla bari, Alla baryid, far, faraha gudban, faraha gudban; Alla bari: jidh nooc dhexe, gacan, iskutallaab, jidh nooc dhexe, nasiib
🤞🏾	Alla bari, Alla baryid, far, faraha gudban, faraha gudban; Alla bari: jidh nooc madaw oo dhexe, gacan, iskutallaab, jidh nooc madaw oo dhexe, nasiib
🤞🏿	Alla bari, Alla baryid, far, faraha gudban, faraha gudban; Alla bari: jidh madaw, gacan, iskutallaab, jidh madaw, nasiib
🤟	WKJ, gacan, meedaarta waan ku jecelahay, meedaarta waan ku jecelahay ah
🤟🏻	WKJ, gacan, jidh fudud, meedaarta waan ku jecelahay, meedaarta waan ku jecelahay ah, meedaarta waan ku jecelahay ah: jidh fudud
🤟🏼	WKJ, gacan, jidh fudud oo dhexe, meedaarta waan ku jecelahay, meedaarta waan ku jecelahay ah, meedaarta waan ku jecelahay ah: jidh fudud oo dhexe
🤟🏽	WKJ, gacan, jidh nooc dhexe, meedaarta waan ku jecelahay, meedaarta waan ku jecelahay ah, meedaarta waan ku jecelahay ah: jidh nooc dhexe
🤟🏾	WKJ, gacan, jidh nooc madaw oo dhexe, meedaarta waan ku jecelahay, meedaarta waan ku jecelahay ah, meedaarta waan ku jecelahay ah: jidh nooc madaw oo dhexe
🤟🏿	WKJ, gacan, jidh madaw, meedaarta waan ku jecelahay, meedaarta waan ku jecelahay ah, meedaarta waan ku jecelahay ah: jidh madaw
🤘	calaamadda geesaha, far, gacan, geesaha, qirid
🤘🏻	calaamadda geesaha, calaamadda geesaha: jidh fudud, far, gacan, geesaha, jidh fudud, qirid
🤘🏼	calaamadda geesaha, calaamadda geesaha: jidh fudud oo dhexe, far, gacan, geesaha, jidh fudud oo dhexe, qirid
🤘🏽	calaamadda geesaha, calaamadda geesaha: jidh nooc dhexe, far, gacan, geesaha, jidh nooc dhexe, qirid
🤘🏾	calaamadda geesaha, calaamadda geesaha: jidh nooc madaw oo dhexe, far, gacan, geesaha, jidh nooc madaw oo dhexe, qirid
🤘🏿	calaamadda geesaha, calaamadda geesaha: jidh madaw, far, gacan, geesaha, jidh madaw, qirid
🤙	gacan, gacanta ah isoo wac, isoo wac, wac
🤙🏻	gacan, gacanta ah isoo wac, gacanta ah isoo wac: jidh fudud, isoo wac, jidh fudud, wac
🤙🏼	gacan, gacanta ah isoo wac, gacanta ah isoo wac: jidh fudud oo dhexe, isoo wac, jidh fudud oo dhexe, wac
🤙🏽	gacan, gacanta ah isoo wac, gacanta ah isoo wac: jidh nooc dhexe, isoo wac, jidh nooc dhexe, wac
🤙🏾	gacan, gacanta ah isoo wac, gacanta ah isoo wac: jidh nooc madaw oo dhexe, isoo wac, jidh nooc madaw oo dhexe, wac
🤙🏿	gacan, gacanta ah isoo wac, gacanta ah isoo wac: jidh madaw, isoo wac, jidh madaw, wac
👈️	bidix, far, farta muujinta gacanta gadaale tilmaamaysa bidix, gacan, gacanta gadaal, muujin, tilmaam
👈🏻	bidix, far, farta muujinta gacanta gadaale tilmaamaysa bidix, farta muujinta gacanta gadaale tilmaamaysa bidix: jidh fudud, gacan, gacanta gadaal, jidh fudud, muujin, tilmaam
👈🏼	bidix, far, farta muujinta gacanta gadaale tilmaamaysa bidix, farta muujinta gacanta gadaale tilmaamaysa bidix: jidh fudud oo dhexe, gacan, gacanta gadaal, jidh fudud oo dhexe, muujin, tilmaam
👈🏽	bidix, far, farta muujinta gacanta gadaale tilmaamaysa bidix, farta muujinta gacanta gadaale tilmaamaysa bidix: jidh nooc dhexe, gacan, gacanta gadaal, jidh nooc dhexe, muujin, tilmaam
👈🏾	bidix, far, farta muujinta gacanta gadaale tilmaamaysa bidix, farta muujinta gacanta gadaale tilmaamaysa bidix: jidh nooc madaw oo dhexe, gacan, gacanta gadaal, jidh nooc madaw oo dhexe, muujin, tilmaam
👈🏿	bidix, far, farta muujinta gacanta gadaale tilmaamaysa bidix, farta muujinta gacanta gadaale tilmaamaysa bidix: jidh madaw, gacan, gacanta gadaal, jidh madaw, muujin, tilmaam
👉️	far, farta muujinta gacanta gadaale tilmaamaysa midig, gacan, gacanta gadaale, muujin, tilmaam
👉🏻	far, farta muujinta gacanta gadaale tilmaamaysa midig, farta muujinta gacanta gadaale tilmaamaysa midig: jidh fudud, gacan, gacanta gadaale, jidh fudud, muujin, tilmaam
👉🏼	far, farta muujinta gacanta gadaale tilmaamaysa midig, farta muujinta gacanta gadaale tilmaamaysa midig: jidh fudud oo dhexe, gacan, gacanta gadaale, jidh fudud oo dhexe, muujin, tilmaam
👉🏽	far, farta muujinta gacanta gadaale tilmaamaysa midig, farta muujinta gacanta gadaale tilmaamaysa midig: jidh nooc dhexe, gacan, gacanta gadaale, jidh nooc dhexe, muujin, tilmaam
👉🏾	far, farta muujinta gacanta gadaale tilmaamaysa midig, farta muujinta gacanta gadaale tilmaamaysa midig: jidh nooc madaw oo dhexe, gacan, gacanta gadaale, jidh nooc madaw oo dhexe, muujin, tilmaam
👉🏿	far, farta muujinta gacanta gadaale tilmaamaysa midig, farta muujinta gacanta gadaale tilmaamaysa midig: jidh madaw, gacan, gacanta gadaale, jidh madaw, muujin, tilmaam
👆️	far, farta muujinta gacanta gadaale tilmaamaysa kor, gacan, gacanta gadaal, kor, tilmaam
👆🏻	far, farta muujinta gacanta gadaale tilmaamaysa kor, farta muujinta gacanta gadaale tilmaamaysa kor: jidh fudud, gacan, gacanta gadaal, jidh fudud, kor, tilmaam
👆🏼	far, farta muujinta gacanta gadaale tilmaamaysa kor, farta muujinta gacanta gadaale tilmaamaysa kor: jidh fudud oo dhexe, gacan, gacanta gadaal, jidh fudud oo dhexe, kor, tilmaam
👆🏽	far, farta muujinta gacanta gadaale tilmaamaysa kor, farta muujinta gacanta gadaale tilmaamaysa kor: jidh nooc dhexe, gacan, gacanta gadaal, jidh nooc dhexe, kor, tilmaam
👆🏾	far, farta muujinta gacanta gadaale tilmaamaysa kor, farta muujinta gacanta gadaale tilmaamaysa kor: jidh nooc madaw oo dhexe, gacan, gacanta gadaal, jidh nooc madaw oo dhexe, kor, tilmaam
👆🏿	far, farta muujinta gacanta gadaale tilmaamaysa kor, farta muujinta gacanta gadaale tilmaamaysa kor: jidh madaw, gacan, gacanta gadaal, jidh madaw, kor, tilmaam
🖕	far, farta dhexe, gacan
🖕🏻	far, farta dhexe, farta dhexe: jidh fudud, gacan, jidh fudud
🖕🏼	far, farta dhexe, farta dhexe: jidh fudud oo dhexe, gacan, jidh fudud oo dhexe
🖕🏽	far, farta dhexe, farta dhexe: jidh nooc dhexe, gacan, jidh nooc dhexe
🖕🏾	far, farta dhexe, farta dhexe: jidh nooc madaw oo dhexe, gacan, jidh nooc madaw oo dhexe
🖕🏿	far, farta dhexe, farta dhexe: jidh madaw, gacan, jidh madaw
👇️	far, farta muujinta gacanta gadaale tilmaamaysa hoos, gacan, gacanta gadaale, hoos, tilmaam
👇🏻	far, farta muujinta gacanta gadaale tilmaamaysa hoos, farta muujinta gacanta gadaale tilmaamaysa hoos: jidh fudud, gacan, gacanta gadaale, hoos, jidh fudud, tilmaam
👇🏼	far, farta muujinta gacanta gadaale tilmaamaysa hoos, farta muujinta gacanta gadaale tilmaamaysa hoos: jidh fudud oo dhexe, gacan, gacanta gadaale, hoos, jidh fudud oo dhexe, tilmaam
👇🏽	far, farta muujinta gacanta gadaale tilmaamaysa hoos, farta muujinta gacanta gadaale tilmaamaysa hoos: jidh nooc dhexe, gacan, gacanta gadaale, hoos, jidh nooc dhexe, tilmaam
👇🏾	far, farta muujinta gacanta gadaale tilmaamaysa hoos, farta muujinta gacanta gadaale tilmaamaysa hoos: jidh nooc madaw oo dhexe, gacan, gacanta gadaale, hoos, jidh nooc madaw oo dhexe, tilmaam
👇🏿	far, farta muujinta gacanta gadaale tilmaamaysa hoos, farta muujinta gacanta gadaale tilmaamaysa hoos: jidh madaw, gacan, gacanta gadaale, hoos, jidh madaw, tilmaam
☝️	far, farta muujinta tilmaamaysa kor, gacan, kor, muujinta, muujinta tilmaamaysa kor, tilmaam
☝🏻	far, farta muujinta tilmaamaysa kor, farta muujinta tilmaamaysa kor: jidh fudud, gacan, jidh fudud, kor, muujinta, muujinta tilmaamaysa kor, tilmaam
☝🏼	far, farta muujinta tilmaamaysa kor, farta muujinta tilmaamaysa kor: jidh fudud oo dhexe, gacan, jidh fudud oo dhexe, kor, muujinta, muujinta tilmaamaysa kor, tilmaam
☝🏽	far, farta muujinta tilmaamaysa kor, farta muujinta tilmaamaysa kor: jidh nooc dhexe, gacan, jidh nooc dhexe, kor, muujinta, muujinta tilmaamaysa kor, tilmaam
☝🏾	far, farta muujinta tilmaamaysa kor, farta muujinta tilmaamaysa kor: jidh nooc madaw oo dhexe, gacan, jidh nooc madaw oo dhexe, kor, muujinta, muujinta tilmaamaysa kor, tilmaam
☝🏿	far, farta muujinta tilmaamaysa kor, farta muujinta tilmaamaysa kor: jidh madaw, gacan, jidh madaw, kor, muujinta, muujinta tilmaamaysa kor, tilmaam
👍️	+1, gacan, kor, suul, suulka kor
👍🏻	+1, gacan, jidh fudud, kor, suul, suulka kor, suulka kor: jidh fudud
👍🏼	+1, gacan, jidh fudud oo dhexe, kor, suul, suulka kor, suulka kor: jidh fudud oo dhexe
👍🏽	+1, gacan, jidh nooc dhexe, kor, suul, suulka kor, suulka kor: jidh nooc dhexe
👍🏾	+1, gacan, jidh nooc madaw oo dhexe, kor, suul, suulka kor, suulka kor: jidh nooc madaw oo dhexe
👍🏿	+1, gacan, jidh madaw, kor, suul, suulka kor, suulka kor: jidh madaw
👎️	-1, gacan, hoos, suul, suulka hoos
👎🏻	-1, gacan, hoos, jidh fudud, suul, suulka hoos, suulka hoos: jidh fudud
👎🏼	-1, gacan, hoos, jidh fudud oo dhexe, suul, suulka hoos, suulka hoos: jidh fudud oo dhexe
👎🏽	-1, gacan, hoos, jidh nooc dhexe, suul, suulka hoos, suulka hoos: jidh nooc dhexe
👎🏾	-1, gacan, hoos, jidh nooc madaw oo dhexe, suul, suulka hoos, suulka hoos: jidh nooc madaw oo dhexe
👎🏿	-1, gacan, hoos, jidh madaw, suul, suulka hoos, suulka hoos: jidh madaw
✊	feer tuur, gacan, kor u qaadid tantoonyo, kor u qaadid tantoonyo (feer), tantoonyo, xannibay
✊🏻	feer tuur, gacan, jidh fudud, kor u qaadid tantoonyo, kor u qaadid tantoonyo (feer), kor u qaadid tantoonyo (feer): jidh fudud, tantoonyo, xannibay
✊🏼	feer tuur, gacan, jidh fudud oo dhexe, kor u qaadid tantoonyo, kor u qaadid tantoonyo (feer), kor u qaadid tantoonyo (feer): jidh fudud oo dhexe, tantoonyo, xannibay
✊🏽	feer tuur, gacan, jidh nooc dhexe, kor u qaadid tantoonyo, kor u qaadid tantoonyo (feer), kor u qaadid tantoonyo (feer): jidh nooc dhexe, tantoonyo, xannibay
✊🏾	feer tuur, gacan, jidh nooc madaw oo dhexe, kor u qaadid tantoonyo, kor u qaadid tantoonyo (feer), kor u qaadid tantoonyo (feer): jidh nooc madaw oo dhexe, tantoonyo, xannibay
✊🏿	feer tuur, gacan, jidh madaw, kor u qaadid tantoonyo, kor u qaadid tantoonyo (feer), kor u qaadid tantoonyo (feer): jidh madaw, tantoonyo, xannibay
👊	feer soo socoto, feer tuuris, gacan, tantoonyo, tantoonyo soo socota, xanniban
👊🏻	feer soo socoto, feer soo socoto: jidh fudud, feer tuuris, gacan, jidh fudud, tantoonyo, tantoonyo soo socota, xanniban
👊🏼	feer soo socoto, feer soo socoto: jidh fudud oo dhexe, feer tuuris, gacan, jidh fudud oo dhexe, tantoonyo, tantoonyo soo socota, xanniban
👊🏽	feer soo socoto, feer soo socoto: jidh nooc dhexe, feer tuuris, gacan, jidh nooc dhexe, tantoonyo, tantoonyo soo socota, xanniban
👊🏾	feer soo socoto, feer soo socoto: jidh nooc madaw oo dhexe, feer tuuris, gacan, jidh nooc madaw oo dhexe, tantoonyo, tantoonyo soo socota, xanniban
