😀	muka, muka tersengih, sengih
💆🏽‍♂	lelaki, lelaki diurut muka, lelaki diurut muka: ton kulit sederhana, muka, ton kulit sederhana, urut
💆🏾‍♂	lelaki, lelaki diurut muka, lelaki diurut muka: ton kulit sederhana gelap, muka, ton kulit sederhana gelap, urut
💆🏿‍♂	lelaki, lelaki diurut muka, lelaki diurut muka: ton kulit gelap, muka, ton kulit gelap, urut
💆‍♀	muka, perempuan, perempuan diurut mka, urut, wanita
💆🏻‍♀	muka, perempuan, perempuan diurut mka, perempuan diurut mka: ton kulit cerah, ton kulit cerah, urut, wanita
💆🏼‍♀	muka, perempuan, perempuan diurut mka, perempuan diurut mka: ton kulit sederhana cerah, ton kulit sederhana cerah, urut, wanita
💆🏽‍♀	muka, perempuan, perempuan diurut mka, perempuan diurut mka: ton kulit sederhana, ton kulit sederhana, urut, wanita
💆🏾‍♀	muka, perempuan, perempuan diurut mka, perempuan diurut mka: ton kulit sederhana gelap, ton kulit sederhana gelap, urut, wanita
💆🏿‍♀	muka, perempuan, perempuan diurut mka, perempuan diurut mka: ton kulit gelap, ton kulit gelap, urut, wanita
💇	gunting rambut, kecantikan, salun, tukang gunting
💇🏻	gunting rambut, gunting rambut: ton kulit cerah, kecantikan, salun, ton kulit cerah, tukang gunting
💇🏼	gunting rambut, gunting rambut: ton kulit sederhana cerah, kecantikan, salun, ton kulit sederhana cerah, tukang gunting
💇🏽	gunting rambut, gunting rambut: ton kulit sederhana, kecantikan, salun, ton kulit sederhana, tukang gunting
💇🏾	gunting rambut, gunting rambut: ton kulit sederhana gelap, kecantikan, salun, ton kulit sederhana gelap, tukang gunting
💇🏿	gunting rambut, gunting rambut: ton kulit gelap, kecantikan, salun, ton kulit gelap, tukang gunting
💇‍♂	gunting rambut, lelaki, lelaki digunting rambut
💇🏻‍♂	gunting rambut, lelaki, lelaki digunting rambut, lelaki digunting rambut: ton kulit cerah, ton kulit cerah
💇🏼‍♂	gunting rambut, lelaki, lelaki digunting rambut, lelaki digunting rambut: ton kulit sederhana cerah, ton kulit sederhana cerah
💇🏽‍♂	gunting rambut, lelaki, lelaki digunting rambut, lelaki digunting rambut: ton kulit sederhana, ton kulit sederhana
💇🏾‍♂	gunting rambut, lelaki, lelaki digunting rambut, lelaki digunting rambut: ton kulit sederhana gelap, ton kulit sederhana gelap
💇🏿‍♂	gunting rambut, lelaki, lelaki digunting rambut, lelaki digunting rambut: ton kulit gelap, ton kulit gelap
💇‍♀	gunting rambut, perempuan, perempuan digunting rambut, wanita
💇🏻‍♀	gunting rambut, perempuan, perempuan digunting rambut, perempuan digunting rambut: ton kulit cerah, ton kulit cerah, wanita
💇🏼‍♀	gunting rambut, perempuan, perempuan digunting rambut, perempuan digunting rambut: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
💇🏽‍♀	gunting rambut, perempuan, perempuan digunting rambut, perempuan digunting rambut: ton kulit sederhana, ton kulit sederhana, wanita
💇🏾‍♀	gunting rambut, perempuan, perempuan digunting rambut, perempuan digunting rambut: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
💇🏿‍♀	gunting rambut, perempuan, perempuan digunting rambut, perempuan digunting rambut: ton kulit gelap, ton kulit gelap, wanita
🚶	berjalan, jalan, kembara jalan kaki, pejalan kaki
🚶🏻	berjalan, jalan, kembara jalan kaki, pejalan kaki, pejalan kaki: ton kulit cerah, ton kulit cerah
🚶🏼	berjalan, jalan, kembara jalan kaki, pejalan kaki, pejalan kaki: ton kulit sederhana cerah, ton kulit sederhana cerah
🚶🏽	berjalan, jalan, kembara jalan kaki, pejalan kaki, pejalan kaki: ton kulit sederhana, ton kulit sederhana
🚶🏾	berjalan, jalan, kembara jalan kaki, pejalan kaki, pejalan kaki: ton kulit sederhana gelap, ton kulit sederhana gelap
🚶🏿	berjalan, jalan, kembara jalan kaki, pejalan kaki, pejalan kaki: ton kulit gelap, ton kulit gelap
🚶‍♂	berjalan kaki, lelaki, lelaki berjalan
🚶🏻‍♂	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan: ton kulit cerah, ton kulit cerah
🚶🏼‍♂	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan: ton kulit sederhana cerah, ton kulit sederhana cerah
🚶🏽‍♂	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan: ton kulit sederhana, ton kulit sederhana
🚶🏾‍♂	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan: ton kulit sederhana gelap, ton kulit sederhana gelap
🚶🏿‍♂	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan: ton kulit gelap, ton kulit gelap
🚶‍♀	berjalan kaki, perempuan, perempuan berjalan, wanita
🚶🏻‍♀	berjalan kaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit cerah, ton kulit cerah, wanita
🚶🏼‍♀	berjalan kaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
🚶🏽‍♀	berjalan kaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit sederhana, ton kulit sederhana, wanita
🚶🏾‍♀	berjalan kaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
🚶🏿‍♀	berjalan kaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit gelap, ton kulit gelap, wanita
🧍	bangun, berdiri, orang berdiri
🧍🏻	bangun, berdiri, orang berdiri, orang berdiri: ton kulit cerah, ton kulit cerah
🧍🏼	bangun, berdiri, orang berdiri, orang berdiri: ton kulit sederhana cerah, ton kulit sederhana cerah
🧍🏽	bangun, berdiri, orang berdiri, orang berdiri: ton kulit sederhana, ton kulit sederhana
🧍🏾	bangun, berdiri, orang berdiri, orang berdiri: ton kulit sederhana gelap, ton kulit sederhana gelap
🧍🏿	bangun, berdiri, orang berdiri, orang berdiri: ton kulit gelap, ton kulit gelap
🧍‍♂	berdiri, lelaki, lelaki berdiri
🧍🏻‍♂	berdiri, lelaki, lelaki berdiri: ton kulit cerah, ton kulit cerah
🧍🏼‍♂	berdiri, lelaki, lelaki berdiri: ton kulit sederhana cerah, ton kulit sederhana cerah
🧍🏽‍♂	berdiri, lelaki, lelaki berdiri: ton kulit sederhana, ton kulit sederhana
🧍🏾‍♂	berdiri, lelaki, lelaki berdiri: ton kulit sederhana gelap, ton kulit sederhana gelap
🧍🏿‍♂	berdiri, lelaki, lelaki berdiri: ton kulit gelap, ton kulit gelap
🧍‍♀	berdiri, perempuan, perempuan berdiri
🧍🏻‍♀	berdiri, perempuan, perempuan berdiri: ton kulit cerah, ton kulit cerah
🧍🏼‍♀	berdiri, perempuan, perempuan berdiri: ton kulit sederhana cerah, ton kulit sederhana cerah
🧍🏽‍♀	berdiri, perempuan, perempuan berdiri: ton kulit sederhana, ton kulit sederhana
🧍🏾‍♀	berdiri, perempuan, perempuan berdiri: ton kulit sederhana gelap, ton kulit sederhana gelap
🧍🏿‍♀	berdiri, perempuan, perempuan berdiri: ton kulit gelap, ton kulit gelap
🧎	bersimpuh, melutut, orang bersimpuh
🧎🏻	bersimpuh, melutut, orang bersimpuh, orang bersimpuh: ton kulit cerah, ton kulit cerah
🧎🏼	bersimpuh, melutut, orang bersimpuh, orang bersimpuh: ton kulit sederhana cerah, ton kulit sederhana cerah
🧎🏽	bersimpuh, melutut, orang bersimpuh, orang bersimpuh: ton kulit sederhana, ton kulit sederhana
🧎🏾	bersimpuh, melutut, orang bersimpuh, orang bersimpuh: ton kulit sederhana gelap, ton kulit sederhana gelap
🧎🏿	bersimpuh, melutut, orang bersimpuh, orang bersimpuh: ton kulit gelap, ton kulit gelap
🧎‍♂	bersimpuh, lelaki, lelaki bersimpuh
🧎🏻‍♂	bersimpuh, lelaki, lelaki bersimpuh: ton kulit cerah, ton kulit cerah
🧎🏼‍♂	bersimpuh, lelaki, lelaki bersimpuh: ton kulit sederhana cerah, ton kulit sederhana cerah
🧎🏽‍♂	bersimpuh, lelaki, lelaki bersimpuh: ton kulit sederhana, ton kulit sederhana
🧎🏾‍♂	bersimpuh, lelaki, lelaki bersimpuh: ton kulit sederhana gelap, ton kulit sederhana gelap
🧎🏿‍♂	bersimpuh, lelaki, lelaki bersimpuh: ton kulit gelap, ton kulit gelap
🧎‍♀	bersimpuh, perempuan, perempuan bersimpuh
🧎🏻‍♀	bersimpuh, perempuan, perempuan bersimpuh: ton kulit cerah, ton kulit cerah
🧎🏼‍♀	bersimpuh, perempuan, perempuan bersimpuh: ton kulit sederhana cerah, ton kulit sederhana cerah
🧎🏽‍♀	bersimpuh, perempuan, perempuan bersimpuh: ton kulit sederhana, ton kulit sederhana
🧎🏾‍♀	bersimpuh, perempuan, perempuan bersimpuh: ton kulit sederhana gelap, ton kulit sederhana gelap
🧎🏿‍♀	bersimpuh, perempuan, perempuan bersimpuh: ton kulit gelap, ton kulit gelap
👨‍🦯	buta, kebolehsampaian, lelaki, lelaki dengan tongkat penduga
👨🏻‍🦯	buta, kebolehsampaian, lelaki, lelaki dengan tongkat penduga, lelaki dengan tongkat penduga: ton kulit cerah, ton kulit cerah
👨🏼‍🦯	buta, kebolehsampaian, lelaki, lelaki dengan tongkat penduga, lelaki dengan tongkat penduga: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽‍🦯	buta, kebolehsampaian, lelaki, lelaki dengan tongkat penduga, lelaki dengan tongkat penduga: ton kulit sederhana, ton kulit sederhana
👨🏾‍🦯	buta, kebolehsampaian, lelaki, lelaki dengan tongkat penduga, lelaki dengan tongkat penduga: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿‍🦯	buta, kebolehsampaian, lelaki, lelaki dengan tongkat penduga, lelaki dengan tongkat penduga: ton kulit gelap, ton kulit gelap
👩‍🦯	buta, kebolehsampaian, perempuan, perempuan dengan tongkat penduga
👩🏻‍🦯	buta, kebolehsampaian, perempuan, perempuan dengan tongkat penduga, perempuan dengan tongkat penduga: ton kulit cerah, ton kulit cerah
👩🏼‍🦯	buta, kebolehsampaian, perempuan, perempuan dengan tongkat penduga, perempuan dengan tongkat penduga: ton kulit sederhana cerah, ton kulit sederhana cerah
👩🏽‍🦯	buta, kebolehsampaian, perempuan, perempuan dengan tongkat penduga, perempuan dengan tongkat penduga: ton kulit sederhana, ton kulit sederhana
👩🏾‍🦯	buta, kebolehsampaian, perempuan, perempuan dengan tongkat penduga, perempuan dengan tongkat penduga: ton kulit sederhana gelap, ton kulit sederhana gelap
👩🏿‍🦯	buta, kebolehsampaian, perempuan, perempuan dengan tongkat penduga, perempuan dengan tongkat penduga: ton kulit gelap, ton kulit gelap
👨‍🦼	kebolehsampaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor
👨🏻‍🦼	kebolehsampaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor, lelaki dalam kerusi roda bermotor: ton kulit cerah, ton kulit cerah
👨🏼‍🦼	kebolehsampaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor, lelaki dalam kerusi roda bermotor: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽‍🦼	kebolehsampaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor, lelaki dalam kerusi roda bermotor: ton kulit sederhana, ton kulit sederhana
👨🏾‍🦼	kebolehsampaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor, lelaki dalam kerusi roda bermotor: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿‍🦼	kebolehsampaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor, lelaki dalam kerusi roda bermotor: ton kulit gelap, ton kulit gelap
👩‍🦼	kebolehsampaian, kerusi roda, perempuan, perempuan dalam kerusi roda bermotor
👩🏻‍🦼	kebolehsampaian, kerusi roda, perempuan, perempuan dalam kerusi roda bermotor, perempuan dalam kerusi roda bermotor: ton kulit cerah, ton kulit cerah
👩🏼‍🦼	kebolehsampaian, kerusi roda, perempuan, perempuan dalam kerusi roda bermotor, perempuan dalam kerusi roda bermotor: ton kulit sederhana cerah, ton kulit sederhana cerah
👩🏽‍🦼	kebolehsampaian, kerusi roda, perempuan, perempuan dalam kerusi roda bermotor, perempuan dalam kerusi roda bermotor: ton kulit sederhana, ton kulit sederhana
👩🏾‍🦼	kebolehsampaian, kerusi roda, perempuan, perempuan dalam kerusi roda bermotor, perempuan dalam kerusi roda bermotor: ton kulit sederhana gelap, ton kulit sederhana gelap
👩🏿‍🦼	kebolehsampaian, kerusi roda, perempuan, perempuan dalam kerusi roda bermotor, perempuan dalam kerusi roda bermotor: ton kulit gelap, ton kulit gelap
👨‍🦽	kebolehsampaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual
👨🏻‍🦽	kebolehsampaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual, lelaki dalam kerusi roda manual: ton kulit cerah, ton kulit cerah
👨🏼‍🦽	kebolehsampaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual, lelaki dalam kerusi roda manual: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽‍🦽	kebolehsampaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual, lelaki dalam kerusi roda manual: ton kulit sederhana, ton kulit sederhana
👨🏾‍🦽	kebolehsampaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual, lelaki dalam kerusi roda manual: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿‍🦽	kebolehsampaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual, lelaki dalam kerusi roda manual: ton kulit gelap, ton kulit gelap
👩‍🦽	kebolehsampaian, kerusi roda, perempuan, perempuan dalam kereta roda manual
👩🏻‍🦽	kebolehsampaian, kerusi roda, perempuan, perempuan dalam kereta roda manual, perempuan dalam kereta roda manual: ton kulit cerah, ton kulit cerah
👩🏼‍🦽	kebolehsampaian, kerusi roda, perempuan, perempuan dalam kereta roda manual, perempuan dalam kereta roda manual: ton kulit sederhana cerah, ton kulit sederhana cerah
👩🏽‍🦽	kebolehsampaian, kerusi roda, perempuan, perempuan dalam kereta roda manual, perempuan dalam kereta roda manual: ton kulit sederhana, ton kulit sederhana
👩🏾‍🦽	kebolehsampaian, kerusi roda, perempuan, perempuan dalam kereta roda manual, perempuan dalam kereta roda manual: ton kulit sederhana gelap, ton kulit sederhana gelap
👩🏿‍🦽	kebolehsampaian, kerusi roda, perempuan, perempuan dalam kereta roda manual, perempuan dalam kereta roda manual: ton kulit gelap, ton kulit gelap
🏃	berlari, maraton, pelari
🏃🏻	berlari, maraton, pelari, pelari: ton kulit cerah, ton kulit cerah
🏃🏼	berlari, maraton, pelari, pelari: ton kulit sederhana cerah, ton kulit sederhana cerah
🏃🏽	berlari, maraton, pelari, pelari: ton kulit sederhana, ton kulit sederhana
🏃🏾	berlari, maraton, pelari, pelari: ton kulit sederhana gelap, ton kulit sederhana gelap
🏃🏿	berlari, maraton, pelari, pelari: ton kulit gelap, ton kulit gelap
🏃‍♂	berlari, berlumba, lelaki, lelaki berlari, maraton
🏃🏻‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit cerah, maraton, ton kulit cerah
🏃🏼‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit sederhana cerah, maraton, ton kulit sederhana cerah
🏃🏽‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit sederhana, maraton, ton kulit sederhana
🏃🏾‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit sederhana gelap, maraton, ton kulit sederhana gelap
🏃🏿‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit gelap, maraton, ton kulit gelap
🏃‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari, wanita
🏃🏻‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit cerah, ton kulit cerah, wanita
🏃🏼‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
🏃🏽‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit sederhana, ton kulit sederhana, wanita
🏃🏾‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
🏃🏿‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit gelap, ton kulit gelap, wanita
💃	menari, perempuan, perempuan menari, wanita
💃🏻	menari, perempuan, perempuan menari: ton kulit cerah, ton kulit cerah, wanita
💃🏼	menari, perempuan, perempuan menari: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
💃🏽	menari, perempuan, perempuan menari: ton kulit sederhana, ton kulit sederhana, wanita
💃🏾	menari, perempuan, perempuan menari: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
💃🏿	menari, perempuan, perempuan menari: ton kulit gelap, ton kulit gelap, wanita
🕺	disko, lelaki, lelaki menari, menari
🕺🏻	disko, lelaki, lelaki menari: ton kulit cerah, menari, ton kulit cerah
🕺🏼	disko, lelaki, lelaki menari: ton kulit sederhana cerah, menari, ton kulit sederhana cerah
🕺🏽	disko, lelaki, lelaki menari: ton kulit sederhana, menari, ton kulit sederhana
🕺🏾	disko, lelaki, lelaki menari: ton kulit sederhana gelap, menari, ton kulit sederhana gelap
🕺🏿	disko, lelaki, lelaki menari: ton kulit gelap, menari, ton kulit gelap
🕴️	lelaki memakai sut urusan terapung-apung, manusia, perniagaan, sut
🕴🏻	lelaki memakai sut urusan terapung-apung, lelaki memakai sut urusan terapung-apung: ton kulit cerah, manusia, perniagaan, sut, ton kulit cerah
🕴🏼	lelaki memakai sut urusan terapung-apung, lelaki memakai sut urusan terapung-apung: ton kulit sederhana cerah, manusia, perniagaan, sut, ton kulit sederhana cerah
🕴🏽	lelaki memakai sut urusan terapung-apung, lelaki memakai sut urusan terapung-apung: ton kulit sederhana, manusia, perniagaan, sut, ton kulit sederhana
🕴🏾	lelaki memakai sut urusan terapung-apung, lelaki memakai sut urusan terapung-apung: ton kulit sederhana gelap, manusia, perniagaan, sut, ton kulit sederhana gelap
🕴🏿	lelaki memakai sut urusan terapung-apung, lelaki memakai sut urusan terapung-apung: ton kulit gelap, manusia, perniagaan, sut, ton kulit gelap
👯	berparti, orang bertelinga arnab, orang dengan telinga arnab, penari, telinga arnab
👯‍♂	berpesta, lelaki, lelaki berpesta, penari, telinga arnab
👯‍♀	berpesta, penari, perempuan, perempuan berpesta, telinga arnab, wanita
🧖	bilik wap, orang dalam bilik berwap, sauna
🧖🏻	bilik wap, orang dalam bilik berwap, orang dalam bilik berwap: ton kulit cerah, sauna, ton kulit cerah
🧖🏼	bilik wap, orang dalam bilik berwap, orang dalam bilik berwap: ton kulit sederhana cerah, sauna, ton kulit sederhana cerah
🧖🏽	bilik wap, orang dalam bilik berwap, orang dalam bilik berwap: ton kulit sederhana, sauna, ton kulit sederhana
🧖🏾	bilik wap, orang dalam bilik berwap, orang dalam bilik berwap: ton kulit sederhana gelap, sauna, ton kulit sederhana gelap
🧖🏿	bilik wap, orang dalam bilik berwap, orang dalam bilik berwap: ton kulit gelap, sauna, ton kulit gelap
🧖‍♂	bilik wap, lelaki dalam bilik berwap, sauna
🧖🏻‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit cerah, sauna, ton kulit cerah
🧖🏼‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit sederhana cerah, sauna, ton kulit sederhana cerah
🧖🏽‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit sederhana, sauna, ton kulit sederhana
🧖🏾‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit sederhana gelap, sauna, ton kulit sederhana gelap
🧖🏿‍♂	bilik wap, lelaki dalam bilik berwap, lelaki dalam bilik berwap: ton kulit gelap, sauna, ton kulit gelap
🧖‍♀	bilik wap, sauna, wanita dalam bilik berwap
🧖🏻‍♀	bilik wap, sauna, ton kulit cerah, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit cerah
🧖🏼‍♀	bilik wap, sauna, ton kulit sederhana cerah, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit sederhana cerah
🧖🏽‍♀	bilik wap, sauna, ton kulit sederhana, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit sederhana
🧖🏾‍♀	bilik wap, sauna, ton kulit sederhana gelap, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit sederhana gelap
🧖🏿‍♀	bilik wap, sauna, ton kulit gelap, wanita dalam bilik berwap, wanita dalam bilik berwap: ton kulit gelap
🧗	orang mendaki, pendaki
🧗🏻	orang mendaki, orang mendaki: ton kulit cerah, pendaki, ton kulit cerah
🧗🏼	orang mendaki, orang mendaki: ton kulit sederhana cerah, pendaki, ton kulit sederhana cerah
🧗🏽	orang mendaki, orang mendaki: ton kulit sederhana, pendaki, ton kulit sederhana
🧗🏾	orang mendaki, orang mendaki: ton kulit sederhana gelap, pendaki, ton kulit sederhana gelap
🧗🏿	orang mendaki, orang mendaki: ton kulit gelap, pendaki, ton kulit gelap
🧗‍♂	lelaki mendaki, pendaki
🧗🏻‍♂	lelaki mendaki, lelaki mendaki: ton kulit cerah, pendaki, ton kulit cerah
🧗🏼‍♂	lelaki mendaki, lelaki mendaki: ton kulit sederhana cerah, pendaki, ton kulit sederhana cerah
🧗🏽‍♂	lelaki mendaki, lelaki mendaki: ton kulit sederhana, pendaki, ton kulit sederhana
🧗🏾‍♂	lelaki mendaki, lelaki mendaki: ton kulit sederhana gelap, pendaki, ton kulit sederhana gelap
🧗🏿‍♂	lelaki mendaki, lelaki mendaki: ton kulit gelap, pendaki, ton kulit gelap
🧗‍♀	pendaki, wanita mendaki
🧗🏻‍♀	pendaki, ton kulit cerah, wanita mendaki, wanita mendaki: ton kulit cerah
🧗🏼‍♀	pendaki, ton kulit sederhana cerah, wanita mendaki, wanita mendaki: ton kulit sederhana cerah
🧗🏽‍♀	pendaki, ton kulit sederhana, wanita mendaki, wanita mendaki: ton kulit sederhana
🧗🏾‍♀	pendaki, ton kulit sederhana gelap, wanita mendaki, wanita mendaki: ton kulit sederhana gelap
🧗🏿‍♀	pendaki, ton kulit gelap, wanita mendaki, wanita mendaki: ton kulit gelap
🤺	bermain pedang, orang, pemain pedang, sukan
🏇	joki, kuda, lumba, lumba kuda
🏇🏻	joki, kuda, lumba, lumba kuda: ton kulit cerah, ton kulit cerah
🏇🏼	joki, kuda, lumba, lumba kuda: ton kulit sederhana cerah, ton kulit sederhana cerah
🏇🏽	joki, kuda, lumba, lumba kuda: ton kulit sederhana, ton kulit sederhana
🏇🏾	joki, kuda, lumba, lumba kuda: ton kulit sederhana gelap, ton kulit sederhana gelap
🏇🏿	joki, kuda, lumba, lumba kuda: ton kulit gelap, ton kulit gelap
⛷️	pemain ski, salji, ski
🏂️	papan luncur salji, peluncur papan salji, salji, ski
🏂🏻	papan luncur salji, peluncur papan salji, peluncur papan salji: ton kulit cerah, salji, ski, ton kulit cerah
🏂🏼	papan luncur salji, peluncur papan salji, peluncur papan salji: ton kulit sederhana cerah, salji, ski, ton kulit sederhana cerah
🏂🏽	papan luncur salji, peluncur papan salji, peluncur papan salji: ton kulit sederhana, salji, ski, ton kulit sederhana
🏂🏾	papan luncur salji, peluncur papan salji, peluncur papan salji: ton kulit sederhana gelap, salji, ski, ton kulit sederhana gelap
🏂🏿	papan luncur salji, peluncur papan salji, peluncur papan salji: ton kulit gelap, salji, ski, ton kulit gelap
🏌️	bola, golf, pemain golf
🏌🏻	bola, golf, pemain golf, pemain golf: ton kulit cerah, ton kulit cerah
🏌🏼	bola, golf, pemain golf, pemain golf: ton kulit sederhana cerah, ton kulit sederhana cerah
🏌🏽	bola, golf, pemain golf, pemain golf: ton kulit sederhana, ton kulit sederhana
🏌🏾	bola, golf, pemain golf, pemain golf: ton kulit sederhana gelap, ton kulit sederhana gelap
🏌🏿	bola, golf, pemain golf, pemain golf: ton kulit gelap, ton kulit gelap
🏌‍♂	golf, lelaki, lelaki bermain golf
🏌🏻‍♂	golf, lelaki, lelaki bermain golf, lelaki bermain golf: ton kulit cerah, ton kulit cerah
🏌🏼‍♂	golf, lelaki, lelaki bermain golf, lelaki bermain golf: ton kulit sederhana cerah, ton kulit sederhana cerah
🏌🏽‍♂	golf, lelaki, lelaki bermain golf, lelaki bermain golf: ton kulit sederhana, ton kulit sederhana
🏌🏾‍♂	golf, lelaki, lelaki bermain golf, lelaki bermain golf: ton kulit sederhana gelap, ton kulit sederhana gelap
🏌🏿‍♂	golf, lelaki, lelaki bermain golf, lelaki bermain golf: ton kulit gelap, ton kulit gelap
🏌‍♀	golf, perempuan, wanita, wanita bermain golf
🏌🏻‍♀	golf, perempuan, ton kulit cerah, wanita, wanita bermain golf, wanita bermain golf: ton kulit cerah
🏌🏼‍♀	golf, perempuan, ton kulit sederhana cerah, wanita, wanita bermain golf, wanita bermain golf: ton kulit sederhana cerah
🏌🏽‍♀	golf, perempuan, ton kulit sederhana, wanita, wanita bermain golf, wanita bermain golf: ton kulit sederhana
🏌🏾‍♀	golf, perempuan, ton kulit sederhana gelap, wanita, wanita bermain golf, wanita bermain golf: ton kulit sederhana gelap
🏌🏿‍♀	golf, perempuan, ton kulit gelap, wanita, wanita bermain golf, wanita bermain golf: ton kulit gelap
🏄️	meluncur, peluncur air
🏄🏻	meluncur, peluncur air, peluncur air: ton kulit cerah, ton kulit cerah
🏄🏼	meluncur, peluncur air, peluncur air: ton kulit sederhana cerah, ton kulit sederhana cerah
🏄🏽	meluncur, peluncur air, peluncur air: ton kulit sederhana, ton kulit sederhana
🏄🏾	meluncur, peluncur air, peluncur air: ton kulit sederhana gelap, ton kulit sederhana gelap
🏄🏿	meluncur, peluncur air, peluncur air: ton kulit gelap, ton kulit gelap
🏄‍♂	lelaki, lelaki meluncur air, meluncur air
🏄🏻‍♂	lelaki, lelaki meluncur air, lelaki meluncur air: ton kulit cerah, meluncur air, ton kulit cerah
🏄🏼‍♂	lelaki, lelaki meluncur air, lelaki meluncur air: ton kulit sederhana cerah, meluncur air, ton kulit sederhana cerah
🏄🏽‍♂	lelaki, lelaki meluncur air, lelaki meluncur air: ton kulit sederhana, meluncur air, ton kulit sederhana
🏄🏾‍♂	lelaki, lelaki meluncur air, lelaki meluncur air: ton kulit sederhana gelap, meluncur air, ton kulit sederhana gelap
🏄🏿‍♂	lelaki, lelaki meluncur air, lelaki meluncur air: ton kulit gelap, meluncur air, ton kulit gelap
🏄‍♀	meluncur air, perempuan, wanita, wanita meluncur air
🏄🏻‍♀	meluncur air, perempuan, ton kulit cerah, wanita, wanita meluncur air, wanita meluncur air: ton kulit cerah
🏄🏼‍♀	meluncur air, perempuan, ton kulit sederhana cerah, wanita, wanita meluncur air, wanita meluncur air: ton kulit sederhana cerah
🏄🏽‍♀	meluncur air, perempuan, ton kulit sederhana, wanita, wanita meluncur air, wanita meluncur air: ton kulit sederhana
🏄🏾‍♀	meluncur air, perempuan, ton kulit sederhana gelap, wanita, wanita meluncur air, wanita meluncur air: ton kulit sederhana gelap
🏄🏿‍♀	meluncur air, perempuan, ton kulit gelap, wanita, wanita meluncur air, wanita meluncur air: ton kulit gelap
🚣	bot, kenderaan, orang mendayung sampan
🚣🏻	bot, kenderaan, orang mendayung sampan, orang mendayung sampan: ton kulit cerah, ton kulit cerah
🚣🏼	bot, kenderaan, orang mendayung sampan, orang mendayung sampan: ton kulit sederhana cerah, ton kulit sederhana cerah
🚣🏽	bot, kenderaan, orang mendayung sampan, orang mendayung sampan: ton kulit sederhana, ton kulit sederhana
🚣🏾	bot, kenderaan, orang mendayung sampan, orang mendayung sampan: ton kulit sederhana gelap, ton kulit sederhana gelap
