😀	tirjaygan yuz, tirjayish, yuz
🥵	bezgak, harorat, isitma, isitmalash, terlash, yuqori harorat
🥶	ayoz, ko‘karib ketish, muzlash, qaltirash, sovqotish, sovuq, yaxlash
🥴	behuzurlik, bosh aylanish, boshi aylangan, his qilish, ko‘ngil aynish, o‘zini bilmay qolish, yomon
😵	boshi aylanayotgan yuz, boshi aylanish, yuz
🤯	miya portlashi
🤠	kovboy, kovboyning boshi, shlyapa
🥳	bayram, kecha, nishonlash, o‘yin-kulgu, o‘ynash, quvnash, tug‘ilgan kun, xursandchilik, ziyofatda
😎	ko‘z, ko‘zoynak, ko‘zoynak taqqan hamda kulayotgan yuz, ob-havo, quyosh, salqin, tabassum, yorug‘, yuz
🤓	aqlli, aqlli yuz, bilimdon, yuz
🧐	monokl bilan
😕	xijolat, xijolat bo‘lgan yuz, yuz
😟	xavotir, xavotir olayotgan yuz, yuz
🙁	arazlamoq, ozroq arazlagan yuz, yuz
☹️	arazlagan yuz, arazlamoq, yuz
😮	hamdardlik, ochiq, og‘iz, og‘zi katta ochiq yuz, yuz
😯	hayratlanayotgan yuz, hayratlangan, karaxt, sukut saqlash, yuz
😲	batamom, hayratlangan, hayratlangan yuz, taajjub, yuz
😳	mahliyo, qizarish, yuz, yuzi qizargan
🥺	iltimos qilish, katta ko‘zlar, ko‘z, ko‘z yosh, yalingan yuz, yalinish, yolvorish
😦	ochiq, og‘iz, og‘zini katta ochgan, qovog‘i solingan yuz, qovog‘ini solish, yuz
😧	g‘am-tashvishli yuz, tashvishli, yuz
😨	qo‘rqinchli, qo‘rqish, qo‘rqqan yuz, qo‘rquv, yuz
😰	ko‘kargan, ochiq, og‘iz, og‘zi ochiq va sovuq terga botgan yuz, sovuq, ter, toliqqan, yuz
😥	hafasalasi pir, hafsalasi pir bo‘lgan yuz, hmm, yengil tortish, yuz
😢	hafa, ko‘z yoshi, yig‘lash, yig‘layotgan yuz, yuz
😭	hafa, ko‘z yoshi, xo‘ngrab yig‘lash, xo‘ngrab yig‘layotgan yuz, yig‘lash, yuz
😱	baqiriq, chaynash, qo‘rqinchli, qo‘rqish, qo‘rquv, qo‘rquvdan qichqirayotgan yuz, yuz
😖	xijolat, xijolatli yuz, yuz
😣	o‘jar, o‘jarlik, yuz
😞	ko‘ngli qolgan, ko‘ngli qolgan yuz, yuz
😓	sovuq, sovuq ter chiqayotgan yuz, ter, yuz
😩	charchagan, xorg‘in, xorg‘in yuz, yuz
😫	charchagan, charchagan yuz, yuz
🥱	charchagan, esnayotgan, esnayotgan yuz, xorg‘in
😤	burnidan tutun chiqayotgan yuz, g‘alaba, yuz, zafar
😡	g‘azab, jaxli chiqqan, norozi, norozi qiyofa, qizil, quturgan, yuz
😠	g‘azabnok, jahli chiqqan yuz, jaxli chiqqan, yuz
🤬	senzura
😈	ertak, fantaziya, kulayotgan shayton, shoxlar, tabassum, yuz
👿	ertak, fantaziya, shayton, yuz
💀	bosh suyagi, ertak, maxluq, o‘lim, tana, yuz
☠️	bosh suyagi, bosh suyagi va suyaklar, maxluq, o‘lim, suyaklar, tana, yuz
💩	axlat, go‘ng, hazil, maxluq, tezak, tezak uyumi, yuz
🤡	masxaraboz, yuz
👹	ertak, fantaziya, maxluq, maxluqot, yapon, yovuz maxluq, yuz
👺	ajina, ertak, fantaziya, maxluq, maxluqot, yapon, yuz
👻	arvoh, ertak, fantaziya, maxluq, maxluqot, yuz
👽️	ertak, fantaziya, koinot, maxluq, maxluqot, nuj, o‘zga sayyoralik, yuz
👾	ertak, fantaziya, koinot, maxluq, maxluqot, nuj, o‘zga sayyoralik, o‘zga sayyoralik maxluq, yuz
🤖	maxluq, robot, robot qiyofa, yuz
😺	jilmayish, mushuk, ochiq, ogʻiz, og‘zi ochiq holatda kulayotgan mushuk, tirjayish, yuz
😸	jilmayish, koʻz, mushuk, tirjaygan holda kulayotgan mushuk, tirjayish, yuz
😹	huzur, koʻz yoshi, koʻzidan yosh chiqib kulayotgan mushuk, mushuk, quvonch, xursandchilik, yuz
😻	jilmayish, koʻz, ko‘zlari yurak shaklida kulib turgan mushuk, mushuk, sevgi, yurak, yuz
😼	istehzo, jilmayish, lab burib jilmaygan mushuk, lab burish, mushuk, yuz
😽	boʻsa, boʻsa olayotgan mushuk, koʻz, mushuk, yuz
🙀	ajablanish, charchagan mushuk, charchash, mushuk, toliqish, voy, yuz
😿	koʻz yoshi, mushuk, xafalik, yigʻi, yigʻlayotgan mushuk, yuz
😾	dargʻazab mushuk, gʻazablanish, mushuk, yuz
🙈	ishora, ko‘rish, man qilingan, maymun, taqiqlangan, yomonlik, yomonlikni ko‘rmaydigan maymun, yo‘q, yuz
🙉	eshitish, ishora, man qilingan, maymun, taqiqlangan, yomonlik, yomonlikni eshitmaydigan maymun, yo‘q, yuz
🙊	gapirish, ishora, man qilingan, maymun, taqiqlangan, yomonlik, yomonlikni gapirmaydigan maymun, yo‘q, yuz
💋	bo‘sa, bo‘sa tamg‘asi, lablar, romantika, tamg‘a, yurak
💌	pochta, romantika, sevgi, sevgi xati, xat, yurak
💘	kamon o‘qi, kupidon, romantika, yurak, yurak va kamon o‘qi
💝	lenta, yurak, yurak va lenta
💖	chaqnash, chaqnayotgan yurak, hayajonli, yurak
💗	asab, hayajonli, kattalashayotgan, kattalashayotgan yurak, yurak, yurak urishi
💓	urayotgan, urayotgan yurak, yurak, yurak urishi
💞	aylanayotgan, aylanayotgan yuraklar, yurak
💕	ikkita yurak, sevgi, yurak
💟	yurak, yurak bezagi
❣️	belgi, tinish belgisi, undov, yurak shaklidagi undov, yurak shaklidagi undov belgisi
💔	singan, singan yurak, sinish, yurak
❤️	qizil yurak, yurak
🧡	apelsinrang yurak
💛	sariq, sariq yurak, yurak
💚	yashil, yashil yurak, yurak
💙	ko‘k, ko‘k yurak, yurak
💜	binafsharang, binafsharang yurak, yurak
🤎	jigarrang, jigarrang yurak, yurak
🖤	ichi qora, qora, yurak
🤍	oq, oq yurak, yurak
💯	100, ball, to‘liq, yuz, yuz ball
💢	jahl belgisi, jaxl, latifa, telba
💥	latifa, portlash, to‘qnashuv
💫	bosh aylanish, latifa, yulduz
💦	ko‘z yoshi, ko‘z yoshi tomchilari, latifa, sachrash
💨	chaqqon, latifa, shoshilish, yugurish
🕳️	darcha, kovak, teshik, tuynuk
💣️	bomba, latifa
💬	dialog, latifa, nutq, nutq buluti, po‘fak, shar
👁‍🗨	guvoh, ko‘z, nutq pufagi, nutq pufagida ko‘z
🗨️	chap nutq pufakchasi, dialog, nutq
🗯️	hafa, jaxl, o‘ng burchakli pufakcha, po‘fak, shar
💭	latifa, o‘y-hayol, o‘y-hayol buluti, po‘fak, shar
💤	latifa, uyqu, xurrak
👋	qo‘l, shapaloq, silkitish, tana
👋🏻	1–2-teri turi, qo‘l, shapaloq, shapaloq: 1–2-teri turi, silkitish, tana
👋🏼	3-teri turi, qo‘l, shapaloq, shapaloq: 3-teri turi, silkitish, tana
👋🏽	4-teri turi, qo‘l, shapaloq, shapaloq: 4-teri turi, silkitish, tana
👋🏾	5-teri turi, qo‘l, shapaloq, shapaloq: 5-teri turi, silkitish, tana
👋🏿	6-teri turi, qo‘l, shapaloq, shapaloq: 6-teri turi, silkitish, tana
🤚	kaft, ko‘tarilgan, ko‘tarilgan kaft
🤚🏻	1–2-teri turi, kaft, ko‘tarilgan, ko‘tarilgan kaft: 1–2-teri turi
🤚🏼	3-teri turi, kaft, ko‘tarilgan, ko‘tarilgan kaft: 3-teri turi
🤚🏽	4-teri turi, kaft, ko‘tarilgan, ko‘tarilgan kaft: 4-teri turi
🤚🏾	5-teri turi, kaft, ko‘tarilgan, ko‘tarilgan kaft: 5-teri turi
🤚🏿	6-teri turi, kaft, ko‘tarilgan, ko‘tarilgan kaft: 6-teri turi
🖐️	barmoq, barmoqlari yoyilgan holatda ko‘tarilgan qo‘l, qo‘l, tana, yoyilgan
🖐🏻	1–2-teri turi, barmoq, barmoqlari yoyilgan holatda ko‘tarilgan qo‘l, barmoqlari yoyilgan holatda ko‘tarilgan qo‘l: 1–2-teri turi, qo‘l, tana, yoyilgan
🖐🏼	3-teri turi, barmoq, barmoqlari yoyilgan holatda ko‘tarilgan qo‘l, barmoqlari yoyilgan holatda ko‘tarilgan qo‘l: 3-teri turi, qo‘l, tana, yoyilgan
🖐🏽	4-teri turi, barmoq, barmoqlari yoyilgan holatda ko‘tarilgan qo‘l, barmoqlari yoyilgan holatda ko‘tarilgan qo‘l: 4-teri turi, qo‘l, tana, yoyilgan
🖐🏾	5-teri turi, barmoq, barmoqlari yoyilgan holatda ko‘tarilgan qo‘l, barmoqlari yoyilgan holatda ko‘tarilgan qo‘l: 5-teri turi, qo‘l, tana, yoyilgan
🖐🏿	6-teri turi, barmoq, barmoqlari yoyilgan holatda ko‘tarilgan qo‘l, barmoqlari yoyilgan holatda ko‘tarilgan qo‘l: 6-teri turi, qo‘l, tana, yoyilgan
✋	ko‘tarilgan qo‘l, qo‘l, tana
✋🏻	1–2-teri turi, ko‘tarilgan qo‘l, ko‘tarilgan qo‘l: 1–2-teri turi, qo‘l, tana
✋🏼	3-teri turi, ko‘tarilgan qo‘l, ko‘tarilgan qo‘l: 3-teri turi, qo‘l, tana
✋🏽	4-teri turi, ko‘tarilgan qo‘l, ko‘tarilgan qo‘l: 4-teri turi, qo‘l, tana
✋🏾	5-teri turi, ko‘tarilgan qo‘l, ko‘tarilgan qo‘l: 5-teri turi, qo‘l, tana
✋🏿	6-teri turi, ko‘tarilgan qo‘l, ko‘tarilgan qo‘l: 6-teri turi, qo‘l, tana
🖖	barmoq, qo‘l, spok, tana, vulkan, vulkan salyuti
🖖🏻	1–2-teri turi, barmoq, qo‘l, spok, tana, vulkan, vulkan salyuti, vulkan salyuti: 1–2-teri turi
🖖🏼	3-teri turi, barmoq, qo‘l, spok, tana, vulkan, vulkan salyuti, vulkan salyuti: 3-teri turi
🖖🏽	4-teri turi, barmoq, qo‘l, spok, tana, vulkan, vulkan salyuti, vulkan salyuti: 4-teri turi
🖖🏾	5-teri turi, barmoq, qo‘l, spok, tana, vulkan, vulkan salyuti, vulkan salyuti: 5-teri turi
🖖🏿	6-teri turi, barmoq, qo‘l, spok, tana, vulkan, vulkan salyuti, vulkan salyuti: 6-teri turi
👌	ok, qo‘l, qo‘lda qilingan ok, tana
👌🏻	1–2-teri turi, ok, qo‘l, qo‘lda qilingan ok, qo‘lda qilingan ok: 1–2-teri turi, tana
👌🏼	3-teri turi, ok, qo‘l, qo‘lda qilingan ok, qo‘lda qilingan ok: 3-teri turi, tana
👌🏽	4-teri turi, ok, qo‘l, qo‘lda qilingan ok, qo‘lda qilingan ok: 4-teri turi, tana
👌🏾	5-teri turi, ok, qo‘l, qo‘lda qilingan ok, qo‘lda qilingan ok: 5-teri turi, tana
👌🏿	6-teri turi, ok, qo‘l, qo‘lda qilingan ok, qo‘lda qilingan ok: 6-teri turi, tana
🤏	biroz, chimduvchi qoʻl, kam, kichik, ozgina
🤏🏻	1–2-teri turi, biroz, chimduvchi qoʻl, chimduvchi qoʻl: 1–2-teri turi, kam, kichik, ozgina
🤏🏼	3-teri turi, biroz, chimduvchi qoʻl, chimduvchi qoʻl: 3-teri turi, kam, kichik, ozgina
🤏🏽	4-teri turi, biroz, chimduvchi qoʻl, chimduvchi qoʻl: 4-teri turi, kam, kichik, ozgina
🤏🏾	5-teri turi, biroz, chimduvchi qoʻl, chimduvchi qoʻl: 5-teri turi, kam, kichik, ozgina
🤏🏿	6-teri turi, biroz, chimduvchi qoʻl, chimduvchi qoʻl: 6-teri turi, kam, kichik, ozgina
✌️	g‘alaba, qo‘l, tana, v, v harfini ko‘rsatib turgan qo‘l
✌🏻	1–2-teri turi, g‘alaba, qo‘l, tana, v, v harfini ko‘rsatib turgan qo‘l, v harfini ko‘rsatib turgan qo‘l: 1–2-teri turi
✌🏼	3-teri turi, g‘alaba, qo‘l, tana, v, v harfini ko‘rsatib turgan qo‘l, v harfini ko‘rsatib turgan qo‘l: 3-teri turi
✌🏽	4-teri turi, g‘alaba, qo‘l, tana, v, v harfini ko‘rsatib turgan qo‘l, v harfini ko‘rsatib turgan qo‘l: 4-teri turi
✌🏾	5-teri turi, g‘alaba, qo‘l, tana, v, v harfini ko‘rsatib turgan qo‘l, v harfini ko‘rsatib turgan qo‘l: 5-teri turi
✌🏿	6-teri turi, g‘alaba, qo‘l, tana, v, v harfini ko‘rsatib turgan qo‘l, v harfini ko‘rsatib turgan qo‘l: 6-teri turi
🤞	kesishgan barmoqlar, omad
🤞🏻	1–2-teri turi, kesishgan barmoqlar, kesishgan barmoqlar: 1–2-teri turi, omad
🤞🏼	3-teri turi, kesishgan barmoqlar, kesishgan barmoqlar: 3-teri turi, omad
🤞🏽	4-teri turi, kesishgan barmoqlar, kesishgan barmoqlar: 4-teri turi, omad
🤞🏾	5-teri turi, kesishgan barmoqlar, kesishgan barmoqlar: 5-teri turi, omad
🤞🏿	6-teri turi, kesishgan barmoqlar, kesishgan barmoqlar: 6-teri turi, omad
🤟	sevaman degan ishora
🤟🏻	1–2-teri turi, sevaman degan ishora, sevaman degan ishora: 1–2-teri turi
🤟🏼	3-teri turi, sevaman degan ishora, sevaman degan ishora: 3-teri turi
🤟🏽	4-teri turi, sevaman degan ishora, sevaman degan ishora: 4-teri turi
🤟🏾	5-teri turi, sevaman degan ishora, sevaman degan ishora: 5-teri turi
🤟🏿	6-teri turi, sevaman degan ishora, sevaman degan ishora: 6-teri turi
🤘	barmoq, qo‘l, rok, shox belgisi, shoxlar, tana
🤘🏻	1–2-teri turi, barmoq, qo‘l, rok, shox belgisi, shox belgisi: 1–2-teri turi, shoxlar, tana
🤘🏼	3-teri turi, barmoq, qo‘l, rok, shox belgisi, shox belgisi: 3-teri turi, shoxlar, tana
🤘🏽	4-teri turi, barmoq, qo‘l, rok, shox belgisi, shox belgisi: 4-teri turi, shoxlar, tana
🤘🏾	5-teri turi, barmoq, qo‘l, rok, shox belgisi, shox belgisi: 5-teri turi, shoxlar, tana
🤘🏿	6-teri turi, barmoq, qo‘l, rok, shox belgisi, shox belgisi: 6-teri turi, shoxlar, tana
🤙	ishora, menga telefon qil, qo‘l, telefon qil
🤙🏻	1–2-teri turi, ishora, menga telefon qil, menga telefon qil: 1–2-teri turi, qo‘l, telefon qil
🤙🏼	3-teri turi, ishora, menga telefon qil, menga telefon qil: 3-teri turi, qo‘l, telefon qil
🤙🏽	4-teri turi, ishora, menga telefon qil, menga telefon qil: 4-teri turi, qo‘l, telefon qil
🤙🏾	5-teri turi, ishora, menga telefon qil, menga telefon qil: 5-teri turi, qo‘l, telefon qil
🤙🏿	6-teri turi, ishora, menga telefon qil, menga telefon qil: 6-teri turi, qo‘l, telefon qil
👈️	barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l, qo‘l, qo‘l orqa tomoni, yo‘naltirish
👈🏻	1–2-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l: 1–2-teri turi, qo‘l, qo‘l orqa tomoni, yo‘naltirish
👈🏼	3-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l: 3-teri turi, qo‘l, qo‘l orqa tomoni, yo‘naltirish
👈🏽	4-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l: 4-teri turi, qo‘l, qo‘l orqa tomoni, yo‘naltirish
👈🏾	5-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l: 5-teri turi, qo‘l, qo‘l orqa tomoni, yo‘naltirish
👈🏿	6-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan chapga qarab turgan qo‘l: 6-teri turi, qo‘l, qo‘l orqa tomoni, yo‘naltirish
👉️	barmoq, barmoq orqa tomoni, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l, qo‘l, yo‘naltirish
👉🏻	1–2-teri turi, barmoq, barmoq orqa tomoni, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l: 1–2-teri turi, qo‘l, yo‘naltirish
👉🏼	3-teri turi, barmoq, barmoq orqa tomoni, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l: 3-teri turi, qo‘l, yo‘naltirish
👉🏽	4-teri turi, barmoq, barmoq orqa tomoni, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l: 4-teri turi, qo‘l, yo‘naltirish
👉🏾	5-teri turi, barmoq, barmoq orqa tomoni, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l: 5-teri turi, qo‘l, yo‘naltirish
👉🏿	6-teri turi, barmoq, barmoq orqa tomoni, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan o‘ngga qarab turgan qo‘l: 6-teri turi, qo‘l, yo‘naltirish
👆️	barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l, qo‘l, qo‘l orqa tomoni, tana, tepaga, yo‘naltirish
👆🏻	1–2-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l: 1–2-teri turi, qo‘l, qo‘l orqa tomoni, tana, tepaga, yo‘naltirish
👆🏼	3-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l: 3-teri turi, qo‘l, qo‘l orqa tomoni, tana, tepaga, yo‘naltirish
👆🏽	4-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l: 4-teri turi, qo‘l, qo‘l orqa tomoni, tana, tepaga, yo‘naltirish
👆🏾	5-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l: 5-teri turi, qo‘l, qo‘l orqa tomoni, tana, tepaga, yo‘naltirish
👆🏿	6-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan tepaga qarab turgan qo‘l: 6-teri turi, qo‘l, qo‘l orqa tomoni, tana, tepaga, yo‘naltirish
🖕	barmoq, o‘rta barmoq, qo‘l, tana
🖕🏻	1–2-teri turi, barmoq, o‘rta barmoq, o‘rta barmoq: 1–2-teri turi, qo‘l, tana
🖕🏼	3-teri turi, barmoq, o‘rta barmoq, o‘rta barmoq: 3-teri turi, qo‘l, tana
🖕🏽	4-teri turi, barmoq, o‘rta barmoq, o‘rta barmoq: 4-teri turi, qo‘l, tana
🖕🏾	5-teri turi, barmoq, o‘rta barmoq, o‘rta barmoq: 5-teri turi, qo‘l, tana
🖕🏿	6-teri turi, barmoq, o‘rta barmoq, o‘rta barmoq: 6-teri turi, qo‘l, tana
👇️	barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l, pastga, qo‘l, qo‘l orqa tomoni, tana, yo‘naltirish
👇🏻	1–2-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l: 1–2-teri turi, pastga, qo‘l, qo‘l orqa tomoni, tana, yo‘naltirish
👇🏼	3-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l: 3-teri turi, pastga, qo‘l, qo‘l orqa tomoni, tana, yo‘naltirish
👇🏽	4-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l: 4-teri turi, pastga, qo‘l, qo‘l orqa tomoni, tana, yo‘naltirish
👇🏾	5-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l: 5-teri turi, pastga, qo‘l, qo‘l orqa tomoni, tana, yo‘naltirish
👇🏿	6-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l, ko‘rsatkich barmog‘i orqa tomoni bilan pastga qarab turgan qo‘l: 6-teri turi, pastga, qo‘l, qo‘l orqa tomoni, tana, yo‘naltirish
☝️	barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l, qo‘l, tana, tepaga, yo‘naltirish
☝🏻	1–2-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l, ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l: 1–2-teri turi, qo‘l, tana, tepaga, yo‘naltirish
☝🏼	3-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l, ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l: 3-teri turi, qo‘l, tana, tepaga, yo‘naltirish
☝🏽	4-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l, ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l: 4-teri turi, qo‘l, tana, tepaga, yo‘naltirish
☝🏾	5-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l, ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l: 5-teri turi, qo‘l, tana, tepaga, yo‘naltirish
☝🏿	6-teri turi, barmoq, ko‘rsatkich, ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l, ko‘rsatkich barmog‘i tepaga qarab turgan qo‘l: 6-teri turi, qo‘l, tana, tepaga, yo‘naltirish
👍️	+1, bosh barmoq, qo‘l, tana, tepaga, tepaga qaragan bosh barmoq
👍🏻	+1, 1–2-teri turi, bosh barmoq, qo‘l, tana, tepaga, tepaga qaragan bosh barmoq, tepaga qaragan bosh barmoq: 1–2-teri turi
👍🏼	+1, 3-teri turi, bosh barmoq, qo‘l, tana, tepaga, tepaga qaragan bosh barmoq, tepaga qaragan bosh barmoq: 3-teri turi
👍🏽	+1, 4-teri turi, bosh barmoq, qo‘l, tana, tepaga, tepaga qaragan bosh barmoq, tepaga qaragan bosh barmoq: 4-teri turi
👍🏾	+1, 5-teri turi, bosh barmoq, qo‘l, tana, tepaga, tepaga qaragan bosh barmoq, tepaga qaragan bosh barmoq: 5-teri turi
