😀	منہ, چہرہ, کھل کے ہنستا چہرہ, کھلا, ہنسی
🤐	سلا ہوا, منہ, منہ سیے ہوئے چہرہ, چہرہ
🤨	اٹھی ہوئی بھویں والا چہرہ, بد اعتمادی, شکی
😐️	غیر جانبدار, غیر جانبدار چہرہ, چہرہ
😑	اظہار سے عاری چہرہ, بغیر تاثر, چہرہ
😶	بغیر منہ والا چہرہ, خاموشی, منہ, چہرہ
😏	طنزیہ, طنزیہ مسکراہٹ والا چہرہ, چہرہ
😒	اداس چہرہ, نا خوش, چہرہ
🙄	آنکھیں, چہرہ, گھومتی آنکھوں والا چہرہ, گھومنا
😬	مضحکہ خیز چہرہ, ناگواریت, چہرہ
🤥	جھوٹ, جھوٹ بولتا چہرہ, چہرہ
😌	پُر سکون, پُر سکون چہرہ, چہرہ
😔	سوچ میں ڈوبا چہرہ, غمزدہ, چہرہ
😪	خوابیدہ چہرہ, غنودگی, چہرہ
🤤	رال ٹپکاتا چہرہ, رال ٹپکنا, چہرہ
😴	سوتا ہوا چہرہ, سونا, چہرہ
😷	طبی ماسک والا چہرہ, ماسک, ٹھنڈ, چہرہ, ڈاکٹر
🤒	بیمار, تھرمامیٹر, تھرمامیٹر لیے چہرہ, چہرہ
🤕	زخم, سر پر پٹی باندھے چہرہ, پٹی, چہرہ
🤢	متلی, متلی کی کیفیت والا چہرہ, چہرہ
🤮	بیمار, قے, قے کرتا چہرہ
🤧	بیماری, چھینک, چھینکیں مارتا چہرہ, چہرہ
🥵	بُخار زَدہ, حرارت زدگی, سرخ چہرہ, پسینے سے شرابور, گرم
🥶	برف کے قلمیں, بہت زیادہ سرد, سرد چہرہ, سردی سے ماؤف, نیلگوں چہرہ, ٹھنڈا
🥴	اُلجھن کا شکار شہرہ, مخمُور, مدہوش, ناہموار منہ, ٹیڑھی میڑھی آنکھیں, چکرایا ہُوا
😵	چکر, چکراتا چہرہ, چہرہ
🤯	حیران, سر پھٹنا
🤠	چہرہ, کاؤ بوائے, کاؤ بوائے ہیٹ کے ساتھ چہرہ, ہیٹ
🥳	باجا, جشن, ٹوپی, پارٹی, پارٹی سے لطف اندوز ہوتا چہرہ
😎	آنکھ, دھوپ, دھوپ کا چشمہ لگائے مسکراتا چہرہ, سورج, مسکراہٹ, چشمہ, چمکیلا
🤓	بیوقوفانہ, بیوقوفانہ چہرہ, چہرہ
🧐	ایک چشمہ پہنا ہوا چہرہ, بند ناک والا چہرہ
😕	الجھن زدہ چہرہ, چہرہ, کنفیوز
😟	پریشان, پریشان چہرہ, چہرہ
🙁	تیوری, چہرہ, ہلکا سا تیوری زدہ چہرہ
☹️	تیوری, تیوری زدہ چہرہ, چہرہ
😮	منہ, چہرہ, کھلا ہوا, کھلے منہ والا چہرہ
😯	حیرت, شدید حیرت زدہ چہرہ, چہرہ
😲	تکلیف, حیرت, حیرت زدہ چہرہ, چہرہ
😳	سرخ, شرمندگی, شرمندگی سے سرخ چہرہ, چہرہ
🥺	التجا کرنا, رحم, طفلانہ آنکھیں, ملتجی چہرہ
😦	تیوری, منہ, منہ کھولے تیوری چڑھاتا چہرہ, چہرہ, کھلا ہوا
😧	تکلیف, تکلیف زدہ چہرہ, چہرہ
😨	خوف, خوفزدہ چہرہ, چہرہ
😰	منہ, نیلا, ٹھنڈا, پسینہ, کھلے منہ اور ٹھنڈے پسینے والا چہرہ
😥	مایوس, مایوس لیکن پر سکون چہرہ, پر سکون, چہرہ
😢	آنسو, روتا ہوا چہرہ, رونا, چہرہ
😭	آنسو, رونا, زار و قطار روتا چہرہ, چہرہ
😱	خوف, خوف سے چلاتا چہرہ, چہرہ, چیخ
😖	انتہائی کنفیوز, بے ترتیب چہرہ, چہرہ
😣	پُرعزم چہرہ, پُرعظم, چہرہ
😞	مایوس, مایوس چہرہ, چہرہ
😓	ٹھنڈ, ٹھنڈے پسینے والا چہرہ, پسینہ, چہرہ
😩	اکتایا ہوا چہرہ, تھکاوٹ, چہرہ
😫	تھکا ہوا چہرہ, تھکان, چہرہ
🥱	بوریت کا شکار, تھکا ماندہ, جمائی, جمائی لیتا چہرہ
😤	فتخ, ناک سے دھواں نکالتا چہرہ, چہرہ
😡	نا خوش, نا شاد چہرہ, چہرہ
😠	غصہ, غصے والا چہرہ, چہرہ
🤬	منہ پر علامات والا چہرہ, گالیاں دینا
😈	شیطانی مسکراہٹ, شیطانی مسکراہٹ والا چہرہ, چہرہ
👿	شرارتی, شریر شیطان, شیطان, چہرہ
💀	افسانوی, جن, موت, چہرہ, کھوپڑی
☠️	موت, کراس, کراس شدہ ہڈیوں کے ساتھ کھوپڑی, کھوپڑی, ہڈیاں
💩	چہرہ, ڈھیر, گندگی, گندگی کا ڈھیر
🤡	جوکر, جوکر چہرہ, چہرہ
👹	افسانوی, جاپانی, جن, شیطانی جن, چہرہ
👺	افسانوی, جاپانی, جن, لمبی ناک اور مونچھوں والا دیو, چہرہ
👻	افسانوی, بھوت, جن, چہرہ
👽️	خلا, خلائی مخلوق, مخلوق, چہرہ
👾	خلا, خلائی دیو, دیو, چہرہ
🤖	روبوٹ, مونسٹر, چہرہ
😺	بلی, مسکراہٹ, منہ, چہرہ, کھلے منہ کے ساتھ مسکراتی بلی کا چہرہ
😸	بلی, مسکراتی آنکھوں والی کھل کے ہنستی بلی کا چہرہ, مسکراہٹ, چہرہ
😹	آنسو, بلی, خوشی, خوشی کے آنسو لیے بلی کا چہرہ, چہرہ
😻	بلی, دل, دل کی شکل والی آنکھوں کے ساتھ مسکراتی بلی کا چہرہ, پیار, چہرہ
😼	بلی, بلی کا طنزیہ مسکراہٹ والا چہرہ, طنز, مسکراہٹ, چہرہ
😽	آنکھ, بلی, بند آنکھوں کے ساتھ بوسہ لیتا بلی کا چہرہ, بوسہ, چہرہ
🙀	بلی, تھکا ہوا بلی کا چہرہ, تھکا ہوا ہونا, چہرہ
😿	آنسو, بلی, روتا ہوا بلی کا چہرہ, رونا, چہرہ
😾	بلی, بلی کا نا شاد چہرہ, ناشاد, چہرہ
🙈	بندر, دیکھو, نہیں, چہرہ, ہاتھ سے آنکھیں چھپائے بندر
🙉	بندر, سنو, نہیں, چہرہ, کانوں کو ہاتھ سے چھپائے بندر
🙊	بندر, بولو, منہ کو ہاتھوں سے بند کیے بندر, نہیں, چہرہ
💋	بوسہ, بوسے کا نشان, ہونٹ
💌	خط, رومانس, محبت بھرا خط, پیار
💘	تیر, تیر پیوست ہوا دل, دل, زخمی
💝	دل, ربن, ربن باندھے دل
💖	دل, پر جوش, چمکتا دل
💗	بڑھتا ہوا دل, دل, نروس, پر جوش
💓	دل, دھڑکتا دل, دھڑکن
💞	دل, گھومتے دل, گھومنا
💕	دل, دو دل, پیار
💟	دل, دل کی ڈیکوریشن, ڈیکوریشن
❣️	دل, دلی اظہار, علامتِ ندائیہ, علامتِ ندائیہ والا بھاری دل
💔	دل, ٹوٹا ہوا, ٹوٹا ہوا دل
❤️	دل, سرخ, سرخ دل
🧡	نارنجی, نارنجی دل
💛	دل, پیلا, پیلا دل
💚	دل, سبز, سبز دل
💙	دل, نیلا, نیلا دل
💜	ارغوانی, ارغوانی دل, دل
🤎	بھورا, بھورا دل, دل
🖤	برا, دل, شیطانی, کالا, کالا دل
🤍	دل, سفید, سفید دل
💯	اسکور, سو, سو پوائنٹس, پورے
💢	علامت, غصہ, غصے کی علامت
💥	تصادم, ٹکر
💫	سر چکرانا, علامت
💦	قطرے, پسینہ, پسینے کے قطرے
💨	تیزی, تیزی سے دوڑنا, دوڑنا
🕳️	خالی جگہ, سوراخ, چھید
💣️	آگ, بم, بمباری
💬	علامت, غبارہ, گفتگو, گفتگو غبارہ
👁‍🗨	آنکھ, دھمکی, دھمکی روکنے کی مہم, مہم
🗨️	بایاں, علامت, غبارہ, گفتگو غبارہ بائیں
🗯️	دایاں, علامت, غبارہ, غصہ غبارہ دائیں
💭	سوچ, سوچ غبارہ, علامت, غبارہ
💤	زززززز, لفظی علامت, نیند
👋	جسم, لہرانا, ہاتھ, ہاتھ لہرانا
👋🏻	جسم, جلد کی ہلکی رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی ہلکی رنگت
👋🏼	جسم, جلد کی درمیانی -ہلکی رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی درمیانی -ہلکی رنگت
👋🏽	جسم, جلد کی درمیانی رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی درمیانی رنگت
👋🏾	جسم, جلد کی درمیانی سیاہ رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی درمیانی سیاہ رنگت
👋🏿	جسم, جلد کی سیاہ رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی سیاہ رنگت
🤚	پشت, کھڑا, کھڑے ہاتھ کی پشت, ہاتھ
🤚🏻	جلد کی ہلکی رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی ہلکی رنگت, ہاتھ
🤚🏼	جلد کی درمیانی -ہلکی رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🤚🏽	جلد کی درمیانی رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی درمیانی رنگت, ہاتھ
🤚🏾	جلد کی درمیانی سیاہ رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی درمیانی سیاہ رنگت, ہاتھ
🤚🏿	جلد کی سیاہ رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی سیاہ رنگت, ہاتھ
🖐️	انگلی, جسم, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, ہاتھ
🖐🏻	انگلی, جسم, جلد کی ہلکی رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی ہلکی رنگت, ہاتھ
🖐🏼	انگلی, جسم, جلد کی درمیانی -ہلکی رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🖐🏽	انگلی, جسم, جلد کی درمیانی رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی رنگت, ہاتھ
🖐🏾	انگلی, جسم, جلد کی درمیانی سیاہ رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی سیاہ رنگت, ہاتھ
🖐🏿	انگلی, جسم, جلد کی سیاہ رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی سیاہ رنگت, ہاتھ
✋	بلند ہاتھ, جسم, ہاتھ
✋🏻	بلند ہاتھ, بلند ہاتھ: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, ہاتھ
✋🏼	بلند ہاتھ, بلند ہاتھ: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, ہاتھ
✋🏽	بلند ہاتھ, بلند ہاتھ: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, ہاتھ
✋🏾	بلند ہاتھ, بلند ہاتھ: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, ہاتھ
✋🏿	بلند ہاتھ, بلند ہاتھ: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, ہاتھ
🖖	انگلی, اَتش فشاں, جسم, وولکن سلیوٹ, ہاتھ
🖖🏻	انگلی, اَتش فشاں, جسم, جلد کی ہلکی رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی ہلکی رنگت, ہاتھ
🖖🏼	انگلی, اَتش فشاں, جسم, جلد کی درمیانی -ہلکی رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🖖🏽	انگلی, اَتش فشاں, جسم, جلد کی درمیانی رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی درمیانی رنگت, ہاتھ
🖖🏾	انگلی, اَتش فشاں, جسم, جلد کی درمیانی سیاہ رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی درمیانی سیاہ رنگت, ہاتھ
🖖🏿	انگلی, اَتش فشاں, جسم, جلد کی سیاہ رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی سیاہ رنگت, ہاتھ
👌	اوکے, اوکے کا نشان بناتا ہاتھ, جسم, نشان, ہاتھ
👌🏻	اوکے, اوکے کا نشان بناتا ہاتھ, اوکے کا نشان بناتا ہاتھ: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, نشان, ہاتھ
👌🏼	اوکے, اوکے کا نشان بناتا ہاتھ, اوکے کا نشان بناتا ہاتھ: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, نشان, ہاتھ
👌🏽	اوکے, اوکے کا نشان بناتا ہاتھ, اوکے کا نشان بناتا ہاتھ: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, نشان, ہاتھ
👌🏾	اوکے, اوکے کا نشان بناتا ہاتھ, اوکے کا نشان بناتا ہاتھ: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, نشان, ہاتھ
👌🏿	اوکے, اوکے کا نشان بناتا ہاتھ, اوکے کا نشان بناتا ہاتھ: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, نشان, ہاتھ
🤏	تھوڑی مقدار, چٹکی لیتا ہوا ہاتھ
🤏🏻	تھوڑی مقدار, جلد کی ہلکی رنگت, چٹکی لیتا ہوا ہاتھ, چٹکی لیتا ہوا ہاتھ: جلد کی ہلکی رنگت
🤏🏼	تھوڑی مقدار, جلد کی درمیانی -ہلکی رنگت, چٹکی لیتا ہوا ہاتھ, چٹکی لیتا ہوا ہاتھ: جلد کی درمیانی -ہلکی رنگت
🤏🏽	تھوڑی مقدار, جلد کی درمیانی رنگت, چٹکی لیتا ہوا ہاتھ, چٹکی لیتا ہوا ہاتھ: جلد کی درمیانی رنگت
🤏🏾	تھوڑی مقدار, جلد کی درمیانی سیاہ رنگت, چٹکی لیتا ہوا ہاتھ, چٹکی لیتا ہوا ہاتھ: جلد کی درمیانی سیاہ رنگت
🤏🏿	تھوڑی مقدار, جلد کی سیاہ رنگت, چٹکی لیتا ہوا ہاتھ, چٹکی لیتا ہوا ہاتھ: جلد کی سیاہ رنگت
✌️	جسم, فتح, فتح کا نشان بناتا ہاتھ, نشان, ہاتھ
✌🏻	جسم, جلد کی ہلکی رنگت, فتح, فتح کا نشان بناتا ہاتھ, فتح کا نشان بناتا ہاتھ: جلد کی ہلکی رنگت, نشان, ہاتھ
✌🏼	جسم, جلد کی درمیانی -ہلکی رنگت, فتح, فتح کا نشان بناتا ہاتھ, فتح کا نشان بناتا ہاتھ: جلد کی درمیانی -ہلکی رنگت, نشان, ہاتھ
✌🏽	جسم, جلد کی درمیانی رنگت, فتح, فتح کا نشان بناتا ہاتھ, فتح کا نشان بناتا ہاتھ: جلد کی درمیانی رنگت, نشان, ہاتھ
✌🏾	جسم, جلد کی درمیانی سیاہ رنگت, فتح, فتح کا نشان بناتا ہاتھ, فتح کا نشان بناتا ہاتھ: جلد کی درمیانی سیاہ رنگت, نشان, ہاتھ
✌🏿	جسم, جلد کی سیاہ رنگت, فتح, فتح کا نشان بناتا ہاتھ, فتح کا نشان بناتا ہاتھ: جلد کی سیاہ رنگت, نشان, ہاتھ
🤞	امید, انگلی, قسمت, کراس, کراس بناتی انگلیاں
🤞🏻	امید, انگلی, جلد کی ہلکی رنگت, قسمت, کراس, کراس بناتی انگلیاں, کراس بناتی انگلیاں: جلد کی ہلکی رنگت
🤞🏼	امید, انگلی, جلد کی درمیانی -ہلکی رنگت, قسمت, کراس, کراس بناتی انگلیاں, کراس بناتی انگلیاں: جلد کی درمیانی -ہلکی رنگت
🤞🏽	امید, انگلی, جلد کی درمیانی رنگت, قسمت, کراس, کراس بناتی انگلیاں, کراس بناتی انگلیاں: جلد کی درمیانی رنگت
🤞🏾	امید, انگلی, جلد کی درمیانی سیاہ رنگت, قسمت, کراس, کراس بناتی انگلیاں, کراس بناتی انگلیاں: جلد کی درمیانی سیاہ رنگت
🤞🏿	امید, انگلی, جلد کی سیاہ رنگت, قسمت, کراس, کراس بناتی انگلیاں, کراس بناتی انگلیاں: جلد کی سیاہ رنگت
🤟	آپ سے محبت, آپ سے محبت کا اشارہ, ہاتھ
🤟🏻	آپ سے محبت, آپ سے محبت کا اشارہ, آپ سے محبت کا اشارہ: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, ہاتھ
🤟🏼	آپ سے محبت, آپ سے محبت کا اشارہ, آپ سے محبت کا اشارہ: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, ہاتھ
🤟🏽	آپ سے محبت, آپ سے محبت کا اشارہ, آپ سے محبت کا اشارہ: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, ہاتھ
🤟🏾	آپ سے محبت, آپ سے محبت کا اشارہ, آپ سے محبت کا اشارہ: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, ہاتھ
🤟🏿	آپ سے محبت, آپ سے محبت کا اشارہ, آپ سے محبت کا اشارہ: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, ہاتھ
🤘	انگلی, جسم, سینگ, ہاتھ, ہاتھ سے سینگوں کا نشان
🤘🏻	انگلی, جسم, جلد کی ہلکی رنگت, سینگ, ہاتھ, ہاتھ سے سینگوں کا نشان, ہاتھ سے سینگوں کا نشان: جلد کی ہلکی رنگت
🤘🏼	انگلی, جسم, جلد کی درمیانی -ہلکی رنگت, سینگ, ہاتھ, ہاتھ سے سینگوں کا نشان, ہاتھ سے سینگوں کا نشان: جلد کی درمیانی -ہلکی رنگت
🤘🏽	انگلی, جسم, جلد کی درمیانی رنگت, سینگ, ہاتھ, ہاتھ سے سینگوں کا نشان, ہاتھ سے سینگوں کا نشان: جلد کی درمیانی رنگت
🤘🏾	انگلی, جسم, جلد کی درمیانی سیاہ رنگت, سینگ, ہاتھ, ہاتھ سے سینگوں کا نشان, ہاتھ سے سینگوں کا نشان: جلد کی درمیانی سیاہ رنگت
🤘🏿	انگلی, جسم, جلد کی سیاہ رنگت, سینگ, ہاتھ, ہاتھ سے سینگوں کا نشان, ہاتھ سے سینگوں کا نشان: جلد کی سیاہ رنگت
🤙	اشارہ, کال, کال کرنے کا اشارہ, ہاتھ
🤙🏻	اشارہ, جلد کی ہلکی رنگت, کال, کال کرنے کا اشارہ, کال کرنے کا اشارہ: جلد کی ہلکی رنگت, ہاتھ
🤙🏼	اشارہ, جلد کی درمیانی -ہلکی رنگت, کال, کال کرنے کا اشارہ, کال کرنے کا اشارہ: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🤙🏽	اشارہ, جلد کی درمیانی رنگت, کال, کال کرنے کا اشارہ, کال کرنے کا اشارہ: جلد کی درمیانی رنگت, ہاتھ
🤙🏾	اشارہ, جلد کی درمیانی سیاہ رنگت, کال, کال کرنے کا اشارہ, کال کرنے کا اشارہ: جلد کی درمیانی سیاہ رنگت, ہاتھ
🤙🏿	اشارہ, جلد کی سیاہ رنگت, کال, کال کرنے کا اشارہ, کال کرنے کا اشارہ: جلد کی سیاہ رنگت, ہاتھ
👈️	انگلی, بائیں, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, جسم, ہاتھ
👈🏻	انگلی, بائیں, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, ہاتھ
👈🏼	انگلی, بائیں, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, ہاتھ
👈🏽	انگلی, بائیں, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, ہاتھ
👈🏾	انگلی, بائیں, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, ہاتھ
👈🏿	انگلی, بائیں, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, ہاتھ
👉️	انگلی, جسم, دائیں, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, ہاتھ
👉🏻	انگلی, جسم, جلد کی ہلکی رنگت, دائیں, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی ہلکی رنگت, ہاتھ
👉🏼	انگلی, جسم, جلد کی درمیانی -ہلکی رنگت, دائیں, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی -ہلکی رنگت, ہاتھ
👉🏽	انگلی, جسم, جلد کی درمیانی رنگت, دائیں, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی رنگت, ہاتھ
👉🏾	انگلی, جسم, جلد کی درمیانی سیاہ رنگت, دائیں, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی سیاہ رنگت, ہاتھ
👉🏿	انگلی, جسم, جلد کی سیاہ رنگت, دائیں, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی سیاہ رنگت, ہاتھ
👆️	اوپر, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی, جسم, شہادت کی انگلی, ہاتھ
👆🏻	اوپر, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, شہادت کی انگلی, ہاتھ
👆🏼	اوپر, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, شہادت کی انگلی, ہاتھ
👆🏽	اوپر, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, شہادت کی انگلی, ہاتھ
👆🏾	اوپر, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, شہادت کی انگلی, ہاتھ
👆🏿	اوپر, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, شہادت کی انگلی, ہاتھ
🖕	جسم, درمیانی انگلی, ہاتھ
🖕🏻	جسم, جلد کی ہلکی رنگت, درمیانی انگلی, درمیانی انگلی: جلد کی ہلکی رنگت, ہاتھ
🖕🏼	جسم, جلد کی درمیانی -ہلکی رنگت, درمیانی انگلی, درمیانی انگلی: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🖕🏽	جسم, جلد کی درمیانی رنگت, درمیانی انگلی, درمیانی انگلی: جلد کی درمیانی رنگت, ہاتھ
🖕🏾	جسم, جلد کی درمیانی سیاہ رنگت, درمیانی انگلی, درمیانی انگلی: جلد کی درمیانی سیاہ رنگت, ہاتھ
🖕🏿	جسم, جلد کی سیاہ رنگت, درمیانی انگلی, درمیانی انگلی: جلد کی سیاہ رنگت, ہاتھ
👇️	جسم, شہادت کی انگلی, نیچے, نیچے اشارہ کرتی بیک ہینڈ شہادت کی انگلی, ہاتھ
