😀	arc, nevetés, nevető arc
✋🏿	fel, felemelt kéz, felemelt kéz: sötét bőrtónus, kéz, sötét bőrtónus, test
🖖	kéz, spock, star trek, star trek-üdvözlet, test, ujj, vulcan
🖖🏻	kéz, spock, star trek, star trek-üdvözlet, star trek-üdvözlet: világos bőrtónus, test, ujj, világos bőrtónus, vulcan
🖖🏼	kéz, közepesen világos bőrtónus, spock, star trek, star trek-üdvözlet, star trek-üdvözlet: közepesen világos bőrtónus, test, ujj, vulcan
🖖🏽	kéz, közepes bőrtónus, spock, star trek, star trek-üdvözlet, star trek-üdvözlet: közepes bőrtónus, test, ujj, vulcan
🖖🏾	kéz, közepesen sötét bőrtónus, spock, star trek, star trek-üdvözlet, star trek-üdvözlet: közepesen sötét bőrtónus, test, ujj, vulcan
🖖🏿	kéz, spock, star trek, star trek-üdvözlet, star trek-üdvözlet: sötét bőrtónus, sötét bőrtónus, test, ujj, vulcan
👌	kéz, ok jel, oké, rendben, test
👌🏻	kéz, ok jel, ok jel: világos bőrtónus, oké, rendben, test, világos bőrtónus
👌🏼	kéz, közepesen világos bőrtónus, ok jel, ok jel: közepesen világos bőrtónus, oké, rendben, test
👌🏽	kéz, közepes bőrtónus, ok jel, ok jel: közepes bőrtónus, oké, rendben, test
👌🏾	kéz, közepesen sötét bőrtónus, ok jel, ok jel: közepesen sötét bőrtónus, oké, rendben, test
👌🏿	kéz, ok jel, ok jel: sötét bőrtónus, oké, rendben, sötét bőrtónus, test
🤏	csippentő kéz, kis összeg
🤏🏻	csippentő kéz, csippentő kéz: világos bőrtónus, kis összeg, világos bőrtónus
🤏🏼	csippentő kéz, csippentő kéz: közepesen világos bőrtónus, kis összeg, közepesen világos bőrtónus
🤏🏽	csippentő kéz, csippentő kéz: közepes bőrtónus, kis összeg, közepes bőrtónus
🤏🏾	csippentő kéz, csippentő kéz: közepesen sötét bőrtónus, kis összeg, közepesen sötét bőrtónus
🤏🏿	csippentő kéz, csippentő kéz: sötét bőrtónus, kis összeg, sötét bőrtónus
✌️	betű, győzelmi jelet mutató kéz, jel, kéz, kézjel, test
✌🏻	betű, győzelmi jelet mutató kéz, győzelmi jelet mutató kéz: világos bőrtónus, jel, kéz, kézjel, test, világos bőrtónus
✌🏼	betű, győzelmi jelet mutató kéz, győzelmi jelet mutató kéz: közepesen világos bőrtónus, jel, kéz, kézjel, közepesen világos bőrtónus, test
✌🏽	betű, győzelmi jelet mutató kéz, győzelmi jelet mutató kéz: közepes bőrtónus, jel, kéz, kézjel, közepes bőrtónus, test
✌🏾	betű, győzelmi jelet mutató kéz, győzelmi jelet mutató kéz: közepesen sötét bőrtónus, jel, kéz, kézjel, közepesen sötét bőrtónus, test
✌🏿	betű, győzelmi jelet mutató kéz, győzelmi jelet mutató kéz: sötét bőrtónus, jel, kéz, kézjel, sötét bőrtónus, test
🤞	keresztezett, keresztezett ujjak, szerencse, ujj
🤞🏻	keresztezett, keresztezett ujjak, keresztezett ujjak: világos bőrtónus, szerencse, ujj, világos bőrtónus
🤞🏼	keresztezett, keresztezett ujjak, keresztezett ujjak: közepesen világos bőrtónus, közepesen világos bőrtónus, szerencse, ujj
🤞🏽	keresztezett, keresztezett ujjak, keresztezett ujjak: közepes bőrtónus, közepes bőrtónus, szerencse, ujj
🤞🏾	keresztezett, keresztezett ujjak, keresztezett ujjak: közepesen sötét bőrtónus, közepesen sötét bőrtónus, szerencse, ujj
🤞🏿	keresztezett, keresztezett ujjak, keresztezett ujjak: sötét bőrtónus, szerencse, sötét bőrtónus, ujj
🤟	kéz, szeretlek, szeretlek kézmozdulat
🤟🏻	kéz, szeretlek, szeretlek kézmozdulat, szeretlek kézmozdulat: világos bőrtónus, világos bőrtónus
🤟🏼	kéz, közepesen világos bőrtónus, szeretlek, szeretlek kézmozdulat, szeretlek kézmozdulat: közepesen világos bőrtónus
🤟🏽	kéz, közepes bőrtónus, szeretlek, szeretlek kézmozdulat, szeretlek kézmozdulat: közepes bőrtónus
🤟🏾	kéz, közepesen sötét bőrtónus, szeretlek, szeretlek kézmozdulat, szeretlek kézmozdulat: közepesen sötét bőrtónus
🤟🏿	kéz, szeretlek, szeretlek kézmozdulat, szeretlek kézmozdulat: sötét bőrtónus, sötét bőrtónus
🤘	kéz, metál, metálvilla, szarvak, ördögvilla
🤘🏻	kéz, metál, metálvilla, metálvilla: világos bőrtónus, szarvak, világos bőrtónus, ördögvilla
🤘🏼	kéz, közepesen világos bőrtónus, metál, metálvilla, metálvilla: közepesen világos bőrtónus, szarvak, ördögvilla
🤘🏽	kéz, közepes bőrtónus, metál, metálvilla, metálvilla: közepes bőrtónus, szarvak, ördögvilla
🤘🏾	kéz, közepesen sötét bőrtónus, metál, metálvilla, metálvilla: közepesen sötét bőrtónus, szarvak, ördögvilla
🤘🏿	kéz, metál, metálvilla, metálvilla: sötét bőrtónus, szarvak, sötét bőrtónus, ördögvilla
🤙	hívás, kéz, „hívj fel” kézjel
🤙🏻	hívás, kéz, világos bőrtónus, „hívj fel” kézjel, „hívj fel” kézjel: világos bőrtónus
🤙🏼	hívás, kéz, közepesen világos bőrtónus, „hívj fel” kézjel, „hívj fel” kézjel: közepesen világos bőrtónus
🤙🏽	hívás, kéz, közepes bőrtónus, „hívj fel” kézjel, „hívj fel” kézjel: közepes bőrtónus
🤙🏾	hívás, kéz, közepesen sötét bőrtónus, „hívj fel” kézjel, „hívj fel” kézjel: közepesen sötét bőrtónus
🤙🏿	hívás, kéz, sötét bőrtónus, „hívj fel” kézjel, „hívj fel” kézjel: sötét bőrtónus
👈️	kéz, kéz balra mutató ujjal, mutatóujj, tenyér, test, ujj
👈🏻	kéz, kéz balra mutató ujjal, kéz balra mutató ujjal: világos bőrtónus, mutatóujj, tenyér, test, ujj, világos bőrtónus
👈🏼	kéz, kéz balra mutató ujjal, kéz balra mutató ujjal: közepesen világos bőrtónus, közepesen világos bőrtónus, mutatóujj, tenyér, test, ujj
👈🏽	kéz, kéz balra mutató ujjal, kéz balra mutató ujjal: közepes bőrtónus, közepes bőrtónus, mutatóujj, tenyér, test, ujj
👈🏾	kéz, kéz balra mutató ujjal, kéz balra mutató ujjal: közepesen sötét bőrtónus, közepesen sötét bőrtónus, mutatóujj, tenyér, test, ujj
👈🏿	kéz, kéz balra mutató ujjal, kéz balra mutató ujjal: sötét bőrtónus, mutatóujj, sötét bőrtónus, tenyér, test, ujj
👉️	kéz, kéz jobbra mutató ujjal, mutatóujj, tenyér, test, ujj
👉🏻	kéz, kéz jobbra mutató ujjal, kéz jobbra mutató ujjal: világos bőrtónus, mutatóujj, tenyér, test, ujj, világos bőrtónus
👉🏼	kéz, kéz jobbra mutató ujjal, kéz jobbra mutató ujjal: közepesen világos bőrtónus, közepesen világos bőrtónus, mutatóujj, tenyér, test, ujj
👉🏽	kéz, kéz jobbra mutató ujjal, kéz jobbra mutató ujjal: közepes bőrtónus, közepes bőrtónus, mutatóujj, tenyér, test, ujj
👉🏾	kéz, kéz jobbra mutató ujjal, kéz jobbra mutató ujjal: közepesen sötét bőrtónus, közepesen sötét bőrtónus, mutatóujj, tenyér, test, ujj
👉🏿	kéz, kéz jobbra mutató ujjal, kéz jobbra mutató ujjal: sötét bőrtónus, mutatóujj, sötét bőrtónus, tenyér, test, ujj
👆️	felfelé, kéz, mutatóujj, tenyér, tenyér felfelé mutató ujjal, test, ujj
👆🏻	felfelé, kéz, mutatóujj, tenyér, tenyér felfelé mutató ujjal, tenyér felfelé mutató ujjal: világos bőrtónus, test, ujj, világos bőrtónus
👆🏼	felfelé, kéz, közepesen világos bőrtónus, mutatóujj, tenyér, tenyér felfelé mutató ujjal, tenyér felfelé mutató ujjal: közepesen világos bőrtónus, test, ujj
👆🏽	felfelé, kéz, közepes bőrtónus, mutatóujj, tenyér, tenyér felfelé mutató ujjal, tenyér felfelé mutató ujjal: közepes bőrtónus, test, ujj
👆🏾	felfelé, kéz, közepesen sötét bőrtónus, mutatóujj, tenyér, tenyér felfelé mutató ujjal, tenyér felfelé mutató ujjal: közepesen sötét bőrtónus, test, ujj
👆🏿	felfelé, kéz, mutatóujj, sötét bőrtónus, tenyér, tenyér felfelé mutató ujjal, tenyér felfelé mutató ujjal: sötét bőrtónus, test, ujj
🖕	kéz, középső ujj, test, ujj
🖕🏻	kéz, középső ujj, középső ujj: világos bőrtónus, test, ujj, világos bőrtónus
🖕🏼	kéz, közepesen világos bőrtónus, középső ujj, középső ujj: közepesen világos bőrtónus, test, ujj
🖕🏽	kéz, közepes bőrtónus, középső ujj, középső ujj: közepes bőrtónus, test, ujj
🖕🏾	kéz, közepesen sötét bőrtónus, középső ujj, középső ujj: közepesen sötét bőrtónus, test, ujj
🖕🏿	kéz, középső ujj, középső ujj: sötét bőrtónus, sötét bőrtónus, test, ujj
👇️	kéz, lefelé, mutatóujj, tenyér, tenyér lefelé mutató ujjal, test, ujj
👇🏻	kéz, lefelé, mutatóujj, tenyér, tenyér lefelé mutató ujjal, tenyér lefelé mutató ujjal: világos bőrtónus, test, ujj, világos bőrtónus
👇🏼	kéz, közepesen világos bőrtónus, lefelé, mutatóujj, tenyér, tenyér lefelé mutató ujjal, tenyér lefelé mutató ujjal: közepesen világos bőrtónus, test, ujj
👇🏽	kéz, közepes bőrtónus, lefelé, mutatóujj, tenyér, tenyér lefelé mutató ujjal, tenyér lefelé mutató ujjal: közepes bőrtónus, test, ujj
👇🏾	kéz, közepesen sötét bőrtónus, lefelé, mutatóujj, tenyér, tenyér lefelé mutató ujjal, tenyér lefelé mutató ujjal: közepesen sötét bőrtónus, test, ujj
👇🏿	kéz, lefelé, mutatóujj, sötét bőrtónus, tenyér, tenyér lefelé mutató ujjal, tenyér lefelé mutató ujjal: sötét bőrtónus, test, ujj
☝️	felfelé, kéz, kéz felfelé mutató ujjal, mutatóujj, test, ujj
☝🏻	felfelé, kéz, kéz felfelé mutató ujjal, kéz felfelé mutató ujjal: világos bőrtónus, mutatóujj, test, ujj, világos bőrtónus
☝🏼	felfelé, kéz, kéz felfelé mutató ujjal, kéz felfelé mutató ujjal: közepesen világos bőrtónus, közepesen világos bőrtónus, mutatóujj, test, ujj
☝🏽	felfelé, kéz, kéz felfelé mutató ujjal, kéz felfelé mutató ujjal: közepes bőrtónus, közepes bőrtónus, mutatóujj, test, ujj
☝🏾	felfelé, kéz, kéz felfelé mutató ujjal, kéz felfelé mutató ujjal: közepesen sötét bőrtónus, közepesen sötét bőrtónus, mutatóujj, test, ujj
☝🏿	felfelé, kéz, kéz felfelé mutató ujjal, kéz felfelé mutató ujjal: sötét bőrtónus, mutatóujj, sötét bőrtónus, test, ujj
👍️	felfelé mutató hüvelykujj, hüvelykujj felfelé, kéz, oké, rendben, test
👍🏻	felfelé mutató hüvelykujj, felfelé mutató hüvelykujj: világos bőrtónus, hüvelykujj felfelé, kéz, oké, rendben, test, világos bőrtónus
👍🏼	felfelé mutató hüvelykujj, felfelé mutató hüvelykujj: közepesen világos bőrtónus, hüvelykujj felfelé, kéz, közepesen világos bőrtónus, oké, rendben, test
👍🏽	felfelé mutató hüvelykujj, felfelé mutató hüvelykujj: közepes bőrtónus, hüvelykujj felfelé, kéz, közepes bőrtónus, oké, rendben, test
👍🏾	felfelé mutató hüvelykujj, felfelé mutató hüvelykujj: közepesen sötét bőrtónus, hüvelykujj felfelé, kéz, közepesen sötét bőrtónus, oké, rendben, test
👍🏿	felfelé mutató hüvelykujj, felfelé mutató hüvelykujj: sötét bőrtónus, hüvelykujj felfelé, kéz, oké, rendben, sötét bőrtónus, test
👎️	hüvelykujj lefelé, kéz, lefelé mutató hüvelykujj, test
👎🏻	hüvelykujj lefelé, kéz, lefelé mutató hüvelykujj, lefelé mutató hüvelykujj: világos bőrtónus, test, világos bőrtónus
👎🏼	hüvelykujj lefelé, kéz, közepesen világos bőrtónus, lefelé mutató hüvelykujj, lefelé mutató hüvelykujj: közepesen világos bőrtónus, test
👎🏽	hüvelykujj lefelé, kéz, közepes bőrtónus, lefelé mutató hüvelykujj, lefelé mutató hüvelykujj: közepes bőrtónus, test
👎🏾	hüvelykujj lefelé, kéz, közepesen sötét bőrtónus, lefelé mutató hüvelykujj, lefelé mutató hüvelykujj: közepesen sötét bőrtónus, test
👎🏿	hüvelykujj lefelé, kéz, lefelé mutató hüvelykujj, lefelé mutató hüvelykujj: sötét bőrtónus, sötét bőrtónus, test
✊	felemelt, felemelt ököl, test, ököl, ütés
✊🏻	felemelt, felemelt ököl: világos bőrtónus, test, világos bőrtónus, ököl, ütés
✊🏼	felemelt, felemelt ököl: közepesen világos bőrtónus, közepesen világos bőrtónus, test, ököl, ütés
✊🏽	felemelt, felemelt ököl: közepes bőrtónus, közepes bőrtónus, test, ököl, ütés
✊🏾	felemelt, felemelt ököl: közepesen sötét bőrtónus, közepesen sötét bőrtónus, test, ököl, ütés
✊🏿	felemelt, felemelt ököl: sötét bőrtónus, sötét bőrtónus, test, ököl, ütés
👊	felemelt, test, ököl, ütés, ütésre emelt ököl
👊🏻	felemelt, test, világos bőrtónus, ököl, ütés, ütésre emelt ököl, ütésre emelt ököl: világos bőrtónus
👊🏼	felemelt, közepesen világos bőrtónus, test, ököl, ütés, ütésre emelt ököl, ütésre emelt ököl: közepesen világos bőrtónus
👊🏽	felemelt, közepes bőrtónus, test, ököl, ütés, ütésre emelt ököl, ütésre emelt ököl: közepes bőrtónus
👊🏾	felemelt, közepesen sötét bőrtónus, test, ököl, ütés, ütésre emelt ököl, ütésre emelt ököl: közepesen sötét bőrtónus
👊🏿	felemelt, sötét bőrtónus, test, ököl, ütés, ütésre emelt ököl, ütésre emelt ököl: sötét bőrtónus
🤛	bal szélső, balra néző ököl, ököl
🤛🏻	bal szélső, balra néző ököl, balra néző ököl: világos bőrtónus, világos bőrtónus, ököl
🤛🏼	bal szélső, balra néző ököl, balra néző ököl: közepesen világos bőrtónus, közepesen világos bőrtónus, ököl
🤛🏽	bal szélső, balra néző ököl, balra néző ököl: közepes bőrtónus, közepes bőrtónus, ököl
🤛🏾	bal szélső, balra néző ököl, balra néző ököl: közepesen sötét bőrtónus, közepesen sötét bőrtónus, ököl
🤛🏿	bal szélső, balra néző ököl, balra néző ököl: sötét bőrtónus, sötét bőrtónus, ököl
🤜	jobb szélső, jobbra néző ököl, ököl
🤜🏻	jobb szélső, jobbra néző ököl, jobbra néző ököl: világos bőrtónus, világos bőrtónus, ököl
🤜🏼	jobb szélső, jobbra néző ököl, jobbra néző ököl: közepesen világos bőrtónus, közepesen világos bőrtónus, ököl
🤜🏽	jobb szélső, jobbra néző ököl, jobbra néző ököl: közepes bőrtónus, közepes bőrtónus, ököl
🤜🏾	jobb szélső, jobbra néző ököl, jobbra néző ököl: közepesen sötét bőrtónus, közepesen sötét bőrtónus, ököl
🤜🏿	jobb szélső, jobbra néző ököl, jobbra néző ököl: sötét bőrtónus, sötét bőrtónus, ököl
👏	kéz, taps, tapsoló kéz, test
👏🏻	kéz, taps, tapsoló kéz, tapsoló kéz: világos bőrtónus, test, világos bőrtónus
👏🏼	kéz, közepesen világos bőrtónus, taps, tapsoló kéz, tapsoló kéz: közepesen világos bőrtónus, test
👏🏽	kéz, közepes bőrtónus, taps, tapsoló kéz, tapsoló kéz: közepes bőrtónus, test
👏🏾	kéz, közepesen sötét bőrtónus, taps, tapsoló kéz, tapsoló kéz: közepesen sötét bőrtónus, test
👏🏿	kéz, sötét bőrtónus, taps, tapsoló kéz, tapsoló kéz: sötét bőrtónus, test
🙌	kezét felemelő ember, kéz, test, vidámság, ünneplés
🙌🏻	kezét felemelő ember, kezét felemelő ember: világos bőrtónus, kéz, test, vidámság, világos bőrtónus, ünneplés
🙌🏼	kezét felemelő ember, kezét felemelő ember: közepesen világos bőrtónus, kéz, közepesen világos bőrtónus, test, vidámság, ünneplés
🙌🏽	kezét felemelő ember, kezét felemelő ember: közepes bőrtónus, kéz, közepes bőrtónus, test, vidámság, ünneplés
🙌🏾	kezét felemelő ember, kezét felemelő ember: közepesen sötét bőrtónus, kéz, közepesen sötét bőrtónus, test, vidámság, ünneplés
🙌🏿	kezét felemelő ember, kezét felemelő ember: sötét bőrtónus, kéz, sötét bőrtónus, test, vidámság, ünneplés
👐	kitárva, kéz, széttárt kéz, test
👐🏻	kitárva, kéz, széttárt kéz, széttárt kéz: világos bőrtónus, test, világos bőrtónus
👐🏼	kitárva, kéz, közepesen világos bőrtónus, széttárt kéz, széttárt kéz: közepesen világos bőrtónus, test
👐🏽	kitárva, kéz, közepes bőrtónus, széttárt kéz, széttárt kéz: közepes bőrtónus, test
👐🏾	kitárva, kéz, közepesen sötét bőrtónus, széttárt kéz, széttárt kéz: közepesen sötét bőrtónus, test
👐🏿	kitárva, kéz, széttárt kéz, széttárt kéz: sötét bőrtónus, sötét bőrtónus, test
🤲	felfelé fordított tenyerek, ima
🤲🏻	felfelé fordított tenyerek, felfelé fordított tenyerek: világos bőrtónus, ima, világos bőrtónus
🤲🏼	felfelé fordított tenyerek, felfelé fordított tenyerek: közepesen világos bőrtónus, ima, közepesen világos bőrtónus
🤲🏽	felfelé fordított tenyerek, felfelé fordított tenyerek: közepes bőrtónus, ima, közepes bőrtónus
🤲🏾	felfelé fordított tenyerek, felfelé fordított tenyerek: közepesen sötét bőrtónus, ima, közepesen sötét bőrtónus
🤲🏿	felfelé fordított tenyerek, felfelé fordított tenyerek: sötét bőrtónus, ima, sötét bőrtónus
