😀	sourire, visage rieur
🧜🏿‍♂	Triton, peau foncée, triton, triton : peau foncée
🧜‍♀	sirène
🧜🏻‍♀	peau claire, sirène, sirène : peau claire
🧜🏼‍♀	peau moyennement claire, sirène, sirène : peau moyennement claire
🧜🏽‍♀	peau légèrement mate, sirène, sirène : peau légèrement mate
🧜🏾‍♀	peau mate, sirène, sirène : peau mate
🧜🏿‍♀	peau foncée, sirène, sirène : peau foncée
🧝	elfe, magique
🧝🏻	elfe, elfe : peau claire, magique, peau claire
🧝🏼	elfe, elfe : peau moyennement claire, magique, peau moyennement claire
🧝🏽	elfe, elfe : peau légèrement mate, magique, peau légèrement mate
🧝🏾	elfe, elfe : peau mate, magique, peau mate
🧝🏿	elfe, elfe : peau foncée, magique, peau foncée
🧝‍♂	elfe homme, magique
🧝🏻‍♂	elfe homme, elfe homme : peau claire, magique, peau claire
🧝🏼‍♂	elfe homme, elfe homme : peau moyennement claire, magique, peau moyennement claire
🧝🏽‍♂	elfe homme, elfe homme : peau légèrement mate, magique, peau légèrement mate
🧝🏾‍♂	elfe homme, elfe homme : peau mate, magique, peau mate
🧝🏿‍♂	elfe homme, elfe homme : peau foncée, magique, peau foncée
🧝‍♀	elfe femme, magique
🧝🏻‍♀	elfe femme, elfe femme : peau claire, magique, peau claire
🧝🏼‍♀	elfe femme, elfe femme : peau moyennement claire, magique, peau moyennement claire
🧝🏽‍♀	elfe femme, elfe femme : peau légèrement mate, magique, peau légèrement mate
🧝🏾‍♀	elfe femme, elfe femme : peau mate, magique, peau mate
🧝🏿‍♀	elfe femme, elfe femme : peau foncée, magique, peau foncée
🧞	djinn, génie
🧞‍♂	djinn, génie homme
🧞‍♀	djinn, génie femme
🧟	mort-vivant, zombie
🧟‍♂	mort-vivant, zombie homme
🧟‍♀	morte-vivante, zombie femme
💆	massage, personne qui se fait masser, salon, visage
💆🏻	massage, peau claire, personne qui se fait masser, personne qui se fait masser : peau claire, salon, visage
💆🏼	massage, peau moyennement claire, personne qui se fait masser, personne qui se fait masser : peau moyennement claire, salon, visage
💆🏽	massage, peau légèrement mate, personne qui se fait masser, personne qui se fait masser : peau légèrement mate, salon, visage
💆🏾	massage, peau mate, personne qui se fait masser, personne qui se fait masser : peau mate, salon, visage
💆🏿	massage, peau foncée, personne qui se fait masser, personne qui se fait masser : peau foncée, salon, visage
💆‍♂	homme, homme qui se fait masser, massage, visage
💆🏻‍♂	homme, homme qui se fait masser, homme qui se fait masser : peau claire, massage, peau claire, visage
💆🏼‍♂	homme, homme qui se fait masser, homme qui se fait masser : peau moyennement claire, massage, peau moyennement claire, visage
💆🏽‍♂	homme, homme qui se fait masser, homme qui se fait masser : peau légèrement mate, massage, peau légèrement mate, visage
💆🏾‍♂	homme, homme qui se fait masser, homme qui se fait masser : peau mate, massage, peau mate, visage
💆🏿‍♂	homme, homme qui se fait masser, homme qui se fait masser : peau foncée, massage, peau foncée, visage
💆‍♀	femme, femme qui se fait masser, massage, visage
💆🏻‍♀	femme, femme qui se fait masser, femme qui se fait masser : peau claire, massage, peau claire, visage
💆🏼‍♀	femme, femme qui se fait masser, femme qui se fait masser : peau moyennement claire, massage, peau moyennement claire, visage
💆🏽‍♀	femme, femme qui se fait masser, femme qui se fait masser : peau légèrement mate, massage, peau légèrement mate, visage
💆🏾‍♀	femme, femme qui se fait masser, femme qui se fait masser : peau mate, massage, peau mate, visage
💆🏿‍♀	femme, femme qui se fait masser, femme qui se fait masser : peau foncée, massage, peau foncée, visage
💇	barbier, beauté, coiffure, personne qui se fait couper les cheveux, salon
💇🏻	barbier, beauté, coiffure, peau claire, personne qui se fait couper les cheveux, personne qui se fait couper les cheveux : peau claire, salon
💇🏼	barbier, beauté, coiffure, peau moyennement claire, personne qui se fait couper les cheveux, personne qui se fait couper les cheveux : peau moyennement claire, salon
💇🏽	barbier, beauté, coiffure, peau légèrement mate, personne qui se fait couper les cheveux, personne qui se fait couper les cheveux : peau légèrement mate, salon
💇🏾	barbier, beauté, coiffure, peau mate, personne qui se fait couper les cheveux, personne qui se fait couper les cheveux : peau mate, salon
💇🏿	barbier, beauté, coiffure, peau foncée, personne qui se fait couper les cheveux, personne qui se fait couper les cheveux : peau foncée, salon
💇‍♂	coiffure, homme, homme qui se fait couper les cheveux
💇🏻‍♂	coiffure, homme, homme qui se fait couper les cheveux, homme qui se fait couper les cheveux : peau claire, peau claire
💇🏼‍♂	coiffure, homme, homme qui se fait couper les cheveux, homme qui se fait couper les cheveux : peau moyennement claire, peau moyennement claire
💇🏽‍♂	coiffure, homme, homme qui se fait couper les cheveux, homme qui se fait couper les cheveux : peau légèrement mate, peau légèrement mate
💇🏾‍♂	coiffure, homme, homme qui se fait couper les cheveux, homme qui se fait couper les cheveux : peau mate, peau mate
💇🏿‍♂	coiffure, homme, homme qui se fait couper les cheveux, homme qui se fait couper les cheveux : peau foncée, peau foncée
💇‍♀	coiffure, femme, femme qui se fait couper les cheveux
💇🏻‍♀	coiffure, femme, femme qui se fait couper les cheveux, femme qui se fait couper les cheveux : peau claire, peau claire
💇🏼‍♀	coiffure, femme, femme qui se fait couper les cheveux, femme qui se fait couper les cheveux : peau moyennement claire, peau moyennement claire
💇🏽‍♀	coiffure, femme, femme qui se fait couper les cheveux, femme qui se fait couper les cheveux : peau légèrement mate, peau légèrement mate
💇🏾‍♀	coiffure, femme, femme qui se fait couper les cheveux, femme qui se fait couper les cheveux : peau mate, peau mate
💇🏿‍♀	coiffure, femme, femme qui se fait couper les cheveux, femme qui se fait couper les cheveux : peau foncée, peau foncée
🚶	marche, personne qui marche, piéton
🚶🏻	marche, peau claire, personne qui marche, personne qui marche : peau claire, piéton
🚶🏼	marche, peau moyennement claire, personne qui marche, personne qui marche : peau moyennement claire, piéton
🚶🏽	marche, peau légèrement mate, personne qui marche, personne qui marche : peau légèrement mate, piéton
🚶🏾	marche, peau mate, personne qui marche, personne qui marche : peau mate, piéton
🚶🏿	marche, peau foncée, personne qui marche, personne qui marche : peau foncée, piéton
🚶‍♂	homme, homme qui marche, marche, piéton
🚶🏻‍♂	homme, homme qui marche, homme qui marche : peau claire, marche, peau claire, piéton
🚶🏼‍♂	homme, homme qui marche, homme qui marche : peau moyennement claire, marche, peau moyennement claire, piéton
🚶🏽‍♂	homme, homme qui marche, homme qui marche : peau légèrement mate, marche, peau légèrement mate, piéton
🚶🏾‍♂	homme, homme qui marche, homme qui marche : peau mate, marche, peau mate, piéton
🚶🏿‍♂	homme, homme qui marche, homme qui marche : peau foncée, marche, peau foncée, piéton
🚶‍♀	femme, femme qui marche, marche, piétonne
🚶🏻‍♀	femme, femme qui marche, femme qui marche : peau claire, marche, peau claire, piétonne
🚶🏼‍♀	femme, femme qui marche, femme qui marche : peau moyennement claire, marche, peau moyennement claire, piétonne
🚶🏽‍♀	femme, femme qui marche, femme qui marche : peau légèrement mate, marche, peau légèrement mate, piétonne
🚶🏾‍♀	femme, femme qui marche, femme qui marche : peau mate, marche, peau mate, piétonne
🚶🏿‍♀	femme, femme qui marche, femme qui marche : peau foncée, marche, peau foncée, piétonne
🧍	debout, personne debout
🧍🏻	debout, peau claire, personne debout, personne debout : peau claire
🧍🏼	debout, peau moyennement claire, personne debout, personne debout : peau moyennement claire
🧍🏽	debout, peau légèrement mate, personne debout, personne debout : peau légèrement mate
🧍🏾	debout, peau mate, personne debout, personne debout : peau mate
🧍🏿	debout, peau foncée, personne debout, personne debout : peau foncée
🧍‍♂	debout, homme, homme debout
🧍🏻‍♂	debout, homme, homme debout : peau claire, peau claire
🧍🏼‍♂	debout, homme, homme debout : peau moyennement claire, peau moyennement claire
🧍🏽‍♂	debout, homme, homme debout : peau légèrement mate, peau légèrement mate
🧍🏾‍♂	debout, homme, homme debout : peau mate, peau mate
🧍🏿‍♂	debout, homme, homme debout : peau foncée, peau foncée
🧍‍♀	debout, femme, femme debout
🧍🏻‍♀	debout, femme, femme debout : peau claire, peau claire
🧍🏼‍♀	debout, femme, femme debout : peau moyennement claire, peau moyennement claire
🧍🏽‍♀	debout, femme, femme debout : peau légèrement mate, peau légèrement mate
🧍🏾‍♀	debout, femme, femme debout : peau mate, peau mate
🧍🏿‍♀	debout, femme, femme debout : peau foncée, peau foncée
🧎	personne à genoux, à genoux
🧎🏻	peau claire, personne à genoux, personne à genoux : peau claire, à genoux
🧎🏼	peau moyennement claire, personne à genoux, personne à genoux : peau moyennement claire, à genoux
🧎🏽	peau légèrement mate, personne à genoux, personne à genoux : peau légèrement mate, à genoux
🧎🏾	peau mate, personne à genoux, personne à genoux : peau mate, à genoux
🧎🏿	peau foncée, personne à genoux, personne à genoux : peau foncée, à genoux
🧎‍♂	homme, homme à genoux, à genoux
🧎🏻‍♂	homme, homme à genoux, homme à genoux : peau claire, peau claire, à genoux
🧎🏼‍♂	homme, homme à genoux, homme à genoux : peau moyennement claire, peau moyennement claire, à genoux
🧎🏽‍♂	homme, homme à genoux, homme à genoux : peau légèrement mate, peau légèrement mate, à genoux
🧎🏾‍♂	homme, homme à genoux, homme à genoux : peau mate, peau mate, à genoux
🧎🏿‍♂	homme, homme à genoux, homme à genoux : peau foncée, peau foncée, à genoux
🧎‍♀	femme, femme à genoux, à genoux
🧎🏻‍♀	femme, femme à genoux, femme à genoux : peau claire, peau claire, à genoux
🧎🏼‍♀	femme, femme à genoux, femme à genoux : peau moyennement claire, peau moyennement claire, à genoux
🧎🏽‍♀	femme, femme à genoux, femme à genoux : peau légèrement mate, peau légèrement mate, à genoux
🧎🏾‍♀	femme, femme à genoux, femme à genoux : peau mate, peau mate, à genoux
🧎🏿‍♀	femme, femme à genoux, femme à genoux : peau foncée, peau foncée, à genoux
👨‍🦯	accessibilité, aveugle, déficient visuel, homme, homme avec canne blanche, malvoyant
👨🏻‍🦯	accessibilité, aveugle, déficient visuel, homme, homme avec canne blanche, homme avec canne blanche : peau claire, malvoyant, peau claire
👨🏼‍🦯	accessibilité, aveugle, déficient visuel, homme, homme avec canne blanche, homme avec canne blanche : peau moyennement claire, malvoyant, peau moyennement claire
👨🏽‍🦯	accessibilité, aveugle, déficient visuel, homme, homme avec canne blanche, homme avec canne blanche : peau légèrement mate, malvoyant, peau légèrement mate
👨🏾‍🦯	accessibilité, aveugle, déficient visuel, homme, homme avec canne blanche, homme avec canne blanche : peau mate, malvoyant, peau mate
👨🏿‍🦯	accessibilité, aveugle, déficient visuel, homme, homme avec canne blanche, homme avec canne blanche : peau foncée, malvoyant, peau foncée
👩‍🦯	accessibilité, aveugle, déficient visuel, femme, femme avec canne blanche, malvoyant
👩🏻‍🦯	accessibilité, aveugle, déficient visuel, femme, femme avec canne blanche, femme avec canne blanche : peau claire, malvoyant, peau claire
👩🏼‍🦯	accessibilité, aveugle, déficient visuel, femme, femme avec canne blanche, femme avec canne blanche : peau moyennement claire, malvoyant, peau moyennement claire
👩🏽‍🦯	accessibilité, aveugle, déficient visuel, femme, femme avec canne blanche, femme avec canne blanche : peau légèrement mate, malvoyant, peau légèrement mate
👩🏾‍🦯	accessibilité, aveugle, déficient visuel, femme, femme avec canne blanche, femme avec canne blanche : peau mate, malvoyant, peau mate
👩🏿‍🦯	accessibilité, aveugle, déficient visuel, femme, femme avec canne blanche, femme avec canne blanche : peau foncée, malvoyant, peau foncée
👨‍🦼	accessibilité, fauteuil roulant, homme, homme en fauteuil motorisé
👨🏻‍🦼	accessibilité, fauteuil roulant, homme, homme en fauteuil motorisé, homme en fauteuil motorisé : peau claire, peau claire
👨🏼‍🦼	accessibilité, fauteuil roulant, homme, homme en fauteuil motorisé, homme en fauteuil motorisé : peau moyennement claire, peau moyennement claire
👨🏽‍🦼	accessibilité, fauteuil roulant, homme, homme en fauteuil motorisé, homme en fauteuil motorisé : peau légèrement mate, peau légèrement mate
👨🏾‍🦼	accessibilité, fauteuil roulant, homme, homme en fauteuil motorisé, homme en fauteuil motorisé : peau mate, peau mate
👨🏿‍🦼	accessibilité, fauteuil roulant, homme, homme en fauteuil motorisé, homme en fauteuil motorisé : peau foncée, peau foncée
👩‍🦼	accessibilité, fauteuil roulant, femme, femme en fauteuil motorisé
👩🏻‍🦼	accessibilité, fauteuil roulant, femme, femme en fauteuil motorisé, femme en fauteuil motorisé : peau claire, peau claire
👩🏼‍🦼	accessibilité, fauteuil roulant, femme, femme en fauteuil motorisé, femme en fauteuil motorisé : peau moyennement claire, peau moyennement claire
👩🏽‍🦼	accessibilité, fauteuil roulant, femme, femme en fauteuil motorisé, femme en fauteuil motorisé : peau légèrement mate, peau légèrement mate
👩🏾‍🦼	accessibilité, fauteuil roulant, femme, femme en fauteuil motorisé, femme en fauteuil motorisé : peau mate, peau mate
👩🏿‍🦼	accessibilité, fauteuil roulant, femme, femme en fauteuil motorisé, femme en fauteuil motorisé : peau foncée, peau foncée
👨‍🦽	accessibilité, fauteuil roulant, homme, homme en fauteuil roulant manuel
👨🏻‍🦽	accessibilité, fauteuil roulant, homme, homme en fauteuil roulant manuel, homme en fauteuil roulant manuel : peau claire, peau claire
👨🏼‍🦽	accessibilité, fauteuil roulant, homme, homme en fauteuil roulant manuel, homme en fauteuil roulant manuel : peau moyennement claire, peau moyennement claire
👨🏽‍🦽	accessibilité, fauteuil roulant, homme, homme en fauteuil roulant manuel, homme en fauteuil roulant manuel : peau légèrement mate, peau légèrement mate
👨🏾‍🦽	accessibilité, fauteuil roulant, homme, homme en fauteuil roulant manuel, homme en fauteuil roulant manuel : peau mate, peau mate
👨🏿‍🦽	accessibilité, fauteuil roulant, homme, homme en fauteuil roulant manuel, homme en fauteuil roulant manuel : peau foncée, peau foncée
👩‍🦽	accessibilité, fauteuil roulant, femme, femme en fauteuil roulant manuel
👩🏻‍🦽	accessibilité, fauteuil roulant, femme, femme en fauteuil roulant manuel, femme en fauteuil roulant manuel : peau claire, peau claire
👩🏼‍🦽	accessibilité, fauteuil roulant, femme, femme en fauteuil roulant manuel, femme en fauteuil roulant manuel : peau moyennement claire, peau moyennement claire
👩🏽‍🦽	accessibilité, fauteuil roulant, femme, femme en fauteuil roulant manuel, femme en fauteuil roulant manuel : peau légèrement mate, peau légèrement mate
👩🏾‍🦽	accessibilité, fauteuil roulant, femme, femme en fauteuil roulant manuel, femme en fauteuil roulant manuel : peau mate, peau mate
👩🏿‍🦽	accessibilité, fauteuil roulant, femme, femme en fauteuil roulant manuel, femme en fauteuil roulant manuel : peau foncée, peau foncée
🏃	coureur, course à pied, jogging, marathon, personne qui court
🏃🏻	coureur, course à pied, jogging, marathon, peau claire, personne qui court, personne qui court : peau claire
🏃🏼	coureur, course à pied, jogging, marathon, peau moyennement claire, personne qui court, personne qui court : peau moyennement claire
🏃🏽	coureur, course à pied, jogging, marathon, peau légèrement mate, personne qui court, personne qui court : peau légèrement mate
🏃🏾	coureur, course à pied, jogging, marathon, peau mate, personne qui court, personne qui court : peau mate
🏃🏿	coureur, course à pied, jogging, marathon, peau foncée, personne qui court, personne qui court : peau foncée
🏃‍♂	course à pied, homme, homme qui court, jogging, marathon
🏃🏻‍♂	course à pied, homme, homme qui court, homme qui court : peau claire, jogging, marathon, peau claire
🏃🏼‍♂	course à pied, homme, homme qui court, homme qui court : peau moyennement claire, jogging, marathon, peau moyennement claire
🏃🏽‍♂	course à pied, homme, homme qui court, homme qui court : peau légèrement mate, jogging, marathon, peau légèrement mate
🏃🏾‍♂	course à pied, homme, homme qui court, homme qui court : peau mate, jogging, marathon, peau mate
🏃🏿‍♂	course à pied, homme, homme qui court, homme qui court : peau foncée, jogging, marathon, peau foncée
🏃‍♀	course à pied, femme, femme qui court, jogging, marathon
🏃🏻‍♀	course à pied, femme, femme qui court, femme qui court : peau claire, jogging, marathon, peau claire
🏃🏼‍♀	course à pied, femme, femme qui court, femme qui court : peau moyennement claire, jogging, marathon, peau moyennement claire
🏃🏽‍♀	course à pied, femme, femme qui court, femme qui court : peau légèrement mate, jogging, marathon, peau légèrement mate
🏃🏾‍♀	course à pied, femme, femme qui court, femme qui court : peau mate, jogging, marathon, peau mate
🏃🏿‍♀	course à pied, femme, femme qui court, femme qui court : peau foncée, jogging, marathon, peau foncée
💃	danse, danseuse, femme
💃🏻	danse, danseuse, danseuse : peau claire, femme, peau claire
💃🏼	danse, danseuse, danseuse : peau moyennement claire, femme, peau moyennement claire
💃🏽	danse, danseuse, danseuse : peau légèrement mate, femme, peau légèrement mate
💃🏾	danse, danseuse, danseuse : peau mate, femme, peau mate
💃🏿	danse, danseuse, danseuse : peau foncée, femme, peau foncée
🕺	danse, danseur, homme
🕺🏻	danse, danseur, danseur : peau claire, homme, peau claire
🕺🏼	danse, danseur, danseur : peau moyennement claire, homme, peau moyennement claire
🕺🏽	danse, danseur, danseur : peau légèrement mate, homme, peau légèrement mate
🕺🏾	danse, danseur, danseur : peau mate, homme, peau mate
🕺🏿	danse, danseur, danseur : peau foncée, homme, peau foncée
🕴️	affaires, homme, homme d’affaires en lévitation
🕴🏻	affaires, homme, homme d’affaires en lévitation, homme d’affaires en lévitation : peau claire, peau claire
🕴🏼	affaires, homme, homme d’affaires en lévitation, homme d’affaires en lévitation : peau moyennement claire, peau moyennement claire
🕴🏽	affaires, homme, homme d’affaires en lévitation, homme d’affaires en lévitation : peau légèrement mate, peau légèrement mate
🕴🏾	affaires, homme, homme d’affaires en lévitation, homme d’affaires en lévitation : peau mate, peau mate
🕴🏿	affaires, homme, homme d’affaires en lévitation, homme d’affaires en lévitation : peau foncée, peau foncée
👯	danseuse, femme, fille, oreilles de lapin, personnes avec des oreilles de lapin
👯‍♂	danseur, fête, homme, hommes avec des oreilles de lapin, oreilles de lapin
👯‍♀	danseuse, femme, femmes avec des oreilles de lapin, fête, oreilles de lapin
🧖	hammam, personne au hammam, sauna
🧖🏻	hammam, peau claire, personne au hammam, personne au hammam : peau claire, sauna
🧖🏼	hammam, peau moyennement claire, personne au hammam, personne au hammam : peau moyennement claire, sauna
🧖🏽	hammam, peau légèrement mate, personne au hammam, personne au hammam : peau légèrement mate, sauna
🧖🏾	hammam, peau mate, personne au hammam, personne au hammam : peau mate, sauna
🧖🏿	hammam, peau foncée, personne au hammam, personne au hammam : peau foncée, sauna
🧖‍♂	hammam, homme au hammam, sauna
🧖🏻‍♂	hammam, homme au hammam, homme au hammam : peau claire, peau claire, sauna
🧖🏼‍♂	hammam, homme au hammam, homme au hammam : peau moyennement claire, peau moyennement claire, sauna
🧖🏽‍♂	hammam, homme au hammam, homme au hammam : peau légèrement mate, peau légèrement mate, sauna
🧖🏾‍♂	hammam, homme au hammam, homme au hammam : peau mate, peau mate, sauna
🧖🏿‍♂	hammam, homme au hammam, homme au hammam : peau foncée, peau foncée, sauna
🧖‍♀	femme au hammam, hammam, sauna
🧖🏻‍♀	femme au hammam, femme au hammam : peau claire, hammam, peau claire, sauna
🧖🏼‍♀	femme au hammam, femme au hammam : peau moyennement claire, hammam, peau moyennement claire, sauna
🧖🏽‍♀	femme au hammam, femme au hammam : peau légèrement mate, hammam, peau légèrement mate, sauna
🧖🏾‍♀	femme au hammam, femme au hammam : peau mate, hammam, peau mate, sauna
🧖🏿‍♀	femme au hammam, femme au hammam : peau foncée, hammam, peau foncée, sauna
🧗	alpiniste, grimpeur, personne qui grimpe
🧗🏻	alpiniste, grimpeur, peau claire, personne qui grimpe, personne qui grimpe : peau claire
🧗🏼	alpiniste, grimpeur, peau moyennement claire, personne qui grimpe, personne qui grimpe : peau moyennement claire
🧗🏽	alpiniste, grimpeur, peau légèrement mate, personne qui grimpe, personne qui grimpe : peau légèrement mate
🧗🏾	alpiniste, grimpeur, peau mate, personne qui grimpe, personne qui grimpe : peau mate
🧗🏿	alpiniste, grimpeur, peau foncée, personne qui grimpe, personne qui grimpe : peau foncée
🧗‍♂	alpiniste, grimpeur, homme qui grimpe
🧗🏻‍♂	alpiniste, grimpeur, homme qui grimpe, homme qui grimpe : peau claire, peau claire
🧗🏼‍♂	alpiniste, grimpeur, homme qui grimpe, homme qui grimpe : peau moyennement claire, peau moyennement claire
🧗🏽‍♂	alpiniste, grimpeur, homme qui grimpe, homme qui grimpe : peau légèrement mate, peau légèrement mate
🧗🏾‍♂	alpiniste, grimpeur, homme qui grimpe, homme qui grimpe : peau mate, peau mate
🧗🏿‍♂	alpiniste, grimpeur, homme qui grimpe, homme qui grimpe : peau foncée, peau foncée
🧗‍♀	alpiniste, femme qui grimpe, grimpeuse
🧗🏻‍♀	alpiniste, femme qui grimpe, femme qui grimpe : peau claire, grimpeuse, peau claire
🧗🏼‍♀	alpiniste, femme qui grimpe, femme qui grimpe : peau moyennement claire, grimpeuse, peau moyennement claire
🧗🏽‍♀	alpiniste, femme qui grimpe, femme qui grimpe : peau légèrement mate, grimpeuse, peau légèrement mate
🧗🏾‍♀	alpiniste, femme qui grimpe, femme qui grimpe : peau mate, grimpeuse, peau mate
🧗🏿‍♀	alpiniste, femme qui grimpe, femme qui grimpe : peau foncée, grimpeuse, peau foncée
🤺	escrime, escrimeur, personne, sport, épée
🏇	cheval, course hippique, jockey, sport
🏇🏻	cheval, course hippique, course hippique : peau claire, jockey, peau claire, sport
🏇🏼	cheval, course hippique, course hippique : peau moyennement claire, jockey, peau moyennement claire, sport
🏇🏽	cheval, course hippique, course hippique : peau légèrement mate, jockey, peau légèrement mate, sport
🏇🏾	cheval, course hippique, course hippique : peau mate, jockey, peau mate, sport
🏇🏿	cheval, course hippique, course hippique : peau foncée, jockey, peau foncée, sport
⛷️	neige, skieur, sport
🏂️	neige, snowboardeur, sport
🏂🏻	neige, peau claire, snowboardeur, snowboardeur : peau claire, sport
🏂🏼	neige, peau moyennement claire, snowboardeur, snowboardeur : peau moyennement claire, sport
🏂🏽	neige, peau légèrement mate, snowboardeur, snowboardeur : peau légèrement mate, sport
🏂🏾	neige, peau mate, snowboardeur, snowboardeur : peau mate, sport
🏂🏿	neige, peau foncée, snowboardeur, snowboardeur : peau foncée, sport
🏌️	balle, golf, joueur de golf
🏌🏻	balle, golf, joueur de golf, joueur de golf : peau claire, peau claire
🏌🏼	balle, golf, joueur de golf, joueur de golf : peau moyennement claire, peau moyennement claire
🏌🏽	balle, golf, joueur de golf, joueur de golf : peau légèrement mate, peau légèrement mate
🏌🏾	balle, golf, joueur de golf, joueur de golf : peau mate, peau mate
🏌🏿	balle, golf, joueur de golf, joueur de golf : peau foncée, peau foncée
🏌‍♂	golf, golfeur, homme
🏌🏻‍♂	golf, golfeur, golfeur : peau claire, homme, peau claire
🏌🏼‍♂	golf, golfeur, golfeur : peau moyennement claire, homme, peau moyennement claire
🏌🏽‍♂	golf, golfeur, golfeur : peau légèrement mate, homme, peau légèrement mate
🏌🏾‍♂	golf, golfeur, golfeur : peau mate, homme, peau mate
🏌🏿‍♂	golf, golfeur, golfeur : peau foncée, homme, peau foncée
🏌‍♀	femme, golf, golfeuse
🏌🏻‍♀	femme, golf, golfeuse, golfeuse : peau claire, peau claire
🏌🏼‍♀	femme, golf, golfeuse, golfeuse : peau moyennement claire, peau moyennement claire
🏌🏽‍♀	femme, golf, golfeuse, golfeuse : peau légèrement mate, peau légèrement mate
🏌🏾‍♀	femme, golf, golfeuse, golfeuse : peau mate, peau mate
🏌🏿‍♀	femme, golf, golfeuse, golfeuse : peau foncée, peau foncée
🏄️	personne faisant du surf, sport
🏄🏻	peau claire, personne faisant du surf, personne faisant du surf : peau claire, sport
🏄🏼	peau moyennement claire, personne faisant du surf, personne faisant du surf : peau moyennement claire, sport
🏄🏽	peau légèrement mate, personne faisant du surf, personne faisant du surf : peau légèrement mate, sport
🏄🏾	peau mate, personne faisant du surf, personne faisant du surf : peau mate, sport
🏄🏿	peau foncée, personne faisant du surf, personne faisant du surf : peau foncée, sport
🏄‍♂	homme, surf, surfeur
🏄🏻‍♂	homme, peau claire, surf, surfeur, surfeur : peau claire
🏄🏼‍♂	homme, peau moyennement claire, surf, surfeur, surfeur : peau moyennement claire
🏄🏽‍♂	homme, peau légèrement mate, surf, surfeur, surfeur : peau légèrement mate
🏄🏾‍♂	homme, peau mate, surf, surfeur, surfeur : peau mate
🏄🏿‍♂	homme, peau foncée, surf, surfeur, surfeur : peau foncée
🏄‍♀	femme, surf, surfeuse
🏄🏻‍♀	femme, peau claire, surf, surfeuse, surfeuse : peau claire
🏄🏼‍♀	femme, peau moyennement claire, surf, surfeuse, surfeuse : peau moyennement claire
🏄🏽‍♀	femme, peau légèrement mate, surf, surfeuse, surfeuse : peau légèrement mate
🏄🏾‍♀	femme, peau mate, surf, surfeuse, surfeuse : peau mate
🏄🏿‍♀	femme, peau foncée, surf, surfeuse, surfeuse : peau foncée
🚣	barque, bateau, personne ramant dans une barque
🚣🏻	barque, bateau, peau claire, personne ramant dans une barque, personne ramant dans une barque : peau claire
🚣🏼	barque, bateau, peau moyennement claire, personne ramant dans une barque, personne ramant dans une barque : peau moyennement claire
🚣🏽	barque, bateau, peau légèrement mate, personne ramant dans une barque, personne ramant dans une barque : peau légèrement mate
🚣🏾	barque, bateau, peau mate, personne ramant dans une barque, personne ramant dans une barque : peau mate
🚣🏿	barque, bateau, peau foncée, personne ramant dans une barque, personne ramant dans une barque : peau foncée
🚣‍♂	barque, bateau, homme, rameur dans une barque
🚣🏻‍♂	barque, bateau, homme, peau claire, rameur dans une barque, rameur dans une barque : peau claire
🚣🏼‍♂	barque, bateau, homme, peau moyennement claire, rameur dans une barque, rameur dans une barque : peau moyennement claire
🚣🏽‍♂	barque, bateau, homme, peau légèrement mate, rameur dans une barque, rameur dans une barque : peau légèrement mate
🚣🏾‍♂	barque, bateau, homme, peau mate, rameur dans une barque, rameur dans une barque : peau mate
🚣🏿‍♂	barque, bateau, homme, peau foncée, rameur dans une barque, rameur dans une barque : peau foncée
🚣‍♀	barque, bateau, femme, rameuse dans une barque
🚣🏻‍♀	barque, bateau, femme, peau claire, rameuse dans une barque, rameuse dans une barque : peau claire
🚣🏼‍♀	barque, bateau, femme, peau moyennement claire, rameuse dans une barque, rameuse dans une barque : peau moyennement claire
🚣🏽‍♀	barque, bateau, femme, peau légèrement mate, rameuse dans une barque, rameuse dans une barque : peau légèrement mate
🚣🏾‍♀	barque, bateau, femme, peau mate, rameuse dans une barque, rameuse dans une barque : peau mate
🚣🏿‍♀	barque, bateau, femme, peau foncée, rameuse dans une barque, rameuse dans une barque : peau foncée
🏊️	personne nageant, sport
🏊🏻	peau claire, personne nageant, personne nageant : peau claire, sport
🏊🏼	peau moyennement claire, personne nageant, personne nageant : peau moyennement claire, sport
🏊🏽	peau légèrement mate, personne nageant, personne nageant : peau légèrement mate, sport
🏊🏾	peau mate, personne nageant, personne nageant : peau mate, sport
🏊🏿	peau foncée, personne nageant, personne nageant : peau foncée, sport
🏊‍♂	homme, nage, nageur
🏊🏻‍♂	homme, nage, nageur, nageur : peau claire, peau claire
🏊🏼‍♂	homme, nage, nageur, nageur : peau moyennement claire, peau moyennement claire
🏊🏽‍♂	homme, nage, nageur, nageur : peau légèrement mate, peau légèrement mate
🏊🏾‍♂	homme, nage, nageur, nageur : peau mate, peau mate
🏊🏿‍♂	homme, nage, nageur, nageur : peau foncée, peau foncée
🏊‍♀	femme, nage, nageuse
🏊🏻‍♀	femme, nage, nageuse, nageuse : peau claire, peau claire
🏊🏼‍♀	femme, nage, nageuse, nageuse : peau moyennement claire, peau moyennement claire
🏊🏽‍♀	femme, nage, nageuse, nageuse : peau légèrement mate, peau légèrement mate
🏊🏾‍♀	femme, nage, nageuse, nageuse : peau mate, peau mate
🏊🏿‍♀	femme, nage, nageuse, nageuse : peau foncée, peau foncée
⛹️	personne avec ballon, sport
⛹🏻	peau claire, personne avec ballon, personne avec ballon : peau claire, sport
⛹🏼	peau moyennement claire, personne avec ballon, personne avec ballon : peau moyennement claire, sport
