😀	face, grin, grinning face
🧝🏽	elf, elf: medium skin tone, magical, medium skin tone
🧝🏾	elf, elf: medium-dark skin tone, magical, medium-dark skin tone
🧝🏿	dark skin tone, elf, elf: dark skin tone, magical
🧝‍♂	magical, man elf
🧝🏻‍♂	light skin tone, magical, man elf, man elf: light skin tone
🧝🏼‍♂	magical, man elf, man elf: medium-light skin tone, medium-light skin tone
🧝🏽‍♂	magical, man elf, man elf: medium skin tone, medium skin tone
🧝🏾‍♂	magical, man elf, man elf: medium-dark skin tone, medium-dark skin tone
🧝🏿‍♂	dark skin tone, magical, man elf, man elf: dark skin tone
🧝‍♀	magical, woman elf
🧝🏻‍♀	light skin tone, magical, woman elf, woman elf: light skin tone
🧝🏼‍♀	magical, medium-light skin tone, woman elf, woman elf: medium-light skin tone
🧝🏽‍♀	magical, medium skin tone, woman elf, woman elf: medium skin tone
🧝🏾‍♀	magical, medium-dark skin tone, woman elf, woman elf: medium-dark skin tone
🧝🏿‍♀	dark skin tone, magical, woman elf, woman elf: dark skin tone
🧞	djinn, genie
🧞‍♂	djinn, man genie
🧞‍♀	djinn, woman genie
🧟	undead, walking dead, zombie
🧟‍♂	man zombie, undead, walking dead
🧟‍♀	undead, walking dead, woman zombie
💆	face, massage, person getting massage, salon
💆🏻	face, light skin tone, massage, person getting massage, person getting massage: light skin tone, salon
💆🏼	face, massage, medium-light skin tone, person getting massage, person getting massage: medium-light skin tone, salon
💆🏽	face, massage, medium skin tone, person getting massage, person getting massage: medium skin tone, salon
💆🏾	face, massage, medium-dark skin tone, person getting massage, person getting massage: medium-dark skin tone, salon
💆🏿	dark skin tone, face, massage, person getting massage, person getting massage: dark skin tone, salon
💆‍♂	face, man, man getting massage, massage
💆🏻‍♂	face, light skin tone, man, man getting massage, man getting massage: light skin tone, massage
💆🏼‍♂	face, man, man getting massage, man getting massage: medium-light skin tone, massage, medium-light skin tone
💆🏽‍♂	face, man, man getting massage, man getting massage: medium skin tone, massage, medium skin tone
💆🏾‍♂	face, man, man getting massage, man getting massage: medium-dark skin tone, massage, medium-dark skin tone
💆🏿‍♂	dark skin tone, face, man, man getting massage, man getting massage: dark skin tone, massage
💆‍♀	face, massage, woman, woman getting massage
💆🏻‍♀	face, light skin tone, massage, woman, woman getting massage, woman getting massage: light skin tone
💆🏼‍♀	face, massage, medium-light skin tone, woman, woman getting massage, woman getting massage: medium-light skin tone
💆🏽‍♀	face, massage, medium skin tone, woman, woman getting massage, woman getting massage: medium skin tone
💆🏾‍♀	face, massage, medium-dark skin tone, woman, woman getting massage, woman getting massage: medium-dark skin tone
💆🏿‍♀	dark skin tone, face, massage, woman, woman getting massage, woman getting massage: dark skin tone
💇	barber, beauty, haircut, parlor, person getting haircut
💇🏻	barber, beauty, haircut, light skin tone, parlor, person getting haircut, person getting haircut: light skin tone
💇🏼	barber, beauty, haircut, medium-light skin tone, parlor, person getting haircut, person getting haircut: medium-light skin tone
💇🏽	barber, beauty, haircut, medium skin tone, parlor, person getting haircut, person getting haircut: medium skin tone
💇🏾	barber, beauty, haircut, medium-dark skin tone, parlor, person getting haircut, person getting haircut: medium-dark skin tone
💇🏿	barber, beauty, dark skin tone, haircut, parlor, person getting haircut, person getting haircut: dark skin tone
💇‍♂	haircut, man, man getting haircut
💇🏻‍♂	haircut, light skin tone, man, man getting haircut, man getting haircut: light skin tone
💇🏼‍♂	haircut, man, man getting haircut, man getting haircut: medium-light skin tone, medium-light skin tone
💇🏽‍♂	haircut, man, man getting haircut, man getting haircut: medium skin tone, medium skin tone
💇🏾‍♂	haircut, man, man getting haircut, man getting haircut: medium-dark skin tone, medium-dark skin tone
💇🏿‍♂	dark skin tone, haircut, man, man getting haircut, man getting haircut: dark skin tone
💇‍♀	haircut, woman, woman getting haircut
💇🏻‍♀	haircut, light skin tone, woman, woman getting haircut, woman getting haircut: light skin tone
💇🏼‍♀	haircut, medium-light skin tone, woman, woman getting haircut, woman getting haircut: medium-light skin tone
💇🏽‍♀	haircut, medium skin tone, woman, woman getting haircut, woman getting haircut: medium skin tone
💇🏾‍♀	haircut, medium-dark skin tone, woman, woman getting haircut, woman getting haircut: medium-dark skin tone
💇🏿‍♀	dark skin tone, haircut, woman, woman getting haircut, woman getting haircut: dark skin tone
🚶	hike, person walking, walk, walking
🚶🏻	hike, light skin tone, person walking, person walking: light skin tone, walk, walking
🚶🏼	hike, medium-light skin tone, person walking, person walking: medium-light skin tone, walk, walking
🚶🏽	hike, medium skin tone, person walking, person walking: medium skin tone, walk, walking
🚶🏾	hike, medium-dark skin tone, person walking, person walking: medium-dark skin tone, walk, walking
🚶🏿	dark skin tone, hike, person walking, person walking: dark skin tone, walk, walking
🚶‍♂	hike, man, man walking, walk
🚶🏻‍♂	hike, light skin tone, man, man walking, man walking: light skin tone, walk
🚶🏼‍♂	hike, man, man walking, man walking: medium-light skin tone, medium-light skin tone, walk
🚶🏽‍♂	hike, man, man walking, man walking: medium skin tone, medium skin tone, walk
🚶🏾‍♂	hike, man, man walking, man walking: medium-dark skin tone, medium-dark skin tone, walk
🚶🏿‍♂	dark skin tone, hike, man, man walking, man walking: dark skin tone, walk
🚶‍♀	hike, walk, woman, woman walking
🚶🏻‍♀	hike, light skin tone, walk, woman, woman walking, woman walking: light skin tone
🚶🏼‍♀	hike, medium-light skin tone, walk, woman, woman walking, woman walking: medium-light skin tone
🚶🏽‍♀	hike, medium skin tone, walk, woman, woman walking, woman walking: medium skin tone
🚶🏾‍♀	hike, medium-dark skin tone, walk, woman, woman walking, woman walking: medium-dark skin tone
🚶🏿‍♀	dark skin tone, hike, walk, woman, woman walking, woman walking: dark skin tone
🧍	person standing, stand, standing
🧍🏻	light skin tone, person standing, person standing: light skin tone, stand, standing
🧍🏼	medium-light skin tone, person standing, person standing: medium-light skin tone, stand, standing
🧍🏽	medium skin tone, person standing, person standing: medium skin tone, stand, standing
🧍🏾	medium-dark skin tone, person standing, person standing: medium-dark skin tone, stand, standing
🧍🏿	dark skin tone, person standing, person standing: dark skin tone, stand, standing
🧍‍♂	man, man standing, standing
🧍🏻‍♂	light skin tone, man, man standing: light skin tone, standing
🧍🏼‍♂	man, man standing: medium-light skin tone, medium-light skin tone, standing
🧍🏽‍♂	man, man standing: medium skin tone, medium skin tone, standing
🧍🏾‍♂	man, man standing: medium-dark skin tone, medium-dark skin tone, standing
🧍🏿‍♂	dark skin tone, man, man standing: dark skin tone, standing
🧍‍♀	standing, woman, woman standing
🧍🏻‍♀	light skin tone, standing, woman, woman standing: light skin tone
🧍🏼‍♀	medium-light skin tone, standing, woman, woman standing: medium-light skin tone
🧍🏽‍♀	medium skin tone, standing, woman, woman standing: medium skin tone
🧍🏾‍♀	medium-dark skin tone, standing, woman, woman standing: medium-dark skin tone
🧍🏿‍♀	dark skin tone, standing, woman, woman standing: dark skin tone
🧎	kneel, kneeling, person kneeling
🧎🏻	kneel, kneeling, light skin tone, person kneeling, person kneeling: light skin tone
🧎🏼	kneel, kneeling, medium-light skin tone, person kneeling, person kneeling: medium-light skin tone
🧎🏽	kneel, kneeling, medium skin tone, person kneeling, person kneeling: medium skin tone
🧎🏾	kneel, kneeling, medium-dark skin tone, person kneeling, person kneeling: medium-dark skin tone
🧎🏿	dark skin tone, kneel, kneeling, person kneeling, person kneeling: dark skin tone
🧎‍♂	kneeling, man, man kneeling
🧎🏻‍♂	kneeling, light skin tone, man, man kneeling: light skin tone
🧎🏼‍♂	kneeling, man, man kneeling: medium-light skin tone, medium-light skin tone
🧎🏽‍♂	kneeling, man, man kneeling: medium skin tone, medium skin tone
🧎🏾‍♂	kneeling, man, man kneeling: medium-dark skin tone, medium-dark skin tone
🧎🏿‍♂	dark skin tone, kneeling, man, man kneeling: dark skin tone
🧎‍♀	kneeling, woman, woman kneeling
🧎🏻‍♀	kneeling, light skin tone, woman, woman kneeling: light skin tone
🧎🏼‍♀	kneeling, medium-light skin tone, woman, woman kneeling: medium-light skin tone
🧎🏽‍♀	kneeling, medium skin tone, woman, woman kneeling: medium skin tone
🧎🏾‍♀	kneeling, medium-dark skin tone, woman, woman kneeling: medium-dark skin tone
🧎🏿‍♀	dark skin tone, kneeling, woman, woman kneeling: dark skin tone
👨‍🦯	accessibility, blind, man, man with probing cane
👨🏻‍🦯	accessibility, blind, light skin tone, man, man with probing cane, man with probing cane: light skin tone
👨🏼‍🦯	accessibility, blind, man, man with probing cane, man with probing cane: medium-light skin tone, medium-light skin tone
👨🏽‍🦯	accessibility, blind, man, man with probing cane, man with probing cane: medium skin tone, medium skin tone
👨🏾‍🦯	accessibility, blind, man, man with probing cane, man with probing cane: medium-dark skin tone, medium-dark skin tone
👨🏿‍🦯	accessibility, blind, dark skin tone, man, man with probing cane, man with probing cane: dark skin tone
👩‍🦯	accessibility, blind, woman, woman with probing cane
👩🏻‍🦯	accessibility, blind, light skin tone, woman, woman with probing cane, woman with probing cane: light skin tone
👩🏼‍🦯	accessibility, blind, medium-light skin tone, woman, woman with probing cane, woman with probing cane: medium-light skin tone
👩🏽‍🦯	accessibility, blind, medium skin tone, woman, woman with probing cane, woman with probing cane: medium skin tone
👩🏾‍🦯	accessibility, blind, medium-dark skin tone, woman, woman with probing cane, woman with probing cane: medium-dark skin tone
👩🏿‍🦯	accessibility, blind, dark skin tone, woman, woman with probing cane, woman with probing cane: dark skin tone
👨‍🦼	accessibility, man, man in motorized wheelchair, wheelchair
👨🏻‍🦼	accessibility, light skin tone, man, man in motorized wheelchair, man in motorized wheelchair: light skin tone, wheelchair
👨🏼‍🦼	accessibility, man, man in motorized wheelchair, man in motorized wheelchair: medium-light skin tone, medium-light skin tone, wheelchair
👨🏽‍🦼	accessibility, man, man in motorized wheelchair, man in motorized wheelchair: medium skin tone, medium skin tone, wheelchair
👨🏾‍🦼	accessibility, man, man in motorized wheelchair, man in motorized wheelchair: medium-dark skin tone, medium-dark skin tone, wheelchair
👨🏿‍🦼	accessibility, dark skin tone, man, man in motorized wheelchair, man in motorized wheelchair: dark skin tone, wheelchair
👩‍🦼	accessibility, wheelchair, woman, woman in motorized wheelchair
👩🏻‍🦼	accessibility, light skin tone, wheelchair, woman, woman in motorized wheelchair, woman in motorized wheelchair: light skin tone
👩🏼‍🦼	accessibility, medium-light skin tone, wheelchair, woman, woman in motorized wheelchair, woman in motorized wheelchair: medium-light skin tone
👩🏽‍🦼	accessibility, medium skin tone, wheelchair, woman, woman in motorized wheelchair, woman in motorized wheelchair: medium skin tone
👩🏾‍🦼	accessibility, medium-dark skin tone, wheelchair, woman, woman in motorized wheelchair, woman in motorized wheelchair: medium-dark skin tone
👩🏿‍🦼	accessibility, dark skin tone, wheelchair, woman, woman in motorized wheelchair, woman in motorized wheelchair: dark skin tone
👨‍🦽	accessibility, man, man in manual wheelchair, wheelchair
👨🏻‍🦽	accessibility, light skin tone, man, man in manual wheelchair, man in manual wheelchair: light skin tone, wheelchair
👨🏼‍🦽	accessibility, man, man in manual wheelchair, man in manual wheelchair: medium-light skin tone, medium-light skin tone, wheelchair
👨🏽‍🦽	accessibility, man, man in manual wheelchair, man in manual wheelchair: medium skin tone, medium skin tone, wheelchair
👨🏾‍🦽	accessibility, man, man in manual wheelchair, man in manual wheelchair: medium-dark skin tone, medium-dark skin tone, wheelchair
👨🏿‍🦽	accessibility, dark skin tone, man, man in manual wheelchair, man in manual wheelchair: dark skin tone, wheelchair
👩‍🦽	accessibility, wheelchair, woman, woman in manual wheelchair
👩🏻‍🦽	accessibility, light skin tone, wheelchair, woman, woman in manual wheelchair, woman in manual wheelchair: light skin tone
👩🏼‍🦽	accessibility, medium-light skin tone, wheelchair, woman, woman in manual wheelchair, woman in manual wheelchair: medium-light skin tone
👩🏽‍🦽	accessibility, medium skin tone, wheelchair, woman, woman in manual wheelchair, woman in manual wheelchair: medium skin tone
👩🏾‍🦽	accessibility, medium-dark skin tone, wheelchair, woman, woman in manual wheelchair, woman in manual wheelchair: medium-dark skin tone
👩🏿‍🦽	accessibility, dark skin tone, wheelchair, woman, woman in manual wheelchair, woman in manual wheelchair: dark skin tone
🏃	marathon, person running, running
🏃🏻	light skin tone, marathon, person running, person running: light skin tone, running
🏃🏼	marathon, medium-light skin tone, person running, person running: medium-light skin tone, running
🏃🏽	marathon, medium skin tone, person running, person running: medium skin tone, running
🏃🏾	marathon, medium-dark skin tone, person running, person running: medium-dark skin tone, running
🏃🏿	dark skin tone, marathon, person running, person running: dark skin tone, running
🏃‍♂	man, man running, marathon, racing, running
🏃🏻‍♂	light skin tone, man, man running: light skin tone, marathon, racing, running
🏃🏼‍♂	man, man running: medium-light skin tone, marathon, medium-light skin tone, racing, running
🏃🏽‍♂	man, man running: medium skin tone, marathon, medium skin tone, racing, running
🏃🏾‍♂	man, man running: medium-dark skin tone, marathon, medium-dark skin tone, racing, running
🏃🏿‍♂	dark skin tone, man, man running: dark skin tone, marathon, racing, running
🏃‍♀	marathon, racing, running, woman, woman running
🏃🏻‍♀	light skin tone, marathon, racing, running, woman, woman running: light skin tone
🏃🏼‍♀	marathon, medium-light skin tone, racing, running, woman, woman running: medium-light skin tone
🏃🏽‍♀	marathon, medium skin tone, racing, running, woman, woman running: medium skin tone
🏃🏾‍♀	marathon, medium-dark skin tone, racing, running, woman, woman running: medium-dark skin tone
🏃🏿‍♀	dark skin tone, marathon, racing, running, woman, woman running: dark skin tone
💃	dancing, woman, woman dancing
💃🏻	dancing, light skin tone, woman, woman dancing: light skin tone
💃🏼	dancing, medium-light skin tone, woman, woman dancing: medium-light skin tone
💃🏽	dancing, medium skin tone, woman, woman dancing: medium skin tone
💃🏾	dancing, medium-dark skin tone, woman, woman dancing: medium-dark skin tone
💃🏿	dancing, dark skin tone, woman, woman dancing: dark skin tone
🕺	dance, man, man dancing
🕺🏻	dance, light skin tone, man, man dancing, man dancing: light skin tone
🕺🏼	dance, man, man dancing, man dancing: medium-light skin tone, medium-light skin tone
🕺🏽	dance, man, man dancing, man dancing: medium skin tone, medium skin tone
🕺🏾	dance, man, man dancing, man dancing: medium-dark skin tone, medium-dark skin tone
🕺🏿	dance, dark skin tone, man, man dancing, man dancing: dark skin tone
🕴️	business, man, man in suit levitating, suit
🕴🏻	business, light skin tone, man, man in suit levitating, man in suit levitating: light skin tone, suit
🕴🏼	business, man, man in suit levitating, man in suit levitating: medium-light skin tone, medium-light skin tone, suit
🕴🏽	business, man, man in suit levitating, man in suit levitating: medium skin tone, medium skin tone, suit
🕴🏾	business, man, man in suit levitating, man in suit levitating: medium-dark skin tone, medium-dark skin tone, suit
🕴🏿	business, dark skin tone, man, man in suit levitating, man in suit levitating: dark skin tone, suit
👯	bunny ear, dancer, partying, people with bunny ears
👯‍♂	bunny ear, dancer, men, men with bunny ears, partying
👯‍♀	bunny ear, dancer, partying, women, women with bunny ears
🧖	person in steamy room, sauna, steam room
🧖🏻	light skin tone, person in steamy room, person in steamy room: light skin tone, sauna, steam room
🧖🏼	medium-light skin tone, person in steamy room, person in steamy room: medium-light skin tone, sauna, steam room
🧖🏽	medium skin tone, person in steamy room, person in steamy room: medium skin tone, sauna, steam room
🧖🏾	medium-dark skin tone, person in steamy room, person in steamy room: medium-dark skin tone, sauna, steam room
🧖🏿	dark skin tone, person in steamy room, person in steamy room: dark skin tone, sauna, steam room
🧖‍♂	man in steamy room, sauna, steam room
🧖🏻‍♂	light skin tone, man in steamy room, man in steamy room: light skin tone, sauna, steam room
🧖🏼‍♂	man in steamy room, man in steamy room: medium-light skin tone, medium-light skin tone, sauna, steam room
🧖🏽‍♂	man in steamy room, man in steamy room: medium skin tone, medium skin tone, sauna, steam room
🧖🏾‍♂	man in steamy room, man in steamy room: medium-dark skin tone, medium-dark skin tone, sauna, steam room
🧖🏿‍♂	dark skin tone, man in steamy room, man in steamy room: dark skin tone, sauna, steam room
🧖‍♀	sauna, steam room, woman in steamy room
🧖🏻‍♀	light skin tone, sauna, steam room, woman in steamy room, woman in steamy room: light skin tone
🧖🏼‍♀	medium-light skin tone, sauna, steam room, woman in steamy room, woman in steamy room: medium-light skin tone
🧖🏽‍♀	medium skin tone, sauna, steam room, woman in steamy room, woman in steamy room: medium skin tone
🧖🏾‍♀	medium-dark skin tone, sauna, steam room, woman in steamy room, woman in steamy room: medium-dark skin tone
🧖🏿‍♀	dark skin tone, sauna, steam room, woman in steamy room, woman in steamy room: dark skin tone
🧗	climber, person climbing
🧗🏻	climber, light skin tone, person climbing, person climbing: light skin tone
🧗🏼	climber, medium-light skin tone, person climbing, person climbing: medium-light skin tone
🧗🏽	climber, medium skin tone, person climbing, person climbing: medium skin tone
🧗🏾	climber, medium-dark skin tone, person climbing, person climbing: medium-dark skin tone
🧗🏿	climber, dark skin tone, person climbing, person climbing: dark skin tone
🧗‍♂	climber, man climbing
🧗🏻‍♂	climber, light skin tone, man climbing, man climbing: light skin tone
🧗🏼‍♂	climber, man climbing, man climbing: medium-light skin tone, medium-light skin tone
🧗🏽‍♂	climber, man climbing, man climbing: medium skin tone, medium skin tone
🧗🏾‍♂	climber, man climbing, man climbing: medium-dark skin tone, medium-dark skin tone
🧗🏿‍♂	climber, dark skin tone, man climbing, man climbing: dark skin tone
🧗‍♀	climber, woman climbing
🧗🏻‍♀	climber, light skin tone, woman climbing, woman climbing: light skin tone
🧗🏼‍♀	climber, medium-light skin tone, woman climbing, woman climbing: medium-light skin tone
🧗🏽‍♀	climber, medium skin tone, woman climbing, woman climbing: medium skin tone
🧗🏾‍♀	climber, medium-dark skin tone, woman climbing, woman climbing: medium-dark skin tone
🧗🏿‍♀	climber, dark skin tone, woman climbing, woman climbing: dark skin tone
🤺	fencer, fencing, person fencing, sword
🏇	horse, horse racing, jockey, racehorse, racing
🏇🏻	horse, horse racing: light skin tone, jockey, light skin tone, racehorse, racing
🏇🏼	horse, horse racing: medium-light skin tone, jockey, medium-light skin tone, racehorse, racing
🏇🏽	horse, horse racing: medium skin tone, jockey, medium skin tone, racehorse, racing
🏇🏾	horse, horse racing: medium-dark skin tone, jockey, medium-dark skin tone, racehorse, racing
🏇🏿	dark skin tone, horse, horse racing: dark skin tone, jockey, racehorse, racing
⛷️	ski, skier, snow
🏂️	ski, snow, snowboard, snowboarder
🏂🏻	light skin tone, ski, snow, snowboard, snowboarder, snowboarder: light skin tone
🏂🏼	medium-light skin tone, ski, snow, snowboard, snowboarder, snowboarder: medium-light skin tone
🏂🏽	medium skin tone, ski, snow, snowboard, snowboarder, snowboarder: medium skin tone
🏂🏾	medium-dark skin tone, ski, snow, snowboard, snowboarder, snowboarder: medium-dark skin tone
🏂🏿	dark skin tone, ski, snow, snowboard, snowboarder, snowboarder: dark skin tone
🏌️	ball, golf, person golfing
🏌🏻	ball, golf, light skin tone, person golfing, person golfing: light skin tone
🏌🏼	ball, golf, medium-light skin tone, person golfing, person golfing: medium-light skin tone
🏌🏽	ball, golf, medium skin tone, person golfing, person golfing: medium skin tone
🏌🏾	ball, golf, medium-dark skin tone, person golfing, person golfing: medium-dark skin tone
🏌🏿	ball, dark skin tone, golf, person golfing, person golfing: dark skin tone
🏌‍♂	golf, man, man golfing
🏌🏻‍♂	golf, light skin tone, man, man golfing, man golfing: light skin tone
🏌🏼‍♂	golf, man, man golfing, man golfing: medium-light skin tone, medium-light skin tone
🏌🏽‍♂	golf, man, man golfing, man golfing: medium skin tone, medium skin tone
🏌🏾‍♂	golf, man, man golfing, man golfing: medium-dark skin tone, medium-dark skin tone
🏌🏿‍♂	dark skin tone, golf, man, man golfing, man golfing: dark skin tone
🏌‍♀	golf, woman, woman golfing
🏌🏻‍♀	golf, light skin tone, woman, woman golfing, woman golfing: light skin tone
🏌🏼‍♀	golf, medium-light skin tone, woman, woman golfing, woman golfing: medium-light skin tone
🏌🏽‍♀	golf, medium skin tone, woman, woman golfing, woman golfing: medium skin tone
🏌🏾‍♀	golf, medium-dark skin tone, woman, woman golfing, woman golfing: medium-dark skin tone
🏌🏿‍♀	dark skin tone, golf, woman, woman golfing, woman golfing: dark skin tone
🏄️	person surfing, surfing
🏄🏻	light skin tone, person surfing, person surfing: light skin tone, surfing
🏄🏼	medium-light skin tone, person surfing, person surfing: medium-light skin tone, surfing
🏄🏽	medium skin tone, person surfing, person surfing: medium skin tone, surfing
🏄🏾	medium-dark skin tone, person surfing, person surfing: medium-dark skin tone, surfing
🏄🏿	dark skin tone, person surfing, person surfing: dark skin tone, surfing
🏄‍♂	man, man surfing, surfing
🏄🏻‍♂	light skin tone, man, man surfing: light skin tone, surfing
🏄🏼‍♂	man, man surfing: medium-light skin tone, medium-light skin tone, surfing
🏄🏽‍♂	man, man surfing: medium skin tone, medium skin tone, surfing
🏄🏾‍♂	man, man surfing: medium-dark skin tone, medium-dark skin tone, surfing
🏄🏿‍♂	dark skin tone, man, man surfing: dark skin tone, surfing
🏄‍♀	surfing, woman, woman surfing
🏄🏻‍♀	light skin tone, surfing, woman, woman surfing: light skin tone
🏄🏼‍♀	medium-light skin tone, surfing, woman, woman surfing: medium-light skin tone
🏄🏽‍♀	medium skin tone, surfing, woman, woman surfing: medium skin tone
🏄🏾‍♀	medium-dark skin tone, surfing, woman, woman surfing: medium-dark skin tone
🏄🏿‍♀	dark skin tone, surfing, woman, woman surfing: dark skin tone
🚣	boat, person rowing boat, rowboat
🚣🏻	boat, light skin tone, person rowing boat, person rowing boat: light skin tone, rowboat
🚣🏼	boat, medium-light skin tone, person rowing boat, person rowing boat: medium-light skin tone, rowboat
🚣🏽	boat, medium skin tone, person rowing boat, person rowing boat: medium skin tone, rowboat
🚣🏾	boat, medium-dark skin tone, person rowing boat, person rowing boat: medium-dark skin tone, rowboat
🚣🏿	boat, dark skin tone, person rowing boat, person rowing boat: dark skin tone, rowboat
🚣‍♂	boat, man, man rowing boat, rowboat
🚣🏻‍♂	boat, light skin tone, man, man rowing boat, man rowing boat: light skin tone, rowboat
🚣🏼‍♂	boat, man, man rowing boat, man rowing boat: medium-light skin tone, medium-light skin tone, rowboat
🚣🏽‍♂	boat, man, man rowing boat, man rowing boat: medium skin tone, medium skin tone, rowboat
🚣🏾‍♂	boat, man, man rowing boat, man rowing boat: medium-dark skin tone, medium-dark skin tone, rowboat
🚣🏿‍♂	boat, dark skin tone, man, man rowing boat, man rowing boat: dark skin tone, rowboat
🚣‍♀	boat, rowboat, woman, woman rowing boat
🚣🏻‍♀	boat, light skin tone, rowboat, woman, woman rowing boat, woman rowing boat: light skin tone
🚣🏼‍♀	boat, medium-light skin tone, rowboat, woman, woman rowing boat, woman rowing boat: medium-light skin tone
🚣🏽‍♀	boat, medium skin tone, rowboat, woman, woman rowing boat, woman rowing boat: medium skin tone
🚣🏾‍♀	boat, medium-dark skin tone, rowboat, woman, woman rowing boat, woman rowing boat: medium-dark skin tone
🚣🏿‍♀	boat, dark skin tone, rowboat, woman, woman rowing boat, woman rowing boat: dark skin tone
🏊️	person swimming, swim
🏊🏻	light skin tone, person swimming, person swimming: light skin tone, swim
🏊🏼	medium-light skin tone, person swimming, person swimming: medium-light skin tone, swim
🏊🏽	medium skin tone, person swimming, person swimming: medium skin tone, swim
🏊🏾	medium-dark skin tone, person swimming, person swimming: medium-dark skin tone, swim
🏊🏿	dark skin tone, person swimming, person swimming: dark skin tone, swim
🏊‍♂	man, man swimming, swim
🏊🏻‍♂	light skin tone, man, man swimming, man swimming: light skin tone, swim
🏊🏼‍♂	man, man swimming, man swimming: medium-light skin tone, medium-light skin tone, swim
🏊🏽‍♂	man, man swimming, man swimming: medium skin tone, medium skin tone, swim
🏊🏾‍♂	man, man swimming, man swimming: medium-dark skin tone, medium-dark skin tone, swim
🏊🏿‍♂	dark skin tone, man, man swimming, man swimming: dark skin tone, swim
🏊‍♀	swim, woman, woman swimming
🏊🏻‍♀	light skin tone, swim, woman, woman swimming, woman swimming: light skin tone
🏊🏼‍♀	medium-light skin tone, swim, woman, woman swimming, woman swimming: medium-light skin tone
🏊🏽‍♀	medium skin tone, swim, woman, woman swimming, woman swimming: medium skin tone
🏊🏾‍♀	medium-dark skin tone, swim, woman, woman swimming, woman swimming: medium-dark skin tone
🏊🏿‍♀	dark skin tone, swim, woman, woman swimming, woman swimming: dark skin tone
⛹️	ball, person bouncing ball
⛹🏻	ball, light skin tone, person bouncing ball, person bouncing ball: light skin tone
⛹🏼	ball, medium-light skin tone, person bouncing ball, person bouncing ball: medium-light skin tone
⛹🏽	ball, medium skin tone, person bouncing ball, person bouncing ball: medium skin tone
⛹🏾	ball, medium-dark skin tone, person bouncing ball, person bouncing ball: medium-dark skin tone
⛹🏿	ball, dark skin tone, person bouncing ball, person bouncing ball: dark skin tone
⛹‍♂	ball, man, man bouncing ball
⛹🏻‍♂	ball, light skin tone, man, man bouncing ball, man bouncing ball: light skin tone
⛹🏼‍♂	ball, man, man bouncing ball, man bouncing ball: medium-light skin tone, medium-light skin tone
⛹🏽‍♂	ball, man, man bouncing ball, man bouncing ball: medium skin tone, medium skin tone
⛹🏾‍♂	ball, man, man bouncing ball, man bouncing ball: medium-dark skin tone, medium-dark skin tone
⛹🏿‍♂	ball, dark skin tone, man, man bouncing ball, man bouncing ball: dark skin tone
⛹‍♀	ball, woman, woman bouncing ball
⛹🏻‍♀	ball, light skin tone, woman, woman bouncing ball, woman bouncing ball: light skin tone
⛹🏼‍♀	ball, medium-light skin tone, woman, woman bouncing ball, woman bouncing ball: medium-light skin tone
⛹🏽‍♀	ball, medium skin tone, woman, woman bouncing ball, woman bouncing ball: medium skin tone
⛹🏾‍♀	ball, medium-dark skin tone, woman, woman bouncing ball, woman bouncing ball: medium-dark skin tone
⛹🏿‍♀	ball, dark skin tone, woman, woman bouncing ball, woman bouncing ball: dark skin tone
🏋️	lifter, person lifting weights, weight
🏋🏻	lifter, light skin tone, person lifting weights, person lifting weights: light skin tone, weight
🏋🏼	lifter, medium-light skin tone, person lifting weights, person lifting weights: medium-light skin tone, weight
🏋🏽	lifter, medium skin tone, person lifting weights, person lifting weights: medium skin tone, weight
🏋🏾	lifter, medium-dark skin tone, person lifting weights, person lifting weights: medium-dark skin tone, weight
🏋🏿	dark skin tone, lifter, person lifting weights, person lifting weights: dark skin tone, weight
🏋‍♂	man, man lifting weights, weight lifter
🏋🏻‍♂	light skin tone, man, man lifting weights, man lifting weights: light skin tone, weight lifter
🏋🏼‍♂	man, man lifting weights, man lifting weights: medium-light skin tone, medium-light skin tone, weight lifter
🏋🏽‍♂	man, man lifting weights, man lifting weights: medium skin tone, medium skin tone, weight lifter
🏋🏾‍♂	man, man lifting weights, man lifting weights: medium-dark skin tone, medium-dark skin tone, weight lifter
🏋🏿‍♂	dark skin tone, man, man lifting weights, man lifting weights: dark skin tone, weight lifter
🏋‍♀	weight lifter, woman, woman lifting weights
🏋🏻‍♀	light skin tone, weight lifter, woman, woman lifting weights, woman lifting weights: light skin tone
🏋🏼‍♀	medium-light skin tone, weight lifter, woman, woman lifting weights, woman lifting weights: medium-light skin tone
🏋🏽‍♀	medium skin tone, weight lifter, woman, woman lifting weights, woman lifting weights: medium skin tone
🏋🏾‍♀	medium-dark skin tone, weight lifter, woman, woman lifting weights, woman lifting weights: medium-dark skin tone
🏋🏿‍♀	dark skin tone, weight lifter, woman, woman lifting weights, woman lifting weights: dark skin tone
🚴	bicycle, biking, cyclist, person biking
🚴🏻	bicycle, biking, cyclist, light skin tone, person biking, person biking: light skin tone
🚴🏼	bicycle, biking, cyclist, medium-light skin tone, person biking, person biking: medium-light skin tone
🚴🏽	bicycle, biking, cyclist, medium skin tone, person biking, person biking: medium skin tone
🚴🏾	bicycle, biking, cyclist, medium-dark skin tone, person biking, person biking: medium-dark skin tone
🚴🏿	bicycle, biking, cyclist, dark skin tone, person biking, person biking: dark skin tone
🚴‍♂	bicycle, biking, cyclist, man, man biking
