😀	gáire, meangadh, straoiseog ghealgháireach
🤓	aghaidh, aghaidh saoithíneach, geocach ríomhaire, saoithín, straoiseog shaoithíneach
🧐	aghaidh le leathspéacla, leathspéacla, straoiseog le leathspéacla, uasaicmeach
😕	measctha, straoiseog mhearaithe, trína chéile
😟	imní, straoiseog imníoch
🙁	aghaidh, grainc, straoiseog le mionghrainc uirthi
☹️	aghaidh, grainc, straoiseog le grainc uirthi
😮	béal ar oscailt, straoiseog le béal oscailte
😯	ionadh, iontas, straoiseog ina tost, straoiseog thostach
😲	ionadh, iontas, straoiseog iontais
😳	aghaidh dhearg, aghaidh lasta, mearbhall, straoiseog dhearg
🥺	impigh, straoiseog impíoch, súile coileáin, trócaire
😦	aghaidh, ar oscailt, béal, grainc, straoiseag ghruama le béal oscailte
😧	aghaidh, cráite, straoiseog chráite
😨	eagla, faitíos, straoiseog eaglach
😰	allas, brostaigh, faoi dheifir, fuarallas, straoiseog fhaiteach le hallas
😥	díomá, faoiseamh, straoiseog a bhfuil díoma ach le faoiseamh, straoiseog a bhfuil díoma agus faoiseamh uirthi, straoiseog dhíomá, suaimhneas intinne
😢	caoineadh, deora, gol, straoiseog chaointeach
😭	caoineadh go hard, deora, gol go hard, straoiseog ag caoineadh os ard, straoiseog chaointeach os ard
😱	béic, eagla, faitíos, scread, straoiseog ag béiceach amach le heagla
😖	mearbhall, straoiseog le mearbhall uirthi
😣	buanseasmhach, leanaim orm, straoiseog bhuanseasmhachta, straoiseog dhíocasach
😞	díomá, straoiseog dhíomách
😓	fuarallas, imní, straoiseog in ísle brí le fuarallas
😩	straoiseog thraochta, tuirse, tuirseach
😫	aghaidh, straoiseog thuirseach, tuirseach
🥱	aghaidh ag méanfach, leamh, méanfach, tuirseach
😤	bua, mórtas, straoiseog le gal ón tsrón
😡	pus, smut, straoiseog le puisín uirthi, straoiseog pus
😠	fearg, straoiseog fheargach
🤬	eascainí, straoiseog le siombailí ar an mbéal
😈	adharca, meangadh gáire, straoiseog ag gáire le hadharca
👿	diaibhlín, straoiseog fheargach le hadharca
💀	blaosc
☠️	aghaidh, arracht, blaosc, blaosc agus croschnámah, bloasc agus cnámha crosáilte, bás
💩	cac, carn caca
🤡	aghaidh, bean ghrinn, fear grinn, fearr grinn, gáire
👹	aghaidh, arrachtach, fathach, síscéal
👺	aghaidh, arrachtach, gruagach, síscéal
👻	aghaidh, síscéal, taibhse
👽️	eachtardhomhandach, eachtrán, úfó
👾	arracht eachtráin, eachtrán arrachtaigh, úfó
🤖	aghaidh, arracht, róbat
😺	aghaidh, cat, cat ag miongháire, meangadh, mionngháire, oscailte
😸	aghaidh, cat, meangadh, miongháire, straoiseog cait le súile le miongháire, súil
😹	aghaidh, cat, deora, straoiseog cait le deora áthais, áthas
😻	cat, croí, grá, meangadh, straoiseog cait le croíthe ina súile, súil
😼	aghaidh, cat, dóite, meangadh, straoiseog cait le miongháire dóite, íoróineach
😽	aghaidh, cat, cat ag pógadh, póg, súil
🙀	aghaidh, cat, cat tuirseach, iontas, oh, tuirseach
😿	aghaidh, brón, cat, cat ag gol, deora, gol
😾	aghaidh, cat, cat le puisín air, puisín
🙈	moncaí, moncaí nach bhfeiceann aon olc, ná feic aon olc
🙉	moncaí, moncaí nach gcloiseann aon olc, ná clois aon olc
🙊	moncaí, moncaí nach labhraíonn faoin olc, moncaí nach ndeir aon olc, ná labhair faoin olc
💋	beola, marc póg, póg
💌	croí, grá, litir, litir ghrá
💘	croí agus saighead, grá, saighead
💝	croí, croí le ribín
💖	croí, croí ag lonrú, grá
💗	croí, croí ag fás, grá
💓	croí, croí ag preabadh, grá, preabadh
💞	croíthe, croíthe ag rothlú
💕	dhá chroí, grá
💟	croí, maisiúchán croí
❣️	comhartha uaillbhreasa croí, marc, poncaíocht
💔	brón, croí, croíbhriste
❤️	croí, croí dearg
🧡	croí, croí oráiste
💛	croí, croí buí
💚	croí, croí glas
💙	croí, croí gorm
💜	croí, croí corcra
🤎	croí, croí donn, donn
🖤	croí dubh, dona, dubh, gránna
🤍	bán, croí, croí bán
💯	100, 100 pointe, scór iomlán
💢	fearg, feargach, siombail feirge
💥	plab, pléasc, torann
💫	meadhrán, mearbhall, réaltaí
💦	braonta, broainíní allais, stealladh, uisce
💨	rith, sciuird, tapa
🕳️	poll
💣️	buama, pléascadh
💬	bolgán, bolgán cainte, caint
👁‍🗨	bolgán cainte, finné, súil, súil i mbolgán cainte
🗨️	bolgán cainte ar chlé, bolgán cainte chlé, caint, comhrá
🗯️	ar buille, balún, bolgán, bolgán feirge ar dheis, bolgán feirge dheis
💭	bolgán, bolgán smaointe, smaoineamh
💤	codladh, srannadh, tuirseach
👋	croitheadh, lámh, lámh ag croitheadh
👋🏻	croitheadh, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis geal, ton cnis geal
👋🏼	croitheadh, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis mheánach-gheal, ton cnis mheánach-gheal
👋🏽	croitheadh, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis meánach, ton cnis meánach
👋🏾	croitheadh, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis meándorcha, ton cnis meándorcha
👋🏿	croitheadh, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis dorcha, ton cnis dorcha
🤚	cúl, cúl láimhe in airde, in airde, lámh, lámh in airde
🤚🏻	cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis geal, in airde, lámh, lámh in airde, ton cnis geal
🤚🏼	cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis mheánach-gheal, in airde, lámh, lámh in airde, ton cnis mheánach-gheal
🤚🏽	cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis meánach, in airde, lámh, lámh in airde, ton cnis meánach
🤚🏾	cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis meándorcha, in airde, lámh, lámh in airde, ton cnis meándorcha
🤚🏿	cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis dorcha, in airde, lámh, lámh in airde, ton cnis dorcha
🖐️	ar leathadh, corp, lámh, lámh le méara spréite, lámha suas lena mhéara ar leathadh
🖐🏻	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis geal, lámha suas lena mhéara ar leathadh, ton cnis geal
🖐🏼	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis mheánach-gheal, lámha suas lena mhéara ar leathadh, ton cnis mheánach-gheal
🖐🏽	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis meánach, lámha suas lena mhéara ar leathadh, ton cnis meánach
🖐🏾	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis meándorcha, lámha suas lena mhéara ar leathadh, ton cnis meándorcha
🖐🏿	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis dorcha, lámha suas lena mhéara ar leathadh, ton cnis dorcha
✋	lámh ardaithe, páipéar
✋🏻	lámh ardaithe, lámh ardaithe: ton cnis geal, páipéar, ton cnis geal
✋🏼	lámh ardaithe, lámh ardaithe: ton cnis mheánach-gheal, páipéar, ton cnis mheánach-gheal
✋🏽	lámh ardaithe, lámh ardaithe: ton cnis meánach, páipéar, ton cnis meánach
✋🏾	lámh ardaithe, lámh ardaithe: ton cnis meándorcha, páipéar, ton cnis meándorcha
✋🏿	lámh ardaithe, lámh ardaithe: ton cnis dorcha, páipéar, ton cnis dorcha
🖖	cuirtéis Bholcáin, lámh, méar, spock
🖖🏻	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis geal, lámh, méar, spock, ton cnis geal
🖖🏼	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis mheánach-gheal, lámh, méar, spock, ton cnis mheánach-gheal
🖖🏽	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis meánach, lámh, méar, spock, ton cnis meánach
🖖🏾	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis meándorcha, lámh, méar, spock, ton cnis meándorcha
🖖🏿	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis dorcha, lámh, méar, spock, ton cnis dorcha
👌	OK, lámh, lámh OK
👌🏻	OK, lámh, lámh OK: ton cnis geal, ton cnis geal
👌🏼	OK, lámh, lámh OK: ton cnis mheánach-gheal, ton cnis mheánach-gheal
👌🏽	OK, lámh, lámh OK: ton cnis meánach, ton cnis meánach
👌🏾	OK, lámh, lámh OK: ton cnis meándorcha, ton cnis meándorcha
👌🏿	OK, lámh, lámh OK: ton cnis dorcha, ton cnis dorcha
🤌	meára tnáite
🤌🏻	meára tnáite, meára tnáite: ton cnis geal, ton cnis geal
🤌🏼	meára tnáite, meára tnáite: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🤌🏽	meára tnáite, meára tnáite: ton cnis meánach, ton cnis meánach
🤌🏾	meára tnáite, meára tnáite: ton cnis meándorcha, ton cnis meándorcha
🤌🏿	meára tnáite, meára tnáite: ton cnis dorcha, ton cnis dorcha
🤏	lámh ag pinseáil, píosa beag
🤏🏻	lámh ag pinseáil, lámh ag pinseáil: ton cnis geal, píosa beag, ton cnis geal
🤏🏼	lámh ag pinseáil, lámh ag pinseáil: ton cnis mheánach-gheal, píosa beag, ton cnis mheánach-gheal
🤏🏽	lámh ag pinseáil, lámh ag pinseáil: ton cnis meánach, píosa beag, ton cnis meánach
🤏🏾	lámh ag pinseáil, lámh ag pinseáil: ton cnis meándorcha, píosa beag, ton cnis meándorcha
🤏🏿	lámh ag pinseáil, lámh ag pinseáil: ton cnis dorcha, píosa beag, ton cnis dorcha
✌️	bua, lámh bua, lámh síocháin, lámh síochána
✌🏻	bua, lámh bua, lámh síocháin, lámh síochána, lámh síochána: ton cnis geal, ton cnis geal
✌🏼	bua, lámh bua, lámh síocháin, lámh síochána, lámh síochána: ton cnis mheánach-gheal, ton cnis mheánach-gheal
✌🏽	bua, lámh bua, lámh síocháin, lámh síochána, lámh síochána: ton cnis meánach, ton cnis meánach
✌🏾	bua, lámh bua, lámh síocháin, lámh síochána, lámh síochána: ton cnis meándorcha, ton cnis meándorcha
✌🏿	bua, lámh bua, lámh síocháin, lámh síochána, lámh síochána: ton cnis dorcha, ton cnis dorcha
🤞	ag súil, crosach, méara, méara crosach ar a chéile, méarsa trasna, ádh
🤞🏻	ag súil, crosach, méara, méara crosach ar a chéile, méarsa trasna, méarsa trasna: ton cnis geal, ton cnis geal, ádh
🤞🏼	ag súil, crosach, méara, méara crosach ar a chéile, méarsa trasna, méarsa trasna: ton cnis mheánach-gheal, ton cnis mheánach-gheal, ádh
🤞🏽	ag súil, crosach, méara, méara crosach ar a chéile, méarsa trasna, méarsa trasna: ton cnis meánach, ton cnis meánach, ádh
🤞🏾	ag súil, crosach, méara, méara crosach ar a chéile, méarsa trasna, méarsa trasna: ton cnis meándorcha, ton cnis meándorcha, ádh
🤞🏿	ag súil, crosach, méara, méara crosach ar a chéile, méarsa trasna, méarsa trasna: ton cnis dorcha, ton cnis dorcha, ádh
🤟	comhartha, comhartha ghrá, comhartha grá, grá, lámh, téarma ceana
🤟🏻	comhartha, comhartha ghrá, comhartha grá: ton cnis geal, grá, lámh, ton cnis geal, téarma ceana
🤟🏼	comhartha, comhartha ghrá, comhartha grá: ton cnis mheánach-gheal, grá, lámh, ton cnis mheánach-gheal, téarma ceana
🤟🏽	comhartha, comhartha ghrá, comhartha grá: ton cnis meánach, grá, lámh, ton cnis meánach, téarma ceana
🤟🏾	comhartha, comhartha ghrá, comhartha grá: ton cnis meándorcha, grá, lámh, ton cnis meándorcha, téarma ceana
🤟🏿	comhartha, comhartha ghrá, comhartha grá: ton cnis dorcha, grá, lámh, ton cnis dorcha, téarma ceana
🤘	lean ort, lámh, lámh na binne, méar, siombail na n-adharc
🤘🏻	lean ort, lámh, lámh na binne, méar, siombail na n-adharc, siombail na n-adharc: ton cnis geal, ton cnis geal
🤘🏼	lean ort, lámh, lámh na binne, méar, siombail na n-adharc, siombail na n-adharc: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🤘🏽	lean ort, lámh, lámh na binne, méar, siombail na n-adharc, siombail na n-adharc: ton cnis meánach, ton cnis meánach
🤘🏾	lean ort, lámh, lámh na binne, méar, siombail na n-adharc, siombail na n-adharc: ton cnis meándorcha, ton cnis meándorcha
🤘🏿	lean ort, lámh, lámh na binne, méar, siombail na n-adharc, siombail na n-adharc: ton cnis dorcha, ton cnis dorcha
🤙	an lámh cur glao orm, glaoch, glaoigh orm, guthán, lámh
🤙🏻	an lámh cur glao orm, an lámh cur glao orm: ton cnis geal, glaoch, glaoigh orm, guthán, lámh, ton cnis geal
🤙🏼	an lámh cur glao orm, an lámh cur glao orm: ton cnis mheánach-gheal, glaoch, glaoigh orm, guthán, lámh, ton cnis mheánach-gheal
🤙🏽	an lámh cur glao orm, an lámh cur glao orm: ton cnis meánach, glaoch, glaoigh orm, guthán, lámh, ton cnis meánach
🤙🏾	an lámh cur glao orm, an lámh cur glao orm: ton cnis meándorcha, glaoch, glaoigh orm, guthán, lámh, ton cnis meándorcha
🤙🏿	an lámh cur glao orm, an lámh cur glao orm: ton cnis dorcha, glaoch, glaoigh orm, guthán, lámh, ton cnis dorcha
👈️	corrmhéar, cúl cormhéar ag pointeáil ar chlé, cúl corrmhéire ag díriú ar chlé, lámh, méar
👈🏻	corrmhéar, cúl cormhéar ag pointeáil ar chlé, cúl corrmhéire ag díriú ar chlé, cúl corrmhéire ag díriú ar chlé: ton cnis geal, lámh, méar, ton cnis geal
👈🏼	corrmhéar, cúl cormhéar ag pointeáil ar chlé, cúl corrmhéire ag díriú ar chlé, cúl corrmhéire ag díriú ar chlé: ton cnis mheánach-gheal, lámh, méar, ton cnis mheánach-gheal
👈🏽	corrmhéar, cúl cormhéar ag pointeáil ar chlé, cúl corrmhéire ag díriú ar chlé, cúl corrmhéire ag díriú ar chlé: ton cnis meánach, lámh, méar, ton cnis meánach
👈🏾	corrmhéar, cúl cormhéar ag pointeáil ar chlé, cúl corrmhéire ag díriú ar chlé, cúl corrmhéire ag díriú ar chlé: ton cnis meándorcha, lámh, méar, ton cnis meándorcha
👈🏿	corrmhéar, cúl cormhéar ag pointeáil ar chlé, cúl corrmhéire ag díriú ar chlé, cúl corrmhéire ag díriú ar chlé: ton cnis dorcha, lámh, méar, ton cnis dorcha
👉️	corrmhéar, cúl cormhéar ag pointeáil ar dheis, cúl corrmhéire ag díriú ar dheis, lámh, méar
👉🏻	corrmhéar, cúl cormhéar ag pointeáil ar dheis, cúl corrmhéire ag díriú ar dheis, cúl corrmhéire ag díriú ar dheis: ton cnis geal, lámh, méar, ton cnis geal
👉🏼	corrmhéar, cúl cormhéar ag pointeáil ar dheis, cúl corrmhéire ag díriú ar dheis, cúl corrmhéire ag díriú ar dheis: ton cnis mheánach-gheal, lámh, méar, ton cnis mheánach-gheal
👉🏽	corrmhéar, cúl cormhéar ag pointeáil ar dheis, cúl corrmhéire ag díriú ar dheis, cúl corrmhéire ag díriú ar dheis: ton cnis meánach, lámh, méar, ton cnis meánach
👉🏾	corrmhéar, cúl cormhéar ag pointeáil ar dheis, cúl corrmhéire ag díriú ar dheis, cúl corrmhéire ag díriú ar dheis: ton cnis meándorcha, lámh, méar, ton cnis meándorcha
👉🏿	corrmhéar, cúl cormhéar ag pointeáil ar dheis, cúl corrmhéire ag díriú ar dheis, cúl corrmhéire ag díriú ar dheis: ton cnis dorcha, lámh, méar, ton cnis dorcha
👆️	corrmhéar, cúl cormhéar ag pointeáil suas, cúl corrmhéire ag díriú suas, lámh, méar
👆🏻	corrmhéar, cúl cormhéar ag pointeáil suas, cúl corrmhéire ag díriú suas, cúl corrmhéire ag díriú suas: ton cnis geal, lámh, méar, ton cnis geal
👆🏼	corrmhéar, cúl cormhéar ag pointeáil suas, cúl corrmhéire ag díriú suas, cúl corrmhéire ag díriú suas: ton cnis mheánach-gheal, lámh, méar, ton cnis mheánach-gheal
👆🏽	corrmhéar, cúl cormhéar ag pointeáil suas, cúl corrmhéire ag díriú suas, cúl corrmhéire ag díriú suas: ton cnis meánach, lámh, méar, ton cnis meánach
👆🏾	corrmhéar, cúl cormhéar ag pointeáil suas, cúl corrmhéire ag díriú suas, cúl corrmhéire ag díriú suas: ton cnis meándorcha, lámh, méar, ton cnis meándorcha
👆🏿	corrmhéar, cúl cormhéar ag pointeáil suas, cúl corrmhéire ag díriú suas, cúl corrmhéire ag díriú suas: ton cnis dorcha, lámh, méar, ton cnis dorcha
🖕	corp, lámh, méar, méar láir
🖕🏻	corp, lámh, méar, méar láir, méar láir: ton cnis geal, ton cnis geal
🖕🏼	corp, lámh, méar, méar láir, méar láir: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🖕🏽	corp, lámh, méar, méar láir, méar láir: ton cnis meánach, ton cnis meánach
🖕🏾	corp, lámh, méar, méar láir, méar láir: ton cnis meándorcha, ton cnis meándorcha
🖕🏿	corp, lámh, méar, méar láir, méar láir: ton cnis dorcha, ton cnis dorcha
👇️	corrmhéar, cúl cormhéar ag pointeáil síos, cúl corrmhéire ag díriú síos, lámh, méar
👇🏻	corrmhéar, cúl cormhéar ag pointeáil síos, cúl corrmhéire ag díriú síos, cúl corrmhéire ag díriú síos: ton cnis geal, lámh, méar, ton cnis geal
👇🏼	corrmhéar, cúl cormhéar ag pointeáil síos, cúl corrmhéire ag díriú síos, cúl corrmhéire ag díriú síos: ton cnis mheánach-gheal, lámh, méar, ton cnis mheánach-gheal
👇🏽	corrmhéar, cúl cormhéar ag pointeáil síos, cúl corrmhéire ag díriú síos, cúl corrmhéire ag díriú síos: ton cnis meánach, lámh, méar, ton cnis meánach
👇🏾	corrmhéar, cúl cormhéar ag pointeáil síos, cúl corrmhéire ag díriú síos, cúl corrmhéire ag díriú síos: ton cnis meándorcha, lámh, méar, ton cnis meándorcha
👇🏿	corrmhéar, cúl cormhéar ag pointeáil síos, cúl corrmhéire ag díriú síos, cúl corrmhéire ag díriú síos: ton cnis dorcha, lámh, méar, ton cnis dorcha
☝️	corrmhéar, corrmhéar ag díriú suas, corrmhéar ag pointeáil suas, lámh, méar, suas
☝🏻	corrmhéar, corrmhéar ag díriú suas, corrmhéar ag díriú suas: ton cnis geal, corrmhéar ag pointeáil suas, lámh, méar, suas, ton cnis geal
☝🏼	corrmhéar, corrmhéar ag díriú suas, corrmhéar ag díriú suas: ton cnis mheánach-gheal, corrmhéar ag pointeáil suas, lámh, méar, suas, ton cnis mheánach-gheal
☝🏽	corrmhéar, corrmhéar ag díriú suas, corrmhéar ag díriú suas: ton cnis meánach, corrmhéar ag pointeáil suas, lámh, méar, suas, ton cnis meánach
☝🏾	corrmhéar, corrmhéar ag díriú suas, corrmhéar ag díriú suas: ton cnis meándorcha, corrmhéar ag pointeáil suas, lámh, méar, suas, ton cnis meándorcha
☝🏿	corrmhéar, corrmhéar ag díriú suas, corrmhéar ag díriú suas: ton cnis dorcha, corrmhéar ag pointeáil suas, lámh, méar, suas, ton cnis dorcha
👍️	OK, moladh, ordóg, ordóg suas
👍🏻	OK, moladh, ordóg, ordóg suas, ordóg suas: ton cnis geal, ton cnis geal
👍🏼	OK, moladh, ordóg, ordóg suas, ordóg suas: ton cnis mheánach-gheal, ton cnis mheánach-gheal
👍🏽	OK, moladh, ordóg, ordóg suas, ordóg suas: ton cnis meánach, ton cnis meánach
👍🏾	OK, moladh, ordóg, ordóg suas, ordóg suas: ton cnis meándorcha, ton cnis meándorcha
👍🏿	OK, moladh, ordóg, ordóg suas, ordóg suas: ton cnis dorcha, ton cnis dorcha
👎️	OK, cáineadh, ordóg, ordóg síos
👎🏻	OK, cáineadh, ordóg, ordóg síos, ordóg síos: ton cnis geal, ton cnis geal
👎🏼	OK, cáineadh, ordóg, ordóg síos, ordóg síos: ton cnis mheánach-gheal, ton cnis mheánach-gheal
👎🏽	OK, cáineadh, ordóg, ordóg síos, ordóg síos: ton cnis meánach, ton cnis meánach
👎🏾	OK, cáineadh, ordóg, ordóg síos, ordóg síos: ton cnis meándorcha, ton cnis meándorcha
👎🏿	OK, cáineadh, ordóg, ordóg síos, ordóg síos: ton cnis dorcha, ton cnis dorcha
✊	carraig, dorn ardaithe
✊🏻	carraig, dorn ardaithe, dorn ardaithe: ton cnis geal, ton cnis geal
✊🏼	carraig, dorn ardaithe, dorn ardaithe: ton cnis mheánach-gheal, ton cnis mheánach-gheal
✊🏽	carraig, dorn ardaithe, dorn ardaithe: ton cnis meánach, ton cnis meánach
✊🏾	carraig, dorn ardaithe, dorn ardaithe: ton cnis meándorcha, ton cnis meándorcha
✊🏿	carraig, dorn ardaithe, dorn ardaithe: ton cnis dorcha, ton cnis dorcha
👊	dorn, dorn atá chugat, lámh
👊🏻	dorn, dorn atá chugat, dorn atá chugat: ton cnis geal, lámh, ton cnis geal
👊🏼	dorn, dorn atá chugat, dorn atá chugat: ton cnis mheánach-gheal, lámh, ton cnis mheánach-gheal
👊🏽	dorn, dorn atá chugat, dorn atá chugat: ton cnis meánach, lámh, ton cnis meánach
👊🏾	dorn, dorn atá chugat, dorn atá chugat: ton cnis meándorcha, lámh, ton cnis meándorcha
👊🏿	dorn, dorn atá chugat, dorn atá chugat: ton cnis dorcha, lámh, ton cnis dorcha
🤛	ar chlé, dorn, dorn ar chlé
🤛🏻	ar chlé, dorn, dorn ar chlé, dorn ar chlé: ton cnis geal, ton cnis geal
🤛🏼	ar chlé, dorn, dorn ar chlé, dorn ar chlé: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🤛🏽	ar chlé, dorn, dorn ar chlé, dorn ar chlé: ton cnis meánach, ton cnis meánach
🤛🏾	ar chlé, dorn, dorn ar chlé, dorn ar chlé: ton cnis meándorcha, ton cnis meándorcha
🤛🏿	ar chlé, dorn, dorn ar chlé, dorn ar chlé: ton cnis dorcha, ton cnis dorcha
🤜	ar dheis, dorn, dorn ar dheis
🤜🏻	ar dheis, dorn, dorn ar dheis, dorn ar dheis: ton cnis geal, ton cnis geal
🤜🏼	ar dheis, dorn, dorn ar dheis, dorn ar dheis: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🤜🏽	ar dheis, dorn, dorn ar dheis, dorn ar dheis: ton cnis meánach, ton cnis meánach
🤜🏾	ar dheis, dorn, dorn ar dheis, dorn ar dheis: ton cnis meándorcha, ton cnis meándorcha
🤜🏿	ar dheis, dorn, dorn ar dheis, dorn ar dheis: ton cnis dorcha, ton cnis dorcha
👏	bualadh bos, lámha
👏🏻	bualadh bos, bualadh bos: ton cnis geal, lámha, ton cnis geal
👏🏼	bualadh bos, bualadh bos: ton cnis mheánach-gheal, lámha, ton cnis mheánach-gheal
👏🏽	bualadh bos, bualadh bos: ton cnis meánach, lámha, ton cnis meánach
👏🏾	bualadh bos, bualadh bos: ton cnis meándorcha, lámha, ton cnis meándorcha
