😀	išsišiepti, išsišiepęs veidas, veidas
🥱	nuobodžiaujantis, pavargęs, žiovaujantis veidas, žiovauti
😤	laimėjo, triumfas, veidas, veidas su iš nosies einančiais garais
😡	piktas, raudonas, susiraukęs, susiraukęs veidas, veidas, įniršis, įsiutęs
😠	piktas, piktas veidas, pyktis, veidas
🤬	besikeikiantis, veidas su simboliais ant burnos
😈	besišypsantis veidas su ragais, fantazija, pasaka, ragai, veidas, šypsena
👿	fantazija, pasaka, veidas, velnias, velniūkštis
💀	kaukolė, mirtis, monstras, pasaka, veidas
☠️	kaukolė, kaukolė ir sukryžiuoti kaulai, mirtis, monstras, sukryžiuoti kaulai, veidas
💩	išmatos, išmatų krūvelė, kakoti, komiksas, monstras, mėšlas, veidas
🤡	klounas, klouno veidas, veidas
👹	fantazija, monstras, pabaisa, padaras, pasaka, veidas
👺	demonas, fantazija, monstras, padaras, pasaka, veidas
👻	fantazija, monstras, padaras, pasaka, vaiduoklis, veidas
👽️	ateivis, fantazija, kūrinys, nežemiška būtybė, veidas
👾	ateivis, fantazija, kūrinys, monstras ateivis, nežemiška būtybė, pabaisa, veidas
🤖	monstras, robotas, roboto veidas, veidas
😺	besišypsančios katės snukutis, burna, išsižiojęs, katė, veidas, šypsena
😸	akys, išsišiepusios katės snukutis su besišypsančiomis akimis, katė, vaipytis, veidas, šypsena
😹	ašara, džiaugsmas, katė, katės snukutis su džiaugsmo ašaromis, veidas
😻	akis, besišypsančios katės snukutis su širdelės formos akimis, katė, meilė, veidas, šypsena
😼	ironija, katė, nuvargusios besišypsančios katės snukutis, nuvargęs, veidas, šypsena
😽	akys, bučinys, bučiuojančios katės snukutis, katė, veidas
🙀	katė, nustebusios katės snukutis, nustebęs, oi, veidas
😿	ašara, katė, liūdesys, veidas, verkiančios katės snukutis, verkti
😾	katė, susiraukusios katės snukutis, susiraukęs, veidas
🙈	beždžionė, blogis, draudžiama, matyti, uždrausta, užsidengusi akis beždžionė, veidas
🙉	beždžionė, blogis, draudžiama, klausyti, uždrausta, užsidengusi ausis beždžionė, veidas
🙊	beždžionė, blogis, uždrausta, užsidengusi burną beždžionė, veidas
💋	bučinio žymė, bučinys, lūpos
💌	laiškas, meilė, meilės laiškas, paštas, širdis
💘	bučinys, lūpos, širdelė su strėle
💝	kaspinas, valentino diena, širdelė su kaspinu
💖	susijaudinimas, žėrinti širdelė, žėrėti
💗	auganti širdelė, didėjimas, pulsas, susijaudinimas, susinervinęs
💓	plakanti, plakanti širdelė, pulsavimas, širdies plakimas, širdis
💞	besisukančios širdelės, suktis
💕	dvi širdelės, meilė
💟	širdelės dekoracija, širdis
❣️	skyryba, storas širdelės formos šauktukas, šauktukas, širdis, ženklas
💔	sudaužyta, sudaužyta širdelė, sudaužyti
❤️	raudona širdelė, širdis
🧡	oranžinė, oranžinė širdelė
💛	geltona, geltona širdelė
💚	žalia, žalia širdelė
💙	mėlyna, mėlyna širdelė
💜	purpurinė, purpurinė širdelė
🤎	ruda, ruda širdelė, širdelė
🖤	blogis, juoda, juoda širdis, širdis
🤍	balta, balta širdelė, širdelė
💯	100, pilnas, rezultatas, šimtas, šimtas taškų
💢	komiksas, piktas, pykčio simbolis, supykęs
💥	bum, komiksas, susidūrimas
💫	apsvaigęs, komiksas, žvaigždė
💦	komiksas, prakaitas, prakaito lašeliai, taškymas
💨	bėgimas, dulkės, komiksas, sukeltos dulkės
🕳️	duobė
💣️	bomba, komiksas
💬	balionas, debesėlis, dialogas, kalba, kalbos debesėlis, komiksas
👁‍🗨	akis, akis kalbėjimo burbule, kalbėjimo burbulas, liudjimas
🗨️	dialogas, kairysis kalbos debesėlis, kalba
🗯️	balionas, debesėlis, dešinysis pykčio debesėlis, piktas, įsiutęs
💭	balionas, debesėlis, komiksas, minties debesėlis, mintis
💤	komiksas, miegas, miego simbolis
👋	mojuoja, mojuojanti ranka, mojuoti, ranka
👋🏻	mojuoja, mojuojanti ranka, mojuojanti ranka: šviesios odos, mojuoti, ranka, šviesios odos
👋🏼	mojuoja, mojuojanti ranka, mojuojanti ranka: vidutinio gymio, mojuoti, ranka, vidutinio gymio
👋🏽	mojuoja, mojuojanti ranka, mojuojanti ranka: rusvos odos, mojuoti, ranka, rusvos odos
👋🏾	mojuoja, mojuojanti ranka, mojuojanti ranka: tamsios odos, mojuoti, ranka, tamsios odos
👋🏿	itin tamsios odos, mojuoja, mojuojanti ranka, mojuojanti ranka: itin tamsios odos, mojuoti, ranka
🤚	pakelta, pakelta viršutinė plaštakos pusė, plaštaka
🤚🏻	pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: šviesios odos, plaštaka, šviesios odos
🤚🏼	pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: vidutinio gymio, plaštaka, vidutinio gymio
🤚🏽	pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: rusvos odos, plaštaka, rusvos odos
🤚🏾	pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: tamsios odos, plaštaka, tamsios odos
🤚🏿	itin tamsios odos, pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: itin tamsios odos, plaštaka
🖐️	iškelta ranka su išskėstais pirštais, išskėsta, pirštas, ranka
🖐🏻	iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: šviesios odos, išskėsta, pirštas, ranka, šviesios odos
🖐🏼	iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: vidutinio gymio, išskėsta, pirštas, ranka, vidutinio gymio
🖐🏽	iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: rusvos odos, išskėsta, pirštas, ranka, rusvos odos
🖐🏾	iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: tamsios odos, išskėsta, pirštas, ranka, tamsios odos
🖐🏿	itin tamsios odos, iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: itin tamsios odos, išskėsta, pirštas, ranka
✋	iškelta ranka, ranka
✋🏻	iškelta ranka, iškelta ranka: šviesios odos, ranka, šviesios odos
✋🏼	iškelta ranka, iškelta ranka: vidutinio gymio, ranka, vidutinio gymio
✋🏽	iškelta ranka, iškelta ranka: rusvos odos, ranka, rusvos odos
✋🏾	iškelta ranka, iškelta ranka: tamsios odos, ranka, tamsios odos
✋🏿	itin tamsios odos, iškelta ranka, iškelta ranka: itin tamsios odos, ranka
🖖	kūnas, pirštas, ranka, vulkanai, vulkanų rasės pasisveikinimo ženklas
🖖🏻	kūnas, pirštas, ranka, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: šviesios odos, šviesios odos
🖖🏼	kūnas, pirštas, ranka, vidutinio gymio, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: vidutinio gymio
🖖🏽	kūnas, pirštas, ranka, rusvos odos, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: rusvos odos
🖖🏾	kūnas, pirštas, ranka, tamsios odos, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: tamsios odos
🖖🏿	itin tamsios odos, kūnas, pirštas, ranka, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: itin tamsios odos
👌	GERAI ženklas rankomis, gerai, ranka
👌🏻	GERAI ženklas rankomis, GERAI ženklas rankomis: šviesios odos, gerai, ranka, šviesios odos
👌🏼	GERAI ženklas rankomis, GERAI ženklas rankomis: vidutinio gymio, gerai, ranka, vidutinio gymio
👌🏽	GERAI ženklas rankomis, GERAI ženklas rankomis: rusvos odos, gerai, ranka, rusvos odos
👌🏾	GERAI ženklas rankomis, GERAI ženklas rankomis: tamsios odos, gerai, ranka, tamsios odos
👌🏿	GERAI ženklas rankomis, GERAI ženklas rankomis: itin tamsios odos, gerai, itin tamsios odos, ranka
🤏	mažas kiekis, žnybianti ranka
🤏🏻	mažas kiekis, šviesios odos, žnybianti ranka, žnybianti ranka: šviesios odos
🤏🏼	mažas kiekis, vidutinio gymio, žnybianti ranka, žnybianti ranka: vidutinio gymio
🤏🏽	mažas kiekis, rusvos odos, žnybianti ranka, žnybianti ranka: rusvos odos
🤏🏾	mažas kiekis, tamsios odos, žnybianti ranka, žnybianti ranka: tamsios odos
🤏🏿	itin tamsios odos, mažas kiekis, žnybianti ranka, žnybianti ranka: itin tamsios odos
✌️	pergalė, pergalės ženklą rodanti ranka, ranka, v
✌🏻	pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: šviesios odos, ranka, v, šviesios odos
✌🏼	pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: vidutinio gymio, ranka, v, vidutinio gymio
✌🏽	pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: rusvos odos, ranka, rusvos odos, v
✌🏾	pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: tamsios odos, ranka, tamsios odos, v
✌🏿	itin tamsios odos, pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: itin tamsios odos, ranka, v
🤞	kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai
🤞🏻	kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai, sukryžiuoti pirštai: šviesios odos, šviesios odos
🤞🏼	kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai, sukryžiuoti pirštai: vidutinio gymio, vidutinio gymio
🤞🏽	kryžius, laimė, pirštai, ranka, rusvos odos, sukryžiuoti pirštai, sukryžiuoti pirštai: rusvos odos
🤞🏾	kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai, sukryžiuoti pirštai: tamsios odos, tamsios odos
🤞🏿	itin tamsios odos, kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai, sukryžiuoti pirštai: itin tamsios odos
🤟	MYLIU, ranka, „myliu tave“ gestas
🤟🏻	MYLIU, ranka, šviesios odos, „myliu tave“ gestas, „myliu tave“ gestas: šviesios odos
🤟🏼	MYLIU, ranka, vidutinio gymio, „myliu tave“ gestas, „myliu tave“ gestas: vidutinio gymio
🤟🏽	MYLIU, ranka, rusvos odos, „myliu tave“ gestas, „myliu tave“ gestas: rusvos odos
🤟🏾	MYLIU, ranka, tamsios odos, „myliu tave“ gestas, „myliu tave“ gestas: tamsios odos
🤟🏿	MYLIU, itin tamsios odos, ranka, „myliu tave“ gestas, „myliu tave“ gestas: itin tamsios odos
🤘	pirštas, ragai, ragų ženklas, ranka, rokas
🤘🏻	pirštas, ragai, ragų ženklas, ragų ženklas: šviesios odos, ranka, rokas, šviesios odos
🤘🏼	pirštas, ragai, ragų ženklas, ragų ženklas: vidutinio gymio, ranka, rokas, vidutinio gymio
🤘🏽	pirštas, ragai, ragų ženklas, ragų ženklas: rusvos odos, ranka, rokas, rusvos odos
🤘🏾	pirštas, ragai, ragų ženklas, ragų ženklas: tamsios odos, ranka, rokas, tamsios odos
🤘🏿	itin tamsios odos, pirštas, ragai, ragų ženklas, ragų ženklas: itin tamsios odos, ranka, rokas
🤙	gestas paskambink man, ranka, skambinti
🤙🏻	gestas paskambink man, gestas paskambink man: šviesios odos, ranka, skambinti, šviesios odos
🤙🏼	gestas paskambink man, gestas paskambink man: vidutinio gymio, ranka, skambinti, vidutinio gymio
🤙🏽	gestas paskambink man, gestas paskambink man: rusvos odos, ranka, rusvos odos, skambinti
🤙🏾	gestas paskambink man, gestas paskambink man: tamsios odos, ranka, skambinti, tamsios odos
🤙🏿	gestas paskambink man, gestas paskambink man: itin tamsios odos, itin tamsios odos, ranka, skambinti
👈️	indeksas, pirštas, ranka, rodyti, į kairę pirštu rodanti ranka
👈🏻	indeksas, pirštas, ranka, rodyti, į kairę pirštu rodanti ranka, į kairę pirštu rodanti ranka: šviesios odos, šviesios odos
👈🏼	indeksas, pirštas, ranka, rodyti, vidutinio gymio, į kairę pirštu rodanti ranka, į kairę pirštu rodanti ranka: vidutinio gymio
👈🏽	indeksas, pirštas, ranka, rodyti, rusvos odos, į kairę pirštu rodanti ranka, į kairę pirštu rodanti ranka: rusvos odos
👈🏾	indeksas, pirštas, ranka, rodyti, tamsios odos, į kairę pirštu rodanti ranka, į kairę pirštu rodanti ranka: tamsios odos
👈🏿	indeksas, itin tamsios odos, pirštas, ranka, rodyti, į kairę pirštu rodanti ranka, į kairę pirštu rodanti ranka: itin tamsios odos
👉️	indeksas, pirštas, ranka, rodyti, į dešinę pirštu rodanti ranka
👉🏻	indeksas, pirštas, ranka, rodyti, į dešinę pirštu rodanti ranka, į dešinę pirštu rodanti ranka: šviesios odos, šviesios odos
👉🏼	indeksas, pirštas, ranka, rodyti, vidutinio gymio, į dešinę pirštu rodanti ranka, į dešinę pirštu rodanti ranka: vidutinio gymio
👉🏽	indeksas, pirštas, ranka, rodyti, rusvos odos, į dešinę pirštu rodanti ranka, į dešinę pirštu rodanti ranka: rusvos odos
👉🏾	indeksas, pirštas, ranka, rodyti, tamsios odos, į dešinę pirštu rodanti ranka, į dešinę pirštu rodanti ranka: tamsios odos
👉🏿	indeksas, itin tamsios odos, pirštas, ranka, rodyti, į dešinę pirštu rodanti ranka, į dešinę pirštu rodanti ranka: itin tamsios odos
👆️	delnu nusukta aukštyn pirštu rodanti ranka, indeksas, kūnas, pirštas, ranka, rodyti, į viršų
👆🏻	delnu nusukta aukštyn pirštu rodanti ranka, delnu nusukta aukštyn pirštu rodanti ranka: šviesios odos, indeksas, kūnas, pirštas, ranka, rodyti, į viršų, šviesios odos
👆🏼	delnu nusukta aukštyn pirštu rodanti ranka, delnu nusukta aukštyn pirštu rodanti ranka: vidutinio gymio, indeksas, kūnas, pirštas, ranka, rodyti, vidutinio gymio, į viršų
👆🏽	delnu nusukta aukštyn pirštu rodanti ranka, delnu nusukta aukštyn pirštu rodanti ranka: rusvos odos, indeksas, kūnas, pirštas, ranka, rodyti, rusvos odos, į viršų
👆🏾	delnu nusukta aukštyn pirštu rodanti ranka, delnu nusukta aukštyn pirštu rodanti ranka: tamsios odos, indeksas, kūnas, pirštas, ranka, rodyti, tamsios odos, į viršų
👆🏿	delnu nusukta aukštyn pirštu rodanti ranka, delnu nusukta aukštyn pirštu rodanti ranka: itin tamsios odos, indeksas, itin tamsios odos, kūnas, pirštas, ranka, rodyti, į viršų
🖕	pirštas, ranka, vidurinis pirštas
🖕🏻	pirštas, ranka, vidurinis pirštas, vidurinis pirštas: šviesios odos, šviesios odos
🖕🏼	pirštas, ranka, vidurinis pirštas, vidurinis pirštas: vidutinio gymio, vidutinio gymio
🖕🏽	pirštas, ranka, rusvos odos, vidurinis pirštas, vidurinis pirštas: rusvos odos
🖕🏾	pirštas, ranka, tamsios odos, vidurinis pirštas, vidurinis pirštas: tamsios odos
🖕🏿	itin tamsios odos, pirštas, ranka, vidurinis pirštas, vidurinis pirštas: itin tamsios odos
👇️	delnu nusukta žemyn pirštu rodanti ranka, indeksas, pirštas, ranka, rodyti, į apačią
👇🏻	delnu nusukta žemyn pirštu rodanti ranka, delnu nusukta žemyn pirštu rodanti ranka: šviesios odos, indeksas, pirštas, ranka, rodyti, į apačią, šviesios odos
👇🏼	delnu nusukta žemyn pirštu rodanti ranka, delnu nusukta žemyn pirštu rodanti ranka: vidutinio gymio, indeksas, pirštas, ranka, rodyti, vidutinio gymio, į apačią
👇🏽	delnu nusukta žemyn pirštu rodanti ranka, delnu nusukta žemyn pirštu rodanti ranka: rusvos odos, indeksas, pirštas, ranka, rodyti, rusvos odos, į apačią
👇🏾	delnu nusukta žemyn pirštu rodanti ranka, delnu nusukta žemyn pirštu rodanti ranka: tamsios odos, indeksas, pirštas, ranka, rodyti, tamsios odos, į apačią
👇🏿	delnu nusukta žemyn pirštu rodanti ranka, delnu nusukta žemyn pirštu rodanti ranka: itin tamsios odos, indeksas, itin tamsios odos, pirštas, ranka, rodyti, į apačią
☝️	delnu atsukta aukštyn pirštu rodanti ranka, indeksas, pirštas, ranka, rodyti, į viršų
☝🏻	delnu atsukta aukštyn pirštu rodanti ranka, delnu atsukta aukštyn pirštu rodanti ranka: šviesios odos, indeksas, pirštas, ranka, rodyti, į viršų, šviesios odos
☝🏼	delnu atsukta aukštyn pirštu rodanti ranka, delnu atsukta aukštyn pirštu rodanti ranka: vidutinio gymio, indeksas, pirštas, ranka, rodyti, vidutinio gymio, į viršų
☝🏽	delnu atsukta aukštyn pirštu rodanti ranka, delnu atsukta aukštyn pirštu rodanti ranka: rusvos odos, indeksas, pirštas, ranka, rodyti, rusvos odos, į viršų
☝🏾	delnu atsukta aukštyn pirštu rodanti ranka, delnu atsukta aukštyn pirštu rodanti ranka: tamsios odos, indeksas, pirštas, ranka, rodyti, tamsios odos, į viršų
☝🏿	delnu atsukta aukštyn pirštu rodanti ranka, delnu atsukta aukštyn pirštu rodanti ranka: itin tamsios odos, indeksas, itin tamsios odos, pirštas, ranka, rodyti, į viršų
👍️	liuks, nykštys, nykštys į viršų, ranka, į viršų
👍🏻	liuks, nykštys, nykštys į viršų, nykštys į viršų: šviesios odos, ranka, į viršų, šviesios odos
👍🏼	liuks, nykštys, nykštys į viršų, nykštys į viršų: vidutinio gymio, ranka, vidutinio gymio, į viršų
👍🏽	liuks, nykštys, nykštys į viršų, nykštys į viršų: rusvos odos, ranka, rusvos odos, į viršų
👍🏾	liuks, nykštys, nykštys į viršų, nykštys į viršų: tamsios odos, ranka, tamsios odos, į viršų
👍🏿	itin tamsios odos, liuks, nykštys, nykštys į viršų, nykštys į viršų: itin tamsios odos, ranka, į viršų
👎️	blogai, nykštys, nykštys į apačią, ranka
👎🏻	blogai, nykštys, nykštys į apačią, nykštys į apačią: šviesios odos, ranka, šviesios odos
👎🏼	blogai, nykštys, nykštys į apačią, nykštys į apačią: vidutinio gymio, ranka, vidutinio gymio
👎🏽	blogai, nykštys, nykštys į apačią, nykštys į apačią: rusvos odos, ranka, rusvos odos
👎🏾	blogai, nykštys, nykštys į apačią, nykštys į apačią: tamsios odos, ranka, tamsios odos
👎🏿	blogai, itin tamsios odos, nykštys, nykštys į apačią, nykštys į apačią: itin tamsios odos, ranka
✊	iškeltas kumštis, kumštis, ranka, smūgis, sugniaužta
✊🏻	iškeltas kumštis, iškeltas kumštis: šviesios odos, kumštis, ranka, smūgis, sugniaužta, šviesios odos
✊🏼	iškeltas kumštis, iškeltas kumštis: vidutinio gymio, kumštis, ranka, smūgis, sugniaužta, vidutinio gymio
✊🏽	iškeltas kumštis, iškeltas kumštis: rusvos odos, kumštis, ranka, rusvos odos, smūgis, sugniaužta
✊🏾	iškeltas kumštis, iškeltas kumštis: tamsios odos, kumštis, ranka, smūgis, sugniaužta, tamsios odos
✊🏿	itin tamsios odos, iškeltas kumštis, iškeltas kumštis: itin tamsios odos, kumštis, ranka, smūgis, sugniaužta
👊	artėjantis kumštis, kumštis, ranka, smūgis, sugniaužtas
👊🏻	artėjantis kumštis, artėjantis kumštis: šviesios odos, kumštis, ranka, smūgis, sugniaužtas, šviesios odos
👊🏼	artėjantis kumštis, artėjantis kumštis: vidutinio gymio, kumštis, ranka, smūgis, sugniaužtas, vidutinio gymio
👊🏽	artėjantis kumštis, artėjantis kumštis: rusvos odos, kumštis, ranka, rusvos odos, smūgis, sugniaužtas
👊🏾	artėjantis kumštis, artėjantis kumštis: tamsios odos, kumštis, ranka, smūgis, sugniaužtas, tamsios odos
👊🏿	artėjantis kumštis, artėjantis kumštis: itin tamsios odos, itin tamsios odos, kumštis, ranka, smūgis, sugniaužtas
🤛	kairėn, kumštis, į kairę nukreiptas kumštis
🤛🏻	kairėn, kumštis, į kairę nukreiptas kumštis, į kairę nukreiptas kumštis: šviesios odos, šviesios odos
🤛🏼	kairėn, kumštis, vidutinio gymio, į kairę nukreiptas kumštis, į kairę nukreiptas kumštis: vidutinio gymio
🤛🏽	kairėn, kumštis, rusvos odos, į kairę nukreiptas kumštis, į kairę nukreiptas kumštis: rusvos odos
🤛🏾	kairėn, kumštis, tamsios odos, į kairę nukreiptas kumštis, į kairę nukreiptas kumštis: tamsios odos
🤛🏿	itin tamsios odos, kairėn, kumštis, į kairę nukreiptas kumštis, į kairę nukreiptas kumštis: itin tamsios odos
🤜	dešinėn, kumštis, į dešinę nukreiptas kumštis
🤜🏻	dešinėn, kumštis, į dešinę nukreiptas kumštis, į dešinę nukreiptas kumštis: šviesios odos, šviesios odos
🤜🏼	dešinėn, kumštis, vidutinio gymio, į dešinę nukreiptas kumštis, į dešinę nukreiptas kumštis: vidutinio gymio
🤜🏽	dešinėn, kumštis, rusvos odos, į dešinę nukreiptas kumštis, į dešinę nukreiptas kumštis: rusvos odos
🤜🏾	dešinėn, kumštis, tamsios odos, į dešinę nukreiptas kumštis, į dešinę nukreiptas kumštis: tamsios odos
🤜🏿	dešinėn, itin tamsios odos, kumštis, į dešinę nukreiptas kumštis, į dešinę nukreiptas kumštis: itin tamsios odos
👏	plojančios rankos, ploti, rankos
👏🏻	plojančios rankos, plojančios rankos: šviesios odos, ploti, rankos, šviesios odos
👏🏼	plojančios rankos, plojančios rankos: vidutinio gymio, ploti, rankos, vidutinio gymio
👏🏽	plojančios rankos, plojančios rankos: rusvos odos, ploti, rankos, rusvos odos
👏🏾	plojančios rankos, plojančios rankos: tamsios odos, ploti, rankos, tamsios odos
👏🏿	itin tamsios odos, plojančios rankos, plojančios rankos: itin tamsios odos, ploti, rankos
🙌	gestas, iškelta, kūnas, ranka, valio, šventė, žmogus, iškėlęs rankas
🙌🏻	gestas, iškelta, kūnas, ranka, valio, šventė, šviesios odos, žmogus, iškėlęs rankas, žmogus, iškėlęs rankas: šviesios odos
🙌🏼	gestas, iškelta, kūnas, ranka, valio, vidutinio gymio, šventė, žmogus, iškėlęs rankas, žmogus, iškėlęs rankas: vidutinio gymio
🙌🏽	gestas, iškelta, kūnas, ranka, rusvos odos, valio, šventė, žmogus, iškėlęs rankas, žmogus, iškėlęs rankas: rusvos odos
