😀	syrtarma, syrtarýan ýüz, ýüz
😬	ýyrşarmak, ýyrşarýan ýüz, ýüz
🤥	buratino, ýalan, ýalançy ýüz, ýüz
😌	ynjalan, ynjalan ýüz, ýüz
😔	gussaly, gussaly ýüz, tukat, ýüz
😪	ukuly ýüz, uky, ýüz
🤤	gyllygy akmak, gyllygy akýan ýüz, ýüz
😴	uhh, uklap ýatan ýüz, uky, ýüz
😷	hassa, lukman, lukmançylyk, maska, saglyk maskaly ýüz, sowuk, ýüz
🤒	hassa, kesel, termometr, termometrli ýüz, ýüz
🤕	kellesi sargyly ýüz, sargy, ynjyly, ýara, ýüz
🤢	gusmak, ýüregi bulanýan, ýüregi bulanýan ýüz, ýüz
🤮	gusmak, gusýan ýüz, hassa
🤧	asgyrmak, asgyrýan ýüz, tüýkülik, ýüz
🥵	derli, gyzan ýüz, gyzgyn, gyzgynlyk urgusy, gyzyl ýüz
🥶	buz şelpeleri, doňan, doňýan, gök ýüzli, sowuk, sowuk ýüz
🥴	agzy gyşyk, başy aýlanýan, garagol ýüz, gözleri çaşy, serhoş, çalaja serhoş
😵	başy sämeýän, başy sämeýän ýüz, ýüz
🤯	aňk-taňk, partlaýan kelle
🤠	kowboý, kowboý papakly ýüz, papak, çopan gyz, ýüz
🥳	baýramçylyk, telpek, tüýdük, şagalaň, şagalaňly ýüz
😎	bet, gün, gün äýnek, gün äýnekli ýylgyrýan ýüz, ýagty, ýüz
🤓	botan, botan ýüz, ylym uran, ýüz
🧐	dykylan, monoklly ýüz
😕	başy çaşan, başy çaşan ýüz, ýüz
😟	aladaly, aladaly ýüz, ýüz
🙁	çalaja çytyk ýüz, çytylmak, ýüz
☹️	çytyk ýüz, çytylmak, ýüz
😮	agyz, açyk, açyk agyzly ýüz, duýgudaşlyk, ýüz
😯	aňalan, aňalyp galan ýüz, geň galan, haýran galan, ýüz
😲	aňk-taňk, aňk-taňk bolan ýüz, düýbünden, haýran, ýüz
😳	gyzaran, gyzaran ýüz, gözi gamaşan, ýüz
🥺	merhemet, naýynjar gözler, ýalbarmak, ýalbarýan ýüz
😦	agyz, açyk, açyk agyzly çytyk ýüz, çytmak, ýüz
😧	jebir çekýän, jebir çekýän ýüz, ýüz
😨	gorkan, gorkuly, gorkuly ýüz, gorky, ýüz
😰	agyz, açyk, der, gök, howlugan, sowuk, sowuk derli biynjalyk ýüz, ýüz
😥	gynançly, ýöne ynjalan ýüz, lapykeç, sykylyk, ynjalan, ýüz
😢	aglamak, aglaýan ýüz, gamgyn, gözýaş, ýüz
😭	aglamak, gamgyn, gözýaş, möňňürýän ýüz, sojamak, ýüz
😱	gorkan, gorkuly, gorkup çygyrýan ýüz, gorky, çeýnemek, çygyrmak, ýüz
😖	ugruny ýitiren, ugruny ýitiren ýüz, ýüz
😣	çynlakaý, çynyny edýän ýüz, ýüz
😞	lapykeç, lapykeç ýüz, ýüz
😓	der, derli salyk ýüz, sowuk, ýüz
😩	argyn, argyn ýüz, ýadaw, ýüz
😫	ýadaw, ýadaw ýüz, ýüz
🥱	içi gysan, palla, pallaýan ýüz, ýadaw
😤	burnundan bug çykýan ýüz, ýeňen, ýeňiş, ýüz
😡	gahar-gazap, gaharly, gamaşyk, gamaşyk ýüz, gazaply, gyzyl, ýüz
😠	gaharly, gaharly ýüz, gazaply, ýüz
🤬	agzynyň üsti simwolly ýüz, sögýär
😈	erteki, hyýal, ýylgyrmak, ýüz, şahlar, şahly ýylgyrýan ýüz
👿	albassy, arwah, erteki, hyýal, ýüz, şahly gaharly ýüz, şeýtan
💀	erteki, kelleçanak, nägehan, ölüm, ýüz
☠️	atanak süňk, kelleçanak, kelleçanak we atanak süňk, nägehan, ölüm, ýüz
💩	gumalak, gülkünç, nejasat, nägehan, tezek, ýüz
🤡	masgarabaz, masgarabaz ýüz, ýüz
👹	döw, erteki, hyýal, mahluk, nägehan, ýüz
👺	erteki, goblin, hyýal, mahluk, nägehan, ýüz
👻	arwah, erteki, hyýal, mahluk, nägehan, ýüz
👽️	NLO, başga dünýäli, erteki, gelmişek, hyýal, mahluk, nägehan, ýüz
👾	NLO, aždar, başga dünýäli, erteki, gelmişek, gelmişek nägehan, hyýal, mahluk, ýüz
🤖	nägehan, robot, robot ýüz, ýüz
😺	agyz, açyk, pişik, syrtarýan, syrtarýan pişik ýüzi, ýylgyrmak, ýüz
😸	açyk agyzly ýylgyrýan pişik ýüz, göz, pişik, syrtarmak, ýylgyrmak, ýüz
😹	begenç gözýaşly pişik ýüz, gözýaş, pişik, ýüz, şatlyk
😻	göz, pişik, söýgi, ýylgyr, ýürek, ýürek gözli ýylgyrýan pişik ýüz, ýüz
😼	kinaýaly, kinaýaly ýylgyrýan pişik ýüz, köpmanyly, pişik, ýylgyrmak, ýüz
😽	göz, pişik, öp, öpýän pişik ýüz, ýüz
🙀	argyn, argyn pişik ýüz, geň galan, pişik, wah, ýüz
😿	agla, aglaýan pişik ýüz, gamgyn, gözýaş, pişik, ýüz
😾	gamaşyk, gamaşyk pişik ýüz, pişik, ýüz
🙈	erbet, gadagan, gör, görmedim-bilmedim maýmyn, maýmyn, ýüz
🙉	eişitmedim-bilmedim maýmyn, erbet, eşitmedim-bilmedim maýmyn, gadagan, gör, maýmyn, ýüz
🙊	erbet, gadagan, gör, gürlemedim-bilmedim maýmyn, maýmyn, ýüz
💋	dodaklar, posa, posa yzy
💌	hat, poçta, söýgi, söýgi haty, ýürek
💘	ok, okly ýürek, söýgi
💝	lenta, lentaly ýürek, walentin
💖	lowurdaýan ýürek, tolgunan, uçgun
💗	galjaň, puls, tolgunan, ulalýan, ulalýan ýürek
💓	puls, urmak, urýan ýürek, ýürek urgusy
💞	aýlanýan ýürekler, pyrlanýan
💕	goşa ýürek, söýgi
💟	ýürek, ýürek bezegi
❣️	belgi, dyngy, goýy ýürekli ýüzlenme, ýürekli ýüzlenme, ýüzlenme
💔	döwlen, döwmek, synan ýürek
❤️	gyzyl ýürek, ýürek
🧡	mämişi, mämişi ýürek
💛	sary, sary ýürek
💚	ýaşyl, ýaşyl ýürek
💙	gök, gök ýürek
💜	mawy, mawy ýürek
🤎	goňur, goňur ýürek, ýürek
🖤	betniýetli, erbet, gara, gara ýürek
🤍	ak, ak ýürek, ýürek
💯	100, doly, utuk, ýüz, ýüz utuk
💢	gaharly, gaharyň nyşany, gazaply, gülkünç
💥	gülkünç, partlama, çakyşma
💫	başy aýlanan, gülkünç, ýyldyz
💦	der, der damjalary, gülkünç, syçraýan
💨	gaçmak, gülkünç, ylgamak, zut jyrmak
🕳️	deşik
💣️	bomba, gülkünç
💬	gepleşik, gepleşik şary, gülkünç, gürrüň, köpük, şar
👁‍🗨	gepleşik şary, gepleşik şarynyň içinde göz, göz, şaýat
🗨️	gepleşik, gürrüň, çepden gepleşik şary
🗯️	gahar, gazaply, köpük, sagdan gahar şary, şar
💭	gülkünç, köpük, pikir, pikir şary, şar
💤	gülkünç, uhh, uky
👋	el, galgatmak, galgaýan, galgaýan el
👋🏻	açyk deri reňki, el, galgatmak, galgaýan, galgaýan el: açyk deri reňki
👋🏼	el, galgatmak, galgaýan, galgaýan el: orta açyk deri reňki, orta açyk deri reňki
👋🏽	el, galgatmak, galgaýan, galgaýan el: orta deri reňki, orta deri reňki
👋🏾	el, galgatmak, galgaýan, galgaýan el: orta goýy deri reňki, orta goýy deri reňki
👋🏿	el, galgatmak, galgaýan, galgaýan el: goýy deri reňki, goýy deri reňki
🤚	eliň arkasy, galdyrylan, galdyrylan el arkasy
🤚🏻	açyk deri reňki, eliň arkasy, galdyrylan, galdyrylan el arkasy, galdyrylan el arkasy: açyk deri reňki
🤚🏼	eliň arkasy, galdyrylan, galdyrylan el arkasy, galdyrylan el arkasy: orta açyk deri reňki, orta açyk deri reňki
🤚🏽	eliň arkasy, galdyrylan, galdyrylan el arkasy, galdyrylan el arkasy: orta deri reňki, orta deri reňki
🤚🏾	eliň arkasy, galdyrylan, galdyrylan el arkasy, galdyrylan el arkasy: orta goýy deri reňki, orta goýy deri reňki
🤚🏿	eliň arkasy, galdyrylan, galdyrylan el arkasy, galdyrylan el arkasy: goýy deri reňki, goýy deri reňki
🖐️	arasy açylan, barmak, barmaklaryň arasy açylan el, el
🖐🏻	arasy açylan, açyk deri reňki, barmak, barmaklaryň arasy açylan el, barmaklaryň arasy açylan el: açyk deri reňki, el
🖐🏼	arasy açylan, barmak, barmaklaryň arasy açylan el, barmaklaryň arasy açylan el: orta açyk deri reňki, el, orta açyk deri reňki
🖐🏽	arasy açylan, barmak, barmaklaryň arasy açylan el, barmaklaryň arasy açylan el: orta deri reňki, el, orta deri reňki
🖐🏾	arasy açylan, barmak, barmaklaryň arasy açylan el, barmaklaryň arasy açylan el: orta goýy deri reňki, el, orta goýy deri reňki
🖐🏿	arasy açylan, barmak, barmaklaryň arasy açylan el, barmaklaryň arasy açylan el: goýy deri reňki, el, goýy deri reňki
✋	el, galdyrylan el
✋🏻	açyk deri reňki, el, galdyrylan el, galdyrylan el: açyk deri reňki
✋🏼	el, galdyrylan el, galdyrylan el: orta açyk deri reňki, orta açyk deri reňki
✋🏽	el, galdyrylan el, galdyrylan el: orta deri reňki, orta deri reňki
✋🏾	el, galdyrylan el, galdyrylan el: orta goýy deri reňki, orta goýy deri reňki
✋🏿	el, galdyrylan el, galdyrylan el: goýy deri reňki, goýy deri reňki
🖖	barmak, el, syňrak, wulkan salam, ýanardag
🖖🏻	açyk deri reňki, barmak, el, syňrak, wulkan salam, wulkan salam: açyk deri reňki, ýanardag
🖖🏼	barmak, el, orta açyk deri reňki, syňrak, wulkan salam, wulkan salam: orta açyk deri reňki, ýanardag
🖖🏽	barmak, el, orta deri reňki, syňrak, wulkan salam, wulkan salam: orta deri reňki, ýanardag
🖖🏾	barmak, el, orta goýy deri reňki, syňrak, wulkan salam, wulkan salam: orta goýy deri reňki, ýanardag
🖖🏿	barmak, el, goýy deri reňki, syňrak, wulkan salam, wulkan salam: goýy deri reňki, ýanardag
👌	OK eli, bolýar, el
👌🏻	OK eli, OK eli: açyk deri reňki, açyk deri reňki, bolýar, el
👌🏼	OK eli, OK eli: orta açyk deri reňki, bolýar, el, orta açyk deri reňki
👌🏽	OK eli, OK eli: orta deri reňki, bolýar, el, orta deri reňki
👌🏾	OK eli, OK eli: orta goýy deri reňki, bolýar, el, orta goýy deri reňki
👌🏿	OK eli, OK eli: goýy deri reňki, bolýar, el, goýy deri reňki
🤏	az mukdar, çümmükleýän el
🤏🏻	az mukdar, açyk deri reňki, çümmükleýän el, çümmükleýän el: açyk deri reňki
🤏🏼	az mukdar, orta açyk deri reňki, çümmükleýän el, çümmükleýän el: orta açyk deri reňki
🤏🏽	az mukdar, orta deri reňki, çümmükleýän el, çümmükleýän el: orta deri reňki
🤏🏾	az mukdar, orta goýy deri reňki, çümmükleýän el, çümmükleýän el: orta goýy deri reňki
🤏🏿	az mukdar, goýy deri reňki, çümmükleýän el, çümmükleýän el: goýy deri reňki
✌️	el, v, ýeňiş, ýeňiş alamatyny görkezýän el
✌🏻	açyk deri reňki, el, v, ýeňiş, ýeňiş alamatyny görkezýän el, ýeňiş alamatyny görkezýän el: açyk deri reňki
✌🏼	el, orta açyk deri reňki, v, ýeňiş, ýeňiş alamatyny görkezýän el, ýeňiş alamatyny görkezýän el: orta açyk deri reňki
✌🏽	el, orta deri reňki, v, ýeňiş, ýeňiş alamatyny görkezýän el, ýeňiş alamatyny görkezýän el: orta deri reňki
✌🏾	el, orta goýy deri reňki, v, ýeňiş, ýeňiş alamatyny görkezýän el, ýeňiş alamatyny görkezýän el: orta goýy deri reňki
✌🏿	el, goýy deri reňki, v, ýeňiş, ýeňiş alamatyny görkezýän el, ýeňiş alamatyny görkezýän el: goýy deri reňki
🤞	atanak, atanak edilen barmak, barmak, el, şowlulyk
🤞🏻	atanak, atanak edilen barmak, atanak edilen barmak: açyk deri reňki, açyk deri reňki, barmak, el, şowlulyk
🤞🏼	atanak, atanak edilen barmak, atanak edilen barmak: orta açyk deri reňki, barmak, el, orta açyk deri reňki, şowlulyk
🤞🏽	atanak, atanak edilen barmak, atanak edilen barmak: orta deri reňki, barmak, el, orta deri reňki, şowlulyk
🤞🏾	atanak, atanak edilen barmak, atanak edilen barmak: orta goýy deri reňki, barmak, el, orta goýy deri reňki, şowlulyk
🤞🏿	atanak, atanak edilen barmak, atanak edilen barmak: goýy deri reňki, barmak, el, goýy deri reňki, şowlulyk
🤟	MSS, el, seni söýýän ümi
🤟🏻	MSS, açyk deri reňki, el, seni söýýän ümi, seni söýýän ümi: açyk deri reňki
🤟🏼	MSS, el, orta açyk deri reňki, seni söýýän ümi, seni söýýän ümi: orta açyk deri reňki
🤟🏽	MSS, el, orta deri reňki, seni söýýän ümi, seni söýýän ümi: orta deri reňki
🤟🏾	MSS, el, orta goýy deri reňki, seni söýýän ümi, seni söýýän ümi: orta goýy deri reňki
🤟🏿	MSS, el, goýy deri reňki, seni söýýän ümi, seni söýýän ümi: goýy deri reňki
🤘	barmak, el, yrgyldatmak, şah belgisi, şahlar
🤘🏻	açyk deri reňki, barmak, el, yrgyldatmak, şah belgisi, şah belgisi: açyk deri reňki, şahlar
🤘🏼	barmak, el, orta açyk deri reňki, yrgyldatmak, şah belgisi, şah belgisi: orta açyk deri reňki, şahlar
🤘🏽	barmak, el, orta deri reňki, yrgyldatmak, şah belgisi, şah belgisi: orta deri reňki, şahlar
🤘🏾	barmak, el, orta goýy deri reňki, yrgyldatmak, şah belgisi, şah belgisi: orta goýy deri reňki, şahlar
🤘🏿	barmak, el, goýy deri reňki, yrgyldatmak, şah belgisi, şah belgisi: goýy deri reňki, şahlar
🤙	el, jaň, jaňlaş eli
🤙🏻	açyk deri reňki, el, jaň, jaňlaş eli, jaňlaş eli: açyk deri reňki
🤙🏼	el, jaň, jaňlaş eli, jaňlaş eli: orta açyk deri reňki, orta açyk deri reňki
🤙🏽	el, jaň, jaňlaş eli, jaňlaş eli: orta deri reňki, orta deri reňki
🤙🏾	el, jaň, jaňlaş eli, jaňlaş eli: orta goýy deri reňki, orta goýy deri reňki
🤙🏿	el, goýy deri reňki, jaň, jaňlaş eli, jaňlaş eli: goýy deri reňki
👈️	barmak, el, eliň arkasy, görkezmek, süýem, çepi görkezýän el-arkasy süýem barmak
👈🏻	açyk deri reňki, barmak, el, eliň arkasy, görkezmek, süýem, çepi görkezýän el-arkasy süýem barmak, çepi görkezýän el-arkasy süýem barmak: açyk deri reňki
👈🏼	barmak, el, eliň arkasy, görkezmek, orta açyk deri reňki, süýem, çepi görkezýän el-arkasy süýem barmak, çepi görkezýän el-arkasy süýem barmak: orta açyk deri reňki
👈🏽	barmak, el, eliň arkasy, görkezmek, orta deri reňki, süýem, çepi görkezýän el-arkasy süýem barmak, çepi görkezýän el-arkasy süýem barmak: orta deri reňki
👈🏾	barmak, el, eliň arkasy, görkezmek, orta goýy deri reňki, süýem, çepi görkezýän el-arkasy süýem barmak, çepi görkezýän el-arkasy süýem barmak: orta goýy deri reňki
👈🏿	barmak, el, eliň arkasy, goýy deri reňki, görkezmek, süýem, çepi görkezýän el-arkasy süýem barmak, çepi görkezýän el-arkasy süýem barmak: goýy deri reňki
👉️	barmak, el, eliň arkasy, görkezmek, sagy görkezýän el-arkasy süýem barmak, süýem
👉🏻	açyk deri reňki, barmak, el, eliň arkasy, görkezmek, sagy görkezýän el-arkasy süýem barmak, sagy görkezýän el-arkasy süýem barmak: açyk deri reňki, süýem
👉🏼	barmak, el, eliň arkasy, görkezmek, orta açyk deri reňki, sagy görkezýän el-arkasy süýem barmak, sagy görkezýän el-arkasy süýem barmak: orta açyk deri reňki, süýem
👉🏽	barmak, el, eliň arkasy, görkezmek, orta deri reňki, sagy görkezýän el-arkasy süýem barmak, sagy görkezýän el-arkasy süýem barmak: orta deri reňki, süýem
👉🏾	barmak, el, eliň arkasy, görkezmek, orta goýy deri reňki, sagy görkezýän el-arkasy süýem barmak, sagy görkezýän el-arkasy süýem barmak: orta goýy deri reňki, süýem
👉🏿	barmak, el, eliň arkasy, goýy deri reňki, görkezmek, sagy görkezýän el-arkasy süýem barmak, sagy görkezýän el-arkasy süýem barmak: goýy deri reňki, süýem
👆️	barmak, el, eliň arkasy, görkezmek, süýem, ýokary, ýokaryny görkezýän el-arkasy süýem barmak
👆🏻	açyk deri reňki, barmak, el, eliň arkasy, görkezmek, süýem, ýokary, ýokaryny görkezýän el-arkasy süýem barmak, ýokaryny görkezýän el-arkasy süýem barmak: açyk deri reňki
👆🏼	barmak, el, eliň arkasy, görkezmek, orta açyk deri reňki, süýem, ýokary, ýokaryny görkezýän el-arkasy süýem barmak, ýokaryny görkezýän el-arkasy süýem barmak: orta açyk deri reňki
👆🏽	barmak, el, eliň arkasy, görkezmek, orta deri reňki, süýem, ýokary, ýokaryny görkezýän el-arkasy süýem barmak, ýokaryny görkezýän el-arkasy süýem barmak: orta deri reňki
👆🏾	barmak, el, eliň arkasy, görkezmek, orta goýy deri reňki, süýem, ýokary, ýokaryny görkezýän el-arkasy süýem barmak, ýokaryny görkezýän el-arkasy süýem barmak: orta goýy deri reňki
👆🏿	barmak, el, eliň arkasy, goýy deri reňki, görkezmek, süýem, ýokary, ýokaryny görkezýän el-arkasy süýem barmak, ýokaryny görkezýän el-arkasy süýem barmak: goýy deri reňki
🖕	barmak, el, orta barmak
🖕🏻	açyk deri reňki, barmak, el, orta barmak, orta barmak: açyk deri reňki
🖕🏼	barmak, el, orta açyk deri reňki, orta barmak, orta barmak: orta açyk deri reňki
🖕🏽	barmak, el, orta barmak, orta barmak: orta deri reňki, orta deri reňki
🖕🏾	barmak, el, orta barmak, orta barmak: orta goýy deri reňki, orta goýy deri reňki
🖕🏿	barmak, el, goýy deri reňki, orta barmak, orta barmak: goýy deri reňki
👇️	aşagy görkezýän el-arkasy süýem barmak, aşak, barmak, el, eliň arkasy, görkezmek, süýem
👇🏻	açyk deri reňki, aşagy görkezýän el-arkasy süýem barmak, aşagy görkezýän el-arkasy süýem barmak: açyk deri reňki, aşak, barmak, el, eliň arkasy, görkezmek, süýem
👇🏼	aşagy görkezýän el-arkasy süýem barmak, aşagy görkezýän el-arkasy süýem barmak: orta açyk deri reňki, aşak, barmak, el, eliň arkasy, görkezmek, orta açyk deri reňki, süýem
👇🏽	aşagy görkezýän el-arkasy süýem barmak, aşagy görkezýän el-arkasy süýem barmak: orta deri reňki, aşak, barmak, el, eliň arkasy, görkezmek, orta deri reňki, süýem
👇🏾	aşagy görkezýän el-arkasy süýem barmak, aşagy görkezýän el-arkasy süýem barmak: orta goýy deri reňki, aşak, barmak, el, eliň arkasy, görkezmek, orta goýy deri reňki, süýem
👇🏿	aşagy görkezýän el-arkasy süýem barmak, aşagy görkezýän el-arkasy süýem barmak: goýy deri reňki, aşak, barmak, el, eliň arkasy, goýy deri reňki, görkezmek, süýem
☝️	barmak, el, görkezmek, süýem, ýokary, ýokaryny görkezýän süýem barmak
☝🏻	açyk deri reňki, barmak, el, görkezmek, süýem, ýokary, ýokaryny görkezýän süýem barmak, ýokaryny görkezýän süýem barmak: açyk deri reňki
☝🏼	barmak, el, görkezmek, orta açyk deri reňki, süýem, ýokary, ýokaryny görkezýän süýem barmak, ýokaryny görkezýän süýem barmak: orta açyk deri reňki
☝🏽	barmak, el, görkezmek, orta deri reňki, süýem, ýokary, ýokaryny görkezýän süýem barmak, ýokaryny görkezýän süýem barmak: orta deri reňki
☝🏾	barmak, el, görkezmek, orta goýy deri reňki, süýem, ýokary, ýokaryny görkezýän süýem barmak, ýokaryny görkezýän süýem barmak: orta goýy deri reňki
☝🏿	barmak, el, goýy deri reňki, görkezmek, süýem, ýokary, ýokaryny görkezýän süýem barmak, ýokaryny görkezýän süýem barmak: goýy deri reňki
👍️	+1, başam barmak, başam barmak ýokary, el, ýokary
👍🏻	+1, açyk deri reňki, başam barmak, başam barmak ýokary, başam barmak ýokary: açyk deri reňki, el, ýokary
👍🏼	+1, başam barmak, başam barmak ýokary, başam barmak ýokary: orta açyk deri reňki, el, orta açyk deri reňki, ýokary
👍🏽	+1, başam barmak, başam barmak ýokary, başam barmak ýokary: orta deri reňki, el, orta deri reňki, ýokary
👍🏾	+1, başam barmak, başam barmak ýokary, başam barmak ýokary: orta goýy deri reňki, el, orta goýy deri reňki, ýokary
👍🏿	+1, başam barmak, başam barmak ýokary, başam barmak ýokary: goýy deri reňki, el, goýy deri reňki, ýokary
👎️	-1, aşak, başam barmak, başam barmak aşak, el
👎🏻	-1, açyk deri reňki, aşak, başam barmak, başam barmak aşak, başam barmak aşak: açyk deri reňki, el
👎🏼	-1, aşak, başam barmak, başam barmak aşak, başam barmak aşak: orta açyk deri reňki, el, orta açyk deri reňki
👎🏽	-1, aşak, başam barmak, başam barmak aşak, başam barmak aşak: orta deri reňki, el, orta deri reňki
👎🏾	-1, aşak, başam barmak, başam barmak aşak, başam barmak aşak: orta goýy deri reňki, el, orta goýy deri reňki
👎🏿	-1, aşak, başam barmak, başam barmak aşak, başam barmak aşak: goýy deri reňki, el, goýy deri reňki
✊	düwülen, el, galdyrylan ýumruk, ýumruk, ýumruklamak
✊🏻	açyk deri reňki, düwülen, el, galdyrylan ýumruk, galdyrylan ýumruk: açyk deri reňki, ýumruk, ýumruklamak
✊🏼	düwülen, el, galdyrylan ýumruk, galdyrylan ýumruk: orta açyk deri reňki, orta açyk deri reňki, ýumruk, ýumruklamak
✊🏽	düwülen, el, galdyrylan ýumruk, galdyrylan ýumruk: orta deri reňki, orta deri reňki, ýumruk, ýumruklamak
✊🏾	düwülen, el, galdyrylan ýumruk, galdyrylan ýumruk: orta goýy deri reňki, orta goýy deri reňki, ýumruk, ýumruklamak
✊🏿	düwülen, el, galdyrylan ýumruk, galdyrylan ýumruk: goýy deri reňki, goýy deri reňki, ýumruk, ýumruklamak
👊	düwülen, el, gelýän ýumruk, ýumruk, ýumruklamak
👊🏻	açyk deri reňki, düwülen, el, gelýän ýumruk, gelýän ýumruk: açyk deri reňki, ýumruk, ýumruklamak
👊🏼	düwülen, el, gelýän ýumruk, gelýän ýumruk: orta açyk deri reňki, orta açyk deri reňki, ýumruk, ýumruklamak
👊🏽	düwülen, el, gelýän ýumruk, gelýän ýumruk: orta deri reňki, orta deri reňki, ýumruk, ýumruklamak
👊🏾	düwülen, el, gelýän ýumruk, gelýän ýumruk: orta goýy deri reňki, orta goýy deri reňki, ýumruk, ýumruklamak
👊🏿	düwülen, el, gelýän ýumruk, gelýän ýumruk: goýy deri reňki, goýy deri reňki, ýumruk, ýumruklamak
🤛	çepe, çepe ýumruk, ýumruk
🤛🏻	açyk deri reňki, çepe, çepe ýumruk: açyk deri reňki, ýumruk
🤛🏼	orta açyk deri reňki, çepe, çepe ýumruk: orta açyk deri reňki, ýumruk
🤛🏽	orta deri reňki, çepe, çepe ýumruk: orta deri reňki, ýumruk
🤛🏾	orta goýy deri reňki, çepe, çepe ýumruk: orta goýy deri reňki, ýumruk
🤛🏿	goýy deri reňki, çepe, çepe ýumruk: goýy deri reňki, ýumruk
🤜	saga, saga ýumruk, ýumruk
🤜🏻	açyk deri reňki, saga, saga ýumruk: açyk deri reňki, ýumruk
🤜🏼	orta açyk deri reňki, saga, saga ýumruk: orta açyk deri reňki, ýumruk
🤜🏽	orta deri reňki, saga, saga ýumruk: orta deri reňki, ýumruk
🤜🏾	orta goýy deri reňki, saga, saga ýumruk: orta goýy deri reňki, ýumruk
🤜🏿	goýy deri reňki, saga, saga ýumruk: goýy deri reňki, ýumruk
👏	el, çapak çalýan eller, çarpmak
👏🏻	açyk deri reňki, el, çapak çalýan eller, çapak çalýan eller: açyk deri reňki, çarpmak
👏🏼	el, orta açyk deri reňki, çapak çalýan eller, çapak çalýan eller: orta açyk deri reňki, çarpmak
👏🏽	el, orta deri reňki, çapak çalýan eller, çapak çalýan eller: orta deri reňki, çarpmak
👏🏾	el, orta goýy deri reňki, çapak çalýan eller, çapak çalýan eller: orta goýy deri reňki, çarpmak
👏🏿	el, goýy deri reňki, çapak çalýan eller, çapak çalýan eller: goýy deri reňki, çarpmak
🙌	baýramçylyk, el, elleri galdyrmak, galdyrylan, urra, üm
🙌🏻	açyk deri reňki, baýramçylyk, el, elleri galdyrmak, elleri galdyrmak: açyk deri reňki, galdyrylan, urra, üm
🙌🏼	baýramçylyk, el, elleri galdyrmak, elleri galdyrmak: orta açyk deri reňki, galdyrylan, orta açyk deri reňki, urra, üm
🙌🏽	baýramçylyk, el, elleri galdyrmak, elleri galdyrmak: orta deri reňki, galdyrylan, orta deri reňki, urra, üm
🙌🏾	baýramçylyk, el, elleri galdyrmak, elleri galdyrmak: orta goýy deri reňki, galdyrylan, orta goýy deri reňki, urra, üm
🙌🏿	baýramçylyk, el, elleri galdyrmak, elleri galdyrmak: goýy deri reňki, galdyrylan, goýy deri reňki, urra, üm
👐	açmak, açyk eller, el
