😀	මුහුණ, සිනහ මුහුණ, සිනහව
👳🏼‍♀	කාන්තාව, තලප්පාව, තලප්පාවක් සහිත කාන්තාව, තලප්පාවක් සහිත කාන්තාව: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3, ස්ත්‍රිය
👳🏽‍♀	කාන්තාව, තලප්පාව, තලප්පාවක් සහිත කාන්තාව, තලප්පාවක් සහිත කාන්තාව: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4, ස්ත්‍රිය
👳🏾‍♀	කාන්තාව, තලප්පාව, තලප්පාවක් සහිත කාන්තාව, තලප්පාවක් සහිත කාන්තාව: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5, ස්ත්‍රිය
👳🏿‍♀	කාන්තාව, තලප්පාව, තලප්පාවක් සහිත කාන්තාව, තලප්පාවක් සහිත කාන්තාව: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6, ස්ත්‍රිය
👲	ග්වා පි මාඕ තොප්පිය, චීන තොප්පිය සහිත මිනිසා, තොප්පිය, මිනිසා
👲🏻	ග්වා පි මාඕ තොප්පිය, චීන තොප්පිය සහිත මිනිසා, චීන තොප්පිය සහිත මිනිසා: සමෙහි වර්ගය-1-2, තොප්පිය, මිනිසා, සමෙහි වර්ගය-1-2
👲🏼	ග්වා පි මාඕ තොප්පිය, චීන තොප්පිය සහිත මිනිසා, චීන තොප්පිය සහිත මිනිසා: සමෙහි වර්ගය-3, තොප්පිය, මිනිසා, සමෙහි වර්ගය-3
👲🏽	ග්වා පි මාඕ තොප්පිය, චීන තොප්පිය සහිත මිනිසා, චීන තොප්පිය සහිත මිනිසා: සමෙහි වර්ගය-4, තොප්පිය, මිනිසා, සමෙහි වර්ගය-4
👲🏾	ග්වා පි මාඕ තොප්පිය, චීන තොප්පිය සහිත මිනිසා, චීන තොප්පිය සහිත මිනිසා: සමෙහි වර්ගය-5, තොප්පිය, මිනිසා, සමෙහි වර්ගය-5
👲🏿	ග්වා පි මාඕ තොප්පිය, චීන තොප්පිය සහිත මිනිසා, චීන තොප්පිය සහිත මිනිසා: සමෙහි වර්ගය-6, තොප්පිය, මිනිසා, සමෙහි වර්ගය-6
🧕	අඳිනවා, ටිචෙල්, මැන්ටිල්ලා, හිස් වැසුම් සහිත කාන්තාවකි, හීජාබ්
🧕🏻	අඳිනවා, ටිචෙල්, මැන්ටිල්ලා, සමෙහි වර්ගය-1-2, හිස් වැසුම් සහිත කාන්තාවකි, හිස් වැසුම් සහිත කාන්තාවකි: සමෙහි වර්ගය-1-2, හීජාබ්
🧕🏼	අඳිනවා, ටිචෙල්, මැන්ටිල්ලා, සමෙහි වර්ගය-3, හිස් වැසුම් සහිත කාන්තාවකි, හිස් වැසුම් සහිත කාන්තාවකි: සමෙහි වර්ගය-3, හීජාබ්
🧕🏽	අඳිනවා, ටිචෙල්, මැන්ටිල්ලා, සමෙහි වර්ගය-4, හිස් වැසුම් සහිත කාන්තාවකි, හිස් වැසුම් සහිත කාන්තාවකි: සමෙහි වර්ගය-4, හීජාබ්
🧕🏾	අඳිනවා, ටිචෙල්, මැන්ටිල්ලා, සමෙහි වර්ගය-5, හිස් වැසුම් සහිත කාන්තාවකි, හිස් වැසුම් සහිත කාන්තාවකි: සමෙහි වර්ගය-5, හීජාබ්
🧕🏿	අඳිනවා, ටිචෙල්, මැන්ටිල්ලා, සමෙහි වර්ගය-6, හිස් වැසුම් සහිත කාන්තාවකි, හිස් වැසුම් සහිත කාන්තාවකි: සමෙහි වර්ගය-6, හීජාබ්
🤵	උත්සව කබාය, උත්සව කබායක් ඇද සිටින පිරිමියා, පිරිමියා, මනමාලයා
🤵🏻	උත්සව කබාය, උත්සව කබායක් ඇද සිටින පිරිමියා, උත්සව කබායක් ඇද සිටින පිරිමියා: සමෙහි වර්ගය-1-2, පිරිමියා, මනමාලයා, සමෙහි වර්ගය-1-2
🤵🏼	උත්සව කබාය, උත්සව කබායක් ඇද සිටින පිරිමියා, උත්සව කබායක් ඇද සිටින පිරිමියා: සමෙහි වර්ගය-3, පිරිමියා, මනමාලයා, සමෙහි වර්ගය-3
🤵🏽	උත්සව කබාය, උත්සව කබායක් ඇද සිටින පිරිමියා, උත්සව කබායක් ඇද සිටින පිරිමියා: සමෙහි වර්ගය-4, පිරිමියා, මනමාලයා, සමෙහි වර්ගය-4
🤵🏾	උත්සව කබාය, උත්සව කබායක් ඇද සිටින පිරිමියා, උත්සව කබායක් ඇද සිටින පිරිමියා: සමෙහි වර්ගය-5, පිරිමියා, මනමාලයා, සමෙහි වර්ගය-5
🤵🏿	උත්සව කබාය, උත්සව කබායක් ඇද සිටින පිරිමියා, උත්සව කබායක් ඇද සිටින පිරිමියා: සමෙහි වර්ගය-6, පිරිමියා, මනමාලයා, සමෙහි වර්ගය-6
👰	මනාලිය, විවාහ මංග්‍යලය, වේලය, වේලය දැමූ මනාලිය
👰🏻	මනාලිය, විවාහ මංග්‍යලය, වේලය, වේලය දැමූ මනාලිය, වේලය දැමූ මනාලිය: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
👰🏼	මනාලිය, විවාහ මංග්‍යලය, වේලය, වේලය දැමූ මනාලිය, වේලය දැමූ මනාලිය: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
👰🏽	මනාලිය, විවාහ මංග්‍යලය, වේලය, වේලය දැමූ මනාලිය, වේලය දැමූ මනාලිය: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
👰🏾	මනාලිය, විවාහ මංග්‍යලය, වේලය, වේලය දැමූ මනාලිය, වේලය දැමූ මනාලිය: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
👰🏿	මනාලිය, විවාහ මංග්‍යලය, වේලය, වේලය දැමූ මනාලිය, වේලය දැමූ මනාලිය: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🤰	ගැබිණිය, ගැහැණිය
🤰🏻	ගැබිණිය, ගැබිණිය: සමෙහි වර්ගය-1-2, ගැහැණිය, සමෙහි වර්ගය-1-2
🤰🏼	ගැබිණිය, ගැබිණිය: සමෙහි වර්ගය-3, ගැහැණිය, සමෙහි වර්ගය-3
🤰🏽	ගැබිණිය, ගැබිණිය: සමෙහි වර්ගය-4, ගැහැණිය, සමෙහි වර්ගය-4
🤰🏾	ගැබිණිය, ගැබිණිය: සමෙහි වර්ගය-5, ගැහැණිය, සමෙහි වර්ගය-5
🤰🏿	ගැබිණිය, ගැබිණිය: සමෙහි වර්ගය-6, ගැහැණිය, සමෙහි වර්ගය-6
🤱	කිරි දීම, දරුවා, පියයුරු
🤱🏻	කිරි දීම, කිරි දීම: සමෙහි වර්ගය-1-2, දරුවා, පියයුරු, සමෙහි වර්ගය-1-2
🤱🏼	කිරි දීම, කිරි දීම: සමෙහි වර්ගය-3, දරුවා, පියයුරු, සමෙහි වර්ගය-3
🤱🏽	කිරි දීම, කිරි දීම: සමෙහි වර්ගය-4, දරුවා, පියයුරු, සමෙහි වර්ගය-4
🤱🏾	කිරි දීම, කිරි දීම: සමෙහි වර්ගය-5, දරුවා, පියයුරු, සමෙහි වර්ගය-5
🤱🏿	කිරි දීම, කිරි දීම: සමෙහි වර්ගය-6, දරුවා, පියයුරු, සමෙහි වර්ගය-6
👼	මුහුණ, සිහින ලෝකය, සුරංඟනා කථාව, සුරදූතයා, ළදරු, ළදරු සුරදූතයා
👼🏻	මුහුණ, සමෙහි වර්ගය-1-2, සිහින ලෝකය, සුරංඟනා කථාව, සුරදූතයා, ළදරු, ළදරු සුරදූතයා: සමෙහි වර්ගය-1-2
👼🏼	මුහුණ, සමෙහි වර්ගය-3, සිහින ලෝකය, සුරංඟනා කථාව, සුරදූතයා, ළදරු, ළදරු සුරදූතයා: සමෙහි වර්ගය-3
👼🏽	මුහුණ, සමෙහි වර්ගය-4, සිහින ලෝකය, සුරංඟනා කථාව, සුරදූතයා, ළදරු, ළදරු සුරදූතයා: සමෙහි වර්ගය-4
👼🏾	මුහුණ, සමෙහි වර්ගය-5, සිහින ලෝකය, සුරංඟනා කථාව, සුරදූතයා, ළදරු, ළදරු සුරදූතයා: සමෙහි වර්ගය-5
👼🏿	මුහුණ, සමෙහි වර්ගය-6, සිහින ලෝකය, සුරංඟනා කථාව, සුරදූතයා, ළදරු, ළදරු සුරදූතයා: සමෙහි වර්ගය-6
🎅	නත්තල් සීයා, පියා, සිහින ලෝකය, සුරංඟනා කථාව
🎅🏻	නත්තල් සීයා, නත්තල් සීයා: සමෙහි වර්ගය-1-2, පියා, සමෙහි වර්ගය-1-2, සිහින ලෝකය, සුරංඟනා කථාව
🎅🏼	නත්තල් සීයා, නත්තල් සීයා: සමෙහි වර්ගය-3, පියා, සමෙහි වර්ගය-3, සිහින ලෝකය, සුරංඟනා කථාව
🎅🏽	නත්තල් සීයා, නත්තල් සීයා: සමෙහි වර්ගය-4, පියා, සමෙහි වර්ගය-4, සිහින ලෝකය, සුරංඟනා කථාව
🎅🏾	නත්තල් සීයා, නත්තල් සීයා: සමෙහි වර්ගය-5, පියා, සමෙහි වර්ගය-5, සිහින ලෝකය, සුරංඟනා කථාව
🎅🏿	නත්තල් සීයා, නත්තල් සීයා: සමෙහි වර්ගය-6, පියා, සමෙහි වර්ගය-6, සිහින ලෝකය, සුරංඟනා කථාව
🤶	අම්මා, නතල් ආච්චි, නත්තල
🤶🏻	අම්මා, නතල් ආච්චි, නතල් ආච්චි: සමෙහි වර්ගය-1-2, නත්තල, සමෙහි වර්ගය-1-2
🤶🏼	අම්මා, නතල් ආච්චි, නතල් ආච්චි: සමෙහි වර්ගය-3, නත්තල, සමෙහි වර්ගය-3
🤶🏽	අම්මා, නතල් ආච්චි, නතල් ආච්චි: සමෙහි වර්ගය-4, නත්තල, සමෙහි වර්ගය-4
🤶🏾	අම්මා, නතල් ආච්චි, නතල් ආච්චි: සමෙහි වර්ගය-5, නත්තල, සමෙහි වර්ගය-5
🤶🏿	අම්මා, නතල් ආච්චි, නතල් ආච්චි: සමෙහි වර්ගය-6, නත්තල, සමෙහි වර්ගය-6
🦸	වීරයෙක්, සුපිරි බලයක්, සුපිරි වීරයා, හෙරෝයින්, හොඳයි
🦸🏻	වීරයෙක්, සමෙහි වර්ගය-1-2, සුපිරි බලයක්, සුපිරි වීරයා, සුපිරි වීරයා: සමෙහි වර්ගය-1-2, හෙරෝයින්, හොඳයි
🦸🏼	වීරයෙක්, සමෙහි වර්ගය-3, සුපිරි බලයක්, සුපිරි වීරයා, සුපිරි වීරයා: සමෙහි වර්ගය-3, හෙරෝයින්, හොඳයි
🦸🏽	වීරයෙක්, සමෙහි වර්ගය-4, සුපිරි බලයක්, සුපිරි වීරයා, සුපිරි වීරයා: සමෙහි වර්ගය-4, හෙරෝයින්, හොඳයි
🦸🏾	වීරයෙක්, සමෙහි වර්ගය-5, සුපිරි බලයක්, සුපිරි වීරයා, සුපිරි වීරයා: සමෙහි වර්ගය-5, හෙරෝයින්, හොඳයි
🦸🏿	වීරයෙක්, සමෙහි වර්ගය-6, සුපිරි බලයක්, සුපිරි වීරයා, සුපිරි වීරයා: සමෙහි වර්ගය-6, හෙරෝයින්, හොඳයි
🦸‍♂	මිනිසා, මිනිසා සුපිරි වීරයා, වීරයෙක්, සුපිරි බලවතා, හොඳයි
🦸🏻‍♂	මිනිසා, මිනිසා සුපිරි වීරයා, මිනිසා සුපිරි වීරයා: සමෙහි වර්ගය-1-2, වීරයෙක්, සමෙහි වර්ගය-1-2, සුපිරි බලවතා, හොඳයි
🦸🏼‍♂	මිනිසා, මිනිසා සුපිරි වීරයා, මිනිසා සුපිරි වීරයා: සමෙහි වර්ගය-3, වීරයෙක්, සමෙහි වර්ගය-3, සුපිරි බලවතා, හොඳයි
🦸🏽‍♂	මිනිසා, මිනිසා සුපිරි වීරයා, මිනිසා සුපිරි වීරයා: සමෙහි වර්ගය-4, වීරයෙක්, සමෙහි වර්ගය-4, සුපිරි බලවතා, හොඳයි
🦸🏾‍♂	මිනිසා, මිනිසා සුපිරි වීරයා, මිනිසා සුපිරි වීරයා: සමෙහි වර්ගය-5, වීරයෙක්, සමෙහි වර්ගය-5, සුපිරි බලවතා, හොඳයි
🦸🏿‍♂	මිනිසා, මිනිසා සුපිරි වීරයා, මිනිසා සුපිරි වීරයා: සමෙහි වර්ගය-6, වීරයෙක්, සමෙහි වර්ගය-6, සුපිරි බලවතා, හොඳයි
🦸‍♀	කාන්තා සුපිරි වීරයා, කාන්තාව, වීරයෙක්, සුපිරි බලය, හිරෝයින්, හොඳයි
🦸🏻‍♀	කාන්තා සුපිරි වීරයා, කාන්තා සුපිරි වීරයා: සමෙහි වර්ගය-1-2, කාන්තාව, වීරයෙක්, සමෙහි වර්ගය-1-2, සුපිරි බලය, හිරෝයින්, හොඳයි
🦸🏼‍♀	කාන්තා සුපිරි වීරයා, කාන්තා සුපිරි වීරයා: සමෙහි වර්ගය-3, කාන්තාව, වීරයෙක්, සමෙහි වර්ගය-3, සුපිරි බලය, හිරෝයින්, හොඳයි
🦸🏽‍♀	කාන්තා සුපිරි වීරයා, කාන්තා සුපිරි වීරයා: සමෙහි වර්ගය-4, කාන්තාව, වීරයෙක්, සමෙහි වර්ගය-4, සුපිරි බලය, හිරෝයින්, හොඳයි
🦸🏾‍♀	කාන්තා සුපිරි වීරයා, කාන්තා සුපිරි වීරයා: සමෙහි වර්ගය-5, කාන්තාව, වීරයෙක්, සමෙහි වර්ගය-5, සුපිරි බලය, හිරෝයින්, හොඳයි
🦸🏿‍♀	කාන්තා සුපිරි වීරයා, කාන්තා සුපිරි වීරයා: සමෙහි වර්ගය-6, කාන්තාව, වීරයෙක්, සමෙහි වර්ගය-6, සුපිරි බලය, හිරෝයින්, හොඳයි
🦹	අපරාධකාරයෙක්, දුෂ්ටයා, නරකයි, සුපිරි දුෂ්ටයා, සුපිරි බලවතා
🦹🏻	අපරාධකාරයෙක්, දුෂ්ටයා, නරකයි, සමෙහි වර්ගය-1-2, සුපිරි දුෂ්ටයා, සුපිරි දුෂ්ටයා: සමෙහි වර්ගය-1-2, සුපිරි බලවතා
🦹🏼	අපරාධකාරයෙක්, දුෂ්ටයා, නරකයි, සමෙහි වර්ගය-3, සුපිරි දුෂ්ටයා, සුපිරි දුෂ්ටයා: සමෙහි වර්ගය-3, සුපිරි බලවතා
🦹🏽	අපරාධකාරයෙක්, දුෂ්ටයා, නරකයි, සමෙහි වර්ගය-4, සුපිරි දුෂ්ටයා, සුපිරි දුෂ්ටයා: සමෙහි වර්ගය-4, සුපිරි බලවතා
🦹🏾	අපරාධකාරයෙක්, දුෂ්ටයා, නරකයි, සමෙහි වර්ගය-5, සුපිරි දුෂ්ටයා, සුපිරි දුෂ්ටයා: සමෙහි වර්ගය-5, සුපිරි බලවතා
🦹🏿	අපරාධකාරයෙක්, දුෂ්ටයා, නරකයි, සමෙහි වර්ගය-6, සුපිරි දුෂ්ටයා, සුපිරි දුෂ්ටයා: සමෙහි වර්ගය-6, සුපිරි බලවතා
🦹‍♂	අපරාධකාරයෙක්, දුෂ්ටයා, නරකයි, පිරිමි සුපිරි දුෂ්ටයා, මිනිසා, සුපිරි බලවතා
🦹🏻‍♂	අපරාධකාරයෙක්, දුෂ්ටයා, නරකයි, පිරිමි සුපිරි දුෂ්ටයා, පිරිමි සුපිරි දුෂ්ටයා: සමෙහි වර්ගය-1-2, මිනිසා, සමෙහි වර්ගය-1-2, සුපිරි බලවතා
🦹🏼‍♂	අපරාධකාරයෙක්, දුෂ්ටයා, නරකයි, පිරිමි සුපිරි දුෂ්ටයා, පිරිමි සුපිරි දුෂ්ටයා: සමෙහි වර්ගය-3, මිනිසා, සමෙහි වර්ගය-3, සුපිරි බලවතා
🦹🏽‍♂	අපරාධකාරයෙක්, දුෂ්ටයා, නරකයි, පිරිමි සුපිරි දුෂ්ටයා, පිරිමි සුපිරි දුෂ්ටයා: සමෙහි වර්ගය-4, මිනිසා, සමෙහි වර්ගය-4, සුපිරි බලවතා
🦹🏾‍♂	අපරාධකාරයෙක්, දුෂ්ටයා, නරකයි, පිරිමි සුපිරි දුෂ්ටයා, පිරිමි සුපිරි දුෂ්ටයා: සමෙහි වර්ගය-5, මිනිසා, සමෙහි වර්ගය-5, සුපිරි බලවතා
🦹🏿‍♂	අපරාධකාරයෙක්, දුෂ්ටයා, නරකයි, පිරිමි සුපිරි දුෂ්ටයා, පිරිමි සුපිරි දුෂ්ටයා: සමෙහි වර්ගය-6, මිනිසා, සමෙහි වර්ගය-6, සුපිරි බලවතා
🦹‍♀	අපරාධකාරයෙක්, කාන්තාව දුෂ්ටයා, කාන්තාවක්, දුෂ්ටයා, නරකයි, සුපිරි බලවතා
🦹🏻‍♀	අපරාධකාරයෙක්, කාන්තාව දුෂ්ටයා, කාන්තාව දුෂ්ටයා: සමෙහි වර්ගය-1-2, කාන්තාවක්, දුෂ්ටයා, නරකයි, සමෙහි වර්ගය-1-2, සුපිරි බලවතා
🦹🏼‍♀	අපරාධකාරයෙක්, කාන්තාව දුෂ්ටයා, කාන්තාව දුෂ්ටයා: සමෙහි වර්ගය-3, කාන්තාවක්, දුෂ්ටයා, නරකයි, සමෙහි වර්ගය-3, සුපිරි බලවතා
🦹🏽‍♀	අපරාධකාරයෙක්, කාන්තාව දුෂ්ටයා, කාන්තාව දුෂ්ටයා: සමෙහි වර්ගය-4, කාන්තාවක්, දුෂ්ටයා, නරකයි, සමෙහි වර්ගය-4, සුපිරි බලවතා
🦹🏾‍♀	අපරාධකාරයෙක්, කාන්තාව දුෂ්ටයා, කාන්තාව දුෂ්ටයා: සමෙහි වර්ගය-5, කාන්තාවක්, දුෂ්ටයා, නරකයි, සමෙහි වර්ගය-5, සුපිරි බලවතා
🦹🏿‍♀	අපරාධකාරයෙක්, කාන්තාව දුෂ්ටයා, කාන්තාව දුෂ්ටයා: සමෙහි වර්ගය-6, කාන්තාවක්, දුෂ්ටයා, නරකයි, සමෙහි වර්ගය-6, සුපිරි බලවතා
🧙	මන්ත්‍රකාරිය, මායාකරුවා, මායාකාරිය
🧙🏻	මන්ත්‍රකාරිය, මායාකරුවා, මායාකරුවා: සමෙහි වර්ගය-1-2, මායාකාරිය, සමෙහි වර්ගය-1-2
🧙🏼	මන්ත්‍රකාරිය, මායාකරුවා, මායාකරුවා: සමෙහි වර්ගය-3, මායාකාරිය, සමෙහි වර්ගය-3
🧙🏽	මන්ත්‍රකාරිය, මායාකරුවා, මායාකරුවා: සමෙහි වර්ගය-4, මායාකාරිය, සමෙහි වර්ගය-4
🧙🏾	මන්ත්‍රකාරිය, මායාකරුවා, මායාකරුවා: සමෙහි වර්ගය-5, මායාකාරිය, සමෙහි වර්ගය-5
🧙🏿	මන්ත්‍රකාරිය, මායාකරුවා, මායාකරුවා: සමෙහි වර්ගය-6, මායාකාරිය, සමෙහි වර්ගය-6
🧙‍♂	පිරිමි මායාකරුවා, මන්ත්‍රකරුවා, මායාකරුවා
🧙🏻‍♂	පිරිමි මායාකරුවා, පිරිමි මායාකරුවා: සමෙහි වර්ගය-1-2, මන්ත්‍රකරුවා, මායාකරුවා, සමෙහි වර්ගය-1-2
🧙🏼‍♂	පිරිමි මායාකරුවා, පිරිමි මායාකරුවා: සමෙහි වර්ගය-3, මන්ත්‍රකරුවා, මායාකරුවා, සමෙහි වර්ගය-3
🧙🏽‍♂	පිරිමි මායාකරුවා, පිරිමි මායාකරුවා: සමෙහි වර්ගය-4, මන්ත්‍රකරුවා, මායාකරුවා, සමෙහි වර්ගය-4
🧙🏾‍♂	පිරිමි මායාකරුවා, පිරිමි මායාකරුවා: සමෙහි වර්ගය-5, මන්ත්‍රකරුවා, මායාකරුවා, සමෙහි වර්ගය-5
🧙🏿‍♂	පිරිමි මායාකරුවා, පිරිමි මායාකරුවා: සමෙහි වර්ගය-6, මන්ත්‍රකරුවා, මායාකරුවා, සමෙහි වර්ගය-6
🧙‍♀	මන්ත්‍රකාරිය, මායාකාරිය
🧙🏻‍♀	මන්ත්‍රකාරිය, මායාකාරිය, මායාකාරිය: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🧙🏼‍♀	මන්ත්‍රකාරිය, මායාකාරිය, මායාකාරිය: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🧙🏽‍♀	මන්ත්‍රකාරිය, මායාකාරිය, මායාකාරිය: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🧙🏾‍♀	මන්ත්‍රකාරිය, මායාකාරිය, මායාකාරිය: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🧙🏿‍♀	මන්ත්‍රකාරිය, මායාකාරිය, මායාකාරිය: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🧚	ඔබෙරෝන්, ටයිටානියා, පක්, සුරඟන
🧚🏻	ඔබෙරෝන්, ටයිටානියා, පක්, සමෙහි වර්ගය-1-2, සුරඟන, සුරඟන: සමෙහි වර්ගය-1-2
🧚🏼	ඔබෙරෝන්, ටයිටානියා, පක්, සමෙහි වර්ගය-3, සුරඟන, සුරඟන: සමෙහි වර්ගය-3
🧚🏽	ඔබෙරෝන්, ටයිටානියා, පක්, සමෙහි වර්ගය-4, සුරඟන, සුරඟන: සමෙහි වර්ගය-4
🧚🏾	ඔබෙරෝන්, ටයිටානියා, පක්, සමෙහි වර්ගය-5, සුරඟන, සුරඟන: සමෙහි වර්ගය-5
🧚🏿	ඔබෙරෝන්, ටයිටානියා, පක්, සමෙහි වර්ගය-6, සුරඟන, සුරඟන: සමෙහි වර්ගය-6
🧚‍♂	ඔබෙරෝන්, පක්, පිරිමි සුරඟන
🧚🏻‍♂	ඔබෙරෝන්, පක්, පිරිමි සුරඟන, පිරිමි සුරඟන: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🧚🏼‍♂	ඔබෙරෝන්, පක්, පිරිමි සුරඟන, පිරිමි සුරඟන: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🧚🏽‍♂	ඔබෙරෝන්, පක්, පිරිමි සුරඟන, පිරිමි සුරඟන: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🧚🏾‍♂	ඔබෙරෝන්, පක්, පිරිමි සුරඟන, පිරිමි සුරඟන: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🧚🏿‍♂	ඔබෙරෝන්, පක්, පිරිමි සුරඟන, පිරිමි සුරඟන: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🧚‍♀	ටයිටානියා, සුරංගනාව
🧚🏻‍♀	ටයිටානියා, සමෙහි වර්ගය-1-2, සුරංගනාව, සුරංගනාව: සමෙහි වර්ගය-1-2
🧚🏼‍♀	ටයිටානියා, සමෙහි වර්ගය-3, සුරංගනාව, සුරංගනාව: සමෙහි වර්ගය-3
🧚🏽‍♀	ටයිටානියා, සමෙහි වර්ගය-4, සුරංගනාව, සුරංගනාව: සමෙහි වර්ගය-4
🧚🏾‍♀	ටයිටානියා, සමෙහි වර්ගය-5, සුරංගනාව, සුරංගනාව: සමෙහි වර්ගය-5
🧚🏿‍♀	ටයිටානියා, සමෙහි වර්ගය-6, සුරංගනාව, සුරංගනාව: සමෙහි වර්ගය-6
🧛	ඩ්‍රකියූලා, නොමැරුණු, වැම්පයර්
🧛🏻	ඩ්‍රකියූලා, නොමැරුණු, වැම්පයර්, වැම්පයර්: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🧛🏼	ඩ්‍රකියූලා, නොමැරුණු, වැම්පයර්, වැම්පයර්: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🧛🏽	ඩ්‍රකියූලා, නොමැරුණු, වැම්පයර්, වැම්පයර්: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🧛🏾	ඩ්‍රකියූලා, නොමැරුණු, වැම්පයර්, වැම්පයර්: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🧛🏿	ඩ්‍රකියූලා, නොමැරුණු, වැම්පයර්, වැම්පයර්: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🧛‍♂	ඩ්‍රකියූලා, නොමැරුණු, පිරිමි වැම්පයර්
🧛🏻‍♂	ඩ්‍රකියූලා, නොමැරුණු, පිරිමි වැම්පයර්, පිරිමි වැම්පයර්: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🧛🏼‍♂	ඩ්‍රකියූලා, නොමැරුණු, පිරිමි වැම්පයර්, පිරිමි වැම්පයර්: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🧛🏽‍♂	ඩ්‍රකියූලා, නොමැරුණු, පිරිමි වැම්පයර්, පිරිමි වැම්පයර්: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🧛🏾‍♂	ඩ්‍රකියූලා, නොමැරුණු, පිරිමි වැම්පයර්, පිරිමි වැම්පයර්: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🧛🏿‍♂	ඩ්‍රකියූලා, නොමැරුණු, පිරිමි වැම්පයර්, පිරිමි වැම්පයර්: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🧛‍♀	ගැණු වැම්පයර්, නොමැරුණු
🧛🏻‍♀	ගැණු වැම්පයර්, ගැණු වැම්පයර්: සමෙහි වර්ගය-1-2, නොමැරුණු, සමෙහි වර්ගය-1-2
🧛🏼‍♀	ගැණු වැම්පයර්, ගැණු වැම්පයර්: සමෙහි වර්ගය-3, නොමැරුණු, සමෙහි වර්ගය-3
🧛🏽‍♀	ගැණු වැම්පයර්, ගැණු වැම්පයර්: සමෙහි වර්ගය-4, නොමැරුණු, සමෙහි වර්ගය-4
🧛🏾‍♀	ගැණු වැම්පයර්, ගැණු වැම්පයර්: සමෙහි වර්ගය-5, නොමැරුණු, සමෙහි වර්ගය-5
🧛🏿‍♀	ගැණු වැම්පයර්, ගැණු වැම්පයර්: සමෙහි වර්ගය-6, නොමැරුණු, සමෙහි වර්ගය-6
🧜	දියකිඳුරා, දියකිඳුරිය, දියකිඳුරු
🧜🏻	දියකිඳුරා, දියකිඳුරිය, දියකිඳුරු, දියකිඳුරු: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🧜🏼	දියකිඳුරා, දියකිඳුරිය, දියකිඳුරු, දියකිඳුරු: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🧜🏽	දියකිඳුරා, දියකිඳුරිය, දියකිඳුරු, දියකිඳුරු: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🧜🏾	දියකිඳුරා, දියකිඳුරිය, දියකිඳුරු, දියකිඳුරු: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🧜🏿	දියකිඳුරා, දියකිඳුරිය, දියකිඳුරු, දියකිඳුරු: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🧜‍♂	ට්‍රිටෝන්, පිරිමි දියකිඳුරා
🧜🏻‍♂	ට්‍රිටෝන්, පිරිමි දියකිඳුරා, පිරිමි දියකිඳුරා: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🧜🏼‍♂	ට්‍රිටෝන්, පිරිමි දියකිඳුරා, පිරිමි දියකිඳුරා: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🧜🏽‍♂	ට්‍රිටෝන්, පිරිමි දියකිඳුරා, පිරිමි දියකිඳුරා: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🧜🏾‍♂	ට්‍රිටෝන්, පිරිමි දියකිඳුරා, පිරිමි දියකිඳුරා: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🧜🏿‍♂	ට්‍රිටෝන්, පිරිමි දියකිඳුරා, පිරිමි දියකිඳුරා: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🧜‍♀	දියකිඳුරා, දියකිඳුරිය
