😀	cara, cara sorridente, sorriso
🙆🏼‍♀	gesto, mulher, mulher que faz gesto de OK, mulher que faz gesto de OK: tipo de pele 3, mão, ok, tipo de pele 3
🙆🏽‍♀	gesto, mulher, mulher que faz gesto de OK, mulher que faz gesto de OK: tipo de pele 4, mão, ok, tipo de pele 4
🙆🏾‍♀	gesto, mulher, mulher que faz gesto de OK, mulher que faz gesto de OK: tipo de pele 5, mão, ok, tipo de pele 5
🙆🏿‍♀	gesto, mulher, mulher que faz gesto de OK, mulher que faz gesto de OK: tipo de pele 6, mão, ok, tipo de pele 6
💁	ajuda, assistente de balcão de informações, atencioso, informações, mão
💁🏻	ajuda, assistente de balcão de informações, assistente de balcão de informações: tipo de pele 1–2, atencioso, informações, mão, tipo de pele 1–2
💁🏼	ajuda, assistente de balcão de informações, assistente de balcão de informações: tipo de pele 3, atencioso, informações, mão, tipo de pele 3
💁🏽	ajuda, assistente de balcão de informações, assistente de balcão de informações: tipo de pele 4, atencioso, informações, mão, tipo de pele 4
💁🏾	ajuda, assistente de balcão de informações, assistente de balcão de informações: tipo de pele 5, atencioso, informações, mão, tipo de pele 5
💁🏿	ajuda, assistente de balcão de informações, assistente de balcão de informações: tipo de pele 6, atencioso, informações, mão, tipo de pele 6
💁‍♂	assistente de balcão de informações (homem), atrevido, homem, mão de gorjeta
💁🏻‍♂	assistente de balcão de informações (homem), assistente de balcão de informações (homem): tipo de pele 1–2, atrevido, homem, mão de gorjeta, tipo de pele 1–2
💁🏼‍♂	assistente de balcão de informações (homem), assistente de balcão de informações (homem): tipo de pele 3, atrevido, homem, mão de gorjeta, tipo de pele 3
💁🏽‍♂	assistente de balcão de informações (homem), assistente de balcão de informações (homem): tipo de pele 4, atrevido, homem, mão de gorjeta, tipo de pele 4
💁🏾‍♂	assistente de balcão de informações (homem), assistente de balcão de informações (homem): tipo de pele 5, atrevido, homem, mão de gorjeta, tipo de pele 5
💁🏿‍♂	assistente de balcão de informações (homem), assistente de balcão de informações (homem): tipo de pele 6, atrevido, homem, mão de gorjeta, tipo de pele 6
💁‍♀	assistente de balcão de informações (mulher), atrevida, mulher, mão de gorjeta
💁🏻‍♀	assistente de balcão de informações (mulher), assistente de balcão de informações (mulher): tipo de pele 1–2, atrevida, mulher, mão de gorjeta, tipo de pele 1–2
💁🏼‍♀	assistente de balcão de informações (mulher), assistente de balcão de informações (mulher): tipo de pele 3, atrevida, mulher, mão de gorjeta, tipo de pele 3
💁🏽‍♀	assistente de balcão de informações (mulher), assistente de balcão de informações (mulher): tipo de pele 4, atrevida, mulher, mão de gorjeta, tipo de pele 4
💁🏾‍♀	assistente de balcão de informações (mulher), assistente de balcão de informações (mulher): tipo de pele 5, atrevida, mulher, mão de gorjeta, tipo de pele 5
💁🏿‍♀	assistente de balcão de informações (mulher), assistente de balcão de informações (mulher): tipo de pele 6, atrevida, mulher, mão de gorjeta, tipo de pele 6
🙋	alegre, gesto, mão, mão levantada, pessoa de mão levantada
🙋🏻	alegre, gesto, mão, mão levantada, pessoa de mão levantada, pessoa de mão levantada: tipo de pele 1–2, tipo de pele 1–2
🙋🏼	alegre, gesto, mão, mão levantada, pessoa de mão levantada, pessoa de mão levantada: tipo de pele 3, tipo de pele 3
🙋🏽	alegre, gesto, mão, mão levantada, pessoa de mão levantada, pessoa de mão levantada: tipo de pele 4, tipo de pele 4
🙋🏾	alegre, gesto, mão, mão levantada, pessoa de mão levantada, pessoa de mão levantada: tipo de pele 5, tipo de pele 5
🙋🏿	alegre, gesto, mão, mão levantada, pessoa de mão levantada, pessoa de mão levantada: tipo de pele 6, tipo de pele 6
🙋‍♂	gesto, homem, homem de mão levantada, mão levantada
🙋🏻‍♂	gesto, homem, homem de mão levantada, homem de mão levantada: tipo de pele 1–2, mão levantada, tipo de pele 1–2
🙋🏼‍♂	gesto, homem, homem de mão levantada, homem de mão levantada: tipo de pele 3, mão levantada, tipo de pele 3
🙋🏽‍♂	gesto, homem, homem de mão levantada, homem de mão levantada: tipo de pele 4, mão levantada, tipo de pele 4
🙋🏾‍♂	gesto, homem, homem de mão levantada, homem de mão levantada: tipo de pele 5, mão levantada, tipo de pele 5
🙋🏿‍♂	gesto, homem, homem de mão levantada, homem de mão levantada: tipo de pele 6, mão levantada, tipo de pele 6
🙋‍♀	gesto, mulher, mulher de mão levantada, mão levantada
🙋🏻‍♀	gesto, mulher, mulher de mão levantada, mulher de mão levantada: tipo de pele 1–2, mão levantada, tipo de pele 1–2
🙋🏼‍♀	gesto, mulher, mulher de mão levantada, mulher de mão levantada: tipo de pele 3, mão levantada, tipo de pele 3
🙋🏽‍♀	gesto, mulher, mulher de mão levantada, mulher de mão levantada: tipo de pele 4, mão levantada, tipo de pele 4
🙋🏾‍♀	gesto, mulher, mulher de mão levantada, mulher de mão levantada: tipo de pele 5, mão levantada, tipo de pele 5
🙋🏿‍♀	gesto, mulher, mulher de mão levantada, mulher de mão levantada: tipo de pele 6, mão levantada, tipo de pele 6
🧏🏻	pessoa surda, pessoa surda: tipo de pele 1–2, tipo de pele 1–2
🧏🏼	pessoa surda, pessoa surda: tipo de pele 3, tipo de pele 3
🧏🏽	pessoa surda, pessoa surda: tipo de pele 4, tipo de pele 4
🧏🏾	pessoa surda, pessoa surda: tipo de pele 5, tipo de pele 5
🧏🏿	pessoa surda, pessoa surda: tipo de pele 6, tipo de pele 6
🧏🏻‍♂	homem surdo, homem surdo: tipo de pele 1–2, tipo de pele 1–2
🧏🏼‍♂	homem surdo, homem surdo: tipo de pele 3, tipo de pele 3
🧏🏽‍♂	homem surdo, homem surdo: tipo de pele 4, tipo de pele 4
🧏🏾‍♂	homem surdo, homem surdo: tipo de pele 5, tipo de pele 5
🧏🏿‍♂	homem surdo, homem surdo: tipo de pele 6, tipo de pele 6
🧏🏻‍♀	mulher surda, mulher surda: tipo de pele 1–2, tipo de pele 1–2
🧏🏼‍♀	mulher surda, mulher surda: tipo de pele 3, tipo de pele 3
🧏🏽‍♀	mulher surda, mulher surda: tipo de pele 4, tipo de pele 4
🧏🏾‍♀	mulher surda, mulher surda: tipo de pele 5, tipo de pele 5
🧏🏿‍♀	mulher surda, mulher surda: tipo de pele 6, tipo de pele 6
🙇	desculpa, gesto, pedido de desculpas, pessoa a fazer vénia, vénia
🙇🏻	desculpa, gesto, pedido de desculpas, pessoa a fazer vénia, pessoa a fazer vénia: tipo de pele 1–2, tipo de pele 1–2, vénia
🙇🏼	desculpa, gesto, pedido de desculpas, pessoa a fazer vénia, pessoa a fazer vénia: tipo de pele 3, tipo de pele 3, vénia
🙇🏽	desculpa, gesto, pedido de desculpas, pessoa a fazer vénia, pessoa a fazer vénia: tipo de pele 4, tipo de pele 4, vénia
🙇🏾	desculpa, gesto, pedido de desculpas, pessoa a fazer vénia, pessoa a fazer vénia: tipo de pele 5, tipo de pele 5, vénia
🙇🏿	desculpa, gesto, pedido de desculpas, pessoa a fazer vénia, pessoa a fazer vénia: tipo de pele 6, tipo de pele 6, vénia
🙇‍♂	desculpas, favor, gesto, homem, homem a fazer a vénia
🙇🏻‍♂	desculpas, favor, gesto, homem, homem a fazer a vénia, homem a fazer a vénia: tipo de pele 1–2, tipo de pele 1–2
🙇🏼‍♂	desculpas, favor, gesto, homem, homem a fazer a vénia, homem a fazer a vénia: tipo de pele 3, tipo de pele 3
🙇🏽‍♂	desculpas, favor, gesto, homem, homem a fazer a vénia, homem a fazer a vénia: tipo de pele 4, tipo de pele 4
🙇🏾‍♂	desculpas, favor, gesto, homem, homem a fazer a vénia, homem a fazer a vénia: tipo de pele 5, tipo de pele 5
🙇🏿‍♂	desculpas, favor, gesto, homem, homem a fazer a vénia, homem a fazer a vénia: tipo de pele 6, tipo de pele 6
🙇‍♀	desculpas, favor, gesto, mulher, mulher a fazer a vénia
🙇🏻‍♀	desculpas, favor, gesto, mulher, mulher a fazer a vénia, mulher a fazer a vénia: tipo de pele 1–2, tipo de pele 1–2
🙇🏼‍♀	desculpas, favor, gesto, mulher, mulher a fazer a vénia, mulher a fazer a vénia: tipo de pele 3, tipo de pele 3
🙇🏽‍♀	desculpas, favor, gesto, mulher, mulher a fazer a vénia, mulher a fazer a vénia: tipo de pele 4, tipo de pele 4
🙇🏾‍♀	desculpas, favor, gesto, mulher, mulher a fazer a vénia, mulher a fazer a vénia: tipo de pele 5, tipo de pele 5
🙇🏿‍♀	desculpas, favor, gesto, mulher, mulher a fazer a vénia, mulher a fazer a vénia: tipo de pele 6, tipo de pele 6
🤦	exasperação, face, incredulidade, palma, pessoa de palma na face
🤦🏻	exasperação, face, incredulidade, palma, pessoa de palma na face, pessoa de palma na face: tipo de pele 1–2, tipo de pele 1–2
🤦🏼	exasperação, face, incredulidade, palma, pessoa de palma na face, pessoa de palma na face: tipo de pele 3, tipo de pele 3
🤦🏽	exasperação, face, incredulidade, palma, pessoa de palma na face, pessoa de palma na face: tipo de pele 4, tipo de pele 4
🤦🏾	exasperação, face, incredulidade, palma, pessoa de palma na face, pessoa de palma na face: tipo de pele 5, tipo de pele 5
🤦🏿	exasperação, face, incredulidade, palma, pessoa de palma na face, pessoa de palma na face: tipo de pele 6, tipo de pele 6
🤦‍♂	descrença, exaspero, homem, homem de palma na face, mão na cara
🤦🏻‍♂	descrença, exaspero, homem, homem de palma na face, homem de palma na face: tipo de pele 1–2, mão na cara, tipo de pele 1–2
🤦🏼‍♂	descrença, exaspero, homem, homem de palma na face, homem de palma na face: tipo de pele 3, mão na cara, tipo de pele 3
🤦🏽‍♂	descrença, exaspero, homem, homem de palma na face, homem de palma na face: tipo de pele 4, mão na cara, tipo de pele 4
🤦🏾‍♂	descrença, exaspero, homem, homem de palma na face, homem de palma na face: tipo de pele 5, mão na cara, tipo de pele 5
🤦🏿‍♂	descrença, exaspero, homem, homem de palma na face, homem de palma na face: tipo de pele 6, mão na cara, tipo de pele 6
🤦‍♀	descrença, exaspero, mulher, mulher de palma na face, mão na cara
🤦🏻‍♀	descrença, exaspero, mulher, mulher de palma na face, mulher de palma na face: tipo de pele 1–2, mão na cara, tipo de pele 1–2
🤦🏼‍♀	descrença, exaspero, mulher, mulher de palma na face, mulher de palma na face: tipo de pele 3, mão na cara, tipo de pele 3
🤦🏽‍♀	descrença, exaspero, mulher, mulher de palma na face, mulher de palma na face: tipo de pele 4, mão na cara, tipo de pele 4
🤦🏾‍♀	descrença, exaspero, mulher, mulher de palma na face, mulher de palma na face: tipo de pele 5, mão na cara, tipo de pele 5
🤦🏿‍♀	descrença, exaspero, mulher, mulher de palma na face, mulher de palma na face: tipo de pele 6, mão na cara, tipo de pele 6
🤷	dúvida, encolher, ignorância, indiferença, pessoa a encolher os ombros
🤷🏻	dúvida, encolher, ignorância, indiferença, pessoa a encolher os ombros, pessoa a encolher os ombros: tipo de pele 1–2, tipo de pele 1–2
🤷🏼	dúvida, encolher, ignorância, indiferença, pessoa a encolher os ombros, pessoa a encolher os ombros: tipo de pele 3, tipo de pele 3
🤷🏽	dúvida, encolher, ignorância, indiferença, pessoa a encolher os ombros, pessoa a encolher os ombros: tipo de pele 4, tipo de pele 4
🤷🏾	dúvida, encolher, ignorância, indiferença, pessoa a encolher os ombros, pessoa a encolher os ombros: tipo de pele 5, tipo de pele 5
🤷🏿	dúvida, encolher, ignorância, indiferença, pessoa a encolher os ombros, pessoa a encolher os ombros: tipo de pele 6, tipo de pele 6
🤷‍♂	dúvida, homem, homem a encolher os ombros, indiferença
🤷🏻‍♂	dúvida, homem, homem a encolher os ombros, homem a encolher os ombros: tipo de pele 1–2, indiferença, tipo de pele 1–2
🤷🏼‍♂	dúvida, homem, homem a encolher os ombros, homem a encolher os ombros: tipo de pele 3, indiferença, tipo de pele 3
🤷🏽‍♂	dúvida, homem, homem a encolher os ombros, homem a encolher os ombros: tipo de pele 4, indiferença, tipo de pele 4
🤷🏾‍♂	dúvida, homem, homem a encolher os ombros, homem a encolher os ombros: tipo de pele 5, indiferença, tipo de pele 5
🤷🏿‍♂	dúvida, homem, homem a encolher os ombros, homem a encolher os ombros: tipo de pele 6, indiferença, tipo de pele 6
🤷‍♀	dúvida, indiferença, mulher, mulher a encolher os ombros
🤷🏻‍♀	dúvida, indiferença, mulher, mulher a encolher os ombros, mulher a encolher os ombros: tipo de pele 1–2, tipo de pele 1–2
🤷🏼‍♀	dúvida, indiferença, mulher, mulher a encolher os ombros, mulher a encolher os ombros: tipo de pele 3, tipo de pele 3
🤷🏽‍♀	dúvida, indiferença, mulher, mulher a encolher os ombros, mulher a encolher os ombros: tipo de pele 4, tipo de pele 4
🤷🏾‍♀	dúvida, indiferença, mulher, mulher a encolher os ombros, mulher a encolher os ombros: tipo de pele 5, tipo de pele 5
🤷🏿‍♀	dúvida, indiferença, mulher, mulher a encolher os ombros, mulher a encolher os ombros: tipo de pele 6, tipo de pele 6
👨‍⚕	doutor, enfermeiro, homem, médico, profissional da saúde (homem), profissional da área da saúde, profissional de saúde (homem), saúde, terapeuta
👨🏻‍⚕	doutor, enfermeiro, homem, médico, profissional da saúde (homem), profissional da área da saúde, profissional de saúde (homem), profissional de saúde (homem): tipo de pele 1–2, saúde, terapeuta, tipo de pele 1–2
👨🏼‍⚕	doutor, enfermeiro, homem, médico, profissional da saúde (homem), profissional da área da saúde, profissional de saúde (homem), profissional de saúde (homem): tipo de pele 3, saúde, terapeuta, tipo de pele 3
👨🏽‍⚕	doutor, enfermeiro, homem, médico, profissional da saúde (homem), profissional da área da saúde, profissional de saúde (homem), profissional de saúde (homem): tipo de pele 4, saúde, terapeuta, tipo de pele 4
👨🏾‍⚕	doutor, enfermeiro, homem, médico, profissional da saúde (homem), profissional da área da saúde, profissional de saúde (homem), profissional de saúde (homem): tipo de pele 5, saúde, terapeuta, tipo de pele 5
👨🏿‍⚕	doutor, enfermeiro, homem, médico, profissional da saúde (homem), profissional da área da saúde, profissional de saúde (homem), profissional de saúde (homem): tipo de pele 6, saúde, terapeuta, tipo de pele 6
👩‍⚕	doutora, enfermeira, mulher, médica, profissional da saúde (mulher), profissional da área da saúde, profissional de saúde (mulher), serviço de saúde
👩🏻‍⚕	doutora, enfermeira, mulher, médica, profissional da saúde (mulher), profissional da área da saúde, profissional de saúde (mulher), profissional de saúde (mulher): tipo de pele 1–2, serviço de saúde, tipo de pele 1–2
👩🏼‍⚕	doutora, enfermeira, mulher, médica, profissional da saúde (mulher), profissional da área da saúde, profissional de saúde (mulher), profissional de saúde (mulher): tipo de pele 3, serviço de saúde, tipo de pele 3
👩🏽‍⚕	doutora, enfermeira, mulher, médica, profissional da saúde (mulher), profissional da área da saúde, profissional de saúde (mulher), profissional de saúde (mulher): tipo de pele 4, serviço de saúde, tipo de pele 4
👩🏾‍⚕	doutora, enfermeira, mulher, médica, profissional da saúde (mulher), profissional da área da saúde, profissional de saúde (mulher), profissional de saúde (mulher): tipo de pele 5, serviço de saúde, tipo de pele 5
👩🏿‍⚕	doutora, enfermeira, mulher, médica, profissional da saúde (mulher), profissional da área da saúde, profissional de saúde (mulher), profissional de saúde (mulher): tipo de pele 6, serviço de saúde, tipo de pele 6
👨‍🎓	aluno, estudante, estudante (homem), homem, universitário
👨🏻‍🎓	aluno, estudante, estudante (homem), estudante (homem): tipo de pele 1–2, homem, tipo de pele 1–2, universitário
👨🏼‍🎓	aluno, estudante, estudante (homem), estudante (homem): tipo de pele 3, homem, tipo de pele 3, universitário
👨🏽‍🎓	aluno, estudante, estudante (homem), estudante (homem): tipo de pele 4, homem, tipo de pele 4, universitário
👨🏾‍🎓	aluno, estudante, estudante (homem), estudante (homem): tipo de pele 5, homem, tipo de pele 5, universitário
👨🏿‍🎓	aluno, estudante, estudante (homem), estudante (homem): tipo de pele 6, homem, tipo de pele 6, universitário
👩‍🎓	aluna, estudante, estudante (mulher), mulher, universitária
👩🏻‍🎓	aluna, estudante, estudante (mulher), estudante (mulher): tipo de pele 1–2, mulher, tipo de pele 1–2, universitária
👩🏼‍🎓	aluna, estudante, estudante (mulher), estudante (mulher): tipo de pele 3, mulher, tipo de pele 3, universitária
👩🏽‍🎓	aluna, estudante, estudante (mulher), estudante (mulher): tipo de pele 4, mulher, tipo de pele 4, universitária
👩🏾‍🎓	aluna, estudante, estudante (mulher), estudante (mulher): tipo de pele 5, mulher, tipo de pele 5, universitária
👩🏿‍🎓	aluna, estudante, estudante (mulher), estudante (mulher): tipo de pele 6, mulher, tipo de pele 6, universitária
👨‍🏫	homem, instrutor, professor
👨🏻‍🏫	homem, instrutor, professor, professor: tipo de pele 1–2, tipo de pele 1–2
👨🏼‍🏫	homem, instrutor, professor, professor: tipo de pele 3, tipo de pele 3
👨🏽‍🏫	homem, instrutor, professor, professor: tipo de pele 4, tipo de pele 4
👨🏾‍🏫	homem, instrutor, professor, professor: tipo de pele 5, tipo de pele 5
👨🏿‍🏫	homem, instrutor, professor, professor: tipo de pele 6, tipo de pele 6
👩‍🏫	instrutora, mulher, professora
👩🏻‍🏫	instrutora, mulher, professora, professora: tipo de pele 1–2, tipo de pele 1–2
👩🏼‍🏫	instrutora, mulher, professora, professora: tipo de pele 3, tipo de pele 3
👩🏽‍🏫	instrutora, mulher, professora, professora: tipo de pele 4, tipo de pele 4
👩🏾‍🏫	instrutora, mulher, professora, professora: tipo de pele 5, tipo de pele 5
👩🏿‍🏫	instrutora, mulher, professora, professora: tipo de pele 6, tipo de pele 6
👨‍⚖	balança, homem, justiça
👨🏻‍⚖	balança, homem, juiz: tipo de pele 1–2, justiça, tipo de pele 1–2
👨🏼‍⚖	balança, homem, juiz: tipo de pele 3, justiça, tipo de pele 3
👨🏽‍⚖	balança, homem, juiz: tipo de pele 4, justiça, tipo de pele 4
👨🏾‍⚖	balança, homem, juiz: tipo de pele 5, justiça, tipo de pele 5
👨🏿‍⚖	balança, homem, juiz: tipo de pele 6, justiça, tipo de pele 6
👩‍⚖	balança, justiça, mulher
👩🏻‍⚖	balança, justiça, juíza: tipo de pele 1–2, mulher, tipo de pele 1–2
👩🏼‍⚖	balança, justiça, juíza: tipo de pele 3, mulher, tipo de pele 3
👩🏽‍⚖	balança, justiça, juíza: tipo de pele 4, mulher, tipo de pele 4
👩🏾‍⚖	balança, justiça, juíza: tipo de pele 5, mulher, tipo de pele 5
👩🏿‍⚖	balança, justiça, juíza: tipo de pele 6, mulher, tipo de pele 6
👨‍🌾	agricultor, fazendeiro, homem, jardineiro, lavrador
👨🏻‍🌾	agricultor, agricultor: tipo de pele 1–2, fazendeiro, homem, jardineiro, lavrador, tipo de pele 1–2
👨🏼‍🌾	agricultor, agricultor: tipo de pele 3, fazendeiro, homem, jardineiro, lavrador, tipo de pele 3
👨🏽‍🌾	agricultor, agricultor: tipo de pele 4, fazendeiro, homem, jardineiro, lavrador, tipo de pele 4
👨🏾‍🌾	agricultor, agricultor: tipo de pele 5, fazendeiro, homem, jardineiro, lavrador, tipo de pele 5
👨🏿‍🌾	agricultor, agricultor: tipo de pele 6, fazendeiro, homem, jardineiro, lavrador, tipo de pele 6
👩‍🌾	agricultora, fazendeira, jardineira, lavradora, mulher
👩🏻‍🌾	agricultora, agricultora: tipo de pele 1–2, fazendeira, jardineira, lavradora, mulher, tipo de pele 1–2
👩🏼‍🌾	agricultora, agricultora: tipo de pele 3, fazendeira, jardineira, lavradora, mulher, tipo de pele 3
👩🏽‍🌾	agricultora, agricultora: tipo de pele 4, fazendeira, jardineira, lavradora, mulher, tipo de pele 4
👩🏾‍🌾	agricultora, agricultora: tipo de pele 5, fazendeira, jardineira, lavradora, mulher, tipo de pele 5
👩🏿‍🌾	agricultora, agricultora: tipo de pele 6, fazendeira, jardineira, lavradora, mulher, tipo de pele 6
👨🏻‍🍳	chef, cozinheiro, cozinheiro: tipo de pele 1–2, homem, tipo de pele 1–2
👨🏼‍🍳	chef, cozinheiro, cozinheiro: tipo de pele 3, homem, tipo de pele 3
👨🏽‍🍳	chef, cozinheiro, cozinheiro: tipo de pele 4, homem, tipo de pele 4
👨🏾‍🍳	chef, cozinheiro, cozinheiro: tipo de pele 5, homem, tipo de pele 5
👨🏿‍🍳	chef, cozinheiro, cozinheiro: tipo de pele 6, homem, tipo de pele 6
👩‍🍳	chef, cozinheira, homem
👩🏻‍🍳	chef, cozinheira, cozinheira: tipo de pele 1–2, homem, tipo de pele 1–2
👩🏼‍🍳	chef, cozinheira, cozinheira: tipo de pele 3, homem, tipo de pele 3
👩🏽‍🍳	chef, cozinheira, cozinheira: tipo de pele 4, homem, tipo de pele 4
👩🏾‍🍳	chef, cozinheira, cozinheira: tipo de pele 5, homem, tipo de pele 5
👩🏿‍🍳	chef, cozinheira, cozinheira: tipo de pele 6, homem, tipo de pele 6
👨‍🔧	canalizador, electricista, eletricista, homem, mecânico
👨🏻‍🔧	canalizador, electricista, eletricista, homem, mecânico, mecânico: tipo de pele 1–2, tipo de pele 1–2
👨🏼‍🔧	canalizador, electricista, eletricista, homem, mecânico, mecânico: tipo de pele 3, tipo de pele 3
👨🏽‍🔧	canalizador, electricista, eletricista, homem, mecânico, mecânico: tipo de pele 4, tipo de pele 4
👨🏾‍🔧	canalizador, electricista, eletricista, homem, mecânico, mecânico: tipo de pele 5, tipo de pele 5
👨🏿‍🔧	canalizador, electricista, eletricista, homem, mecânico, mecânico: tipo de pele 6, tipo de pele 6
👩‍🔧	canalizadora, electricista, eletricista, mecânica, mulher
👩🏻‍🔧	canalizadora, electricista, eletricista, mecânica, mecânica: tipo de pele 1–2, mulher, tipo de pele 1–2
👩🏼‍🔧	canalizadora, electricista, eletricista, mecânica, mecânica: tipo de pele 3, mulher, tipo de pele 3
👩🏽‍🔧	canalizadora, electricista, eletricista, mecânica, mecânica: tipo de pele 4, mulher, tipo de pele 4
👩🏾‍🔧	canalizadora, electricista, eletricista, mecânica, mecânica: tipo de pele 5, mulher, tipo de pele 5
👩🏿‍🔧	canalizadora, electricista, eletricista, mecânica, mecânica: tipo de pele 6, mulher, tipo de pele 6
👨‍🏭	fábrica, homem, industrial, montagem, operário, operário fabril, trabalhador
👨🏻‍🏭	fábrica, homem, industrial, montagem, operário, operário fabril, operário fabril: tipo de pele 1–2, tipo de pele 1–2, trabalhador
👨🏼‍🏭	fábrica, homem, industrial, montagem, operário, operário fabril, operário fabril: tipo de pele 3, tipo de pele 3, trabalhador
👨🏽‍🏭	fábrica, homem, industrial, montagem, operário, operário fabril, operário fabril: tipo de pele 4, tipo de pele 4, trabalhador
👨🏾‍🏭	fábrica, homem, industrial, montagem, operário, operário fabril, operário fabril: tipo de pele 5, tipo de pele 5, trabalhador
👨🏿‍🏭	fábrica, homem, industrial, montagem, operário, operário fabril, operário fabril: tipo de pele 6, tipo de pele 6, trabalhador
👩‍🏭	fábrica, industrial, montagem, mulher, operária, operária fabril, trabalhadora
👩🏻‍🏭	fábrica, industrial, montagem, mulher, operária, operária fabril, operária fabril: tipo de pele 1–2, tipo de pele 1–2, trabalhadora
👩🏼‍🏭	fábrica, industrial, montagem, mulher, operária, operária fabril, operária fabril: tipo de pele 3, tipo de pele 3, trabalhadora
👩🏽‍🏭	fábrica, industrial, montagem, mulher, operária, operária fabril, operária fabril: tipo de pele 4, tipo de pele 4, trabalhadora
👩🏾‍🏭	fábrica, industrial, montagem, mulher, operária, operária fabril, operária fabril: tipo de pele 5, tipo de pele 5, trabalhadora
👩🏿‍🏭	fábrica, industrial, montagem, mulher, operária, operária fabril, operária fabril: tipo de pele 6, tipo de pele 6, trabalhadora
👨‍💼	administrador, empresa, funcionário de escritório, gerente, homem, trabalhador de escritório
👨🏻‍💼	administrador, empresa, funcionário de escritório, funcionário de escritório: tipo de pele 1–2, gerente, homem, tipo de pele 1–2, trabalhador de escritório
👨🏼‍💼	administrador, empresa, funcionário de escritório, funcionário de escritório: tipo de pele 3, gerente, homem, tipo de pele 3, trabalhador de escritório
👨🏽‍💼	administrador, empresa, funcionário de escritório, funcionário de escritório: tipo de pele 4, gerente, homem, tipo de pele 4, trabalhador de escritório
👨🏾‍💼	administrador, empresa, funcionário de escritório, funcionário de escritório: tipo de pele 5, gerente, homem, tipo de pele 5, trabalhador de escritório
👨🏿‍💼	administrador, empresa, funcionário de escritório, funcionário de escritório: tipo de pele 6, gerente, homem, tipo de pele 6, trabalhador de escritório
👩‍💼	administradora, empresa, funcionária de escritório, gerente, mulher, trabalhadora de escritório
👩🏻‍💼	administradora, empresa, funcionária de escritório, funcionária de escritório: tipo de pele 1–2, gerente, mulher, tipo de pele 1–2, trabalhadora de escritório
👩🏼‍💼	administradora, empresa, funcionária de escritório, funcionária de escritório: tipo de pele 3, gerente, mulher, tipo de pele 3, trabalhadora de escritório
👩🏽‍💼	administradora, empresa, funcionária de escritório, funcionária de escritório: tipo de pele 4, gerente, mulher, tipo de pele 4, trabalhadora de escritório
👩🏾‍💼	administradora, empresa, funcionária de escritório, funcionária de escritório: tipo de pele 5, gerente, mulher, tipo de pele 5, trabalhadora de escritório
👩🏿‍💼	administradora, empresa, funcionária de escritório, funcionária de escritório: tipo de pele 6, gerente, mulher, tipo de pele 6, trabalhadora de escritório
👨‍🔬	biólogo, cientista (homem), engenheiro, farmacêutico, matemático
👨🏻‍🔬	biólogo, cientista (homem), cientista (homem): tipo de pele 1–2, engenheiro, farmacêutico, matemático, tipo de pele 1–2
👨🏼‍🔬	biólogo, cientista (homem), cientista (homem): tipo de pele 3, engenheiro, farmacêutico, matemático, tipo de pele 3
👨🏽‍🔬	biólogo, cientista (homem), cientista (homem): tipo de pele 4, engenheiro, farmacêutico, matemático, tipo de pele 4
👨🏾‍🔬	biólogo, cientista (homem), cientista (homem): tipo de pele 5, engenheiro, farmacêutico, matemático, tipo de pele 5
👨🏿‍🔬	biólogo, cientista (homem), cientista (homem): tipo de pele 6, engenheiro, farmacêutico, matemático, tipo de pele 6
👩‍🔬	bióloga, cientista (mulher), engenheira, farmacêutica, matemática
👩🏻‍🔬	bióloga, cientista (mulher), cientista (mulher): tipo de pele 1–2, engenheira, farmacêutica, matemática, tipo de pele 1–2
👩🏼‍🔬	bióloga, cientista (mulher), cientista (mulher): tipo de pele 3, engenheira, farmacêutica, matemática, tipo de pele 3
👩🏽‍🔬	bióloga, cientista (mulher), cientista (mulher): tipo de pele 4, engenheira, farmacêutica, matemática, tipo de pele 4
👩🏾‍🔬	bióloga, cientista (mulher), cientista (mulher): tipo de pele 5, engenheira, farmacêutica, matemática, tipo de pele 5
👩🏿‍🔬	bióloga, cientista (mulher), cientista (mulher): tipo de pele 6, engenheira, farmacêutica, matemática, tipo de pele 6
👨‍💻	homem, informático, inventor, programador, software
👨🏻‍💻	homem, informático, informático: tipo de pele 1–2, inventor, programador, software, tipo de pele 1–2
👨🏼‍💻	homem, informático, informático: tipo de pele 3, inventor, programador, software, tipo de pele 3
👨🏽‍💻	homem, informático, informático: tipo de pele 4, inventor, programador, software, tipo de pele 4
👨🏾‍💻	homem, informático, informático: tipo de pele 5, inventor, programador, software, tipo de pele 5
👨🏿‍💻	homem, informático, informático: tipo de pele 6, inventor, programador, software, tipo de pele 6
👩‍💻	informática, inventora, mulher, programadora, software
👩🏻‍💻	informática, informática: tipo de pele 1–2, inventora, mulher, programadora, software, tipo de pele 1–2
👩🏼‍💻	informática, informática: tipo de pele 3, inventora, mulher, programadora, software, tipo de pele 3
👩🏽‍💻	informática, informática: tipo de pele 4, inventora, mulher, programadora, software, tipo de pele 4
👩🏾‍💻	informática, informática: tipo de pele 5, inventora, mulher, programadora, software, tipo de pele 5
👩🏿‍💻	informática, informática: tipo de pele 6, inventora, mulher, programadora, software, tipo de pele 6
👨‍🎤	ator, estrela, homem, rock
👨🏻‍🎤	ator, cantor: tipo de pele 1–2, estrela, homem, rock, tipo de pele 1–2
👨🏼‍🎤	ator, cantor: tipo de pele 3, estrela, homem, rock, tipo de pele 3
