😀	kenua, sura inayokenua, uso
🤬	kuapa, uso wenye ishara mdomoni
😈	kichimbakazi, njozi, pembe, tabasamu, uso, uso unaotabasamu wenye pembe
👿	kichimbakazi, kishetani, njozi, pepo, shetani, uso
💀	fuvu, kichimbakazi, kifo, uso, zimwi
☠️	fuvu, fuvu na mifupa, kifo, mifupa, uso, zimwi
💩	kibonzo, kinyesi, mavi, uso, zimwi
🤡	katuni, uso
👹	kichimbakazi, kijapani, kiumbe, njozi, uso, zimwi
👺	afriti, kichimbakazi, kijapani, kiumbe, njozi, uso, zimwi
👻	kichimbakazi, kiumbe, njozi, pepo, uso, zimwi
👽️	anga, jitu geni, kitu kisichojulikana kinachopaa hewani, kiumbe, njozi, zimwi
👾	anga, dubwana geni, geni, kitu kisichojulikana kinachopaa hewani, kiumbe, njozi, zimwi
🤖	roboti, uso, zimwi
😺	funguliwa, mdomo, paka, tabasamu, uso, uso wa paka unaocheka ukiwa umefungua mdomo
😸	jicho, kenua, paka, tabasamu, uso, uso wa paka unaokenua wenye macho yanayotabasamu
😹	chozi, furaha, paka, uso, uso wa paka wenye machozi ya furaha
😻	jicho, moyo, paka, tabasamu, upendo, uso, uso wa paka unaotabasamu wenye macho yenye umbo la moyo
😼	kejeli, kulazimisha, paka, tabasamu, uso, uso wa paka wenye tabasamu la kulazimisha
😽	busu, jicho, paka, uso, uso wa paka wenye busu na macho yaliyofungwa
🙀	lo!, paka, shangazwa, uchovu, uso, uso wa paka uliochoka
😿	chozi, huzuni, lia, paka, uso, uso wa paka unaolia
😾	bibidua midomo, paka, uso, uso wa paka uliobibidua midomo
🙈	angalia, hapana, katazwa, marufuku, tumbili, uovu, uso wenye macho yaliyofunikwa kwa mikono
🙉	ishara, katazwa, marufuku, siyo, tumbili, uovu, uso wenye masikio yaliyofunikwa kwa mikono
🙊	hapana, katazwa, tumbili, uovu, uso, uso wenye mdomo uliofunikwa kwa mikono, zungumza
💋	alama, alama ya busu, busu, mapenzi, midomo, moyo
💌	barua, barua ya mapenzi, mapenzi, moyo, upendo
💘	alama ya mapenzi, mapenzi, moyo, moyo uliopenyezwa mshale, mshale
💝	moyo, moyo uliofungwa kwa utepe, utepe, valentine
💖	furahia, metameta, moyo, moyo unaong’aa
💗	furahia, kukua, moyo, moyo uaokua, mpaigo ya moyo, wasiwasi
💓	kupiga, mapigo ya moyo, mbio, moyo, moyo unaodunda
💞	kuzunguka, mioyo inayozunguka, moyo
💕	mioyo miwili, moyo’ upendo
💟	mapambo ya moyo, moyo
❣️	alama, moyo wenye mshangao, mshangao, uakifishaji, umbo la moyo lenye alama ya mshangao
💔	moyo, moyo uliovunjika, vunja, vunjika
❤️	moyo, moyo mwekundu
🧡	chungwa, moyo wa rangi ya chungwa
💛	manjano, moyo, moyo wa manjano
💚	kijani, moyo, moyo wa kijani
💙	moyo, moyo ya samawati, samawati
💜	moyo, moyo wa zambarau, zambarau
🤎	hudhurungi, moyo, moyo wa hudhurungi
🖤	moyo, moyo mweusi
🤍	moyo, moyo mweupe, nyeupe
💯	100, alama, kamili, mia moja, pointi mia moja
💢	alama ya hasira, ghadhabu, hasira, kibonzo
💥	kibonzo, mgongano, mlio
💫	kibonzo, kizunguzungu, nyota
💦	jasho, kibonzo, matone, matone ya jasho
💨	dashi, kibonzo, kuharakisha, kukimbia
🕳️	shimo
💣️	bomu, kibonzo
💬	ishara, kibonzo, kitufe cha usemi, mazungumzo, puto, usemi
👁‍🗨	jicho ndani ya puto la usemi unaelekea kulia, kushuhudia, mazungumzo, usemi
🗨️	kitufe cha usemi cha kushoto, mazungumzo, usemi
🗯️	ghadhabu, hasira, ishara, kitufe cha usemi wa hasira cha kulia, puto
💭	ishara, kibonzo, kitufe cha mawazo, puto, wazo
💤	kibonzo, usingizi
👋	kupunga, mkono, mkono unaopunga, mwili, punga
👋🏻	kupunga, mkono, mkono unaopunga, mkono unaopunga: ngozi nyeupe, mwili, ngozi nyeupe, punga
👋🏼	kupunga, mkono, mkono unaopunga, mkono unaopunga: ngozi nyeupe kiasi, mwili, ngozi nyeupe kiasi, punga
👋🏽	kupunga, mkono, mkono unaopunga, mkono unaopunga: ngozi ya kahawia, mwili, ngozi ya kahawia, punga
👋🏾	kupunga, mkono, mkono unaopunga, mkono unaopunga: ngozi nyeusi kiasi, mwili, ngozi nyeusi kiasi, punga
👋🏿	kupunga, mkono, mkono unaopunga, mkono unaopunga: ngozi nyeusi, mwili, ngozi nyeusi, punga
🤚	kuinua mkono, mkono juu
🤚🏻	kuinua mkono, kuinua mkono: ngozi nyeupe, mkono juu, ngozi nyeupe
🤚🏼	kuinua mkono, kuinua mkono: ngozi nyeupe kiasi, mkono juu, ngozi nyeupe kiasi
🤚🏽	kuinua mkono, kuinua mkono: ngozi ya kahawia, mkono juu, ngozi ya kahawia
🤚🏾	kuinua mkono, kuinua mkono: ngozi nyeusi kiasi, mkono juu, ngozi nyeusi kiasi
🤚🏿	kuinua mkono, kuinua mkono: ngozi nyeusi, mkono juu, ngozi nyeusi
🖐️	kidole, mkono, mkono ulioinuliwa wenye vidole vilivyotanuliwa, mwili, tanuliwa
🖐🏻	kidole, mkono, mkono ulioinuliwa wenye vidole vilivyotanuliwa, mkono ulioinuliwa wenye vidole vilivyotanuliwa: ngozi nyeupe, mwili, ngozi nyeupe, tanuliwa
🖐🏼	kidole, mkono, mkono ulioinuliwa wenye vidole vilivyotanuliwa, mkono ulioinuliwa wenye vidole vilivyotanuliwa: ngozi nyeupe kiasi, mwili, ngozi nyeupe kiasi, tanuliwa
🖐🏽	kidole, mkono, mkono ulioinuliwa wenye vidole vilivyotanuliwa, mkono ulioinuliwa wenye vidole vilivyotanuliwa: ngozi ya kahawia, mwili, ngozi ya kahawia, tanuliwa
🖐🏾	kidole, mkono, mkono ulioinuliwa wenye vidole vilivyotanuliwa, mkono ulioinuliwa wenye vidole vilivyotanuliwa: ngozi nyeusi kiasi, mwili, ngozi nyeusi kiasi, tanuliwa
🖐🏿	kidole, mkono, mkono ulioinuliwa wenye vidole vilivyotanuliwa, mkono ulioinuliwa wenye vidole vilivyotanuliwa: ngozi nyeusi, mwili, ngozi nyeusi, tanuliwa
✋	mkono, mkono ulioinuliwa, mwili
✋🏻	mkono, mkono ulioinuliwa, mkono ulioinuliwa: ngozi nyeupe, mwili, ngozi nyeupe
✋🏼	mkono, mkono ulioinuliwa, mkono ulioinuliwa: ngozi nyeupe kiasi, mwili, ngozi nyeupe kiasi
✋🏽	mkono, mkono ulioinuliwa, mkono ulioinuliwa: ngozi ya kahawia, mwili, ngozi ya kahawia
✋🏾	mkono, mkono ulioinuliwa, mkono ulioinuliwa: ngozi nyeusi kiasi, mwili, ngozi nyeusi kiasi
✋🏿	mkono, mkono ulioinuliwa, mkono ulioinuliwa: ngozi nyeusi, mwili, ngozi nyeusi
🖖	ishara ya vulkani, kidole, mkono, mwili, spoku, vulkani
🖖🏻	ishara ya vulkani, ishara ya vulkani: ngozi nyeupe, kidole, mkono, mwili, ngozi nyeupe, spoku, vulkani
🖖🏼	ishara ya vulkani, ishara ya vulkani: ngozi nyeupe kiasi, kidole, mkono, mwili, ngozi nyeupe kiasi, spoku, vulkani
🖖🏽	ishara ya vulkani, ishara ya vulkani: ngozi ya kahawia, kidole, mkono, mwili, ngozi ya kahawia, spoku, vulkani
🖖🏾	ishara ya vulkani, ishara ya vulkani: ngozi nyeusi kiasi, kidole, mkono, mwili, ngozi nyeusi kiasi, spoku, vulkani
🖖🏿	ishara ya vulkani, ishara ya vulkani: ngozi nyeusi, kidole, mkono, mwili, ngozi nyeusi, spoku, vulkani
👌	mkono, mkono wa kuonyesha mambo yako shwari, mwili, sawa
👌🏻	mkono, mkono wa kuonyesha mambo yako shwari, mkono wa kuonyesha mambo yako shwari: ngozi nyeupe, mwili, ngozi nyeupe, sawa
👌🏼	mkono, mkono wa kuonyesha mambo yako shwari, mkono wa kuonyesha mambo yako shwari: ngozi nyeupe kiasi, mwili, ngozi nyeupe kiasi, sawa
👌🏽	mkono, mkono wa kuonyesha mambo yako shwari, mkono wa kuonyesha mambo yako shwari: ngozi ya kahawia, mwili, ngozi ya kahawia, sawa
👌🏾	mkono, mkono wa kuonyesha mambo yako shwari, mkono wa kuonyesha mambo yako shwari: ngozi nyeusi kiasi, mwili, ngozi nyeusi kiasi, sawa
👌🏿	mkono, mkono wa kuonyesha mambo yako shwari, mkono wa kuonyesha mambo yako shwari: ngozi nyeusi, mwili, ngozi nyeusi, sawa
🤏	kiasi kidogo, vidole vinavyobana
🤏🏻	kiasi kidogo, ngozi nyeupe, vidole vinavyobana, vidole vinavyobana: ngozi nyeupe
🤏🏼	kiasi kidogo, ngozi nyeupe kiasi, vidole vinavyobana, vidole vinavyobana: ngozi nyeupe kiasi
🤏🏽	kiasi kidogo, ngozi ya kahawia, vidole vinavyobana, vidole vinavyobana: ngozi ya kahawia
🤏🏾	kiasi kidogo, ngozi nyeusi kiasi, vidole vinavyobana, vidole vinavyobana: ngozi nyeusi kiasi
🤏🏿	kiasi kidogo, ngozi nyeusi, vidole vinavyobana, vidole vinavyobana: ngozi nyeusi
✌️	mkono, mkono wa ushindi, mwili, ushindi, v
✌🏻	mkono, mkono wa ushindi, mkono wa ushindi: ngozi nyeupe, mwili, ngozi nyeupe, ushindi, v
✌🏼	mkono, mkono wa ushindi, mkono wa ushindi: ngozi nyeupe kiasi, mwili, ngozi nyeupe kiasi, ushindi, v
✌🏽	mkono, mkono wa ushindi, mkono wa ushindi: ngozi ya kahawia, mwili, ngozi ya kahawia, ushindi, v
✌🏾	mkono, mkono wa ushindi, mkono wa ushindi: ngozi nyeusi kiasi, mwili, ngozi nyeusi kiasi, ushindi, v
✌🏿	mkono, mkono wa ushindi, mkono wa ushindi: ngozi nyeusi, mwili, ngozi nyeusi, ushindi, v
🤞	ishara ya kubahatisha, kubahatisha, mkono
🤞🏻	ishara ya kubahatisha, ishara ya kubahatisha: ngozi nyeupe, kubahatisha, mkono, ngozi nyeupe
🤞🏼	ishara ya kubahatisha, ishara ya kubahatisha: ngozi nyeupe kiasi, kubahatisha, mkono, ngozi nyeupe kiasi
🤞🏽	ishara ya kubahatisha, ishara ya kubahatisha: ngozi ya kahawia, kubahatisha, mkono, ngozi ya kahawia
🤞🏾	ishara ya kubahatisha, ishara ya kubahatisha: ngozi nyeusi kiasi, kubahatisha, mkono, ngozi nyeusi kiasi
🤞🏿	ishara ya kubahatisha, ishara ya kubahatisha: ngozi nyeusi, kubahatisha, mkono, ngozi nyeusi
🤟	ishara ya "nakupenda", mkono, nakupenda
🤟🏻	ishara ya "nakupenda", ishara ya "nakupenda": ngozi nyeupe, mkono, nakupenda, ngozi nyeupe
🤟🏼	ishara ya "nakupenda", ishara ya "nakupenda": ngozi nyeupe kiasi, mkono, nakupenda, ngozi nyeupe kiasi
🤟🏽	ishara ya "nakupenda", ishara ya "nakupenda": ngozi ya kahawia, mkono, nakupenda, ngozi ya kahawia
🤟🏾	ishara ya "nakupenda", ishara ya "nakupenda": ngozi nyeusi kiasi, mkono, nakupenda, ngozi nyeusi kiasi
🤟🏿	ishara ya "nakupenda", ishara ya "nakupenda": ngozi nyeusi, mkono, nakupenda, ngozi nyeusi
🤘	cheza, ishara ya pembe, kidole, mkono, mwili, pembe
🤘🏻	cheza, ishara ya pembe, ishara ya pembe: ngozi nyeupe, kidole, mkono, mwili, ngozi nyeupe, pembe
🤘🏼	cheza, ishara ya pembe, ishara ya pembe: ngozi nyeupe kiasi, kidole, mkono, mwili, ngozi nyeupe kiasi, pembe
🤘🏽	cheza, ishara ya pembe, ishara ya pembe: ngozi ya kahawia, kidole, mkono, mwili, ngozi ya kahawia, pembe
🤘🏾	cheza, ishara ya pembe, ishara ya pembe: ngozi nyeusi kiasi, kidole, mkono, mwili, ngozi nyeusi kiasi, pembe
🤘🏿	cheza, ishara ya pembe, ishara ya pembe: ngozi nyeusi, kidole, mkono, mwili, ngozi nyeusi, pembe
🤙	ishara ya “nipigie simu”, mkono, nipigie simu
🤙🏻	ishara ya “nipigie simu”, ishara ya “nipigie simu”: ngozi nyeupe, mkono, ngozi nyeupe, nipigie simu
🤙🏼	ishara ya “nipigie simu”, ishara ya “nipigie simu”: ngozi nyeupe kiasi, mkono, ngozi nyeupe kiasi, nipigie simu
🤙🏽	ishara ya “nipigie simu”, ishara ya “nipigie simu”: ngozi ya kahawia, mkono, ngozi ya kahawia, nipigie simu
🤙🏾	ishara ya “nipigie simu”, ishara ya “nipigie simu”: ngozi nyeusi kiasi, mkono, ngozi nyeusi kiasi, nipigie simu
🤙🏿	ishara ya “nipigie simu”, ishara ya “nipigie simu”: ngozi nyeusi, mkono, ngozi nyeusi, nipigie simu
👈️	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza kushoto, mkono, mwili, nyuma ya mkono
👈🏻	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza kushoto, kidole cha kwanza kinachoelekeza kushoto: ngozi nyeupe, mkono, mwili, ngozi nyeupe, nyuma ya mkono
👈🏼	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza kushoto, kidole cha kwanza kinachoelekeza kushoto: ngozi nyeupe kiasi, mkono, mwili, ngozi nyeupe kiasi, nyuma ya mkono
👈🏽	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza kushoto, kidole cha kwanza kinachoelekeza kushoto: ngozi ya kahawia, mkono, mwili, ngozi ya kahawia, nyuma ya mkono
👈🏾	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza kushoto, kidole cha kwanza kinachoelekeza kushoto: ngozi nyeusi kiasi, mkono, mwili, ngozi nyeusi kiasi, nyuma ya mkono
👈🏿	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza kushoto, kidole cha kwanza kinachoelekeza kushoto: ngozi nyeusi, mkono, mwili, ngozi nyeusi, nyuma ya mkono
👉️	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza kulia, mkono, mwili, nyuma ya mkono
👉🏻	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza kulia, kidole cha kwanza kinachoelekeza kulia: ngozi nyeupe, mkono, mwili, ngozi nyeupe, nyuma ya mkono
👉🏼	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza kulia, kidole cha kwanza kinachoelekeza kulia: ngozi nyeupe kiasi, mkono, mwili, ngozi nyeupe kiasi, nyuma ya mkono
👉🏽	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza kulia, kidole cha kwanza kinachoelekeza kulia: ngozi ya kahawia, mkono, mwili, ngozi ya kahawia, nyuma ya mkono
👉🏾	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza kulia, kidole cha kwanza kinachoelekeza kulia: ngozi nyeusi kiasi, mkono, mwili, ngozi nyeusi kiasi, nyuma ya mkono
👉🏿	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza kulia, kidole cha kwanza kinachoelekeza kulia: ngozi nyeusi, mkono, mwili, ngozi nyeusi, nyuma ya mkono
👆️	cha kwanza, elekeza, juu, kidole cha kwanza kinachoelekeza juu kwa nyuma, mkono, nyuma ya mkono
👆🏻	cha kwanza, elekeza, juu, kidole cha kwanza kinachoelekeza juu kwa nyuma, kidole cha kwanza kinachoelekeza juu kwa nyuma: ngozi nyeupe, mkono, ngozi nyeupe, nyuma ya mkono
👆🏼	cha kwanza, elekeza, juu, kidole cha kwanza kinachoelekeza juu kwa nyuma, kidole cha kwanza kinachoelekeza juu kwa nyuma: ngozi nyeupe kiasi, mkono, ngozi nyeupe kiasi, nyuma ya mkono
👆🏽	cha kwanza, elekeza, juu, kidole cha kwanza kinachoelekeza juu kwa nyuma, kidole cha kwanza kinachoelekeza juu kwa nyuma: ngozi ya kahawia, mkono, ngozi ya kahawia, nyuma ya mkono
👆🏾	cha kwanza, elekeza, juu, kidole cha kwanza kinachoelekeza juu kwa nyuma, kidole cha kwanza kinachoelekeza juu kwa nyuma: ngozi nyeusi kiasi, mkono, ngozi nyeusi kiasi, nyuma ya mkono
👆🏿	cha kwanza, elekeza, juu, kidole cha kwanza kinachoelekeza juu kwa nyuma, kidole cha kwanza kinachoelekeza juu kwa nyuma: ngozi nyeusi, mkono, ngozi nyeusi, nyuma ya mkono
🖕	kidole, kidole cha kati, mkono, mwili
🖕🏻	kidole, kidole cha kati, kidole cha kati: ngozi nyeupe, mkono, mwili, ngozi nyeupe
🖕🏼	kidole, kidole cha kati, kidole cha kati: ngozi nyeupe kiasi, mkono, mwili, ngozi nyeupe kiasi
🖕🏽	kidole, kidole cha kati, kidole cha kati: ngozi ya kahawia, mkono, mwili, ngozi ya kahawia
🖕🏾	kidole, kidole cha kati, kidole cha kati: ngozi nyeusi kiasi, mkono, mwili, ngozi nyeusi kiasi
🖕🏿	kidole, kidole cha kati, kidole cha kati: ngozi nyeusi, mkono, mwili, ngozi nyeusi
👇️	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza chini kwa nyuma, mkono, mwili, nyuma ya mkono
👇🏻	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza chini kwa nyuma, kidole cha kwanza kinachoelekeza chini kwa nyuma: ngozi nyeupe, mkono, mwili, ngozi nyeupe, nyuma ya mkono
👇🏼	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza chini kwa nyuma, kidole cha kwanza kinachoelekeza chini kwa nyuma: ngozi nyeupe kiasi, mkono, mwili, ngozi nyeupe kiasi, nyuma ya mkono
👇🏽	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza chini kwa nyuma, kidole cha kwanza kinachoelekeza chini kwa nyuma: ngozi ya kahawia, mkono, mwili, ngozi ya kahawia, nyuma ya mkono
👇🏾	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza chini kwa nyuma, kidole cha kwanza kinachoelekeza chini kwa nyuma: ngozi nyeusi kiasi, mkono, mwili, ngozi nyeusi kiasi, nyuma ya mkono
👇🏿	cha kwanza, elekeza, kidole, kidole cha kwanza kinachoelekeza chini kwa nyuma, kidole cha kwanza kinachoelekeza chini kwa nyuma: ngozi nyeusi, mkono, mwili, ngozi nyeusi, nyuma ya mkono
☝️	cha kwanza, elekeza, juu, kidole, kidole cha kwanza kinachoelekeza juu, mkono, mwili
☝🏻	cha kwanza, elekeza, juu, kidole, kidole cha kwanza kinachoelekeza juu, kidole cha kwanza kinachoelekeza juu: ngozi nyeupe, mkono, mwili, ngozi nyeupe
☝🏼	cha kwanza, elekeza, juu, kidole, kidole cha kwanza kinachoelekeza juu, kidole cha kwanza kinachoelekeza juu: ngozi nyeupe kiasi, mkono, mwili, ngozi nyeupe kiasi
☝🏽	cha kwanza, elekeza, juu, kidole, kidole cha kwanza kinachoelekeza juu, kidole cha kwanza kinachoelekeza juu: ngozi ya kahawia, mkono, mwili, ngozi ya kahawia
☝🏾	cha kwanza, elekeza, juu, kidole, kidole cha kwanza kinachoelekeza juu, kidole cha kwanza kinachoelekeza juu: ngozi nyeusi kiasi, mkono, mwili, ngozi nyeusi kiasi
☝🏿	cha kwanza, elekeza, juu, kidole, kidole cha kwanza kinachoelekeza juu, kidole cha kwanza kinachoelekeza juu: ngozi nyeusi, mkono, mwili, ngozi nyeusi
👍️	1, dole gumba juu, gumba, juu, mkono, mwili
👍🏻	1, dole gumba juu, dole gumba juu: ngozi nyeupe, gumba, juu, mkono, mwili, ngozi nyeupe
👍🏼	1, dole gumba juu, dole gumba juu: ngozi nyeupe kiasi, gumba, juu, mkono, mwili, ngozi nyeupe kiasi
👍🏽	1, dole gumba juu, dole gumba juu: ngozi ya kahawia, gumba, juu, mkono, mwili, ngozi ya kahawia
👍🏾	1, dole gumba juu, dole gumba juu: ngozi nyeusi kiasi, gumba, juu, mkono, mwili, ngozi nyeusi kiasi
👍🏿	1, dole gumba juu, dole gumba juu: ngozi nyeusi, gumba, juu, mkono, mwili, ngozi nyeusi
👎️	-1, chini, dole gumba chini, gumba, mkono, mwili
👎🏻	-1, chini, dole gumba chini, dole gumba chini: ngozi nyeupe, gumba, mkono, mwili, ngozi nyeupe
👎🏼	-1, chini, dole gumba chini, dole gumba chini: ngozi nyeupe kiasi, gumba, mkono, mwili, ngozi nyeupe kiasi
👎🏽	-1, chini, dole gumba chini, dole gumba chini: ngozi ya kahawia, gumba, mkono, mwili, ngozi ya kahawia
👎🏾	-1, chini, dole gumba chini, dole gumba chini: ngozi nyeusi kiasi, gumba, mkono, mwili, ngozi nyeusi kiasi
👎🏿	-1, chini, dole gumba chini, dole gumba chini: ngozi nyeusi, gumba, mkono, mwili, ngozi nyeusi
✊	konde, kunja ngumi, mkono, mwili, ngumi, ngumi iliyoinuliwa
✊🏻	konde, kunja ngumi, mkono, mwili, ngozi nyeupe, ngumi, ngumi iliyoinuliwa, ngumi iliyoinuliwa: ngozi nyeupe
✊🏼	konde, kunja ngumi, mkono, mwili, ngozi nyeupe kiasi, ngumi, ngumi iliyoinuliwa, ngumi iliyoinuliwa: ngozi nyeupe kiasi
✊🏽	konde, kunja ngumi, mkono, mwili, ngozi ya kahawia, ngumi, ngumi iliyoinuliwa, ngumi iliyoinuliwa: ngozi ya kahawia
✊🏾	konde, kunja ngumi, mkono, mwili, ngozi nyeusi kiasi, ngumi, ngumi iliyoinuliwa, ngumi iliyoinuliwa: ngozi nyeusi kiasi
✊🏿	konde, kunja ngumi, mkono, mwili, ngozi nyeusi, ngumi, ngumi iliyoinuliwa, ngumi iliyoinuliwa: ngozi nyeusi
👊	konde, kunja ngumi, mkono, mwili, ngumi, ngumi uliyonyooshewa
👊🏻	konde, kunja ngumi, mkono, mwili, ngozi nyeupe, ngumi, ngumi uliyonyooshewa, ngumi uliyonyooshewa: ngozi nyeupe
